002606 大连电瓷 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/08/05	6.65	7.47	6.45	6.87	17543181	509917088.00
2011/08/08	6.27	6.27	6.15	6.15	4907575	127043160.00
2011/08/09	5.50	6.15	5.50	5.73	8063689	192627904.00
2011/08/10	5.80	6.02	5.57	5.73	6695824	164259696.00
2011/08/11	5.45	5.71	5.35	5.67	5030522	118166440.00
2011/08/12	5.71	5.91	5.65	5.77	4849553	118508760.00
2011/08/15	5.77	6.04	5.62	5.97	5685062	140715168.00
2011/08/16	5.95	6.14	5.87	6.00	5881888	148238432.00
2011/08/17	5.94	6.07	5.85	5.85	3335507	83149280.00
2011/08/18	5.78	5.90	5.67	5.69	3165690	76867136.00
2011/08/19	5.56	5.59	5.31	5.44	2958303	68146904.00
2011/08/22	5.47	5.62	5.41	5.53	1966475	45786024.00
2011/08/23	5.53	5.76	5.48	5.76	2949031	69992192.00
2011/08/24	5.77	6.07	5.70	5.89	4920533	121443288.00
2011/08/25	5.89	5.93	5.72	5.85	3271754	80258776.00
2011/08/26	5.85	6.04	5.85	5.95	3301499	82644096.00
2011/08/29	5.94	5.94	5.73	5.75	2473593	60632728.00
2011/08/30	5.75	5.85	5.45	5.54	2056644	49095384.00
2011/08/31	5.52	5.61	5.42	5.61	1596596	37114636.00
2011/09/01	5.61	5.64	5.47	5.47	1019450	23870186.00
2011/09/02	5.47	5.53	5.40	5.51	889313	20506806.00
2011/09/05	5.45	5.47	5.03	5.04	1664787	36868924.00
2011/09/06	4.92	4.99	4.62	4.73	1856078	37757872.00
2011/09/07	4.75	4.86	4.75	4.84	1221161	25004276.00
2011/09/08	4.90	4.91	4.65	4.66	1250466	25251626.00
2011/09/09	4.67	5.15	4.20	5.15	2948252	60598664.00
2011/09/13	4.91	5.37	4.90	5.12	4023165	88159096.00
2011/09/14	5.03	5.59	4.96	5.59	4468992	100366808.00
2011/09/15	5.50	5.70	5.49	5.52	4139924	97591200.00
2011/09/16	5.52	5.64	5.35	5.36	2581596	59572312.00
2011/09/19	5.28	5.32	4.80	4.82	2684653	56661468.00
2011/09/20	4.71	5.33	4.71	5.33	3011465	64594988.00
2011/09/21	5.36	5.70	5.35	5.60	5527440	129783872.00
2011/09/22	5.50	6.00	5.48	5.71	7128770	173000864.00
2011/09/23	5.55	6.32	5.46	6.32	8638262	218476016.00
2011/09/26	6.32	6.77	6.18	6.47	8566467	229636784.00
2011/09/27	6.41	6.44	5.99	6.05	6686236	173979424.00
2011/09/28	6.05	6.68	6.04	6.68	9835366	265093344.00
2011/09/29	6.60	6.77	5.98	6.07	7768778	205561504.00
2011/09/30	6.21	6.66	5.95	6.27	6783925	180139184.00
2011/10/10	5.92	6.26	5.70	6.22	5019771	127000184.00
2011/10/11	6.30	6.84	6.30	6.66	7769602	213471648.00
2011/10/12	6.45	7.36	6.34	7.36	9414945	274008928.00
2011/10/13	7.29	7.96	7.16	7.61	10158709	318979808.00
2011/10/14	7.52	8.41	7.37	8.41	9131643	299108288.00
2011/10/17	8.41	8.59	8.11	8.37	8118739	281524384.00
2011/10/18	8.19	8.57	8.00	8.05	6870918	235551312.00
2011/10/19	7.95	8.14	7.57	7.98	6568731	213589552.00
2011/10/20	7.84	8.38	7.74	8.17	6896784	230391136.00
2011/10/21	7.95	7.95	7.32	7.32	2851910	89090336.00
2011/10/24	6.84	7.50	6.75	7.35	6286225	185075184.00
2011/10/25	7.15	7.70	7.15	7.33	7061941	218914640.00
2011/10/26	7.15	7.50	7.07	7.27	6227928	188508320.00
2011/10/27	7.20	7.69	7.09	7.09	6869739	211787520.00
2011/10/28	7.07	7.43	7.06	7.23	5799599	174330144.00
2011/10/31	7.20	7.94	7.12	7.70	8011510	250349408.00
2011/11/01	7.54	7.81	7.45	7.69	6061262	192307232.00
2011/11/02	7.55	7.56	7.17	7.54	5293830	162545792.00
2011/11/03	7.54	7.85	7.25	7.25	6025521	188834064.00
2011/11/04	7.12	7.32	7.04	7.07	4392781	130655312.00
2011/11/07	6.95	7.27	6.77	7.21	6354202	184698736.00
2011/11/08	7.15	7.16	6.87	6.89	3802269	111183920.00
2011/11/09	6.87	6.97	6.70	6.97	5033493	143932512.00
2011/11/10	6.85	7.37	6.79	7.17	7534270	224514896.00
2011/11/11	7.12	7.25	6.80	6.87	4721506	138522480.00
2011/11/14	6.85	7.07	6.82	7.07	3785582	110240192.00
2011/11/15	7.05	7.34	7.04	7.16	4952684	148552464.00
2011/11/16	7.07	7.14	6.89	6.97	3967864	115655280.00
2011/11/17	6.95	7.07	6.84	6.87	3277599	94951024.00
2011/11/18	6.74	6.76	6.35	6.35	3902940	106802064.00
2011/11/21	6.37	6.57	6.12	6.54	3344003	89576928.00
2011/11/22	6.42	6.52	6.24	6.37	2079148	55679620.00
2011/11/23	6.32	6.54	6.32	6.34	2014186	54131212.00
2011/11/24	6.20	6.37	6.07	6.22	2037300	53218312.00
2011/11/25	6.20	6.32	6.11	6.12	2002157	52149108.00
2011/11/28	6.08	6.18	5.90	5.94	2135118	53786344.00
2011/11/29	5.99	6.10	5.94	6.07	2295276	58110352.00
2011/11/30	6.05	6.07	5.48	5.54	3012704	73122400.00
2011/12/01	5.74	5.78	5.60	5.60	2492170	59926412.00
2011/12/02	5.53	5.99	5.39	5.89	4057302	98130544.00
2011/12/05	5.80	5.99	5.79	5.85	3068374	75713264.00
2011/12/06	5.86	6.44	5.77	6.33	6318055	162083696.00
2011/12/07	6.20	6.32	6.10	6.27	4530781	118159864.00
2011/12/08	6.22	6.55	6.10	6.27	4845051	128519680.00
2011/12/09	6.14	6.20	5.99	6.01	2890362	73706448.00
2011/12/12	5.94	6.18	5.80	5.96	2922006	73870424.00
2011/12/13	5.85	5.90	5.54	5.57	3050924	73108176.00
2011/12/14	5.58	5.84	5.57	5.61	2856986	68586784.00
2011/12/15	5.47	5.73	5.44	5.48	3117466	73506712.00
2011/12/16	5.48	5.90	5.39	5.87	3553533	84186456.00
2011/12/19	5.85	6.19	5.73	6.17	4960946	124740088.00
2011/12/20	6.17	6.25	5.98	6.01	3343624	85390608.00
2011/12/21	6.01	6.17	5.82	5.82	2760445	69801488.00
2011/12/22	5.69	5.79	5.27	5.56	3498339	80839896.00
2011/12/23	5.52	5.62	5.32	5.42	2387558	55243412.00
2011/12/26	5.38	5.50	5.36	5.39	1192900	27295722.00
2011/12/27	5.38	5.43	4.82	4.82	2732793	58319260.00
2011/12/28	4.68	4.72	4.40	4.59	2334156	45567892.00
2011/12/29	4.49	4.60	4.45	4.46	1465725	28342646.00
2011/12/30	4.49	4.69	4.48	4.67	2196275	43320156.00
2012/01/04	4.75	4.79	4.37	4.38	1462912	28830148.00
2012/01/05	4.35	4.52	4.23	4.33	1567569	29323148.00
2012/01/06	4.30	4.52	4.29	4.50	1713419	32334948.00
2012/01/09	4.54	4.72	4.45	4.72	2213519	43627480.00
2012/01/10	4.70	5.01	4.65	4.89	2881696	59134188.00
2012/01/11	4.85	5.07	4.80	4.90	2520426	52682392.00
2012/01/12	4.85	5.05	4.81	4.81	2277623	47546692.00
2012/01/13	4.81	4.86	4.45	4.49	1942866	38150724.00
2012/01/16	4.32	4.49	4.27	4.27	1005059	18761914.00
2012/01/17	4.31	4.62	4.22	4.60	1463609	27906826.00
2012/01/18	4.60	4.74	4.34	4.39	1527616	29815810.00
2012/01/19	4.39	4.54	4.27	4.48	1115683	21133498.00
2012/01/20	4.47	4.57	4.46	4.53	1019740	19683536.00
2012/01/30	4.53	4.59	4.49	4.52	1029424	19931694.00
2012/01/31	4.53	4.97	4.53	4.75	3284155	66666084.00
2012/02/01	4.67	4.95	4.61	4.86	3513182	72157960.00
2012/02/02	4.80	4.92	4.75	4.90	2534526	52229820.00
2012/02/03	4.87	5.00	4.83	4.96	2552356	53472336.00
2012/02/06	4.97	5.00	4.84	4.90	2074096	43233272.00
2012/02/08	4.75	5.01	4.73	5.01	2383293	49553088.00
2012/02/09	5.04	5.19	5.01	5.02	3117186	67527312.00
2012/02/10	5.02	5.06	4.93	4.98	2031549	43055416.00
2012/02/13	4.94	5.19	4.85	5.13	2677841	57352692.00
2012/02/14	5.09	5.18	4.97	5.02	1558181	33269290.00
2012/02/15	5.09	5.34	5.09	5.21	4099593	90561816.00
2012/02/16	5.20	5.27	5.12	5.20	2340398	51255276.00
2012/02/17	5.22	5.57	5.17	5.44	4978645	112802960.00
2012/02/20	5.45	5.58	5.37	5.44	3566828	82321568.00
2012/02/21	5.38	5.47	5.33	5.47	2654835	60590800.00
2012/02/22	5.46	5.59	5.42	5.55	2902171	67539776.00
2012/02/23	5.54	5.76	5.47	5.60	3121039	74040112.00
2012/02/24	5.60	5.62	5.50	5.56	2415682	56450432.00
2012/02/27	5.50	5.62	5.42	5.48	3543449	82238936.00
2012/02/28	5.42	5.48	5.28	5.33	2093925	47556112.00
2012/02/29	5.31	5.42	5.30	5.32	1159124	26243432.00
2012/03/01	5.30	5.47	5.30	5.40	1375872	31424796.00
2012/03/02	5.40	5.47	5.39	5.45	1464629	33574964.00
2012/03/05	5.49	5.57	5.43	5.47	1603343	37069160.00
2012/03/06	5.48	5.51	5.34	5.35	1546810	35262464.00
2012/03/07	5.28	5.41	5.26	5.34	1364076	30692714.00
2012/03/08	5.32	5.56	5.31	5.53	2553043	58938064.00
2012/03/09	5.54	5.58	5.46	5.54	2175388	50695596.00
2012/03/12	5.54	5.70	5.52	5.70	3178351	75228648.00
2012/03/13	5.70	5.72	5.57	5.64	2180866	51711420.00
2012/03/14	5.65	5.77	5.20	5.36	3545376	83520552.00
2012/03/15	5.28	5.40	5.03	5.09	2204376	48228252.00
2012/03/16	5.10	5.19	5.03	5.19	1392132	30289180.00
2012/03/19	5.17	5.31	5.12	5.27	1416092	31258382.00
2012/03/20	5.22	5.23	5.04	5.05	1756765	38038728.00
2012/03/21	5.07	5.13	5.02	5.12	975066	20989348.00
2012/03/22	5.12	5.18	5.09	5.13	1007212	21953182.00
2012/03/23	5.10	5.14	4.87	4.90	1241335	26214604.00
2012/03/26	4.89	4.98	4.84	4.92	592229	12335103.00
2012/03/27	4.95	5.02	4.87	4.92	751346	15775766.00
2012/03/28	4.90	4.90	4.55	4.57	1082697	21641958.00
2012/03/29	4.66	4.66	4.42	4.45	704099	13523459.00
2012/03/30	4.49	4.49	4.26	4.28	1133722	21035604.00
2012/04/05	4.25	4.49	3.89	4.45	2581582	46644752.00
2012/04/06	4.38	4.51	4.35	4.48	1987499	37630160.00
2012/04/09	4.48	4.57	4.35	4.36	1410611	26934916.00
2012/04/10	4.32	4.40	4.17	4.37	1074011	19828016.00
2012/04/11	4.24	4.46	4.20	4.40	856888	16057417.00
2012/04/12	4.40	4.43	4.30	4.43	1489399	27906498.00
2012/04/13	4.43	4.49	4.40	4.46	1712784	32514766.00
2012/04/16	4.46	4.51	4.42	4.51	1411906	26951806.00
2012/04/17	4.52	4.55	4.43	4.47	1209228	23041700.00
2012/04/18	4.46	4.57	4.44	4.54	1381382	26575570.00
2012/04/19	4.57	4.57	4.49	4.51	1026147	19747318.00
2012/04/20	4.95	4.95	4.60	4.61	3176153	63432960.00
2012/04/23	4.62	4.62	4.18	4.31	2380791	44490548.00
2012/04/24	4.23	4.34	4.13	4.23	1097705	19877728.00
2012/04/25	4.23	4.30	4.23	4.25	822882	15027955.00
2012/04/26	4.24	4.28	4.07	4.12	1163273	20655278.00
2012/04/27	4.12	4.18	4.06	4.14	690184	12223821.00
2012/05/02	4.20	4.32	4.14	4.27	1263170	22800456.00
2012/05/03	4.23	4.27	4.21	4.24	807558	14665729.00
2012/05/04	4.25	4.42	4.21	4.38	1471713	27304758.00
2012/05/07	4.32	4.51	4.30	4.49	1317470	24982580.00
2012/05/08	4.47	4.56	4.41	4.48	1418142	27201400.00
2012/05/09	4.45	4.48	4.35	4.36	1092593	20545564.00
2012/05/11	4.38	4.75	4.38	4.51	2223926	43360356.00
2012/05/14	4.58	4.69	4.52	4.57	1994827	39112864.00
2012/05/15	4.54	4.65	4.48	4.62	1597693	31230816.00
2012/05/16	4.62	4.65	4.53	4.55	971713	19034312.00
2012/05/17	4.54	4.63	4.51	4.52	1198382	23317472.00
2012/05/18	4.50	4.75	4.29	4.53	4313194	41714128.00
2012/05/21	4.50	4.60	4.31	4.33	2660778	24747536.00
2012/05/22	4.34	4.38	4.27	4.30	2174116	19830266.00
2012/05/23	4.29	4.33	4.19	4.26	1915865	17260026.00
2012/05/24	4.23	4.50	4.20	4.33	2822109	26220150.00
2012/05/25	4.29	4.50	4.25	4.43	3656833	33979900.00
2012/05/28	4.38	4.39	4.22	4.35	2057072	18765672.00
2012/05/29	4.34	4.49	4.31	4.44	3398454	31870450.00
2012/05/30	4.41	4.59	4.35	4.54	3966767	37755900.00
2012/05/31	4.55	4.68	4.47	4.59	4235911	41124452.00
2012/06/01	4.64	4.92	4.64	4.70	6094509	61054196.00
2012/06/04	4.55	4.59	4.38	4.41	2949687	28048592.00
2012/06/05	4.32	4.46	4.32	4.36	1641604	15157541.00
2012/06/06	4.39	4.42	4.32	4.35	982069	9068980.00
2012/06/07	4.44	4.44	4.28	4.28	1443929	13272636.00
2012/06/11	4.23	4.37	4.23	4.34	1345717	12324823.00
2012/06/12	4.34	4.38	4.30	4.31	845742	7763734.00
2012/06/13	4.31	4.42	4.29	4.40	1370868	12652592.00
2012/06/14	4.40	4.44	4.32	4.34	1195294	11064411.00
2012/06/15	4.33	4.38	4.27	4.31	923678	8445068.00
2012/06/18	4.34	4.45	4.34	4.38	1298455	12069398.00
2012/06/19	4.39	4.39	4.31	4.37	985087	9065338.00
2012/06/20	4.37	4.69	4.33	4.54	3148197	29952074.00
2012/06/21	4.47	4.97	4.46	4.81	9680520	97544752.00
2012/06/25	4.71	4.72	4.55	4.61	4456720	43535552.00
2012/06/26	4.56	4.56	4.31	4.41	3186683	29777106.00
2012/06/27	4.36	4.85	4.32	4.79	6392402	62413096.00
2012/06/28	4.75	5.05	4.70	4.79	10179725	104843536.00
2012/06/29	4.74	4.95	4.60	4.92	5804994	58328436.00
2012/07/02	4.90	5.35	4.87	5.03	7065565	74760840.00
2012/07/03	4.97	5.09	4.87	5.01	4386270	45925144.00
2012/07/04	5.00	5.04	4.83	4.87	3759161	38914300.00
2012/07/05	4.86	4.87	4.67	4.74	2720539	27164914.00
2012/07/06	4.75	4.96	4.73	4.94	3789306	38560392.00
2012/07/09	4.95	4.98	4.69	4.69	3672315	37406844.00
2012/07/10	4.63	4.70	4.50	4.54	2398004	23238354.00
2012/07/11	4.54	4.66	4.47	4.59	1649196	15896374.00
2012/07/12	4.60	4.60	4.37	4.52	2551125	24164168.00
2012/07/13	4.49	4.52	4.36	4.36	2128473	19876046.00
2012/07/16	4.36	4.42	3.90	3.90	3950952	33991392.00
2012/07/17	3.87	3.87	3.76	3.80	1627705	13205989.00
2012/07/18	3.80	3.90	3.77	3.87	1346251	10959957.00
2012/07/19	3.88	4.19	3.82	4.05	2579989	22107684.00
2012/07/20	4.01	4.08	3.96	3.96	1371069	11688457.00
2012/07/23	3.93	3.94	3.81	3.84	975193	8015913.00
2012/07/24	3.80	3.97	3.80	3.88	1083804	8955893.00
