002615 哈尔斯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/09/09	4.33	5.13	4.13	4.58	15448936	359702560.00
2011/09/13	4.33	4.37	4.05	4.05	7769527	166711248.00
2011/09/14	3.95	4.26	3.92	4.20	7169838	153736560.00
2011/09/15	4.12	4.38	4.05	4.13	7336818	161515232.00
2011/09/16	4.06	4.11	3.80	3.84	6613414	137507360.00
2011/09/19	3.77	3.78	3.50	3.51	3902661	75242080.00
2011/09/20	3.41	3.57	3.41	3.49	2858904	53528368.00
2011/09/21	3.50	3.68	3.44	3.67	3907063	75065576.00
2011/09/22	3.60	3.61	3.36	3.36	3870689	72650696.00
2011/09/23	3.22	3.33	3.20	3.30	2348213	41526676.00
2011/09/26	3.30	3.51	3.29	3.38	3486682	64228072.00
2011/09/27	3.42	3.49	3.29	3.41	1988118	36142900.00
2011/09/28	3.44	3.44	3.22	3.23	1853575	33253744.00
2011/09/29	3.18	3.19	3.00	3.02	1866601	31564704.00
2011/09/30	3.06	3.06	2.89	2.93	1147630	18732200.00
2011/10/10	2.96	3.02	2.91	2.96	1126366	18428914.00
2011/10/11	3.07	3.10	2.94	3.00	1850516	30888970.00
2011/10/12	2.97	3.18	2.85	3.16	2745359	46290276.00
2011/10/13	3.14	3.33	3.09	3.30	3190286	55677632.00
2011/10/14	3.24	3.30	3.20	3.28	2064580	36503572.00
2011/10/17	3.28	3.58	3.28	3.47	4352830	80330312.00
2011/10/18	3.42	3.49	3.22	3.22	3007893	55053464.00
2011/10/19	3.24	3.37	3.20	3.29	2014735	35753476.00
2011/10/20	3.24	3.27	3.04	3.08	1872930	31931162.00
2011/10/21	3.10	3.10	2.95	3.02	1036490	17270854.00
2011/10/24	3.02	3.11	2.81	3.09	1767946	28912570.00
2011/10/25	3.04	3.46	3.03	3.46	4450541	79810656.00
2011/10/26	3.41	3.54	3.37	3.44	4706836	87405576.00
2011/10/27	3.40	3.68	3.39	3.65	6181465	118460016.00
2011/10/28	3.70	3.89	3.56	3.83	5409255	106477384.00
2011/10/31	3.74	4.06	3.72	3.82	5135191	105020376.00
2011/11/01	3.73	3.90	3.65	3.90	4265403	85044480.00
2011/11/02	3.75	4.28	3.68	4.18	6741045	142987648.00
2011/11/03	4.13	4.36	4.02	4.19	5333851	116272600.00
2011/11/04	4.15	4.28	4.11	4.23	3296764	72094200.00
2011/11/07	4.23	4.42	4.16	4.27	3555510	79494280.00
2011/11/08	4.22	4.26	3.96	4.02	3411531	72762608.00
2011/11/09	4.03	4.06	3.78	4.02	4341729	89614128.00
2011/11/10	3.91	4.02	3.87	3.92	2726863	56418840.00
2011/11/11	3.89	3.98	3.81	3.96	2723114	56117136.00
2011/11/15	4.09	4.14	3.97	3.99	4332854	91989472.00
2011/11/16	4.00	4.00	3.58	3.72	2724785	54958380.00
2011/11/17	3.71	3.86	3.63	3.72	2135171	42440436.00
2011/11/18	3.78	4.16	3.74	4.16	6304956	131642456.00
2011/11/21	4.21	4.62	4.17	4.47	9391639	213650272.00
2011/11/22	4.42	4.57	4.25	4.57	6286227	144044512.00
2011/11/23	4.50	4.54	4.37	4.48	4365761	100516896.00
2011/11/24	4.40	4.50	4.22	4.46	5022157	113960496.00
2011/11/25	4.39	4.41	4.11	4.12	4513619	99942392.00
2011/11/28	4.15	4.16	3.90	3.99	3353834	70271152.00
2011/11/29	4.05	4.06	3.91	4.06	2885524	60499548.00
2011/11/30	4.04	4.49	4.01	4.27	7916806	175927728.00
2011/12/01	4.30	4.74	4.30	4.50	7705417	178917744.00
2011/12/02	4.39	4.41	3.98	3.98	4775877	103547648.00
2011/12/05	3.80	3.80	3.52	3.52	4022287	77295208.00
2011/12/06	3.46	3.66	3.35	3.59	3435330	64958024.00
2011/12/07	3.60	3.60	3.37	3.46	3026039	56395348.00
2011/12/08	3.42	3.58	3.30	3.50	3318819	61491612.00
2011/12/09	3.39	3.46	3.34	3.38	3227313	58803144.00
2011/12/12	3.38	3.43	3.33	3.40	2585483	47303600.00
2011/12/13	3.38	3.44	3.16	3.20	2656178	46934688.00
2011/12/14	3.16	3.24	3.08	3.20	2542255	43963896.00
2011/12/15	3.14	3.20	2.86	2.88	3790477	62937888.00
2011/12/16	2.90	3.04	2.87	3.04	2835803	46094612.00
2011/12/19	2.98	3.12	2.85	3.12	3195093	52484856.00
2011/12/20	3.08	3.17	2.97	2.98	3379519	56721656.00
2011/12/21	3.02	3.34	3.00	3.13	6216019	107815992.00
