002635 安洁科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/11/25	5.42	5.93	5.34	5.53	21672438	631087488.00
2011/11/28	5.42	5.57	5.26	5.47	8865206	248736000.00
2011/11/29	5.66	5.75	5.33	5.40	9826803	278846080.00
2011/11/30	5.33	5.33	4.78	5.08	8907003	236531072.00
2011/12/01	5.33	5.67	5.33	5.67	10916999	315590752.00
2011/12/02	5.86	6.08	5.58	5.91	12968050	385104256.00
2011/12/05	6.04	6.50	6.04	6.28	6594092	209975488.00
2011/12/06	6.35	6.52	6.26	6.47	4261805	137972688.00
2011/12/07	6.63	6.73	6.43	6.60	4208527	140260528.00
2011/12/08	6.49	6.86	6.42	6.75	3823322	128424360.00
2011/12/09	6.64	6.81	6.37	6.53	3514981	116721960.00
2011/12/12	6.48	6.68	6.44	6.54	2413513	79742376.00
2011/12/13	6.49	6.59	6.25	6.47	3333247	108028576.00
2011/12/14	6.42	6.62	6.02	6.12	4988003	157692704.00
2011/12/15	5.99	6.20	5.92	6.06	2847590	87811928.00
2011/12/16	5.97	6.40	5.86	6.35	3364719	104353776.00
2011/12/19	6.21	6.28	5.99	6.23	2779815	86670552.00
2011/12/20	6.21	6.75	6.17	6.33	4675321	153549952.00
2011/12/21	6.30	6.37	5.89	6.01	4255193	131393912.00
2011/12/22	5.93	5.98	5.66	5.85	2906724	86523360.00
2011/12/23	5.86	6.05	5.83	5.97	2185232	66566500.00
2011/12/26	5.88	5.96	5.77	5.86	1623035	48900508.00
2011/12/27	5.86	5.86	5.25	5.42	2102557	60400188.00
2011/12/28	5.31	5.52	5.29	5.41	1606354	45003288.00
2011/12/29	5.41	5.62	5.36	5.41	1015329	28808664.00
2011/12/30	5.51	6.04	5.40	5.86	2224829	65341384.00
2012/01/04	5.86	6.13	5.59	5.59	2000369	60556016.00
2012/01/05	5.64	5.70	4.95	5.31	2007874	55204556.00
2012/01/06	5.24	5.46	5.08	5.38	953335	25981200.00
2012/01/09	5.41	5.69	5.33	5.64	1508196	42995868.00
2012/01/10	5.56	5.82	5.56	5.65	2009282	58533036.00
2012/01/11	5.61	6.21	5.56	5.95	3438522	103974696.00
2012/01/12	5.86	5.91	5.78	5.82	1895831	56699456.00
2012/01/13	5.84	5.89	5.19	5.24	2374038	67042868.00
2012/01/16	5.01	5.06	4.73	4.77	1644702	42273760.00
2012/01/17	4.78	5.08	4.53	5.00	1459366	37054660.00
2012/01/19	4.55	4.77	4.43	4.71	2384857	58427116.00
2012/01/20	4.68	4.86	4.62	4.80	1909185	47515156.00
2012/01/30	4.92	5.17	4.84	4.98	1393171	36278516.00
2012/01/31	4.95	5.02	4.84	4.99	525433	13528773.00
2012/02/01	4.93	5.08	4.86	4.88	605486	15743917.00
2012/02/02	4.94	5.06	4.89	5.01	537074	14055073.00
2012/02/03	5.01	5.27	5.00	5.22	1094337	29451694.00
2012/02/06	5.23	5.44	5.15	5.33	1357858	37483800.00
2012/02/07	5.25	5.40	5.21	5.21	728064	20012820.00
2012/02/08	5.19	5.48	5.13	5.38	1121734	30603576.00
2012/02/09	5.37	5.62	5.33	5.49	1415575	40369284.00
2012/02/10	5.48	5.97	5.45	5.74	1629518	47360548.00
2012/02/13	5.66	6.19	5.61	5.95	2233423	67441112.00
2012/02/14	5.98	6.17	5.79	5.88	1370783	41306884.00
2012/02/15	5.86	6.13	5.78	5.92	1585607	48159580.00
2012/02/16	5.87	6.03	5.78	5.99	1496017	45077252.00
2012/02/17	5.85	5.91	5.67	5.73	1883776	55443108.00
2012/02/20	5.79	5.94	5.72	5.85	1950405	58484708.00
2012/02/21	5.85	5.93	5.75	5.89	1477645	44299364.00
2012/02/22	5.89	6.17	5.79	6.03	1773812	54122284.00
2012/02/23	5.96	6.15	5.77	5.86	2727288	82851256.00
2012/02/24	5.86	6.06	5.84	5.90	1838049	55641472.00
2012/02/27	5.93	6.57	5.80	6.57	9091282	287817216.00
2012/02/28	6.42	6.49	6.22	6.27	4495535	144432672.00
2012/02/29	6.26	6.48	6.03	6.04	3855668	122648736.00
2012/03/01	5.97	6.72	5.97	6.52	5667291	185431328.00
2012/03/02	6.51	6.64	6.42	6.60	3823238	126553120.00
2012/03/05	6.63	7.28	6.53	6.95	5115470	177372960.00
2012/03/06	6.86	7.17	6.77	6.97	2902973	101245432.00
2012/03/07	6.84	6.97	6.64	6.72	2213717	76029280.00
2012/03/08	6.79	6.79	6.58	6.70	2798261	94021568.00
2012/03/09	6.75	6.92	6.66	6.85	2371865	81260424.00
2012/03/12	6.89	6.94	6.63	6.80	1568163	53072960.00
2012/03/13	6.75	6.95	6.75	6.85	3178829	109763688.00
2012/03/14	6.86	6.95	6.08	6.29	3395191	112900896.00
2012/03/15	6.23	6.44	6.16	6.28	2310996	74025240.00
2012/03/16	6.29	6.49	6.19	6.39	1564945	50450780.00
2012/03/19	6.41	6.57	6.37	6.47	1424470	46488476.00
2012/03/20	6.42	6.42	6.02	6.17	2108395	66287512.00
2012/03/21	6.17	6.27	6.01	6.18	1319433	41177244.00
2012/03/22	6.17	6.21	6.06	6.06	1040232	32274642.00
2012/03/23	6.06	6.06	5.85	5.85	1183207	35753676.00
2012/03/26	5.77	6.13	5.77	6.07	1314966	40238292.00
2012/03/27	6.07	6.41	6.06	6.35	1935671	62035920.00
2012/03/28	6.47	6.70	6.36	6.37	3755250	124189752.00
2012/03/29	6.31	6.57	5.88	6.52	1535036	48588628.00
2012/03/30	6.57	6.93	6.42	6.43	2515825	84618560.00
2012/04/05	6.28	6.62	6.04	6.61	2126982	69321096.00
2012/04/06	6.61	6.68	6.43	6.52	2190783	72528560.00
2012/04/09	6.57	6.80	6.57	6.64	3053277	103201568.00
2012/04/10	6.63	6.64	6.19	6.59	1860783	60630072.00
2012/04/11	6.59	6.93	6.54	6.82	2034727	69439536.00
2012/04/12	6.79	6.90	6.64	6.83	1784626	60881036.00
2012/04/13	6.77	7.17	6.77	6.94	2539869	89371936.00
2012/04/16	6.90	7.08	6.83	6.99	1198657	41956348.00
2012/04/17	6.93	6.97	6.71	6.75	1463169	49975876.00
2012/04/18	6.73	6.91	6.64	6.85	1522643	52368144.00
2012/04/19	6.89	7.04	6.89	6.97	1468515	51296488.00
2012/04/20	6.97	7.02	6.73	6.83	1765253	60757148.00
2012/04/23	6.76	6.82	6.51	6.57	1481138	49685900.00
2012/04/24	6.53	6.64	6.19	6.44	1458285	47173864.00
2012/04/25	6.45	6.53	6.35	6.45	1134008	36986044.00
2012/04/26	6.67	6.85	6.44	6.50	1011617	33724840.00
2012/04/27	6.36	6.62	6.32	6.57	748187	24711968.00
2012/05/02	6.65	6.81	6.53	6.75	1019849	34268064.00
2012/05/03	6.75	6.89	6.67	6.87	1199288	41187768.00
2012/05/04	6.86	7.03	6.86	6.95	1433801	50163080.00
2012/05/07	7.06	7.73	6.99	7.73	3994631	149167040.00
2012/05/09	7.65	7.72	7.39	7.54	2884976	108010848.00
2012/05/10	7.57	7.64	7.40	7.57	1650289	61888816.00
2012/05/11	7.59	7.93	7.46	7.46	2232565	85259672.00
2012/05/14	7.50	7.59	7.19	7.40	1386545	51299020.00
2012/05/15	7.31	7.58	7.23	7.47	1289071	47453120.00
2012/05/16	7.42	7.59	7.34	7.34	886429	32906176.00
2012/05/17	7.31	7.53	7.09	7.52	1204545	44105936.00
2012/05/18	7.39	7.50	7.34	7.43	839586	31105446.00
2012/05/21	7.42	7.82	7.31	7.66	1831973	69202320.00
2012/05/22	7.75	7.94	7.62	7.74	1441026	55602764.00
2012/05/23	7.64	7.72	7.53	7.63	1029044	39039084.00
2012/05/24	7.53	7.62	7.49	7.51	880672	33051358.00
2012/05/25	7.44	7.61	7.31	7.32	589083	21819208.00
2012/05/29	7.41	7.77	7.39	7.61	1479761	56132272.00
2012/05/30	7.61	7.81	7.53	7.75	1394893	53267572.00
2012/05/31	7.76	8.15	7.65	7.95	2560888	99922960.00
2012/06/01	7.95	8.21	7.79	7.84	1699645	66442972.00
2012/06/04	7.68	8.18	7.37	8.01	2789277	108637736.00
2012/06/05	7.95	8.10	7.78	8.01	1103727	43260192.00
2012/06/06	8.05	8.27	7.91	7.99	1455905	58064460.00
2012/06/07	8.11	8.13	7.86	7.93	1152478	45305416.00
2012/06/08	7.98	8.07	7.89	7.90	783178	30695912.00
2012/06/11	7.83	8.21	7.77	8.13	1626201	63989208.00
2012/06/12	8.11	8.66	8.06	8.49	2156524	88850656.00
2012/06/13	8.53	8.72	8.38	8.64	1349274	56652700.00
2012/06/14	8.64	8.86	8.49	8.51	1041186	44002888.00
2012/06/15	8.55	8.65	8.22	8.51	1061156	43608468.00
2012/06/18	8.50	8.69	8.39	8.56	741918	30995712.00
2012/06/19	8.56	8.67	8.35	8.35	949178	39516436.00
2012/06/20	8.39	8.64	8.37	8.41	817179	33991564.00
2012/06/21	8.47	8.82	8.26	8.82	1801437	75338696.00
2012/06/25	8.77	9.04	8.62	8.82	1669325	72207816.00
2012/06/26	8.77	8.85	8.41	8.77	1203051	50612284.00
2012/06/27	8.77	9.57	8.64	9.26	2934152	130827904.00
2012/06/28	9.30	9.90	9.14	9.60	1992575	91859520.00
2012/06/29	9.59	10.03	9.32	9.61	2248408	105396584.00
2012/07/02	9.50	9.97	9.39	9.93	1602205	75583792.00
2012/07/03	9.87	10.22	9.81	10.15	1613281	78325600.00
2012/07/04	10.15	10.19	9.41	9.75	2188892	104143872.00
2012/07/05	9.74	9.92	9.53	9.89	1303280	61417688.00
2012/07/06	9.93	10.15	9.57	9.88	1983354	95109408.00
2012/07/09	9.77	9.97	9.40	9.42	1842922	86560512.00
2012/07/10	9.29	9.38	8.94	9.31	2575834	115098864.00
2012/07/11	9.59	10.27	9.50	10.17	3137883	149332560.00
2012/07/12	10.15	10.99	10.11	10.43	2820738	142803552.00
2012/07/13	10.38	10.59	10.22	10.53	1198985	60079568.00
2012/07/16	10.51	10.70	9.96	10.12	2005115	98911280.00
2012/07/17	9.93	10.26	9.73	10.11	1314866	63503444.00
2012/07/18	10.11	10.15	9.69	9.99	1169671	55993508.00
2012/07/19	9.99	10.87	9.82	10.69	1975961	99073080.00
2012/07/20	10.45	10.65	10.26	10.41	1304988	65745964.00
2012/07/23	10.22	10.34	10.04	10.16	890665	43812464.00
2012/07/24	10.08	10.41	9.93	10.06	1483243	72505024.00
2012/07/25	9.98	10.33	9.71	10.28	1939144	94253480.00
2012/07/26	10.17	10.41	9.99	9.99	1614682	79479664.00
2012/07/27	9.96	10.04	9.37	9.61	2076795	97498648.00
2012/07/30	9.66	9.86	9.35	9.35	1095305	50901364.00
2012/07/31	9.33	9.39	9.02	9.15	1909833	85730352.00
2012/08/01	9.16	9.66	9.16	9.38	1441657	65769264.00
2012/08/02	9.38	9.89	9.24	9.75	1703635	79906872.00
2012/08/03	9.70	10.22	9.60	10.19	1610006	77921832.00
2012/08/06	10.14	10.79	10.06	10.49	2029736	102732608.00
2012/08/07	10.43	11.08	10.35	10.92	1539527	79481336.00
2012/08/08	10.93	11.03	10.50	10.67	1069407	55367476.00
2012/08/09	10.69	10.97	10.62	10.90	726861	37921836.00
2012/08/10	10.82	11.57	10.82	11.23	1474694	79200552.00
2012/08/13	11.21	11.46	11.04	11.13	719672	38678004.00
2012/08/14	11.13	11.15	10.59	11.06	1096815	57200500.00
2012/08/15	11.06	11.59	10.94	11.52	999945	54681536.00
2012/08/16	11.54	11.59	11.22	11.28	745457	40631204.00
2012/08/17	11.22	11.28	10.63	10.82	1142163	59832368.00
2012/08/20	10.75	11.02	10.59	10.89	1184875	61622936.00
2012/08/21	10.93	12.05	10.93	12.05	2245539	126471840.00
2012/08/22	11.59	11.93	11.44	11.53	2710022	151407040.00
2012/08/23	11.54	11.66	10.93	11.52	1868098	101130272.00
2012/08/24	11.29	11.47	11.04	11.11	851762	45792928.00
2012/08/27	11.03	11.61	10.97	11.25	1861680	101376616.00
2012/08/28	11.28	12.06	11.28	11.65	2032714	113717392.00
2012/08/29	11.61	12.22	11.46	11.86	1942863	109890264.00
2012/08/30	11.75	12.01	10.97	11.39	1679085	92096496.00
2012/08/31	11.39	11.59	11.14	11.51	872252	47572880.00
2012/09/03	11.46	12.09	11.37	12.04	1594836	90385512.00
2012/09/04	12.08	12.46	11.93	12.02	1576108	91583560.00
2012/09/05	11.91	12.54	11.91	12.52	2083535	122901664.00
2012/09/06	12.48	12.66	12.28	12.47	1322770	78706344.00
2012/09/07	12.51	12.59	12.04	12.27	2755750	161621280.00
2012/09/10	12.27	12.48	12.02	12.40	1365706	79782600.00
2012/09/11	12.37	12.37	11.75	11.96	2259132	129039968.00
2012/09/12	11.96	12.04	11.68	11.93	1821610	102550800.00
2012/09/13	11.92	11.92	11.55	11.65	1586086	88596600.00
2012/09/14	11.71	11.80	11.23	11.43	1667655	91365496.00
2012/09/17	11.53	11.81	11.37	11.37	1546098	86092864.00
2012/09/18	11.37	11.77	11.37	11.76	1519819	84972008.00
2012/09/19	11.79	11.82	11.62	11.63	763948	42681256.00
2012/09/20	11.59	11.59	11.04	11.28	1825837	98378072.00
2012/09/21	11.26	11.43	10.95	10.99	694618	37068576.00
2012/09/24	10.77	11.01	10.02	10.93	1024566	52211624.00
2012/09/25	10.86	10.88	10.39	10.47	1321538	67642280.00
2012/09/26	10.35	10.47	10.15	10.37	1443017	71991584.00
2012/09/27	10.37	10.83	10.37	10.68	792204	40464336.00
2012/09/28	10.59	10.94	10.59	10.78	627254	32565486.00
2012/10/08	10.79	10.81	10.42	10.77	854233	43670528.00
2012/10/09	10.71	11.43	10.71	11.27	1275717	68350552.00
2012/10/10	11.17	11.59	11.11	11.48	839098	45720376.00
2012/10/11	11.48	11.53	11.19	11.19	589153	31889014.00
2012/10/12	11.18	11.31	11.05	11.25	336191	18070046.00
2012/10/15	11.16	11.32	10.79	11.04	516775	27285782.00
2012/10/16	11.04	11.04	10.59	10.79	621692	32261056.00
2012/10/17	10.82	10.99	10.79	10.99	405827	21249766.00
2012/10/18	11.03	11.11	10.87	10.98	654822	34640608.00
2012/10/19	10.95	11.53	10.95	11.48	1187957	64657688.00
2012/10/22	11.47	11.62	11.32	11.48	744687	41007064.00
2012/10/23	11.50	11.57	10.93	10.99	1270297	68163448.00
2012/10/24	10.82	11.15	10.53	10.64	1381184	71360120.00
2012/10/25	10.58	10.58	9.80	9.81	2687583	130837984.00
2012/10/26	9.79	9.98	9.68	9.90	2299544	109932784.00
2012/10/29	9.90	10.23	9.71	9.97	957615	46276036.00
2012/10/30	9.93	10.11	9.90	10.10	854289	41420452.00
2012/10/31	10.04	10.28	9.97	9.99	542422	26443382.00
2012/11/01	10.02	10.15	9.86	10.05	1034260	49943020.00
2012/11/02	10.06	10.10	9.87	9.93	1218179	58477440.00
2012/11/05	9.84	9.84	9.24	9.46	2199277	100450136.00
2012/11/06	9.41	9.46	9.13	9.32	1337171	60082732.00
2012/11/07	9.33	9.41	9.22	9.41	841703	38021884.00
2012/11/08	9.33	9.45	8.95	8.97	1293694	58193512.00
2012/11/09	8.91	9.04	8.77	8.82	777807	33794664.00
2012/11/12	8.90	9.11	8.81	9.10	1027745	44954360.00
2012/11/13	9.11	9.11	8.77	8.82	661263	28684874.00
2012/11/14	8.82	8.95	8.63	8.90	567770	24282182.00
2012/11/15	8.84	9.07	8.71	9.01	880274	38557828.00
2012/11/16	9.01	9.04	8.77	8.82	315555	13666545.00
2012/11/19	8.79	8.87	8.27	8.68	665612	27625830.00
2012/11/20	8.82	8.98	8.68	8.89	767790	33316420.00
2012/11/21	8.89	9.04	8.73	8.93	979295	42537612.00
2012/11/22	8.82	8.84	8.61	8.79	809008	34268320.00
2012/11/23	8.79	8.81	8.35	8.35	699589	29027414.00
2012/11/26	8.19	8.33	8.11	8.19	421311	16897528.00
2012/11/27	8.19	8.19	7.77	8.02	1217038	48167948.00
2012/11/28	8.02	8.04	7.62	7.68	1226462	47266968.00
2012/11/29	7.75	7.77	7.39	7.41	1721149	64145796.00
2012/11/30	7.46	7.66	7.32	7.59	1560555	57676772.00
2012/12/03	7.53	7.57	7.15	7.19	923685	33746172.00
2012/12/04	7.15	7.15	6.87	7.08	1640841	57016988.00
2012/12/05	7.09	7.87	6.99	7.87	3043883	114225704.00
2012/12/06	7.87	8.21	7.78	8.17	3281260	130391168.00
2012/12/07	8.15	8.18	7.99	8.17	1309065	52008032.00
2012/12/10	8.15	8.52	8.06	8.41	1404632	57248300.00
2012/12/11	8.35	8.51	8.19	8.48	796057	32643838.00
2012/12/12	8.48	8.48	8.27	8.37	829557	33964668.00
2012/12/13	8.37	8.37	8.07	8.12	382575	15306513.00
2012/12/14	8.12	8.75	8.11	8.33	1645845	68654392.00
2012/12/17	8.19	8.22	7.42	7.42	3352951	124396032.00
2012/12/18	7.16	7.43	7.16	7.37	2210752	79894480.00
2012/12/19	7.26	7.73	7.26	7.66	1817654	68405760.00
2012/12/20	7.65	7.67	7.39	7.61	1858373	69459904.00
2012/12/21	7.61	8.44	7.61	8.44	2634122	104433568.00
2012/12/24	8.66	9.04	8.48	8.60	4470863	190129968.00
2012/12/25	8.60	8.99	8.50	8.98	4896234	211185808.00
2012/12/26	8.79	9.58	8.66	9.42	2952163	132797720.00
2012/12/27	9.41	9.81	9.26	9.53	2932211	136229744.00
2012/12/28	9.45	9.71	9.17	9.56	1896911	86769080.00
2012/12/31	9.49	9.73	9.33	9.70	2307150	106591544.00
2013/01/04	9.73	9.82	9.05	9.38	2188041	99138400.00
2013/01/07	9.19	9.35	9.02	9.29	1732336	77123608.00
2013/01/08	9.26	9.64	9.08	9.55	2564193	116852656.00
2013/01/09	9.48	9.52	9.20	9.36	2404564	109521728.00
2013/01/10	9.35	9.74	9.29	9.71	2002804	92440288.00
2013/01/11	9.75	9.82	9.31	9.35	1929161	89913480.00
2013/01/14	9.35	10.12	9.28	10.02	2426236	114701696.00
2013/01/15	9.84	10.37	9.82	10.28	2535621	123251808.00
2013/01/16	10.15	10.19	9.80	9.91	1792844	86263968.00
2013/01/17	10.09	10.48	10.03	10.09	1743061	85853208.00
2013/01/18	10.04	10.25	9.90	10.02	1170036	56720744.00
2013/01/21	9.91	10.25	9.85	10.12	1133643	55287188.00
2013/01/22	10.11	10.35	9.71	9.93	1452803	70396320.00
2013/01/23	9.82	9.85	9.30	9.67	1794033	83249112.00
2013/01/24	9.52	9.55	8.77	8.93	3149349	140417696.00
2013/01/25	8.82	8.82	8.60	8.71	1687583	71787456.00
2013/01/28	8.73	8.92	8.70	8.92	1359874	58533596.00
2013/01/29	9.01	9.51	8.85	9.48	1961062	88019848.00
2013/01/30	9.39	9.68	9.32	9.46	1321402	60926008.00
2013/01/31	9.46	9.65	9.35	9.57	1477588	68294568.00
2013/02/01	9.57	9.65	9.44	9.45	790061	36474448.00
2013/02/04	9.48	10.37	8.93	10.07	2484688	113872432.00
2013/02/05	9.71	10.03	9.61	9.85	1718691	81496128.00
2013/02/06	9.84	10.04	9.84	9.85	784183	37644812.00
2013/02/07	9.85	10.02	9.79	9.94	941761	45364232.00
2013/02/08	9.95	10.32	9.95	10.14	1246955	61503076.00
2013/02/18	10.15	10.93	10.07	10.64	1914386	96112624.00
2013/02/19	10.71	10.90	10.26	10.71	1638199	83850360.00
2013/02/20	10.75	10.95	10.43	10.85	1601946	83392808.00
2013/02/21	10.93	11.07	10.60	11.04	1635033	85774656.00
2013/02/22	10.96	11.15	10.77	10.97	826646	43450396.00
2013/02/25	10.93	11.26	10.83	11.10	837663	44460160.00
2013/02/26	11.03	11.66	11.01	11.56	1458785	80234456.00
2013/02/27	11.48	12.01	11.29	11.33	1538812	86586056.00
2013/02/28	11.27	11.27	10.65	11.03	1494590	79000928.00
2013/03/01	11.03	11.93	11.02	11.82	1423375	78981432.00
2013/03/04	11.75	12.04	11.38	11.59	1051150	58891128.00
2013/03/05	11.26	12.03	11.24	11.92	1478925	83445840.00
2013/03/06	11.93	12.43	11.77	12.37	1018894	59653860.00
2013/03/07	12.37	12.44	11.95	12.11	954752	55507136.00
2013/03/08	12.10	12.42	11.53	11.54	709586	40381256.00
2013/03/11	11.48	11.99	11.17	11.36	847687	46683060.00
2013/03/12	11.31	11.65	10.87	11.17	669213	35893352.00
2013/03/13	11.04	12.15	10.93	11.65	719930	39512120.00
2013/03/14	11.57	12.35	11.57	12.32	906815	52464644.00
2013/03/15	12.32	12.74	11.95	12.51	989146	58719188.00
2013/03/18	12.49	13.26	12.38	13.00	1168363	72052312.00
2013/03/19	13.02	13.33	12.31	12.89	1209665	74187792.00
2013/03/20	13.02	13.30	12.71	13.04	664048	41093616.00
2013/03/21	13.06	14.03	12.85	14.02	1127943	71866392.00
2013/03/22	13.93	14.55	13.68	14.02	800183	53115268.00
2013/03/25	14.05	14.27	13.59	14.04	644052	42159000.00
2013/03/26	14.04	14.32	13.70	14.15	534956	35517488.00
2013/03/27	14.15	14.97	14.15	14.81	736394	51075000.00
2013/03/28	14.67	15.14	14.37	14.77	613331	42918148.00
2013/03/29	14.59	16.08	14.51	15.80	1042417	74371024.00
2013/04/01	15.63	15.79	15.24	15.28	685224	49929480.00
2013/04/02	15.13	15.70	14.16	14.59	1161456	81391080.00
2013/04/03	14.35	14.79	13.90	14.49	821468	55470664.00
2013/04/08	14.15	15.48	13.95	14.91	942863	66312636.00
2013/04/09	14.92	15.26	14.78	14.96	865420	61209608.00
2013/04/10	14.80	15.11	13.99	14.68	747342	51163956.00
2013/04/11	14.60	14.96	14.13	14.61	700316	48112096.00
2013/04/12	14.55	15.12	14.33	14.40	719738	50214396.00
2013/04/15	14.41	14.77	13.97	14.62	860647	58491512.00
2013/04/16	14.39	14.78	14.26	14.63	453673	31319148.00
