002640 跨境通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/12/08	2.17	2.34	2.17	2.25	11805035	339874752.00
2011/12/09	2.21	2.27	2.15	2.19	5755612	163556304.00
2011/12/12	2.15	2.18	2.11	2.16	3727350	102706400.00
2011/12/13	2.14	2.16	2.03	2.05	3353348	90026976.00
2011/12/14	2.02	2.04	1.93	1.93	2984871	76666688.00
2011/12/15	1.88	1.97	1.88	1.91	2291966	57330192.00
2011/12/16	1.91	1.93	1.81	1.91	2733965	66954616.00
2011/12/19	1.86	1.89	1.78	1.87	2128289	50778164.00
2011/12/20	1.84	1.90	1.84	1.89	2247661	54832060.00
2011/12/21	1.89	1.93	1.86	1.91	3233048	80081072.00
2011/12/22	1.88	1.91	1.76	1.89	3320256	79662032.00
2011/12/23	1.86	1.89	1.80	1.82	2584045	62232860.00
2011/12/26	1.80	1.85	1.76	1.76	1471796	34820408.00
2011/12/27	1.74	1.74	1.57	1.57	2502704	54222636.00
2011/12/28	1.52	1.57	1.51	1.56	1477345	30140878.00
2011/12/29	1.54	1.58	1.53	1.55	852301	17566708.00
2011/12/30	1.55	1.60	1.55	1.57	930769	19401656.00
2012/01/04	1.59	1.59	1.44	1.44	1512274	30457268.00
2012/01/05	1.45	1.45	1.36	1.37	1307986	24702726.00
2012/01/06	1.43	1.48	1.42	1.46	2369457	45840300.00
2012/01/09	1.44	1.52	1.41	1.50	2225922	43694160.00
2012/01/10	1.48	1.56	1.47	1.55	2197895	44497248.00
2012/01/11	1.54	1.57	1.52	1.54	1602561	32743420.00
2012/01/12	1.53	1.56	1.49	1.50	1408903	28507406.00
2012/01/16	1.39	1.40	1.33	1.34	1683743	30921158.00
2012/01/17	1.33	1.44	1.32	1.42	1409316	26127708.00
2012/01/18	1.42	1.44	1.33	1.33	1338291	24928358.00
2012/01/19	1.33	1.39	1.32	1.37	1023740	18739802.00
2012/01/20	1.38	1.44	1.37	1.43	1195086	22625136.00
2012/01/30	1.43	1.48	1.41	1.45	981186	19019414.00
2012/01/31	1.45	1.46	1.43	1.45	749263	14440874.00
2012/02/01	1.45	1.49	1.44	1.46	861494	16843724.00
2012/02/02	1.47	1.50	1.45	1.50	668151	13101559.00
2012/02/03	1.49	1.52	1.48	1.52	789491	15833245.00
2012/02/06	1.52	1.53	1.49	1.53	987180	19857352.00
2012/02/07	1.51	1.56	1.50	1.51	1183329	23983134.00
2012/02/08	1.52	1.56	1.49	1.56	831909	16900848.00
2012/02/09	1.55	1.64	1.55	1.62	1597674	33777504.00
2012/02/10	1.62	1.70	1.61	1.65	1045501	22750874.00
2012/02/13	1.63	1.73	1.61	1.69	1424375	31433664.00
2012/02/14	1.69	1.69	1.65	1.67	633866	13927866.00
2012/02/15	1.67	1.69	1.64	1.68	647560	14271628.00
2012/02/16	1.67	1.70	1.65	1.66	679035	14963301.00
2012/02/17	1.65	1.69	1.64	1.67	479451	10489186.00
2012/02/20	1.69	1.69	1.65	1.67	618293	13593305.00
2012/02/21	1.66	1.77	1.65	1.76	1426313	32199686.00
2012/02/22	1.75	1.79	1.74	1.77	917535	21246392.00
2012/02/23	1.79	1.79	1.73	1.75	697740	16082966.00
2012/02/24	1.75	1.78	1.75	1.78	804204	18638354.00
2012/02/27	1.78	1.82	1.77	1.78	1071628	25179026.00
2012/02/28	1.77	1.86	1.77	1.83	1120361	26540638.00
2012/02/29	1.88	1.93	1.85	1.86	2214670	54602436.00
2012/03/01	1.86	1.89	1.81	1.89	921540	22138008.00
2012/03/02	1.89	1.91	1.87	1.90	950944	23438992.00
2012/03/05	1.90	1.94	1.88	1.92	1131049	28063654.00
2012/03/06	1.91	1.92	1.87	1.89	614822	15149008.00
2012/03/07	1.85	1.89	1.84	1.85	888947	21607524.00
2012/03/08	1.87	1.88	1.85	1.87	743040	18146134.00
2012/03/09	1.88	1.95	1.86	1.94	1278658	31762360.00
2012/03/12	1.94	1.98	1.92	1.96	665865	16958868.00
2012/03/13	1.95	1.99	1.93	1.97	666923	16970836.00
2012/03/14	1.97	2.03	1.88	1.92	1915181	48739496.00
2012/03/15	1.91	1.94	1.86	1.90	1232635	30538732.00
2012/03/16	1.89	1.93	1.88	1.93	813289	20229086.00
2012/03/19	1.93	1.98	1.91	1.97	686800	17427230.00
2012/03/20	1.97	1.97	1.86	1.88	1097043	27103854.00
2012/03/21	1.89	1.89	1.81	1.84	1055175	25290778.00
2012/03/22	1.84	1.85	1.81	1.84	357535	8580160.00
2012/03/23	1.84	1.85	1.81	1.83	373890	8915907.00
2012/03/26	1.83	1.83	1.75	1.83	342878	8103066.50
2012/03/27	1.83	1.86	1.82	1.85	474377	11433725.00
2012/03/28	1.81	1.84	1.71	1.73	759077	17573544.00
2012/03/29	1.71	1.77	1.70	1.75	733192	16711865.00
2012/03/30	1.75	1.76	1.72	1.75	362099	8268529.00
2012/04/05	1.74	1.81	1.73	1.79	379768	8853104.00
2012/04/06	1.79	1.86	1.79	1.84	667736	15984631.00
2012/04/09	1.84	1.88	1.83	1.85	485190	11789830.00
2012/04/10	1.85	1.85	1.77	1.83	757348	17940166.00
2012/04/11	1.81	1.85	1.81	1.85	478547	11464373.00
2012/04/12	1.88	1.90	1.84	1.88	550915	13419704.00
2012/04/13	1.88	1.90	1.86	1.89	696526	17134742.00
2012/04/16	1.89	1.94	1.89	1.90	1120174	27942906.00
2012/04/17	1.93	1.94	1.80	1.83	2078124	49864432.00
2012/04/18	1.82	1.83	1.78	1.83	1220824	28818398.00
2012/04/19	1.81	1.84	1.80	1.82	547925	13058612.00
2012/04/20	1.83	1.84	1.81	1.82	590496	14090036.00
2012/04/23	1.83	1.83	1.75	1.80	852938	19917920.00
2012/04/24	1.77	1.80	1.69	1.75	616823	14110402.00
2012/04/25	1.74	1.77	1.71	1.75	527928	12087985.00
2012/04/26	1.74	1.79	1.74	1.79	719052	16689253.00
2012/04/27	1.77	1.80	1.77	1.79	456490	10692558.00
2012/05/02	1.80	1.81	1.77	1.81	696703	16373724.00
