002651 利君股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/01/06	6.46	7.39	6.44	7.09	9890392	202776272.00
2012/01/09	7.12	7.93	7.07	7.93	7812896	170211824.00
2012/01/10	7.78	8.38	7.67	8.37	7952860	184536128.00
2012/01/11	8.29	8.40	8.05	8.11	5161498	121416776.00
2012/01/12	8.04	8.13	7.79	7.88	2989114	68667784.00
2012/01/13	7.86	8.14	7.54	7.54	3461071	78790808.00
2012/01/16	7.38	7.38	6.94	6.96	2611125	54137532.00
2012/01/17	6.86	7.47	6.78	7.36	2373176	49499188.00
2012/01/18	7.26	7.39	6.79	6.83	2074056	43171328.00
2012/01/19	6.73	6.94	6.70	6.85	1291191	26054276.00
2012/01/20	6.90	7.24	6.87	7.11	1363460	28430550.00
2012/01/30	7.14	7.33	7.03	7.09	1255419	26421710.00
2012/01/31	6.97	7.25	6.96	7.24	987461	20610200.00
2012/02/01	7.26	7.33	7.13	7.15	1119444	23611572.00
2012/02/02	7.17	7.32	7.14	7.31	1094798	23180292.00
2012/02/03	7.25	7.37	7.21	7.34	1368704	29141994.00
2012/02/06	7.34	7.36	7.20	7.26	939176	19903834.00
2012/02/07	7.25	7.25	6.99	7.02	1036664	21473382.00
2012/02/09	7.26	7.42	7.21	7.37	2275095	48539840.00
2012/02/10	7.37	7.41	7.28	7.33	1521957	32596848.00
2012/02/13	7.32	7.50	7.22	7.47	1669013	36046728.00
2012/02/14	7.34	7.42	7.19	7.27	2626013	55633492.00
2012/02/15	7.23	7.34	7.18	7.31	2051557	43602232.00
2012/02/16	7.30	7.34	7.09	7.14	1527097	32127174.00
2012/02/17	7.14	7.21	7.07	7.14	1039335	21747668.00
2012/02/20	7.27	7.29	7.11	7.15	1784846	37390368.00
2012/02/21	7.13	7.17	6.98	7.16	1703960	35353112.00
2012/02/22	7.17	7.44	7.13	7.42	3044081	65072300.00
2012/02/23	7.46	7.54	7.33	7.53	3387588	73544944.00
2012/02/24	7.45	7.76	7.45	7.72	3549338	78456360.00
2012/02/27	7.80	7.93	7.66	7.67	3347131	75241936.00
2012/02/28	7.59	8.33	7.55	8.22	5528605	126645328.00
2012/02/29	8.05	8.21	7.78	7.79	2997156	68666360.00
2012/03/01	7.79	7.92	7.61	7.91	1878456	42422316.00
2012/03/02	7.85	8.14	7.83	8.01	2335306	53923104.00
2012/03/05	8.01	8.30	7.97	8.21	3141212	73411256.00
2012/03/06	8.17	8.17	7.85	7.96	2247084	51604924.00
2012/03/07	7.86	8.07	7.78	7.91	1740256	39885948.00
2012/03/08	7.92	8.03	7.88	7.93	1267773	29049934.00
2012/03/09	7.99	8.17	7.86	8.17	2209819	51081816.00
2012/03/12	8.14	8.33	7.97	8.12	2108191	49117780.00
2012/03/13	8.08	8.80	8.03	8.66	6276779	152896880.00
2012/03/14	8.59	8.63	7.90	7.98	5089858	121668464.00
2012/03/15	7.99	8.06	7.51	7.82	2777493	62462728.00
2012/03/16	7.82	7.92	7.65	7.88	1748519	39476732.00
2012/03/19	7.89	7.98	7.78	7.96	1224771	27924462.00
2012/03/20	7.90	7.90	7.56	7.57	1896838	42108824.00
2012/03/21	7.62	7.65	7.41	7.47	1201974	26210562.00
2012/03/22	7.48	7.61	7.42	7.50	667044	14560234.00
2012/03/23	7.50	7.58	7.38	7.40	837664	18164152.00
2012/03/26	7.37	7.45	7.27	7.33	646046	13871637.00
2012/03/27	7.39	7.44	7.31	7.38	519890	11189766.00
2012/03/28	7.32	7.38	6.86	6.88	1021058	21180606.00
2012/03/29	6.87	6.97	6.71	6.77	808915	16297047.00
2012/03/30	6.70	6.77	6.16	6.20	1957241	37308416.00
2012/04/05	6.20	6.43	6.18	6.39	913570	17258032.00
2012/04/06	6.38	6.69	6.34	6.57	1131288	21977012.00
2012/04/10	6.43	6.43	5.96	6.30	2268550	41655112.00
2012/04/11	6.18	6.28	6.04	6.28	1385829	25618606.00
2012/04/12	6.29	6.36	6.14	6.35	2133145	39874896.00
2012/04/13	6.35	6.41	6.31	6.39	1913595	36259252.00
2012/04/16	6.33	6.40	6.27	6.34	986627	18656598.00
2012/04/17	6.33	6.37	6.15	6.16	1259720	23435482.00
2012/04/18	6.16	6.35	6.15	6.33	1572412	29394358.00
2012/04/19	6.33	6.57	6.31	6.52	2324736	44651808.00
2012/04/20	6.46	6.54	6.41	6.51	1534910	29529180.00
2012/04/23	6.46	6.50	6.16	6.21	1657760	31218814.00
2012/04/24	6.00	6.18	5.78	5.87	2154703	38491788.00
2012/04/25	5.85	5.87	5.66	5.80	1335151	23252808.00
2012/04/26	5.78	5.88	5.77	5.83	1072762	18886090.00
2012/04/27	5.83	5.83	5.67	5.79	934385	16226941.00
2012/05/02	5.87	5.97	5.81	5.96	1305799	23267292.00
2012/05/03	5.92	6.05	5.91	6.01	1023651	18459308.00
2012/05/04	6.01	6.06	5.95	6.05	892676	16145618.00
2012/05/07	6.14	6.14	6.03	6.11	911373	16591873.00
2012/05/08	6.11	6.11	5.99	6.05	912843	16574674.00
2012/05/09	6.03	6.03	5.86	5.86	916382	16325871.00
2012/05/10	5.79	5.93	5.79	5.88	577132	10245528.00
2012/05/11	5.88	6.29	5.88	6.22	2833471	52345216.00
2012/05/14	6.23	6.29	6.10	6.14	1686033	31280168.00
2012/05/15	6.06	6.12	5.87	6.01	1050937	18906202.00
2012/05/17	5.92	5.99	5.79	5.94	1167534	20796654.00
2012/05/18	5.91	6.01	5.86	5.90	805589	14369982.00
2012/05/21	5.93	5.98	5.84	5.86	637408	11309672.00
2012/05/22	5.88	5.93	5.87	5.92	905998	16112830.00
2012/05/23	5.92	6.06	5.89	6.01	1159518	20873312.00
2012/05/24	6.00	6.14	5.99	6.04	1462824	26634260.00
2012/05/25	6.03	6.05	5.77	5.78	1025732	18162688.00
2012/05/28	5.79	5.97	5.58	5.95	1073801	18688648.00
2012/05/29	5.92	6.10	5.87	6.05	1412300	25619514.00
2012/05/30	6.05	6.09	5.97	6.09	1044172	18915258.00
2012/05/31	6.06	6.13	6.03	6.10	1172700	21454348.00
2012/06/01	6.11	6.23	6.10	6.23	1733505	32046184.00
2012/06/04	6.16	6.16	5.87	5.91	1219353	22135034.00
2012/06/05	5.96	5.96	5.85	5.89	569616	10140741.00
2012/06/06	5.90	5.95	5.82	5.87	512893	9098071.00
2012/06/07	6.00	6.00	5.72	5.73	893649	15444721.00
2012/06/08	5.83	5.83	5.51	5.53	1175447	19668050.00
2012/06/11	5.54	5.66	5.50	5.62	554273	9251492.00
2012/06/12	5.62	5.62	5.46	5.47	685633	11302366.00
2012/06/13	5.46	5.60	5.46	5.59	560880	9297445.00
2012/06/14	5.59	5.69	5.56	5.57	612239	10272261.00
2012/06/15	5.56	5.65	5.53	5.61	568325	9491270.00
2012/06/18	5.61	5.77	5.61	5.71	719430	12223097.00
2012/06/19	5.73	5.75	5.64	5.71	517853	8766000.00
2012/06/20	5.75	5.77	5.68	5.69	468412	7956164.50
2012/06/21	5.69	5.69	5.52	5.56	631560	10502506.00
2012/06/25	5.52	5.52	5.25	5.29	720748	11682279.00
2012/06/26	5.20	5.31	5.16	5.24	538071	8498911.00
2012/06/28	5.24	5.25	5.11	5.11	471626	7416130.50
2012/06/29	5.12	5.21	5.12	5.20	489227	7660609.50
2012/07/02	5.23	5.31	5.22	5.31	492004	7814930.50
2012/07/03	5.35	5.37	5.26	5.30	462179	7395827.50
2012/07/04	5.32	5.36	5.22	5.30	410301	6540550.50
2012/07/05	5.27	5.27	5.11	5.15	466900	7303666.00
2012/07/06	5.15	5.18	4.90	5.11	842556	12909205.00
2012/07/09	5.09	5.09	4.86	4.89	606881	9204482.00
2012/07/10	4.90	4.91	4.73	4.76	465913	6838142.50
2012/07/11	4.75	4.82	4.73	4.79	232958	3419040.75
2012/07/12	4.79	4.85	4.68	4.82	477368	7001480.50
2012/07/13	4.82	4.93	4.71	4.93	690968	10252031.00
2012/07/16	4.94	4.94	4.69	4.70	611158	8982635.00
2012/07/17	4.70	4.75	4.64	4.72	239130	3454329.75
2012/07/18	4.72	4.79	4.64	4.79	366161	5335898.50
2012/07/19	4.77	4.99	4.75	4.94	836949	12555408.00
2012/07/20	4.87	4.98	4.87	4.89	353103	5312765.50
2012/07/23	4.95	4.95	4.81	4.83	228476	3391264.50
2012/07/24	4.80	4.88	4.78	4.85	262884	3882769.50
2012/07/25	4.81	4.87	4.77	4.82	258303	3831386.50
2012/07/26	4.82	4.88	4.78	4.82	327520	4856268.50
2012/07/27	5.27	5.27	4.97	5.07	1710944	26319980.00
2012/07/30	5.11	5.15	4.91	5.00	756364	11504114.00
2012/07/31	4.99	4.99	4.39	4.65	1010165	14648587.00
2012/08/01	4.63	4.63	4.51	4.58	1119851	15850462.00
2012/08/02	4.57	4.58	4.45	4.50	525834	7369799.00
2012/08/03	4.52	4.60	4.49	4.60	346203	4875323.00
2012/08/06	4.62	4.73	4.57	4.71	626726	8981775.00
2012/08/07	4.73	4.77	4.67	4.77	585131	8511813.00
2012/08/08	4.75	4.81	4.66	4.71	483868	7028098.50
2012/08/09	4.70	4.83	4.63	4.83	594958	8685913.00
2012/08/10	4.79	5.08	4.75	5.00	1405184	21207598.00
2012/08/13	4.93	4.95	4.75	4.76	885724	13139763.00
2012/08/14	4.76	4.89	4.67	4.85	446964	6549997.50
2012/08/15	4.85	4.85	4.77	4.78	244662	3603068.50
2012/08/16	4.73	4.80	4.68	4.70	253382	3678650.00
2012/08/17	4.68	4.73	4.61	4.70	204125	2948848.25
2012/08/20	4.63	4.82	4.61	4.82	201623	2915313.00
2012/08/21	4.75	4.89	4.74	4.85	414921	6161177.00
2012/08/22	4.84	4.90	4.79	4.79	367957	5441397.00
2012/08/23	4.81	4.91	4.79	4.90	459115	6815568.50
2012/08/24	4.87	4.88	4.75	4.78	386103	5713913.00
2012/08/27	4.66	4.66	4.49	4.50	513432	7227912.00
2012/08/28	4.50	4.56	4.43	4.53	310037	4349226.00
2012/08/29	4.50	4.57	4.48	4.50	269998	3783552.00
2012/08/30	4.53	4.55	4.39	4.42	373357	5156823.00
2012/08/31	4.42	4.44	4.38	4.43	309361	4255036.00
2012/09/03	4.47	4.54	4.41	4.51	346409	4826352.50
2012/09/04	4.53	4.53	4.45	4.47	449504	6263496.00
2012/09/05	4.50	4.53	4.45	4.51	254959	3560811.75
2012/09/06	4.54	4.61	4.54	4.61	363847	5160924.00
2012/09/07	4.66	4.99	4.64	4.89	1711582	25355180.00
2012/09/10	4.97	5.01	4.83	5.00	1333069	20057996.00
2012/09/11	4.95	4.96	4.85	4.89	815931	12180669.00
2012/09/12	4.89	4.95	4.87	4.91	692932	10395961.00
2012/09/13	4.95	4.95	4.79	4.79	557495	8276737.50
2012/09/14	4.82	4.93	4.79	4.85	516098	7674704.00
2012/09/17	4.84	4.85	4.66	4.69	545062	7939963.50
2012/09/18	4.76	4.76	4.60	4.60	328179	4712424.00
2012/09/19	4.65	4.67	4.61	4.67	178290	2551863.75
2012/09/20	4.66	4.66	4.49	4.49	357200	5029181.50
2012/09/21	4.45	4.50	4.41	4.44	188900	2618111.00
2012/09/24	4.41	4.48	4.29	4.48	270883	3710894.50
2012/09/25	4.44	4.65	4.44	4.51	515436	7314205.00
2012/09/26	4.59	4.65	4.37	4.38	691680	9714098.00
2012/09/27	4.29	4.54	4.27	4.47	516800	7081249.00
2012/09/28	4.47	4.55	4.38	4.54	330405	4592736.00
2012/10/08	4.54	4.55	4.49	4.52	298003	4169641.25
2012/10/09	4.57	4.65	4.49	4.65	468995	6695499.00
2012/10/10	4.65	4.71	4.59	4.68	471173	6780651.50
2012/10/11	4.65	4.69	4.57	4.61	341390	4884742.50
2012/10/12	4.62	4.66	4.50	4.52	341920	4822911.00
