002652 扬子新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/01/19	2.30	2.63	2.28	2.48	18824501	238943952.00
2012/01/20	2.39	2.51	2.29	2.38	11254362	142054128.00
2012/01/30	2.34	2.57	2.23	2.46	11177090	141694848.00
2012/01/31	2.40	2.69	2.39	2.58	11950309	159279120.00
2012/02/01	2.53	2.61	2.47	2.58	8286444	110182760.00
2012/02/02	2.56	2.70	2.53	2.59	8869153	121199664.00
2012/02/03	2.56	2.78	2.52	2.74	9706575	133540176.00
2012/02/06	2.69	2.74	2.67	2.70	7562914	106714040.00
2012/02/07	2.67	2.68	2.55	2.59	6212776	85104104.00
2012/02/08	2.58	2.68	2.57	2.65	5851916	80487944.00
2012/02/09	2.63	2.72	2.61	2.62	5331821	74127872.00
2012/02/10	2.61	2.83	2.60	2.74	9106321	129763936.00
2012/02/13	2.72	2.77	2.67	2.73	5485943	77890504.00
2012/02/14	2.72	2.72	2.64	2.67	4140684	57905452.00
2012/02/15	2.66	2.76	2.64	2.74	4477600	63528012.00
2012/02/16	2.72	2.79	2.69	2.79	5297091	75814456.00
2012/02/17	2.78	2.83	2.68	2.69	4784857	68227400.00
2012/02/20	2.72	2.75	2.64	2.65	3589043	50596912.00
2012/02/21	2.65	2.69	2.59	2.67	3121080	43179792.00
2012/02/22	2.67	2.76	2.64	2.76	5022745	71251576.00
2012/02/23	2.77	3.05	2.75	2.89	10038189	150724480.00
2012/02/24	2.84	2.88	2.81	2.85	4942596	73272144.00
2012/02/27	2.86	2.96	2.82	2.85	5108933	76829280.00
2012/02/28	2.85	2.96	2.78	2.94	5833152	87368776.00
2012/02/29	2.90	2.94	2.82	2.84	3184679	47685192.00
2012/03/01	2.82	2.93	2.81	2.87	2886323	43207952.00
2012/03/02	2.87	3.00	2.86	2.95	4269358	65230032.00
2012/03/05	2.94	3.13	2.91	3.03	6562210	102846472.00
2012/03/07	2.92	3.01	2.90	2.92	3898246	59833060.00
2012/03/08	2.93	2.98	2.92	2.96	2513522	38488480.00
2012/03/09	2.97	3.03	2.96	3.03	2891690	44944540.00
2012/03/12	3.03	3.08	2.96	3.01	3041206	47582444.00
2012/03/13	3.00	3.13	2.97	3.08	4514197	71547824.00
2012/03/14	3.09	3.15	2.81	2.84	5571315	86371656.00
2012/03/15	2.84	2.87	2.63	2.71	3646554	52417776.00
2012/03/16	2.72	2.80	2.71	2.78	2135627	30797558.00
2012/03/19	2.74	2.81	2.69	2.81	2106954	30288200.00
2012/03/20	2.78	2.79	2.67	2.69	2187425	31092100.00
2012/03/21	2.71	2.73	2.61	2.69	1556843	21781860.00
2012/03/22	2.69	2.71	2.65	2.68	898724	12598026.00
2012/03/23	2.66	2.67	2.57	2.60	1462946	20055848.00
2012/03/26	2.60	2.64	2.59	2.62	868963	11910994.00
2012/03/27	2.64	2.65	2.58	2.58	785927	10760926.00
2012/03/28	2.58	2.58	2.40	2.41	1391996	18111000.00
2012/03/29	2.38	2.42	2.34	2.38	1087360	13722292.00
2012/03/30	2.40	2.44	2.36	2.36	847271	10703059.00
2012/04/05	2.36	2.46	2.36	2.44	1002200	12806380.00
2012/04/06	2.42	2.51	2.42	2.48	985504	12812618.00
2012/04/09	2.45	2.47	2.42	2.42	659663	8507208.00
2012/04/10	2.40	2.49	2.34	2.48	1140252	14495770.00
2012/04/11	2.46	2.53	2.43	2.52	1656952	21792280.00
2012/04/12	2.54	2.54	2.49	2.54	1349270	17909274.00
2012/04/13	2.54	2.56	2.51	2.53	1397356	18646330.00
2012/04/16	2.50	2.51	2.47	2.48	902449	11807930.00
2012/04/17	2.47	2.48	2.42	2.43	955822	12348690.00
2012/04/18	2.38	2.48	2.36	2.45	2107838	26822800.00
2012/04/19	2.44	2.49	2.41	2.42	2527425	32601304.00
2012/04/20	2.42	2.49	2.38	2.49	3654278	47256824.00
2012/04/23	2.49	2.52	2.37	2.37	2551660	32897306.00
2012/04/24	2.35	2.36	2.17	2.25	2558708	30724152.00
2012/04/25	2.24	2.29	2.21	2.28	2048117	24555438.00
2012/04/26	2.30	2.30	2.25	2.26	1279970	15411299.00
2012/04/27	2.25	2.30	2.25	2.28	1013863	12240312.00
2012/05/02	2.31	2.34	2.28	2.32	1342008	16456287.00
2012/05/03	2.31	2.51	2.30	2.46	3965918	50684836.00
2012/05/04	2.44	2.48	2.42	2.45	2382789	30760798.00
2012/05/07	2.46	2.46	2.39	2.42	1505688	19220468.00
2012/05/09	2.37	2.40	2.31	2.31	1493673	18531642.00
2012/05/10	2.31	2.36	2.31	2.33	839601	10381187.00
2012/05/11	2.33	2.35	2.31	2.31	880919	10865964.00
2012/05/14	2.31	2.35	2.29	2.30	942801	11621310.00
2012/05/15	2.29	2.29	2.23	2.29	845618	10144088.00
2012/05/16	2.28	2.32	2.26	2.30	724378	8804099.00
2012/05/17	2.30	2.34	2.29	2.34	844764	10400383.00
2012/05/18	2.34	2.34	2.23	2.23	1805932	21738958.00
2012/05/21	2.23	2.28	2.23	2.26	1029349	12345338.00
2012/05/22	2.26	2.29	2.26	2.28	902196	10924457.00
2012/05/23	2.29	2.31	2.26	2.28	652280	7849830.00
2012/05/24	2.28	2.29	2.27	2.27	761435	9138990.00
2012/05/25	2.27	2.29	2.21	2.23	918232	10895675.00
2012/05/28	2.23	2.23	2.13	2.21	936235	10767461.00
2012/05/29	2.22	2.31	2.20	2.29	1884814	22584650.00
2012/05/30	2.29	2.31	2.26	2.28	1076048	12942819.00
2012/05/31	2.28	2.36	2.26	2.33	1954518	23882664.00
2012/06/01	2.32	2.34	2.29	2.31	1111750	13495506.00
2012/06/04	2.27	2.27	2.16	2.16	1587628	18493714.00
2012/06/05	2.16	2.19	2.14	2.17	570693	6528984.50
