002655 共达电声 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/02/17	5.53	5.56	4.78	4.81	20346233	316359168.00
2012/02/20	4.75	5.05	4.65	5.00	12400843	186218512.00
2012/02/21	4.96	5.33	4.96	5.19	11615299	183613120.00
2012/02/22	5.13	5.50	5.05	5.44	10673502	170718064.00
2012/02/23	5.50	5.66	5.34	5.45	11643009	195737584.00
2012/02/24	5.44	5.53	5.36	5.47	5487653	91375984.00
2012/02/27	5.46	5.65	5.40	5.45	7557364	127444352.00
2012/02/28	5.36	5.39	5.16	5.24	5608399	90339152.00
2012/02/29	5.20	5.35	5.14	5.14	4161596	66608308.00
2012/03/01	5.14	5.66	5.12	5.66	7519428	125426392.00
2012/03/02	5.86	6.10	5.76	6.00	13721925	247383024.00
2012/03/05	6.00	6.50	5.96	6.33	11850616	223902400.00
2012/03/06	6.23	6.31	6.12	6.26	6833281	129343216.00
2012/03/07	6.23	6.67	6.09	6.10	9945733	193262640.00
2012/03/08	6.05	6.22	5.99	6.21	6710531	124897008.00
2012/03/09	6.23	6.45	6.16	6.31	6820703	131023808.00
2012/03/12	6.26	6.40	6.14	6.39	5363928	102680592.00
2012/03/13	6.35	7.04	6.35	7.03	12500032	261200352.00
2012/03/14	6.84	7.00	6.37	6.54	9909096	203782480.00
2012/03/15	6.63	7.00	6.57	6.90	9202290	189886112.00
2012/03/16	6.79	6.86	6.20	6.52	7738402	153362608.00
2012/03/19	6.40	6.49	6.10	6.41	4490422	85892424.00
2012/03/20	6.36	6.54	6.16	6.16	3824252	74236424.00
2012/03/21	6.19	6.20	5.63	5.82	5379976	96074496.00
2012/03/22	5.79	5.98	5.61	5.79	3257739	57704052.00
2012/03/23	5.79	5.95	5.73	5.87	2804980	50142040.00
2012/03/26	5.83	5.87	5.64	5.74	1876538	32811334.00
2012/03/27	5.82	6.01	5.74	5.78	3032402	54569872.00
2012/03/28	5.70	5.70	5.40	5.43	3164735	53029116.00
2012/03/29	5.36	5.53	5.20	5.30	1815397	29745050.00
2012/03/30	5.34	5.37	5.02	5.07	1965747	30915454.00
2012/04/05	4.97	5.30	4.94	5.30	2390303	37872936.00
2012/04/06	5.29	5.51	5.25	5.39	2839883	46795444.00
2012/04/09	5.30	5.38	5.06	5.08	2106057	33671036.00
2012/04/10	5.03	5.60	4.97	5.60	3601824	58570044.00
2012/04/11	5.60	5.73	5.53	5.62	5535375	95075328.00
2012/04/12	5.62	5.69	5.46	5.68	3627723	61827608.00
2012/04/13	5.63	5.68	5.56	5.61	3032238	52086796.00
2012/04/16	5.60	5.64	5.49	5.56	1782886	30270486.00
2012/04/17	5.54	5.59	5.42	5.50	1772855	29744956.00
2012/04/18	5.50	5.70	5.46	5.66	2805528	48126232.00
2012/04/19	5.65	5.79	5.56	5.78	3164179	55000096.00
2012/04/20	5.76	6.21	5.68	6.01	4995976	90021520.00
2012/04/23	5.83	5.96	5.56	5.72	4113272	72549352.00
2012/04/24	5.58	5.76	5.32	5.45	2039566	34450072.00
2012/04/25	5.44	5.55	5.33	5.39	1633571	27137970.00
2012/04/26	5.46	5.53	5.37	5.49	1462966	24407222.00
2012/05/02	5.49	5.73	5.34	5.65	2724550	46486116.00
2012/05/03	5.63	5.69	5.53	5.63	1465486	25060940.00
2012/05/04	5.60	5.90	5.58	5.71	2203721	38877636.00
2012/05/07	5.61	5.84	5.60	5.77	1813358	31758936.00
2012/05/08	5.82	5.88	5.69	5.79	2214032	39137476.00
2012/05/09	5.70	5.78	5.60	5.63	1813221	31448576.00
2012/05/10	5.62	5.72	5.52	5.67	1442844	24949118.00
2012/05/11	5.64	5.71	5.55	5.56	948118	16365269.00
2012/05/14	5.58	5.61	5.32	5.32	2131286	35255288.00
2012/05/15	5.24	5.39	5.23	5.33	757621	12311766.00
2012/05/16	5.27	5.36	5.25	5.25	633420	10295963.00
2012/05/17	5.21	5.23	5.06	5.18	2528920	39946720.00
2012/05/18	5.09	5.18	4.65	5.12	1664160	25754636.00
2012/05/21	5.11	5.12	4.84	4.89	1734645	26183560.00
2012/05/22	4.90	5.05	4.90	5.04	2413460	36804364.00
2012/05/23	4.99	5.04	4.88	4.93	1684810	25666286.00
2012/05/24	4.90	5.02	4.90	4.92	1290356	19585760.00
2012/05/25	4.90	5.01	4.84	4.85	1195761	18077652.00
2012/05/28	4.76	4.91	4.67	4.84	786838	11475591.00
2012/05/29	4.84	5.03	4.80	4.96	1344329	20412544.00
2012/05/30	4.96	5.23	4.96	5.12	2662999	41673480.00
2012/05/31	5.02	5.38	5.02	5.37	4090642	65908360.00
2012/06/01	5.31	5.43	5.20	5.28	2489674	40590944.00
2012/06/04	5.21	5.36	5.12	5.20	2317030	37292000.00
2012/06/05	5.27	5.27	5.06	5.12	970405	15276159.00
2012/06/06	5.13	5.15	4.95	5.03	705356	10928150.00
2012/06/07	5.05	5.13	4.94	4.96	584294	8971102.00
2012/06/08	5.02	5.34	4.94	5.20	3288142	52135528.00
2012/06/11	5.16	5.52	5.13	5.40	3459707	56858356.00
2012/06/12	5.32	5.50	5.32	5.32	2274372	37618324.00
2012/06/13	5.34	5.41	5.26	5.39	1641229	26828948.00
2012/06/14	5.39	5.48	5.29	5.30	1323530	21832820.00
2012/06/15	5.25	5.34	5.16	5.24	928273	14902150.00
2012/06/18	5.24	5.78	5.24	5.66	5121623	88228712.00
2012/06/19	5.57	5.60	5.51	5.56	2649496	44977364.00
2012/06/20	5.58	5.73	5.55	5.60	1883605	32300416.00
2012/06/21	5.61	5.91	5.57	5.71	4435694	77529080.00
2012/06/25	5.66	5.67	5.39	5.59	2116090	35889944.00
2012/06/26	5.53	5.89	5.44	5.87	3834763	67366872.00
2012/06/27	5.75	6.25	5.75	6.06	4688889	85953016.00
2012/06/28	6.06	6.21	6.00	6.09	2703859	50155116.00
2012/06/29	6.00	6.26	5.91	6.09	2111763	39090796.00
2012/07/02	6.16	6.22	6.02	6.21	2515128	46869892.00
2012/07/03	6.19	6.43	6.15	6.25	2780931	52922384.00
2012/07/04	6.23	6.33	6.03	6.06	2123783	39828968.00
2012/07/05	6.06	6.15	5.93	6.10	1545641	28325246.00
2012/07/06	6.10	6.22	5.94	6.18	1939759	35836144.00
2012/07/09	6.14	6.28	5.96	5.98	2534007	47339880.00
2012/07/10	5.89	5.89	5.38	5.50	4277504	72552632.00
2012/07/11	5.39	5.61	5.36	5.51	1179558	19814078.00
2012/07/12	5.56	5.93	5.47	5.85	1971634	34133288.00
2012/07/13	5.77	6.00	5.72	5.78	1373572	24317088.00
2012/07/16	5.78	5.85	5.52	5.58	1060613	18041764.00
2012/07/17	5.56	5.74	5.56	5.70	714521	12291334.00
2012/07/18	5.66	5.92	5.60	5.92	1545617	27213916.00
2012/07/19	5.89	6.09	5.89	5.96	2156980	39254792.00
2012/07/20	5.93	5.96	5.81	5.82	816048	14566884.00
2012/07/23	5.75	5.83	5.63	5.73	506968	8830722.00
2012/07/24	5.73	5.93	5.67	5.81	806111	14150704.00
2012/07/25	5.75	5.80	5.43	5.56	1676154	28397372.00
2012/07/26	5.53	5.59	5.27	5.28	1770046	28895634.00
2012/07/27	5.33	5.36	5.03	5.16	1182345	18642414.00
2012/07/30	5.10	5.26	5.02	5.03	1026449	15980545.00
2012/07/31	5.03	5.14	4.94	4.99	1179521	18020044.00
2012/08/01	5.03	5.14	4.99	5.06	1325079	20372632.00
2012/08/02	5.06	5.14	5.00	5.11	1182485	18273920.00
2012/08/03	5.16	5.34	5.08	5.34	1925524	30590010.00
2012/08/06	5.27	5.56	5.21	5.53	2708249	44340804.00
2012/08/07	5.49	5.63	5.44	5.50	2060470	34676004.00
2012/08/08	5.48	5.48	5.23	5.33	1422283	23130468.00
2012/08/09	5.30	5.45	5.30	5.41	952009	15562066.00
2012/08/10	5.43	5.51	5.38	5.40	1018535	16830774.00
2012/08/13	5.40	5.45	5.22	5.22	950101	15410240.00
2012/08/14	5.16	5.25	5.01	5.17	1120128	17422512.00
2012/08/15	5.16	5.20	5.03	5.18	942136	14650222.00
2012/08/16	5.22	5.45	5.18	5.37	1879520	30601874.00
