002665 首航节能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/03/27	2.03	2.11	2.02	2.06	11586087	340113984.00
2012/03/28	2.02	2.02	1.90	1.92	5923959	164985744.00
2012/03/29	1.88	1.90	1.81	1.82	4390290	115899160.00
2012/03/30	1.83	1.89	1.82	1.84	2702561	71553400.00
2012/04/05	1.81	1.88	1.79	1.87	2476998	64801052.00
2012/04/06	1.86	1.91	1.85	1.87	2179495	58486736.00
2012/04/09	1.85	1.86	1.82	1.84	1491724	39178568.00
2012/04/10	1.83	1.91	1.82	1.91	2729368	72877496.00
2012/04/11	1.82	1.90	1.82	1.88	3378789	89383416.00
2012/04/12	1.87	1.89	1.86	1.89	2537552	68117352.00
2012/04/13	1.88	1.94	1.87	1.91	2637664	72033952.00
2012/04/16	1.88	1.89	1.85	1.86	1641863	43677732.00
2012/04/17	1.86	1.89	1.85	1.87	1128598	30094680.00
2012/04/18	1.89	1.91	1.85	1.90	1828991	49092252.00
2012/04/19	1.88	1.94	1.88	1.92	1818808	49749164.00
2012/04/20	1.92	1.94	1.90	1.92	1362427	37210944.00
2012/04/23	1.92	1.92	1.85	1.86	1553771	41483124.00
2012/04/24	1.83	1.87	1.82	1.86	1131988	29794098.00
2012/04/25	1.85	1.88	1.84	1.87	663519	17627060.00
2012/04/26	1.88	1.88	1.84	1.84	742146	19559594.00
2012/04/27	1.84	1.86	1.83	1.85	553524	14528106.00
2012/05/02	1.86	1.91	1.84	1.89	1626844	43782820.00
2012/05/03	1.89	1.91	1.88	1.90	1176250	31816708.00
2012/05/04	1.90	1.93	1.89	1.92	1622786	44250036.00
2012/05/07	1.90	1.94	1.90	1.94	1733247	47462872.00
2012/05/08	1.94	1.94	1.91	1.94	1221762	33515444.00
2012/05/09	1.92	1.99	1.90	1.94	1992934	55204876.00
2012/05/10	1.95	1.98	1.89	1.90	1980224	54420532.00
2012/05/11	1.90	1.99	1.89	1.91	1197732	32822812.00
2012/05/14	1.92	1.93	1.89	1.89	969719	26403474.00
2012/05/15	1.88	1.91	1.87	1.90	676505	18206830.00
2012/05/16	1.90	1.90	1.86	1.87	961398	25727368.00
2012/05/17	1.87	1.92	1.86	1.91	1080743	29179572.00
2012/05/18	1.90	1.93	1.89	1.92	759900	20620404.00
2012/05/21	1.92	1.95	1.91	1.93	1071702	29481920.00
2012/05/22	1.94	1.95	1.92	1.94	898913	24777678.00
2012/05/23	1.94	2.15	1.94	2.08	5815955	171221264.00
2012/05/24	2.07	2.12	2.07	2.12	2907255	86690176.00
2012/05/25	2.11	2.11	2.05	2.06	2097699	61733248.00
2012/05/28	2.04	2.10	2.00	2.09	1864994	54353104.00
2012/05/29	2.07	2.17	2.06	2.13	2627353	79079640.00
2012/05/30	2.13	2.18	2.11	2.14	2781562	84880512.00
2012/05/31	2.12	2.21	2.12	2.19	2646014	81568224.00
2012/06/01	2.19	2.23	2.18	2.21	3109539	97133208.00
2012/06/04	2.18	2.21	2.16	2.20	1915774	59186748.00
2012/06/05	2.20	2.23	2.18	2.19	1604521	49997280.00
2012/06/06	2.19	2.20	2.10	2.11	1391024	42312700.00
2012/06/08	2.12	2.16	2.07	2.14	1614852	48364704.00
2012/06/11	2.12	2.20	2.11	2.19	1227225	37632880.00
2012/06/12	2.17	2.22	2.17	2.19	701932	21755748.00
2012/06/13	2.20	2.35	2.19	2.30	2060516	66713312.00
2012/06/14	2.30	2.38	2.26	2.29	1845527	60200196.00
2012/06/15	2.28	2.31	2.25	2.27	814809	26213562.00
2012/06/18	2.29	2.34	2.25	2.26	1422263	45922996.00
2012/06/19	2.33	2.39	2.29	2.34	2552171	84025128.00
2012/06/20	2.35	2.39	2.31	2.32	1339539	44259404.00
2012/06/21	2.32	2.40	2.30	2.37	2589514	85862008.00
2012/06/25	2.36	2.44	2.34	2.37	1898038	63831956.00
2012/06/26	2.36	2.37	2.29	2.34	1700257	56035232.00
2012/06/27	2.33	2.47	2.27	2.44	6371416	211302992.00
2012/06/28	2.40	2.46	2.40	2.43	2891332	99101832.00
2012/06/29	2.43	2.52	2.41	2.51	2334437	81337888.00
2012/07/02	2.56	2.70	2.56	2.70	4322933	158678352.00
2012/07/03	2.69	2.79	2.66	2.71	3947661	150778240.00
2012/07/04	2.71	2.78	2.66	2.67	2705076	103172320.00
2012/07/05	2.66	2.71	2.61	2.67	2375086	88938432.00
2012/07/06	2.65	2.69	2.56	2.66	2943336	108522128.00
2012/07/09	2.65	2.73	2.63	2.66	2701334	101616736.00
2012/07/10	2.64	2.68	2.59	2.66	1899140	70229416.00
2012/07/11	2.64	2.67	2.54	2.61	2817058	102049792.00
2012/07/12	2.64	2.76	2.60	2.71	4100412	154786368.00
2012/07/13	2.69	2.72	2.42	2.42	7909420	279111872.00
2012/07/16	2.38	2.41	2.26	2.29	5350986	176054224.00
2012/07/17	2.27	2.33	2.26	2.28	2345593	75871968.00
2012/07/18	2.29	2.32	2.21	2.27	3134461	99525152.00
2012/07/19	2.27	2.36	2.25	2.30	3497025	113963200.00
2012/07/20	2.30	2.34	2.24	2.26	1977869	63878148.00
2012/07/23	2.24	2.24	2.17	2.19	2705079	83949872.00
2012/07/24	2.18	2.23	2.18	2.22	2286170	71487936.00
2012/07/25	2.19	2.31	2.19	2.25	2443399	78404888.00
2012/07/26	2.32	2.44	2.27	2.37	6155327	204693136.00
