002666 德联集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/03/27	3.86	4.26	3.86	4.21	18883009	341976448.00
2012/03/28	3.98	4.38	3.96	4.34	20970676	389514080.00
2012/03/29	4.20	4.20	3.87	3.87	9681121	168458352.00
2012/03/30	3.73	3.83	3.51	3.54	9959943	162749808.00
2012/04/05	3.59	3.65	3.48	3.63	6264844	100354128.00
2012/04/06	3.59	3.71	3.57	3.62	5509395	89215808.00
2012/04/09	3.58	3.69	3.46	3.67	5748449	91776248.00
2012/04/10	3.63	3.81	3.57	3.81	7208381	118736320.00
2012/04/11	3.71	3.79	3.66	3.72	4819379	79824384.00
2012/04/12	3.72	3.77	3.66	3.74	4273371	70678608.00
2012/04/13	3.75	3.86	3.72	3.78	5303291	89374992.00
2012/04/16	3.76	3.90	3.76	3.79	4060161	68644464.00
2012/04/17	3.75	3.92	3.66	3.83	7077538	119554016.00
2012/04/18	3.88	4.07	3.88	4.01	10065161	177857872.00
2012/04/19	3.92	4.13	3.92	4.05	6181430	110071760.00
2012/04/20	4.02	4.09	3.95	4.03	4719217	83540872.00
2012/04/23	3.91	3.98	3.86	3.87	5318599	92261472.00
2012/04/24	3.79	3.91	3.58	3.83	4892565	81700208.00
2012/04/25	3.80	3.81	3.70	3.81	2717886	45580568.00
2012/04/26	3.81	3.82	3.69	3.70	2827571	47123356.00
2012/04/27	3.68	3.78	3.68	3.73	1757450	29295342.00
2012/05/02	3.78	3.95	3.75	3.91	4401489	75691728.00
2012/05/03	3.88	3.89	3.81	3.86	3131037	53488516.00
2012/05/04	3.86	3.92	3.83	3.92	3736367	64422688.00
2012/05/07	3.90	3.95	3.86	3.95	3151749	54430404.00
2012/05/08	3.93	3.93	3.87	3.89	2393305	41291040.00
2012/05/09	3.85	3.85	3.71	3.72	3703042	61831064.00
2012/05/10	3.73	3.79	3.72	3.73	1695150	28255856.00
2012/05/11	3.73	3.77	3.69	3.69	1642257	27241538.00
2012/05/14	3.73	3.79	3.70	3.73	1551767	25844098.00
2012/05/15	3.70	3.80	3.69	3.80	2149806	35925600.00
2012/05/16	3.79	3.79	3.70	3.71	1874232	31326712.00
2012/05/17	3.73	3.82	3.73	3.80	2258627	37960552.00
2012/05/18	3.76	3.77	3.66	3.68	2834517	46764344.00
2012/05/21	3.67	3.69	3.61	3.63	1390120	22598108.00
2012/05/22	3.66	3.67	3.64	3.66	1402869	22861974.00
2012/05/23	3.66	3.73	3.63	3.70	1986698	32596236.00
2012/05/25	3.66	3.70	3.47	3.48	2993468	47440492.00
2012/05/28	3.46	3.50	3.35	3.49	1946466	29850140.00
2012/05/29	3.47	3.55	3.47	3.53	1641407	25837076.00
2012/05/30	3.53	3.55	3.49	3.52	1198647	18874998.00
2012/05/31	3.47	3.58	3.45	3.54	1966335	30919572.00
2012/06/01	3.51	3.54	3.48	3.50	1259972	19799698.00
2012/06/04	3.43	3.43	3.33	3.33	1789286	27191210.00
2012/06/05	3.34	3.37	3.29	3.31	928907	13898031.00
2012/06/06	3.33	3.35	3.27	3.28	972447	14476439.00
2012/06/07	3.33	3.34	3.29	3.30	1018081	15204068.00
2012/06/08	3.33	3.39	3.32	3.36	1566503	23669956.00
2012/06/11	3.35	3.41	3.30	3.37	1439456	21715562.00
