002715 登云股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/02/19	12.07	14.51	12.07	14.51	451662	6479759.00
2014/02/20	15.97	15.97	15.97	15.97	363436	5847685.00
2014/02/21	17.58	17.58	17.58	17.58	311365	5511160.50
2014/02/24	19.35	19.35	19.35	19.35	1065129	20738062.00
2014/02/25	21.30	21.30	21.30	21.30	1717164	36781652.00
2014/03/03	23.44	23.44	23.44	23.44	376654	8873968.00
2014/03/04	25.80	25.80	25.80	25.80	386024	10005742.00
2014/03/05	28.39	28.39	28.39	28.39	1391997	39685836.00
2014/03/10	28.40	31.24	27.92	31.24	18034092	540835008.00
2014/03/11	30.88	32.28	28.10	28.70	13504316	400055328.00
2014/03/12	27.21	27.72	25.82	26.70	10267026	272948512.00
2014/03/13	25.88	26.36	24.96	25.38	6820204	174908736.00
2014/03/14	24.93	25.34	24.38	25.01	5214546	130343360.00
2014/03/17	24.68	25.34	24.54	25.26	4692350	117716112.00
2014/03/18	25.23	27.38	24.96	26.05	8292984	219430640.00
2014/03/19	25.33	25.36	24.58	24.99	4994929	125337376.00
2014/03/20	24.73	26.67	23.69	25.23	7909628	197654800.00
2014/03/21	24.38	25.16	23.75	24.60	4169652	102482200.00
2014/03/24	24.56	25.03	23.39	23.41	4541060	109800352.00
2014/03/25	22.98	23.43	22.68	22.85	3787965	87474272.00
2014/03/26	22.78	23.04	22.59	22.63	2307636	52846004.00
2014/03/27	22.54	22.83	20.94	20.96	3998210	87554328.00
2014/03/28	20.89	22.76	19.99	21.63	6164990	133515008.00
2014/03/31	21.16	21.31	20.00	20.18	3267774	67531280.00
2014/04/01	20.06	21.07	20.04	20.81	2846051	59398216.00
2014/04/02	20.72	22.90	20.59	22.90	6817110	149773536.00
2014/04/03	22.78	25.20	22.77	25.20	12546019	309162496.00
2014/04/04	24.58	25.68	22.99	24.22	7951473	196019280.00
2014/04/08	24.36	26.65	23.88	26.65	10282336	268823168.00
2014/04/09	27.26	29.27	25.98	27.78	13104253	359170592.00
2014/04/10	27.60	29.88	27.18	28.83	11546524	330500928.00
2014/04/11	28.18	28.67	26.18	26.30	8296274	227972464.00
2014/04/14	26.37	27.30	26.11	26.68	5437102	145879888.00
2014/04/15	26.50	27.24	26.15	27.13	5065186	136478208.00
2014/04/16	26.91	27.28	25.18	25.31	6604951	171062512.00
2014/04/17	25.18	25.84	24.76	24.88	4575629	115918096.00
2014/04/18	24.76	24.87	24.23	24.73	3200930	79005024.00
2014/04/21	24.36	27.22	24.18	27.22	9517429	253101856.00
2014/04/22	26.71	29.86	26.56	28.76	12517408	355167808.00
2014/04/23	28.43	30.38	27.68	28.88	10562898	310244736.00
2014/04/24	28.53	28.78	26.68	26.68	8117226	223703440.00
2014/04/25	26.14	29.36	26.03	29.36	9138071	260067008.00
2014/04/28	29.73	31.18	28.10	28.61	11583321	345998432.00
2014/04/29	26.88	31.48	26.24	31.48	11174667	333859616.00
2014/04/30	32.54	34.64	31.20	33.27	12326762	406263456.00
2014/05/05	32.98	36.33	32.18	33.82	12055962	415405280.00
2014/05/06	32.90	37.21	32.73	37.21	12200126	419505312.00
2014/05/07	36.87	40.88	36.29	38.69	12750652	492096960.00
2014/05/08	37.88	40.34	37.27	37.48	9433654	365163360.00
2014/05/09	36.78	39.11	34.48	36.39	9707471	358590272.00
2014/05/12	36.08	39.49	35.63	38.62	9031668	339850176.00
2014/05/13	37.98	39.76	36.88	36.90	8921112	341316896.00
2014/05/14	35.88	37.88	35.68	36.83	5968835	220430000.00
2014/05/15	36.46	38.73	36.24	37.23	6815693	256370112.00
2014/05/16	36.66	37.06	33.50	33.51	7638943	267196640.00
2014/05/19	33.51	35.07	33.48	34.04	4279441	147340128.00
2014/05/20	34.48	35.87	34.34	34.67	4976604	175177008.00
2014/05/21	33.98	34.68	32.08	34.27	4389882	148445360.00
2014/05/22	33.88	34.85	33.66	34.16	4324911	149138720.00
2014/05/23	34.18	35.16	33.79	34.51	4504348	156014160.00
2014/05/26	34.05	34.52	33.45	34.20	4698451	159438288.00
2014/05/27	33.89	34.18	33.17	33.23	3591113	120842128.00
2014/05/28	33.23	34.06	33.18	33.98	3954875	134258912.00
2014/05/29	34.10	37.39	34.10	37.39	10130717	368832224.00
2014/05/30	37.39	38.27	35.96	37.26	8153442	303803520.00
2014/06/03	36.98	38.06	36.39	36.64	5397512	201019520.00
2014/06/04	36.68	38.37	36.46	37.12	5568898	209707264.00
2014/06/05	35.88	36.68	34.58	35.62	5592437	197728720.00
2014/06/06	35.58	35.78	34.57	34.89	3570470	125684120.00
2014/06/09	35.06	35.07	33.63	33.68	3465472	118581176.00
2014/06/10	33.29	34.77	33.29	34.52	3209194	110778064.00
2014/06/11	34.20	34.38	33.23	33.70	3191641	107954248.00
2014/06/12	33.49	34.77	33.39	33.90	3502897	120124648.00
2014/06/13	33.49	34.40	33.44	34.06	2735061	93209912.00
2014/06/16	34.28	36.73	33.84	35.99	6333204	223969808.00
2014/06/17	35.44	35.69	34.19	34.61	4244279	147802608.00
2014/06/18	34.53	34.90	33.74	33.85	2531982	86586320.00
2014/06/19	33.63	34.17	30.95	31.59	3042734	98396656.00
2014/06/20	31.93	31.93	31.26	31.74	1415559	44849312.00
2014/06/23	31.74	33.64	31.73	33.14	2817258	93124600.00
2014/06/24	32.97	33.70	32.54	32.79	2034438	67065104.00
2014/06/25	32.67	33.90	32.23	33.44	3373130	112699648.00
2014/06/26	33.64	36.64	33.52	35.84	7691592	274223648.00
2014/06/27	35.38	35.91	34.54	34.97	4592536	161379248.00
2014/06/30	34.95	35.44	33.76	34.04	3939815	135572464.00
2014/07/01	33.74	34.34	33.59	34.14	2402474	81775104.00
2014/07/02	34.09	34.09	32.97	33.62	2574332	86229056.00
2014/07/03	33.59	33.84	33.15	33.44	1614363	54181480.00
2014/07/04	33.52	34.27	33.51	33.79	2307641	78576160.00
2014/07/07	33.79	34.19	32.44	32.58	2663856	87472528.00
2014/07/08	32.59	32.83	31.65	32.52	2149226	69325456.00
2014/07/09	32.32	33.04	31.94	31.94	1796254	58402992.00
2014/07/10	31.94	32.34	31.76	31.80	1285606	41247632.00
2014/07/11	31.94	32.32	31.67	32.03	1142868	36593860.00
2014/07/14	31.95	32.75	31.80	32.59	1575127	51008024.00
2014/07/15	32.68	32.69	30.96	31.31	2131534	67556928.00
2014/07/16	31.28	31.58	30.07	30.26	1418627	43616352.00
2014/07/17	30.05	30.25	28.84	29.20	1854533	54513048.00
2014/07/18	29.13	29.37	28.93	29.25	971483	28479076.00
2014/07/21	29.34	29.35	27.24	27.84	1849555	51943268.00
2014/07/22	27.92	28.25	27.79	28.23	1198353	33746064.00
2014/07/23	28.31	28.31	26.67	26.74	2277397	62415440.00
2014/07/24	26.81	27.11	25.64	26.76	2179887	57702600.00
2014/07/25	26.74	27.09	26.45	26.97	1291580	34772080.00
2014/07/28	27.02	29.67	27.02	29.67	4850818	142101728.00
2014/07/29	29.94	31.04	29.44	30.15	4696130	142937664.00
2014/07/30	30.14	30.14	29.15	29.70	2630737	77879584.00
2014/07/31	29.49	30.23	29.39	29.61	1967529	58711384.00
2014/08/01	29.61	29.79	28.60	28.76	2006105	58577832.00
2014/08/04	28.74	28.93	28.29	28.87	2152684	61702592.00
2014/08/05	28.95	29.25	28.51	29.25	1728585	50119596.00
2014/08/06	29.25	29.28	28.86	28.98	1055652	30715704.00
2014/08/07	28.82	29.09	28.09	28.20	1790456	51206212.00
2014/08/08	28.20	28.58	27.96	28.41	1043426	29682946.00
2014/08/11	28.41	29.04	28.29	28.97	1479668	42672760.00
2014/08/12	28.92	29.00	28.64	28.77	1119245	32272512.00
2014/08/13	28.77	30.69	28.77	29.72	3033020	90723832.00
2014/08/14	29.44	29.61	29.00	29.06	1575585	46222420.00
2014/08/15	29.04	29.06	28.45	28.93	1095314	31614652.00
2014/08/18	28.74	29.54	28.74	29.52	1416306	41480892.00
2014/08/19	29.61	30.93	29.49	30.46	3502682	105749032.00
2014/08/20	30.34	30.83	29.81	30.09	2926359	88939928.00
2014/08/21	30.01	30.33	29.78	29.90	1624920	48811768.00
2014/08/22	30.09	30.49	29.84	30.17	1928861	58396472.00
2014/08/25	30.25	30.33	29.55	29.69	1427742	42604572.00
2014/08/26	29.69	29.69	28.04	28.10	1756657	50749244.00
2014/08/27	28.13	28.63	28.12	28.31	700720	19919372.00
2014/08/28	28.31	28.58	27.72	27.77	937344	26328912.00
2014/08/29	27.73	28.12	27.69	28.01	497995	13956988.00
2014/09/01	28.02	28.56	28.02	28.55	606342	17266370.00
2014/09/02	28.71	29.30	28.57	29.20	1420835	41320072.00
2014/09/03	29.41	29.42	29.05	29.35	1368400	40113776.00
2014/09/04	29.28	30.21	29.16	29.85	2167595	64722320.00
2014/09/05	29.81	29.81	29.45	29.57	1453993	43127008.00
2014/09/09	29.64	29.78	29.34	29.62	1031978	30514104.00
2014/09/10	29.63	29.80	29.26	29.80	1343603	39844688.00
2014/09/11	29.89	30.09	29.55	29.79	1775274	53124956.00
2014/09/12	29.79	29.79	29.19	29.44	1300082	38285640.00
2014/09/15	29.30	29.69	29.30	29.54	1149061	33972884.00
2014/09/16	29.64	32.44	29.51	30.84	5625302	174408848.00
2014/09/17	30.45	33.93	30.45	33.93	10141555	331469024.00
2014/09/18	34.44	34.44	32.74	32.99	6611467	220570160.00
2014/09/19	32.52	33.28	32.24	32.80	4129295	134888912.00
2014/09/22	32.49	32.49	31.31	31.44	3639748	115494744.00
2014/09/23	31.60	31.92	31.33	31.57	2819586	89267824.00
2014/09/24	31.43	31.89	30.83	31.85	2890473	90848528.00
2014/09/25	31.71	32.31	30.87	31.11	3211726	102214312.00
2014/09/26	30.94	31.55	30.67	31.25	1866157	58239864.00
2014/09/29	31.27	31.82	31.27	31.82	2125721	67173376.00
2014/09/30	31.82	31.99	31.35	31.39	1812425	57286724.00
2014/10/08	31.39	31.73	31.39	31.63	1480697	46840916.00
2014/10/09	31.70	32.60	31.69	32.47	3599136	116307656.00
2014/10/10	32.19	32.34	31.44	31.51	2278816	72801024.00
2014/10/13	31.42	31.42	30.45	31.05	1665669	51479332.00
2014/10/14	30.94	31.88	30.60	31.84	2247823	71063944.00
2014/10/15	32.14	32.30	31.62	32.14	2667508	85537936.00
2014/10/16	32.14	32.60	31.70	31.82	2989326	96422632.00
2014/10/17	31.54	33.90	31.05	33.32	6503215	214713568.00
2014/10/20	32.94	36.54	32.72	34.83	8174231	287633792.00
2014/10/21	35.83	36.70	34.94	35.38	6976068	249431888.00
2014/10/22	35.04	35.23	33.09	33.18	5764383	197556288.00
2014/10/23	33.14	33.50	31.79	31.85	3375892	109779952.00
2014/10/24	31.66	32.54	31.30	31.52	2355274	75223696.00
2014/10/27	30.92	30.92	29.94	30.05	2880540	87516280.00
