002723 金莱特 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/01/29	7.68	9.29	7.68	9.29	1494049	28579876.00
2014/01/30	8.90	8.90	8.33	8.33	2265100	40006556.00
2014/02/07	7.65	8.29	7.46	8.14	10172909	165547728.00
2014/02/10	8.01	8.80	8.01	8.70	10076972	176371536.00
2014/02/11	8.62	9.60	8.62	9.60	11381836	216220608.00
2014/02/12	9.73	10.60	9.63	10.60	12652652	267925920.00
2014/02/13	10.20	10.75	10.04	10.09	9772693	208882016.00
2014/02/14	10.16	11.14	10.16	11.14	7509238	167905680.00
2014/02/17	12.03	12.29	11.65	12.29	9474897	236495840.00
2014/02/18	12.65	13.55	12.45	13.55	12709844	345334112.00
2014/02/21	14.15	14.55	12.74	13.03	10897036	306274016.00
2014/02/24	12.49	12.90	12.16	12.83	7744345	198572384.00
2014/02/25	12.78	13.39	11.68	11.94	9191315	240812576.00
2014/02/26	11.51	12.60	10.76	12.59	6766568	160770672.00
2014/02/27	12.33	13.88	12.13	13.88	12271406	331811264.00
2014/02/28	14.15	15.31	14.15	15.31	6142383	187898784.00
2014/03/03	16.87	16.87	16.87	16.87	305755	10530202.00
2014/03/04	18.59	18.59	16.16	17.50	16084543	584378688.00
2014/03/05	16.65	17.65	15.89	15.89	9455673	320066336.00
2014/03/06	15.26	17.27	15.03	17.15	10635042	350906688.00
2014/03/07	16.65	16.90	15.40	15.40	8358956	272156064.00
2014/03/10	14.40	15.45	14.15	14.48	5205108	156409040.00
2014/03/11	14.15	15.00	13.67	14.31	5813324	171240448.00
2014/03/12	14.14	14.45	12.86	13.75	5928448	166469296.00
2014/03/13	13.46	13.60	12.90	13.41	3885173	105996728.00
2014/03/14	13.40	13.95	13.28	13.41	3909993	108940400.00
2014/03/17	13.18	13.53	13.06	13.50	3723371	101489528.00
2014/03/18	13.40	13.94	13.37	13.37	4478748	125329120.00
2014/03/19	13.30	13.31	12.60	12.94	4111244	108961640.00
2014/03/20	12.86	13.05	12.20	12.20	3704690	96289968.00
2014/03/21	12.15	13.45	12.03	13.20	6479863	171668976.00
2014/03/24	13.60	14.40	13.36	13.47	8008539	227314608.00
2014/03/25	12.90	13.19	12.32	12.63	4754938	124917984.00
2014/03/26	12.60	12.75	12.25	12.35	3418558	87417696.00
2014/03/27	12.20	12.41	11.45	11.47	3874936	95170632.00
2014/03/28	11.50	12.65	11.25	12.65	5018265	127554112.00
2014/03/31	12.85	12.93	11.62	11.74	5703806	144278128.00
2014/04/01	11.45	12.95	11.35	12.95	4517938	115803184.00
2014/04/02	13.48	14.28	13.43	14.28	12173700	345570144.00
2014/04/03	14.08	15.49	13.79	15.03	11528194	347952672.00
2014/04/04	14.32	14.94	14.06	14.46	7424537	219098896.00
2014/04/08	14.32	15.90	13.75	15.28	10317244	316658112.00
2014/04/09	14.94	16.40	14.54	15.39	10609447	330257344.00
2014/04/10	14.95	15.52	14.33	14.54	7649115	233148864.00
2014/04/11	14.36	14.95	14.21	14.48	5036473	150652640.00
2014/04/14	14.60	14.82	14.33	14.58	3317224	98739344.00
2014/04/15	14.34	14.43	13.95	14.10	3535169	102265352.00
2014/04/16	13.92	14.12	13.27	13.34	4186241	116180760.00
2014/04/17	13.29	13.71	13.24	13.45	2890854	79887088.00
2014/04/18	13.35	13.39	13.01	13.31	2204893	59798760.00
2014/04/21	13.01	14.31	13.00	13.91	6051249	172479888.00
2014/04/22	13.67	14.03	13.06	13.47	3509237	97385904.00
2014/04/23	13.35	13.75	13.13	13.16	2742176	75575560.00
2014/04/24	13.07	13.25	12.33	12.45	3154029	82008888.00
