002730 电光科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/10/09	4.23	5.12	4.23	5.12	92301	1070332.50
2014/10/10	5.64	5.64	5.64	5.64	20550	262629.00
2014/10/13	6.23	6.23	6.23	6.23	38520	541591.19
2014/10/14	6.87	6.87	6.87	6.87	45328	701224.19
2014/10/15	7.57	7.57	7.57	7.57	118141	2010759.88
2014/10/16	8.34	8.34	8.34	8.34	235460	4407811.00
2014/10/17	9.19	9.19	9.19	9.19	1120643	23074040.00
2014/10/20	8.93	9.15	8.56	8.89	19743461	392157280.00
2014/10/21	8.78	9.79	8.73	9.79	18485561	387712096.00
2014/10/22	9.99	10.79	9.86	10.79	10065019	232599072.00
2014/10/23	11.24	11.83	10.74	11.31	21438447	536521120.00
2014/10/24	10.88	11.65	10.61	11.20	15324964	383060256.00
2014/10/27	10.99	11.18	10.06	10.06	11715717	272420352.00
2014/10/28	9.93	10.70	9.84	10.43	10040707	231316816.00
2014/10/29	10.28	11.49	10.20	11.49	13950528	339404704.00
2014/10/30	11.37	11.64	11.01	11.05	11840759	297490400.00
2014/10/31	10.97	12.15	10.97	11.73	16650197	433331008.00
2014/11/03	11.58	12.87	11.58	12.57	15227305	419128672.00
2014/11/04	12.51	12.78	11.97	12.24	12862474	353254880.00
2014/11/05	11.97	12.71	11.93	12.18	9452454	259499632.00
2014/11/06	12.11	12.85	12.02	12.73	13410242	376644416.00
2014/11/07	12.70	13.86	12.57	12.99	13813861	405694208.00
2014/11/10	13.02	13.43	12.70	13.12	9191629	267964944.00
2014/11/11	12.96	13.15	12.38	12.71	8381047	237774336.00
2014/11/12	12.68	13.63	12.43	13.49	12176894	358140192.00
2014/11/13	13.02	13.42	12.78	12.80	8573639	248670384.00
2014/11/14	12.57	12.73	11.50	11.56	8190173	216988352.00
2014/11/17	11.29	11.88	11.24	11.56	3974348	103077776.00
2014/11/18	11.57	11.77	11.43	11.71	3156820	82003704.00
2014/11/19	11.70	11.74	11.25	11.51	3499231	89663032.00
2014/11/20	11.38	12.15	11.29	12.01	6395970	168400752.00
2014/11/21	11.89	12.39	11.83	11.93	5534368	148848384.00
2014/11/24	12.02	13.01	11.99	12.53	8315307	232837648.00
2014/11/25	12.56	12.56	11.93	12.23	6336874	171727424.00
2014/11/26	12.19	12.53	12.01	12.23	3982540	108506168.00
2014/11/27	12.33	12.56	12.13	12.28	5443901	150264528.00
2014/11/28	12.11	12.28	11.87	11.94	4650246	124460680.00
2014/12/01	11.91	11.91	11.65	11.89	2846875	74816712.00
2014/12/02	11.86	12.56	11.79	12.40	7048020	194537952.00
2014/12/03	12.33	12.48	11.98	12.24	4578838	124180416.00
2014/12/04	12.16	12.30	12.07	12.08	3772018	102132360.00
2014/12/05	12.04	12.04	11.20	11.35	5297802	136701232.00
2014/12/08	11.23	11.57	11.21	11.31	2440877	62066016.00
2014/12/09	11.20	11.23	10.19	10.19	4546556	108600800.00
2014/12/10	10.19	10.59	10.19	10.53	2103330	49152192.00
2014/12/11	10.53	10.97	10.34	10.81	2217474	53165600.00
2014/12/12	10.79	10.97	10.64	10.78	1634841	39257680.00
2014/12/15	10.78	10.91	10.59	10.86	1555803	37532904.00
2014/12/16	10.85	10.85	10.56	10.62	1653904	39329940.00
2014/12/17	10.61	10.61	10.22	10.27	2048204	47226852.00
2014/12/18	10.22	10.44	10.18	10.25	1350589	31146116.00
2014/12/19	10.27	10.27	9.47	9.69	2335736	51197788.00
2014/12/22	9.65	9.65	8.70	8.71	2560787	50544076.00
2014/12/23	8.71	9.20	8.71	8.93	1900180	38424048.00
2014/12/24	9.06	9.83	9.02	9.83	2727421	57154860.00
2014/12/25	9.86	9.95	9.49	9.82	2923316	63748820.00
2014/12/26	9.63	9.90	9.61	9.71	1425909	31046554.00
2014/12/29	9.49	9.70	9.25	9.33	1586837	33358032.00
2014/12/30	9.34	9.77	9.34	9.58	1686543	36068036.00
2014/12/31	9.58	9.79	9.29	9.61	1922435	41089524.00
2015/01/05	9.54	9.54	9.04	9.33	1443920	29988624.00
2015/01/06	9.27	9.79	9.16	9.70	2235347	47900888.00
2015/01/07	9.61	9.67	9.39	9.45	1661821	35218956.00
2015/01/08	9.57	9.91	9.45	9.71	3282031	71363816.00
2015/01/09	9.68	9.95	9.61	9.61	2387327	52067848.00
2015/01/12	9.52	9.52	8.99	9.10	1602875	32905722.00
2015/01/13	9.06	9.43	8.99	9.28	1344938	27775712.00
2015/01/14	9.28	9.49	9.17	9.37	1854436	38788708.00
2015/01/15	9.38	9.56	9.19	9.33	1606588	33759500.00
2015/01/16	9.30	9.65	9.30	9.58	2108550	44937960.00
2015/01/19	9.38	9.94	9.22	9.50	3553364	77128880.00
2015/01/20	9.56	10.47	9.56	10.47	7121440	162418624.00
2015/01/21	10.68	10.74	10.27	10.53	6731312	157392016.00
2015/01/22	10.29	10.75	10.29	10.59	4376461	103585696.00
2015/01/23	10.56	10.59	10.27	10.27	2844340	65831884.00
2015/01/26	10.27	10.43	10.25	10.39	1514099	35083828.00
2015/01/27	10.43	10.47	10.08	10.26	1749916	40152476.00
2015/01/28	10.25	10.52	10.13	10.38	1979246	45857736.00
2015/01/29	10.29	10.42	10.18	10.20	1201131	27610720.00
2015/01/30	10.24	10.28	9.93	9.95	1237141	27886212.00
2015/02/02	9.86	10.06	9.78	9.93	809794	18036800.00
2015/02/03	9.94	10.28	9.94	10.18	1676897	37962056.00
2015/02/04	10.14	10.36	10.02	10.02	1363387	30944786.00
2015/02/05	10.09	10.18	9.92	9.93	1196661	26891124.00
2015/02/06	9.92	9.93	9.38	9.45	1521710	32678030.00
2015/02/09	9.40	9.51	9.23	9.25	809441	16997556.00
2015/02/10	9.28	9.37	9.11	9.35	785200	16268094.00
2015/02/11	9.33	9.47	9.33	9.42	740950	15622150.00
2015/02/12	9.45	9.62	9.45	9.53	795974	16999640.00
2015/02/13	9.56	9.78	9.56	9.69	1124160	24405524.00
2015/02/16	9.74	9.82	9.65	9.81	1264142	27524004.00
2015/02/17	9.85	9.91	9.70	9.79	919636	20126506.00
2015/02/25	9.81	9.81	9.66	9.69	678152	14726616.00
2015/02/26	9.70	9.80	9.67	9.77	691265	15059789.00
2015/02/27	9.76	9.92	9.76	9.88	1261169	27836386.00
2015/03/02	9.89	10.17	9.88	10.17	1954913	43896408.00
2015/03/03	10.14	10.14	9.89	9.92	1901491	42642700.00
2015/03/04	9.90	10.39	9.88	10.38	3333021	75935816.00
2015/03/05	10.39	10.40	10.14	10.25	2257553	51635456.00
2015/03/06	10.25	10.48	10.08	10.11	1668991	38199532.00
2015/03/09	10.10	10.20	9.84	10.12	1230714	27585066.00
2015/03/10	10.22	10.22	10.05	10.09	1176874	26584258.00
2015/03/11	10.06	10.09	9.92	9.97	1226718	27462544.00
2015/03/12	9.93	10.05	9.84	9.91	1200778	26700786.00
2015/03/13	9.97	10.17	9.97	10.16	1404024	31611092.00
2015/03/16	10.22	10.52	10.18	10.47	3081581	71651704.00
2015/03/17	10.57	10.57	10.29	10.48	2983250	69510456.00
2015/03/18	10.49	10.93	10.43	10.88	4634904	111240392.00
2015/03/19	10.83	11.32	10.67	11.08	4871175	119650664.00
2015/03/20	11.03	11.15	10.91	11.02	2885183	70916832.00
2015/03/23	11.08	11.19	10.97	11.17	3201362	79191192.00
2015/03/24	11.15	11.15	10.60	10.87	3656181	88813672.00
2015/03/25	10.77	11.42	10.70	11.33	4471080	110715632.00
2015/03/26	11.27	11.50	11.08	11.12	3721665	93498296.00
2015/03/27	11.11	11.17	10.97	11.04	2235908	55153856.00
2015/03/30	10.98	11.14	10.98	11.11	2470267	60957900.00
2015/03/31	11.11	11.12	10.89	10.91	2516572	61868636.00
2015/04/01	10.92	11.19	10.90	11.19	3197536	79400864.00
2015/04/02	11.20	11.49	11.13	11.44	4629750	117213448.00
2015/04/03	11.43	12.02	11.33	11.94	6651862	175300784.00
2015/04/07	11.88	12.24	11.87	12.05	4696195	125776296.00
2015/04/08	12.15	12.15	11.39	11.81	4287432	112681320.00
2015/04/09	11.81	12.10	11.33	12.10	4895610	128444904.00
2015/04/10	12.12	12.92	12.12	12.57	6136048	172689136.00
2015/04/13	12.59	13.15	12.30	13.01	5835715	165309936.00
2015/04/14	12.93	13.26	12.74	12.93	4801606	139438736.00
2015/04/15	12.93	12.98	12.06	12.06	3936353	108903296.00
2015/04/16	12.02	12.33	11.61	11.97	2421221	64914204.00
2015/04/17	12.13	12.29	11.87	11.98	3054779	82185392.00
2015/04/20	11.95	11.95	11.50	11.51	3383440	88381536.00
2015/04/21	11.54	11.83	11.52	11.83	2909286	75938744.00
2015/04/22	12.02	12.31	12.02	12.17	3287184	89286080.00
2015/04/23	12.17	12.47	12.02	12.34	4064006	111188440.00
2015/04/24	12.19	12.23	11.92	12.12	3039913	81883160.00
2015/04/27	12.26	12.51	12.13	12.47	3950807	108416312.00
2015/04/28	12.58	13.16	12.25	12.29	5805026	163726544.00
2015/04/29	11.70	12.03	11.21	11.77	4935306	128050096.00
2015/04/30	11.88	11.96	11.69	11.69	3099130	81604960.00
2015/05/04	11.78	11.95	11.52	11.93	2515951	66371788.00
2015/05/12	13.14	13.14	13.14	13.14	278804	8160593.00
2015/05/13	14.47	14.47	13.41	14.47	10636356	337235584.00
2015/05/14	15.29	15.93	14.88	15.93	11132369	388355680.00
2015/05/15	16.24	16.25	15.13	15.20	11036171	381776224.00
2015/05/18	15.02	16.73	14.88	16.73	3737216	133979792.00
2015/05/19	18.38	18.43	17.11	17.43	12264148	483967712.00
2015/05/20	17.06	17.88	16.88	17.02	8568912	330845056.00
2015/05/21	17.14	17.54	16.89	17.30	6018765	230169728.00
2015/05/22	17.32	17.65	16.46	17.05	7121259	268648800.00
2015/05/25	16.82	18.40	16.57	17.72	7679845	298050976.00
2015/05/26	17.57	19.51	17.57	19.51	8763017	368616704.00
2015/05/27	20.15	21.48	19.81	21.48	7465012	342027072.00
2015/05/28	22.10	23.64	19.63	20.31	12661273	640798016.00
2015/05/29	19.38	21.33	18.26	19.93	9361472	408666144.00
2015/06/01	19.94	20.65	19.16	20.38	6118928	273302368.00
2015/06/02	20.24	22.33	20.02	22.01	6961147	324858720.00
2015/06/03	21.71	21.83	20.15	20.71	5178979	241403040.00
2015/06/04	20.49	20.71	18.62	19.28	5360939	229797568.00
2015/06/05	19.83	19.83	18.98	19.33	3989439	171462944.00
2015/06/08	19.33	19.47	18.36	18.43	3597404	149094208.00
2015/06/09	18.48	19.18	18.48	18.96	2731761	114507024.00
2015/06/10	19.08	20.10	18.70	20.02	4244614	184929648.00
2015/06/11	20.01	20.79	19.58	20.61	4973922	225821904.00
2015/06/12	20.90	21.35	20.49	20.62	4922422	227310576.00
2015/06/15	20.54	20.54	19.06	19.20	4131350	181157568.00
2015/06/16	18.76	19.21	17.89	18.10	2853528	116778480.00
2015/06/17	18.10	19.12	17.90	19.12	2790907	114421304.00
2015/06/18	18.89	19.89	18.77	19.14	3149690	134931536.00
2015/06/19	18.76	19.24	18.08	18.25	2431461	100239512.00
2015/06/23	18.10	20.09	18.10	20.09	5341779	230066016.00
2015/06/24	21.12	22.10	20.80	22.10	5433934	260089392.00
2015/06/25	23.49	23.49	20.12	21.18	9500789	460401568.00
2015/06/26	20.48	20.48	19.05	19.05	3359310	146426656.00
2015/06/29	19.14	19.89	17.14	17.14	3680208	144295904.00
2015/06/30	16.26	18.12	15.41	17.51	4288778	157776528.00
2015/07/01	17.29	18.14	15.80	16.48	3989968	154532000.00
2015/07/02	16.08	17.06	14.82	14.82	3855240	134766864.00
2015/07/14	16.31	16.31	16.31	16.31	252800	9131136.00
2015/07/15	16.99	16.99	14.67	14.67	2237001	75789720.00
2015/12/23	16.15	16.15	16.15	16.15	132510	4738557.50
2015/12/24	17.78	17.78	17.78	17.78	206702	8131656.50
2015/12/25	19.56	19.56	19.56	19.56	253325	10961373.00
2015/12/28	21.49	21.49	20.15	20.35	11034143	506552704.00
2015/12/29	20.71	22.39	20.71	22.39	6491363	312144736.00
2015/12/30	21.94	22.09	20.35	21.21	8247845	387484352.00
2015/12/31	21.08	22.92	20.36	22.23	8601033	410980032.00
2016/01/04	21.67	24.35	20.80	21.24	7764773	396311104.00
2016/01/05	21.71	23.38	21.71	23.38	14419065	736197952.00
2016/01/06	23.01	25.12	22.08	23.98	15731756	815024192.00
2016/01/07	23.10	23.19	21.57	21.57	2980200	146812400.00
2016/01/08	21.94	22.03	19.40	20.71	10256151	468956704.00
2016/01/11	20.05	20.11	18.63	18.63	5561227	235157072.00
2016/01/12	17.62	17.94	16.76	16.76	6358903	240592416.00
2016/01/13	16.47	17.85	16.46	16.75	5219138	197425984.00
2016/01/14	15.70	17.52	15.34	17.14	4593492	167735888.00
2016/01/15	16.77	17.35	15.42	15.48	4492564	163666848.00
2016/01/18	14.85	16.87	14.85	16.21	4365703	155232976.00
