002738 中矿资源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/12/30	5.74	6.95	5.74	6.95	29300	318005.00
2014/12/31	7.68	7.68	7.68	7.68	10000	119900.00
2015/01/05	8.48	8.48	8.48	8.48	14900	196531.00
2015/01/06	9.36	9.36	9.36	9.36	28100	407731.00
2015/01/07	10.32	10.32	10.32	10.32	55200	880992.00
2015/01/08	11.39	11.39	11.39	11.39	116400	2043984.00
2015/01/09	12.56	12.56	12.56	12.56	375100	7246932.00
2015/01/12	13.82	13.85	13.03	13.85	16682944	345300576.00
2015/01/13	13.99	15.27	13.42	15.27	11793151	261423776.00
2015/01/14	16.02	16.83	15.70	16.83	9613421	241820752.00
2015/01/15	17.42	18.54	17.26	18.54	11310031	312623264.00
2015/01/16	19.82	20.43	19.78	20.43	5630590	173884464.00
2015/01/19	21.90	22.50	20.02	22.50	16965576	560273024.00
2015/01/20	22.08	24.78	22.07	24.78	9465091	344109952.00
2015/01/21	27.27	27.30	25.20	25.22	18984398	761455552.00
2015/01/22	24.50	27.27	24.50	26.48	15375876	605020096.00
2015/01/23	25.92	26.27	24.55	24.60	11688840	446407680.00
2015/01/26	24.34	25.27	23.94	24.94	10387324	387137152.00
2015/01/27	24.42	25.38	24.36	24.76	8087900	305179168.00
2015/01/28	24.43	27.27	24.43	27.27	14576160	589029504.00
2015/01/29	26.35	29.34	25.76	26.36	20332385	857960448.00
2015/01/30	25.42	25.49	23.69	23.69	13794033	513237088.00
2015/02/02	23.02	23.35	22.07	22.28	8962778	307292096.00
2015/02/03	22.55	24.14	22.38	23.10	9068788	318512160.00
2015/02/04	22.67	23.07	22.22	22.87	7417953	254835472.00
2015/02/05	22.84	24.12	22.26	22.83	10102119	357881344.00
2015/02/06	21.68	21.87	20.52	20.66	8760306	280090816.00
2015/02/09	20.55	21.12	20.35	20.80	4108175	129881840.00
2015/02/10	20.80	21.11	20.35	21.04	3799394	120368968.00
2015/02/11	21.20	21.68	20.88	20.96	4903743	159094528.00
2015/02/12	20.68	22.50	20.62	21.28	7800281	254855024.00
2015/02/13	21.00	22.99	20.88	22.22	9750767	326204256.00
2015/02/16	21.68	22.08	21.28	21.62	6101015	200722912.00
2015/02/17	21.68	22.43	21.22	21.36	4297719	142062864.00
2015/02/25	21.45	22.81	21.12	22.10	6679427	223956832.00
2015/02/26	21.79	21.94	21.15	21.62	5174087	169565136.00
2015/02/27	21.62	22.58	21.42	22.04	6290168	211174944.00
2015/03/02	22.18	22.40	21.75	22.34	4887697	164970032.00
2015/03/03	22.08	24.60	21.72	23.15	10386104	364473344.00
2015/03/04	22.54	23.82	22.54	23.17	6639760	234500928.00
2015/03/05	22.90	23.02	21.89	22.07	5295110	179747456.00
2015/03/06	21.68	21.99	21.27	21.28	3711928	121648792.00
2015/03/09	20.94	21.30	20.72	21.16	2111001	67617992.00
2015/03/10	21.35	21.62	21.19	21.39	2208316	71913544.00
2015/03/11	21.26	21.50	21.00	21.10	2426077	78305928.00
2015/03/12	20.90	21.08	19.68	20.26	3406722	105956432.00
2015/03/13	20.26	20.81	20.15	20.74	1725335	53928584.00
2015/03/16	20.94	21.56	20.80	21.42	2867182	92937688.00
2015/03/17	21.68	21.74	21.25	21.65	3673234	120343360.00
2015/03/18	21.68	22.01	21.67	21.87	3898539	129275808.00
2015/03/19	21.85	24.09	21.56	24.09	7186931	253345184.00
2015/03/20	24.68	25.15	23.35	23.55	10719088	391545152.00
2015/03/23	23.70	23.87	22.91	23.75	6121513	218046000.00
2015/03/24	23.78	24.10	22.68	23.43	5015930	178363920.00
2015/03/25	23.02	23.68	23.02	23.48	3891587	138307712.00
2015/03/26	23.45	25.02	23.02	24.20	7022339	255348672.00
2015/03/27	23.95	23.95	23.15	23.39	3855610	137705792.00
2015/03/30	23.45	24.06	23.16	23.49	3384794	121498168.00
2015/03/31	23.49	23.62	22.94	23.02	3410133	120043864.00
2015/04/01	23.08	23.34	22.88	23.20	2210620	77679728.00
2015/04/02	23.23	23.88	23.06	23.72	4247157	152188352.00
2015/04/03	23.68	24.05	23.35	23.90	4201680	151243104.00
2015/04/07	23.90	25.40	23.79	25.03	7052096	266491776.00
2015/04/08	24.87	25.02	23.58	24.10	5441377	200248256.00
2015/04/09	24.02	24.02	22.56	23.22	3454474	122155480.00
2015/04/10	23.02	23.58	22.68	23.55	3116879	110523792.00
2015/04/13	23.57	24.92	23.45	24.72	5404988	200654848.00
2015/04/14	24.34	26.98	24.23	26.11	8590086	337360032.00
2015/04/15	25.68	26.14	24.28	24.45	4907527	186687712.00
2015/04/16	24.14	25.45	23.24	25.36	4309616	159600992.00
2015/04/17	25.14	26.68	24.92	26.24	6961399	276176928.00
2015/04/20	26.08	27.55	24.75	25.07	6853538	272680128.00
2015/04/21	24.35	26.35	24.25	26.32	4566759	175913504.00
2015/04/22	26.28	27.54	26.08	26.35	5179492	209630320.00
2015/04/23	26.33	29.02	26.09	29.02	6616468	278242432.00
2015/04/24	30.34	31.62	27.91	29.00	10079098	454572864.00
2015/04/27	28.23	29.40	28.02	28.28	5470055	236824800.00
2015/04/28	27.68	27.88	25.48	25.55	5551326	222776112.00
2015/04/29	25.35	26.42	25.15	26.21	2878534	114035520.00
2015/04/30	26.62	26.82	25.55	25.57	2944144	115986712.00
2015/05/04	25.57	25.57	24.35	25.26	2519884	95487136.00
2015/05/05	25.02	26.52	24.75	25.27	2908243	113734728.00
2015/05/06	25.35	25.62	23.76	24.20	2474053	93750736.00
2015/05/07	24.13	24.48	22.02	22.28	2595208	90920384.00
2015/05/08	22.80	23.68	22.43	23.50	2398186	83490808.00
2015/05/11	23.94	25.28	23.48	25.14	4822319	179925984.00
2015/05/12	25.18	26.74	25.18	26.41	8439640	334803872.00
2015/05/13	25.68	26.28	25.01	25.72	5255118	203283696.00
2015/05/14	25.49	28.02	25.36	27.48	8078243	328126304.00
2015/05/15	27.53	28.78	26.02	27.99	8833794	367975776.00
2015/05/18	27.48	30.35	27.48	30.22	9384325	418126688.00
2015/05/19	30.68	31.58	28.74	29.15	7554049	340868256.00
2015/05/20	29.02	30.27	28.42	29.17	7009975	314089312.00
2015/05/21	28.58	30.18	27.74	29.82	7333910	319361568.00
2015/05/22	30.05	30.34	28.64	29.62	6299995	281352032.00
2015/05/25	28.95	32.61	28.72	32.61	4848931	228633920.00
2015/05/26	35.31	35.90	34.28	35.90	3703411	199016560.00
2015/05/27	39.01	39.52	36.30	39.52	12384303	720213632.00
2015/05/28	41.68	43.51	39.02	39.55	14843383	958073344.00
2015/05/29	35.68	40.05	35.56	36.34	10557224	592135488.00
2015/06/01	35.88	37.64	35.02	36.92	7415978	407289824.00
2015/06/02	36.76	40.34	35.68	39.70	7408105	421074496.00
2015/06/03	39.01	41.02	37.08	37.74	5561136	328491200.00
2015/06/04	37.10	37.12	33.94	34.88	5629024	298248064.00
2015/06/05	34.91	36.88	34.88	35.36	4059374	219140592.00
2015/06/08	35.65	35.65	32.88	33.60	4159013	213256512.00
2015/06/09	33.58	35.45	33.37	34.95	3507222	184419888.00
2015/06/10	34.94	36.22	33.88	35.45	3918459	210809328.00
2015/06/11	35.68	35.86	35.02	35.74	3298262	177217088.00
2015/06/12	35.47	36.40	35.16	36.40	4095124	222396976.00
2015/06/15	36.47	38.46	34.52	35.08	4485548	248659872.00
2015/06/16	33.94	33.94	31.70	31.80	3499153	173531632.00
2015/06/17	31.14	32.75	30.25	32.43	2592294	123503080.00
2015/06/18	32.42	32.98	30.02	30.17	2117220	102183128.00
2015/06/19	29.65	29.70	27.13	27.13	2711930	114893792.00
2015/06/23	27.13	27.74	24.74	27.35	2515537	101026840.00
2015/06/24	27.75	28.25	26.82	27.92	2641372	110538488.00
2015/06/25	27.78	27.78	25.12	25.45	2441281	98398376.00
2015/06/26	24.78	24.78	22.88	22.88	2227365	79724264.00
2015/06/29	23.59	23.77	20.58	20.58	2647110	86413784.00
2015/06/30	19.98	22.12	18.50	21.78	3023244	92494544.00
2015/07/01	21.17	22.76	19.58	19.92	3031616	99099328.00
2015/07/02	20.12	20.72	18.39	18.65	2795980	82756304.00
2015/07/03	18.65	20.54	17.79	20.54	5101822	151813856.00
2015/07/06	22.61	22.61	20.79	22.30	8228721	274572224.00
2015/07/07	20.04	21.12	20.04	20.04	1627500	49670984.00
2015/07/08	18.02	18.32	18.02	18.02	3981048	108935680.00
2015/07/09	16.20	19.84	16.20	19.84	4441445	124574272.00
2015/07/10	19.98	21.85	19.98	21.85	2547482	82916104.00
2015/07/13	22.88	24.06	21.67	24.06	6359610	224728176.00
2015/07/14	23.13	25.44	22.80	23.11	6306841	227585232.00
2015/07/15	22.12	22.38	20.78	20.78	2814612	91001040.00
2015/07/16	20.78	22.45	19.12	21.90	4168236	135167792.00
2015/07/17	21.98	23.70	21.92	23.04	3416019	117894344.00
2015/07/20	23.05	23.38	21.78	22.68	3192947	110020632.00
2015/07/22	24.98	24.98	22.86	23.57	4303095	156307408.00
2015/07/23	23.06	24.90	23.02	24.38	4190652	152831424.00
2015/07/24	24.45	25.95	23.78	24.16	4880511	184906976.00
2015/07/27	22.79	23.72	21.72	21.72	3653567	125151672.00
2015/07/28	19.78	22.04	19.52	20.34	2938187	90964672.00
2015/07/29	21.12	22.02	20.32	21.96	2514832	80521256.00
2015/07/30	21.74	22.43	20.78	20.89	2203129	72253968.00
2015/07/31	19.92	21.12	19.92	20.45	1249520	39005172.00
2015/08/03	19.98	20.43	18.52	18.78	1381591	40616488.00
2015/08/04	18.58	20.37	18.58	20.28	1394642	41483288.00
2015/08/05	20.22	20.86	19.85	20.42	1804796	55661232.00
2015/08/06	20.05	20.72	19.66	20.52	1351132	41566364.00
2015/08/07	20.65	21.42	20.56	21.16	1562866	49858444.00
2015/08/10	21.62	22.64	21.19	22.40	2333538	78178848.00
2015/08/11	21.91	24.44	21.82	23.52	4200197	146035312.00
2015/08/12	22.78	23.32	22.06	22.18	2685328	92447288.00
2015/08/13	22.00	23.18	21.99	23.12	1950225	66475960.00
2015/08/14	23.12	23.38	22.78	22.84	1765212	61374328.00
2015/08/17	22.80	22.99	22.15	22.84	1528530	52231660.00
2015/08/18	22.92	23.66	20.98	22.46	3977752	137987168.00
2015/08/19	21.78	24.72	21.32	24.72	7008975	254804096.00
2015/08/20	25.35	25.35	23.12	23.12	5709305	210630304.00
2015/08/21	22.46	23.78	20.79	23.74	3698391	122865880.00
2015/08/24	21.36	26.12	21.34	21.34	6250450	222854672.00
2015/08/25	19.19	19.78	19.19	19.19	1941648	56724204.00
2015/08/26	18.38	19.55	17.25	17.25	4252571	116806056.00
2015/08/27	17.38	17.96	15.52	17.52	2925361	75956096.00
2015/08/28	17.68	18.91	16.79	18.52	3750219	100888328.00
2015/08/31	17.95	18.37	16.64	16.64	2538577	66833572.00
2015/09/01	16.53	16.53	14.96	14.96	1780752	41369152.00
