002768 国恩股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/30	7.32	8.09	7.32	8.09	18901	475541.88
2015/07/01	8.93	8.93	8.93	8.93	4500	124560.00
2015/07/02	9.85	9.85	9.85	9.85	17400	529830.00
2015/07/03	10.87	10.87	10.87	10.87	311505	10435418.00
2015/07/06	11.99	11.99	11.99	11.99	376705	13881579.00
2015/07/07	11.99	12.00	10.76	10.76	10828066	374363712.00
2015/07/08	9.65	9.65	9.65	9.65	667300	19918904.00
2015/07/09	8.66	10.65	8.66	10.65	8582681	260304144.00
2015/07/10	11.74	11.74	11.04	11.74	2215237	79827608.00
2015/07/13	12.95	12.95	12.95	12.95	493411	19603220.00
2015/07/14	14.23	14.27	13.52	14.27	4514812	196239072.00
2015/07/15	14.37	15.37	12.81	12.84	9525883	400479008.00
2015/07/16	12.37	13.73	11.52	13.27	6404628	253051104.00
2015/07/17	13.27	14.57	12.67	14.22	5543524	231537600.00
2015/07/20	13.73	14.14	12.87	13.17	5044673	210019760.00
2015/07/21	12.70	13.70	12.58	13.54	3712391	152417280.00
2015/07/22	13.61	14.87	13.37	14.26	5860791	254223696.00
2015/07/23	13.94	15.71	13.74	15.71	4888961	221029312.00
2015/07/24	16.70	17.31	15.94	16.10	8724850	444498592.00
2015/07/27	15.07	16.65	14.46	14.46	5333961	256481280.00
2015/07/28	13.14	15.20	12.98	13.60	5488197	229251424.00
2015/07/29	14.04	14.99	13.00	14.99	5155691	220714848.00
2015/07/30	15.20	16.52	14.70	15.78	8571328	418786400.00
2015/07/31	15.04	17.38	14.78	17.38	9513855	484472704.00
2015/08/03	17.70	19.15	16.79	19.15	9697550	533456576.00
2015/08/04	19.04	19.99	17.21	17.54	9478581	515363328.00
2015/08/05	16.49	18.94	16.49	17.97	7376552	401698304.00
2015/08/06	17.37	17.70	16.17	16.40	5113720	261696784.00
2015/08/07	16.41	17.04	15.94	16.54	3825997	193563392.00
2015/08/10	16.67	17.42	16.27	17.27	3983263	206484512.00
2015/08/11	17.30	18.37	17.11	17.97	4337231	236721392.00
2015/08/12	17.87	17.95	16.60	16.61	4023064	211816432.00
2015/08/13	16.27	16.90	15.96	16.78	2988222	150063792.00
2015/08/14	17.00	17.20	16.39	16.77	2593711	132752568.00
2015/08/17	16.48	16.70	15.56	15.58	2787616	135887296.00
2015/08/18	15.72	16.30	14.03	14.42	2890540	135490288.00
2015/08/19	13.84	15.30	13.52	15.04	2846036	125039744.00
2015/08/20	14.80	15.01	13.80	13.90	1832790	81121024.00
2015/08/21	13.68	14.08	13.04	13.16	1924670	80262912.00
2015/08/24	12.54	12.96	11.81	11.81	1911413	70476216.00
2015/08/25	10.66	12.80	10.66	11.02	3530358	124721992.00
2015/08/26	11.37	12.16	11.07	12.16	4840168	177548656.00
2015/08/27	12.70	13.33	11.74	12.78	6067681	232294256.00
2015/08/28	12.53	13.66	12.21	13.28	5210129	203500944.00
2015/08/31	12.71	12.90	11.92	11.92	2910719	111441904.00
2015/09/01	11.60	11.63	10.70	10.70	2754804	93906720.00
2015/09/02	10.20	11.35	9.89	10.37	2478651	82186024.00
2015/09/07	10.76	11.20	10.54	10.87	2079660	69682896.00
2015/09/08	10.82	11.92	10.66	11.90	3280229	115497792.00
2015/09/09	11.70	12.53	11.70	12.14	3503362	131330000.00
2015/09/10	11.71	12.02	11.44	11.50	2261199	81535328.00
2015/09/11	11.51	11.85	11.41	11.69	1433453	51341984.00
2015/09/14	11.72	12.30	10.87	12.30	4380995	157495328.00
2015/09/15	11.80	12.70	11.37	12.43	3294384	122774432.00
2015/09/16	12.43	13.67	12.40	13.54	4733146	190079888.00
2015/09/17	13.44	13.55	12.63	12.63	4533653	182375968.00
2015/09/18	12.63	12.89	12.33	12.50	2346623	90782144.00
2015/09/21	12.37	13.55	12.27	13.17	3003591	118950792.00
2015/09/22	13.10	13.16	12.57	12.78	2465585	97514200.00
2015/09/23	12.63	13.10	12.46	12.77	2134706	83981800.00
2015/09/24	12.77	13.14	12.65	12.79	2108600	83408480.00
2015/09/25	12.72	12.99	11.77	12.29	2098224	79964752.00
2015/09/28	12.19	12.57	12.04	12.54	1442477	54929652.00
2015/09/29	12.23	12.35	11.99	12.04	1318846	49338168.00
2015/09/30	12.05	12.22	11.82	12.14	1245063	46006024.00
2015/10/08	12.94	12.94	12.37	12.64	1745328	67927128.00
2015/10/09	12.55	13.44	12.44	13.40	2824232	112474928.00
2015/10/12	13.63	14.40	13.60	14.19	4461310	190645280.00
2015/10/13	13.90	14.04	13.77	14.00	2640397	112468408.00
2015/10/14	13.92	14.30	13.84	14.07	3134028	135339360.00
2015/10/15	14.03	14.47	13.97	14.43	3176152	138738016.00
2015/10/16	14.47	14.47	13.90	14.28	3138775	135996624.00
2015/10/19	14.23	14.23	13.71	13.90	2303282	98669432.00
2015/10/20	13.90	14.40	13.87	14.39	2916517	126976944.00
2015/10/21	14.67	15.03	13.01	13.11	4230497	184577888.00
2015/10/22	13.04	13.59	12.94	13.46	2651684	107965376.00
2015/10/23	13.44	13.84	13.38	13.79	2383055	99780648.00
2015/10/26	13.97	14.10	13.80	14.04	2505209	107019112.00
2015/10/27	13.87	14.26	13.44	14.21	2087603	88559032.00
2015/10/28	14.22	14.33	13.81	13.84	2290968	98776408.00
2015/10/29	13.91	14.20	13.78	14.00	1599099	68654120.00
2015/10/30	14.02	14.66	13.65	14.30	2803732	122146496.00
2015/11/02	14.04	15.46	13.90	14.77	4174992	190466400.00
2015/11/03	14.70	15.86	14.66	15.74	4217949	197618352.00
2015/11/04	15.84	16.40	15.48	16.17	4695887	228079904.00
2015/11/05	16.02	16.59	15.78	15.88	3252542	159682416.00
2015/11/06	15.91	16.86	15.91	16.86	2903507	145293520.00
2015/11/09	16.70	18.12	16.39	17.62	3788715	200336160.00
2015/11/10	17.60	18.04	16.93	17.71	3296562	175647456.00
2015/11/11	17.57	19.51	17.57	19.51	3410324	196121968.00
2015/11/12	20.40	21.04	19.54	20.34	4797487	295530336.00
2015/11/13	19.70	19.87	18.27	18.27	4198002	241072896.00
2015/11/16	17.62	18.82	17.41	18.50	3021188	168079968.00
2015/11/17	18.65	19.02	17.54	17.67	3410586	192243936.00
2015/11/18	17.50	17.84	16.70	16.83	2706013	141915520.00
2015/11/19	17.04	18.10	17.00	18.09	2189310	116551192.00
2015/11/20	18.30	19.29	18.09	19.23	3973483	226398784.00
2015/11/23	18.87	19.66	18.41	18.66	3224405	186215072.00
2015/11/24	18.79	20.56	18.72	20.56	4128501	250176736.00
2015/11/25	21.22	21.87	20.27	20.64	5233082	333119520.00
2015/11/26	20.70	21.53	20.20	20.74	3887354	247035248.00
2015/11/27	20.41	20.99	19.27	19.72	3358293	206355216.00
2015/11/30	19.90	21.69	19.71	21.58	3940259	246569536.00
2015/12/01	21.31	22.03	19.77	20.65	3727981	239436400.00
2015/12/02	20.10	20.66	19.04	20.25	2291499	139006624.00
2015/12/03	20.54	21.54	20.37	21.37	3100552	198281440.00
2015/12/04	21.34	21.57	20.27	20.84	3097852	198150880.00
2015/12/07	20.75	21.02	20.00	20.35	2033986	125817504.00
2015/12/08	20.38	21.01	20.20	20.38	2239428	140103840.00
