002786 银宝山新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/12/23	4.43	5.08	4.43	5.08	14601	225377.48
2015/12/24	5.59	5.59	5.59	5.59	3600	61128.00
2015/12/25	6.16	6.16	6.16	6.16	2300	42964.00
2015/12/28	6.78	6.78	6.78	6.78	3900	80145.00
2015/12/29	7.47	7.47	7.47	7.47	3800	85918.00
2015/12/30	8.22	8.22	8.22	8.22	5700	141759.00
2015/12/31	9.05	9.05	9.05	9.05	8400	229824.00
2016/01/04	9.97	9.97	9.97	9.97	40900	1231090.00
2016/01/05	10.97	10.97	10.97	10.97	83900	2777929.00
2016/01/06	12.07	12.07	12.07	12.07	36000	1311120.00
2016/01/07	13.29	13.29	13.29	13.29	50550	2025033.00
2016/01/08	14.62	14.62	14.62	14.62	114161	5031075.50
2016/01/11	16.09	16.09	16.09	16.09	263310	12765269.00
2016/01/12	17.71	17.71	15.93	15.94	19668706	1005593024.00
2016/01/13	14.43	15.38	14.34	14.34	11812725	516888544.00
2016/01/14	13.17	15.78	13.13	15.78	17675435	811711680.00
2016/01/15	15.71	15.92	14.19	14.19	9089294	398780544.00
2016/01/18	12.77	13.57	12.77	12.77	14260973	555556288.00
2016/01/19	12.47	13.40	12.47	13.13	10430416	408861056.00
2016/01/20	13.00	14.45	13.00	13.47	14567482	603242496.00
2016/01/21	12.87	13.06	12.11	12.11	10112041	379345600.00
2016/01/22	12.20	12.72	11.44	12.30	8358765	307819264.00
2016/01/25	12.47	12.56	12.11	12.37	6103863	227112144.00
2016/01/26	12.12	12.13	11.13	11.13	6620688	228690960.00
2016/01/27	11.04	11.41	10.27	11.17	6791837	220944208.00
2016/01/28	10.89	11.02	10.04	10.05	5353927	170360832.00
2016/01/29	9.95	10.93	9.94	10.64	6287264	200440464.00
2016/02/01	10.53	11.60	10.44	10.80	6670538	220694272.00
2016/02/02	10.64	11.17	10.52	11.02	6142209	203560400.00
2016/02/03	10.77	11.18	10.44	11.08	5205038	170059248.00
2016/02/04	11.10	12.20	11.07	12.17	11493166	415454048.00
2016/02/05	12.10	12.22	11.37	11.47	8332840	293958368.00
2016/02/15	10.61	11.41	10.61	11.19	4095164	135151488.00
2016/02/16	11.28	11.88	11.27	11.68	5121628	180207760.00
2016/02/17	11.60	12.14	11.53	11.78	6130812	218234224.00
2016/02/18	11.97	12.96	11.82	12.59	11272630	423979584.00
2016/02/19	12.20	12.66	12.03	12.27	7004458	261000080.00
2016/02/22	12.66	13.00	12.27	12.90	7338766	279908352.00
2016/02/23	12.83	13.86	12.66	13.46	9158263	369121088.00
2016/02/24	13.20	13.36	12.45	12.85	7388527	286866464.00
2016/02/25	12.72	12.72	11.56	11.56	5906561	214290448.00
2016/02/26	11.73	11.86	10.80	11.21	4390463	150992240.00
2016/02/29	11.12	11.21	10.09	10.11	4471270	139041072.00
2016/03/01	10.12	10.58	9.67	10.43	4980393	152739344.00
2016/03/02	10.27	11.12	10.23	11.02	5042299	162413056.00
2016/03/03	11.03	11.26	10.76	10.77	4467170	148779280.00
2016/03/04	10.60	10.93	9.87	9.99	4066824	127083776.00
2016/03/07	10.19	10.51	10.04	10.19	3158603	97972728.00
2016/03/08	10.15	10.17	9.44	10.09	3467910	102927128.00
2016/03/09	9.77	10.36	9.61	9.97	3333560	100847968.00
2016/03/10	9.99	10.16	9.78	9.80	2084254	62666128.00
2016/03/11	9.67	9.97	9.57	9.89	2250336	66526528.00
2016/03/14	10.08	10.57	10.08	10.39	3775952	118359408.00
2016/03/15	10.37	10.68	10.33	10.42	3352446	106307816.00
2016/03/16	10.60	10.79	10.17	10.20	3104731	97941176.00
2016/03/17	10.18	10.67	10.15	10.60	3707198	117020904.00
2016/03/18	10.63	11.33	10.58	11.27	5202531	172824512.00
2016/03/21	11.48	11.59	11.24	11.51	5151883	177911344.00
2016/03/22	11.35	12.04	11.14	11.85	5858259	205576000.00
2016/03/23	11.70	12.36	11.61	12.11	5477167	197675728.00
2016/03/24	11.93	12.09	11.37	11.38	4740612	168255520.00
2016/03/25	11.48	11.59	11.28	11.47	2766658	95694448.00
2016/03/28	11.55	11.92	11.30	11.33	3036925	106783464.00
2016/03/29	11.31	11.53	10.78	10.86	3121573	103768560.00
2016/03/30	11.04	11.50	11.00	11.48	2997685	101484648.00
2016/03/31	11.58	12.13	11.54	11.82	4925703	175660896.00
2016/04/01	11.68	11.81	11.33	11.51	3218358	111990424.00
2016/04/05	11.67	12.67	11.67	12.67	7125886	264843536.00
2016/04/06	12.60	12.83	12.34	12.60	7117572	270055104.00
2016/04/07	12.60	12.67	12.20	12.23	4136624	154470704.00
2016/04/08	12.01	13.02	11.95	12.88	6827641	261011936.00
2016/04/11	13.06	13.77	12.78	13.39	7203057	290728896.00
2016/04/12	14.73	14.73	14.73	14.73	1783385	79182296.00
2016/04/13	15.86	16.21	15.50	16.21	12068721	578234048.00
2016/04/14	16.38	17.84	16.23	17.84	13318198	690236736.00
2016/04/15	17.89	18.15	16.90	17.02	13497392	706948480.00
2016/04/18	16.72	17.65	16.70	17.09	9446126	490337632.00
2016/04/19	17.27	18.80	17.26	18.36	12938542	717720896.00
2016/04/20	18.06	18.53	16.62	17.14	11857594	624436672.00
