002792 通宇通讯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/03/28	19.67	21.50	19.67	21.50	16800	553514.00
2016/03/29	23.70	23.70	23.70	23.70	7316	265790.28
2016/03/30	26.12	26.12	26.12	26.12	3800	151848.00
2016/03/31	28.79	28.79	28.79	28.79	14900	655004.00
2016/04/01	31.72	31.72	31.72	31.72	35500	1716780.00
2016/04/05	34.95	34.95	34.95	34.95	35877	1908656.38
2016/04/06	38.50	38.50	38.50	38.50	67059	3924292.75
2016/04/07	42.40	42.40	42.40	42.40	148876	9583148.00
2016/04/08	46.69	46.69	46.69	46.69	347968	24639614.00
2016/04/11	51.41	51.41	49.19	51.41	16440418	1265445248.00
2016/04/12	50.80	56.55	50.62	53.33	15812539	1282174080.00
2016/04/13	52.15	56.48	51.49	53.40	12880327	1050060224.00
2016/04/14	53.48	58.80	53.03	58.80	10923243	934488448.00
2016/04/15	60.82	62.68	58.90	59.00	14015188	1281902976.00
2016/04/18	56.54	57.42	53.50	55.62	7469669	632204544.00
2016/04/19	56.14	58.68	55.78	56.83	6465379	559199168.00
2016/04/20	56.48	57.27	52.06	55.79	8120092	677990080.00
2016/04/21	54.52	55.57	52.89	52.95	5214662	429028224.00
2016/04/22	52.15	53.44	51.62	53.26	4182670	333075840.00
2016/04/25	52.82	52.98	50.27	52.22	4181038	327243104.00
2016/04/26	51.74	56.52	51.62	55.68	6124146	501255168.00
2016/04/27	54.82	55.68	54.08	54.11	4592569	381330016.00
2016/04/28	53.82	55.25	52.28	54.58	4335482	353526688.00
2016/04/29	53.99	54.03	52.84	53.03	3141891	254064192.00
2016/05/03	52.82	55.15	52.07	55.00	4382991	358395392.00
2016/05/04	54.35	55.42	54.28	54.75	4277141	354691680.00
2016/05/05	55.04	55.42	54.12	55.05	4346163	360729984.00
2016/05/06	55.20	56.08	52.48	52.49	6255863	515095808.00
2016/05/09	51.50	51.77	48.74	48.88	4229347	319292992.00
2016/05/10	48.82	49.54	48.55	48.78	2166546	160865616.00
2016/05/11	49.27	49.42	46.52	46.56	2914006	211046432.00
2016/05/12	45.61	45.74	44.19	45.60	2652235	181138016.00
2016/05/13	45.28	46.14	45.15	45.48	2100537	145696944.00
2016/05/16	45.62	46.74	45.29	46.73	2179142	152590320.00
2016/05/17	46.82	46.85	45.82	46.07	2520728	176970224.00
2016/05/18	45.68	45.68	42.75	43.12	2687581	179604880.00
2016/05/19	43.32	45.00	43.32	43.95	2185466	146959232.00
2016/05/20	43.03	48.40	42.82	48.12	4036377	280024832.00
2016/05/23	48.02	49.92	47.36	48.61	4751453	351717312.00
2016/05/24	48.14	48.39	46.68	47.16	3080720	220640880.00
2016/05/25	47.85	49.25	47.35	47.76	3319149	243273712.00
2016/05/26	47.45	48.88	45.40	48.88	3581549	256275648.00
2016/05/27	49.00	50.88	48.75	49.44	4675248	354085568.00
2016/05/30	49.55	54.14	49.48	52.55	6410053	506293120.00
2016/05/31	52.55	56.07	51.58	54.88	6143008	503358944.00
2016/06/01	54.70	58.30	54.70	55.72	5619187	479787168.00
2016/06/02	55.67	57.02	54.82	56.82	4580653	388438080.00
2016/06/03	56.22	62.55	56.22	62.55	7401577	676713088.00
2016/06/06	62.82	63.88	58.48	60.62	7917916	732936896.00
2016/06/07	59.80	64.78	59.07	64.71	13916028	873701120.00
2016/06/08	62.75	63.37	59.16	59.25	12716425	774252096.00
2016/06/13	56.45	56.53	53.30	53.30	8097813	445468704.00
2016/06/14	51.35	53.08	50.05	52.70	6050216	315245376.00
2016/06/15	51.03	55.85	50.59	54.66	7424105	405750592.00
2016/06/16	54.85	55.74	53.75	54.07	5631819	308764608.00
2016/06/17	54.35	56.20	54.32	55.87	7109447	395552064.00
2016/06/20	55.74	58.70	54.25	57.42	9174400	524901184.00
2016/06/21	57.68	59.43	56.75	57.40	9053792	526215936.00
2016/06/22	56.83	58.54	56.03	57.65	5739513	330765440.00
2016/06/23	57.66	60.53	57.66	59.30	9017596	537426176.00
2016/06/24	59.24	59.24	53.77	56.65	9852704	565079808.00
2016/06/27	56.32	59.55	55.78	59.05	7428054	435687680.00
2016/06/28	59.01	61.74	57.56	61.55	10325763	620670336.00
2016/06/29	61.25	64.75	60.26	63.68	12538306	790667392.00
2016/06/30	61.53	62.28	58.78	59.55	10193985	620280960.00
2016/07/01	59.35	62.35	59.35	61.63	7628624	470364576.00
2016/07/04	61.15	64.34	60.45	63.65	8285506	519872160.00
2016/07/05	63.73	66.71	63.65	65.63	11434756	746931904.00
2016/07/06	65.30	65.45	62.93	64.55	7796272	504056384.00
2016/07/07	64.28	65.63	62.31	63.32	5911132	378640160.00
2016/07/08	63.32	65.71	62.75	64.34	6692722	434231904.00
2016/07/11	63.85	63.90	59.65	59.90	7919317	488070240.00
2016/07/12	59.75	61.07	56.82	60.95	5846873	347098528.00
2016/07/13	60.75	61.12	59.65	59.93	4412530	267183472.00
2016/07/14	60.06	61.13	59.56	60.97	4169472	253605296.00
2016/07/15	61.06	62.24	60.65	60.65	4297309	265444320.00
2016/07/18	59.75	59.75	58.15	58.60	3879284	229293680.00
2016/07/19	59.73	59.73	58.15	59.15	2539252	150228736.00
2016/07/20	59.64	59.73	58.75	59.10	2306303	137054480.00
2016/07/21	59.25	59.43	57.25	57.55	3583547	210107568.00
2016/07/22	57.55	57.75	55.30	55.66	3544705	200529776.00
2016/07/25	55.35	56.72	55.30	55.84	1946675	109495600.00
2016/07/26	55.86	57.30	55.86	56.93	2184246	124670672.00
2016/07/27	56.93	57.45	51.91	52.65	4657272	254485024.00
2016/07/28	52.58	53.05	49.75	51.64	3168006	163862128.00
2016/07/29	51.63	52.54	50.53	51.93	2111423	109572648.00
2016/08/01	51.85	51.85	48.75	49.85	2096704	104998016.00
2016/08/02	49.85	50.35	49.60	50.14	1378287	69325488.00
2016/08/03	50.05	52.13	49.77	51.70	2699204	138796576.00
2016/08/04	51.80	51.80	50.97	51.63	1802845	93187168.00
