002806 华锋股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/07/26	4.67	5.11	4.67	5.11	9000	80294.00
2016/07/27	5.64	5.64	5.64	5.64	3100	30442.00
2016/07/28	6.21	6.21	6.21	6.21	2000	21600.00
2016/07/29	6.85	6.85	6.85	6.85	2000	23760.00
2016/08/01	7.55	7.55	7.55	7.55	2900	37903.00
2016/08/02	8.32	8.32	8.32	8.32	2100	30198.00
2016/08/03	9.17	9.17	9.17	9.17	1692	26767.44
2016/08/04	10.10	10.10	10.10	10.10	7800	135720.00
2016/08/05	11.12	11.12	11.12	11.12	13670	261643.80
2016/08/08	12.24	12.24	12.24	12.24	16300	343115.00
2016/08/09	13.48	13.48	13.48	13.48	6316	146278.56
2016/08/10	14.85	14.85	14.85	14.85	11058	281757.84
2016/08/11	16.35	16.35	16.35	16.35	18000	504540.00
2016/08/12	18.00	18.00	18.00	18.00	24387	751851.19
2016/08/15	19.81	19.81	19.81	19.81	20400	691764.00
2016/08/16	21.80	21.80	21.80	21.80	32333	1206020.88
2016/08/17	24.00	24.00	24.00	24.00	41810	1715464.25
2016/08/18	26.41	26.41	26.41	26.41	36400	1642732.00
2016/08/19	29.06	29.06	29.06	29.06	67543	3352834.50
2016/08/22	31.98	31.98	31.98	31.98	62732	3425167.25
2016/08/23	35.19	35.19	35.19	35.19	122440	7353746.50
2016/08/24	38.73	38.73	38.73	38.73	166475	10999003.00
2016/08/25	42.61	42.61	42.61	42.61	810535	58909684.00
2016/08/26	44.27	46.89	44.13	46.89	8544831	666607616.00
2016/08/29	42.80	44.37	42.19	42.19	8563864	627581120.00
2016/08/30	41.63	42.37	40.28	40.71	7522489	527910976.00
2016/08/31	40.47	42.65	39.10	41.42	7939247	553895808.00
2016/09/01	41.04	42.92	40.63	41.57	6920367	494179232.00
2016/09/02	40.46	41.49	39.86	40.34	4764741	329604224.00
2016/09/05	40.38	40.66	37.94	38.21	4922792	329807008.00
2016/09/06	38.26	39.27	38.08	38.92	3581898	236709952.00
2016/09/07	38.74	38.98	37.45	37.81	3715061	242398000.00
2016/09/08	37.54	38.03	36.80	37.19	2560040	163386160.00
2016/09/09	37.21	38.38	36.81	37.40	3094377	198174528.00
2016/09/12	35.74	38.26	35.45	37.48	2898995	183451568.00
2016/09/13	37.90	38.09	36.21	36.85	2460503	155163856.00
2016/09/14	36.19	37.50	36.10	36.91	2032937	128257064.00
2016/09/19	37.11	38.21	36.80	37.67	2910272	187126544.00
