002813 路畅科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/10/12	8.64	9.61	8.64	9.61	10555	104668.66
2016/10/13	10.60	10.60	10.60	10.60	612	6676.92
2016/10/14	11.69	11.69	11.69	11.69	2100	25200.00
2016/10/17	12.89	12.89	12.89	12.89	1993	26307.60
2016/10/18	14.21	14.21	14.21	14.21	1700	24684.00
2016/10/19	15.66	15.66	15.66	15.66	5000	79850.00
2016/10/20	17.26	17.26	17.26	17.26	7500	131775.00
2016/10/21	19.02	19.02	19.02	19.02	7951	153692.83
2016/10/24	20.95	20.95	20.95	20.95	29700	631422.00
2016/10/25	23.08	23.08	23.08	23.08	31332	732855.50
2016/10/26	25.42	25.42	25.42	25.42	25210	648653.31
2016/10/27	27.99	27.99	27.99	27.99	30639	867083.69
2016/10/28	30.82	30.82	30.82	30.82	43504	1354279.50
2016/10/31	33.93	33.93	33.93	33.93	43542	1490878.13
2016/11/01	37.35	37.35	37.35	37.35	42700	1608082.00
2016/11/02	41.12	41.12	41.12	41.12	97466	4038016.50
2016/11/03	45.26	45.26	45.26	45.26	146515	6676688.50
2016/11/04	49.82	49.82	49.82	49.82	260056	13036607.00
2016/11/07	54.83	54.83	54.83	54.83	1968541	108545352.00
2016/11/08	60.34	60.34	60.34	60.34	679562	41215436.00
2016/11/09	66.41	66.41	64.69	66.41	5916962	393989120.00
2016/11/10	71.19	73.08	69.30	73.08	19148247	1372283392.00
2016/11/11	75.69	79.32	74.99	75.22	18627163	1432732032.00
2016/11/14	71.69	72.59	68.57	69.18	11796556	831988480.00
2016/11/15	69.57	71.56	69.55	70.43	7184210	508557728.00
2016/11/16	68.19	68.95	66.09	66.33	6610939	444833408.00
2016/11/17	65.70	67.63	64.70	66.33	4404276	294114016.00
2016/11/18	65.56	67.49	65.21	66.45	3347973	224319104.00
2016/11/21	66.69	67.98	64.70	67.87	4945516	328966784.00
2016/11/22	67.29	71.69	67.22	69.44	7088664	496436032.00
2016/11/23	68.81	69.19	66.40	66.94	4472098	304158720.00
2016/11/24	66.48	67.35	65.22	65.60	2666302	177232176.00
2016/11/25	65.19	66.29	61.89	65.71	3757376	241814416.00
2016/11/28	65.27	65.27	63.49	63.85	1981169	127992976.00
2016/11/29	63.58	64.46	62.39	62.68	2416979	153427680.00
2016/11/30	61.74	62.66	61.29	61.39	2258862	140128288.00
2016/12/01	61.69	62.37	61.00	62.17	2104524	130516896.00
2016/12/02	61.70	62.38	59.38	59.41	2841568	173403648.00
2016/12/05	58.89	60.69	57.89	59.73	2527673	151872496.00
2016/12/06	59.42	61.79	59.42	61.48	3086179	189083696.00
2016/12/07	61.48	61.48	59.75	61.05	1859624	113195144.00
2016/12/08	61.20	62.19	60.49	61.51	2387505	147337632.00
2016/12/09	61.16	61.24	59.37	59.69	2020053	121588256.00
2016/12/12	59.68	59.68	53.69	53.69	3127249	175263232.00
2016/12/13	53.49	53.69	50.78	52.14	2164532	113985784.00
2016/12/14	52.18	52.54	50.27	50.69	2136996	110293744.00
2016/12/15	50.59	51.95	49.89	50.99	1877829	96776856.00
2016/12/16	51.01	51.64	50.41	51.45	1726054	88783864.00
2016/12/19	51.45	53.41	51.45	52.79	3114818	164894432.00
2016/12/20	52.34	52.42	51.39	51.86	1586533	82723128.00
2016/12/21	51.89	52.50	51.20	52.04	1450004	75696704.00
2016/12/22	52.14	52.20	51.34	51.84	1158855	60390664.00
2016/12/23	51.55	52.12	49.41	49.46	1659773	84523944.00
2016/12/26	48.49	49.75	46.72	49.26	1657610	80123160.00
2016/12/27	49.31	50.58	49.19	49.69	1398114	70195328.00
2016/12/28	49.69	50.28	49.39	49.55	884924	44278856.00
2016/12/29	49.49	50.22	49.09	49.71	1146023	57481568.00
2016/12/30	49.75	50.90	49.21	50.53	1206814	60938780.00
2017/01/03	50.98	55.61	50.29	55.61	2996180	161527856.00
2017/01/04	56.78	61.06	56.19	59.19	7605043	446663680.00
2017/01/05	58.20	58.22	56.57	56.71	4478872	257575072.00
2017/01/06	55.85	57.81	53.47	53.57	3553437	200208416.00
2017/01/09	52.49	58.69	52.17	56.34	3876797	217157168.00
2017/01/10	56.39	58.06	54.00	54.49	2938836	164992064.00
2017/01/11	53.57	53.99	50.34	50.79	2813587	148369648.00
2017/01/12	50.74	52.27	48.58	48.88	2740821	138606032.00
2017/01/13	48.69	49.29	45.69	45.79	2630772	124600088.00
2017/01/16	45.98	45.98	41.18	42.27	2253692	98156112.00
2017/01/17	42.59	44.29	40.15	43.58	2064151	88657664.00
2017/01/18	43.13	43.57	41.68	41.68	1229864	52450336.00
2017/01/19	41.29	43.09	40.29	41.90	1546792	65645856.00
2017/01/20	41.57	43.67	41.29	43.14	1533717	66570236.00
2017/01/23	43.19	44.92	43.19	43.54	1441401	63993228.00
2017/01/24	43.59	43.69	42.39	42.58	875660	37699828.00
2017/01/25	42.23	43.53	42.10	43.27	881484	38208716.00
2017/01/26	43.67	44.19	43.17	43.68	696412	30636428.00
2017/02/03	43.74	43.78	42.73	43.00	665372	28911452.00
2017/02/06	43.00	44.91	43.00	44.53	1276938	56691264.00
2017/02/07	44.39	44.73	43.79	44.73	1345063	59764536.00
2017/02/08	44.59	48.34	44.29	46.69	2935492	137045712.00
2017/02/09	46.66	49.33	46.31	47.65	3551235	171925984.00
2017/04/07	45.09	46.67	42.85	42.89	4456180	198231168.00
2017/04/10	41.69	41.69	38.57	38.57	4078664	162648608.00
2017/04/11	37.64	38.97	36.89	38.14	3282805	124869432.00
2017/04/12	37.69	39.58	37.04	39.27	3318926	127119232.00
2017/04/13	38.76	41.26	38.76	40.70	4153901	169708384.00
2017/04/14	40.21	40.68	38.03	39.40	2456117	97636160.00
2017/04/17	37.89	37.89	35.43	35.43	2484243	90603616.00
2017/04/18	34.75	36.13	34.75	35.09	1055302	37795700.00
2017/04/19	35.39	35.89	34.89	35.73	1386361	49674276.00
2017/04/20	35.89	36.07	32.69	33.71	1960267	67987344.00
2017/04/21	33.56	34.15	32.69	32.90	1238885	41544560.00
2017/04/24	32.84	32.84	31.75	32.09	1064075	34520784.00
2017/04/25	31.82	33.02	31.82	32.42	825806	27159448.00
2017/04/26	32.71	33.70	32.71	33.36	1297390	43568984.00
2017/04/27	32.80	34.17	31.71	33.99	1873728	62478424.00
2017/04/28	33.89	34.62	33.46	34.20	1197982	41267700.00
2017/05/02	34.28	34.38	33.60	33.79	850605	29228152.00
2017/05/03	33.64	34.31	33.29	34.19	921066	31487818.00
2017/05/04	34.09	34.25	33.39	33.56	888950	30381922.00
2017/05/05	33.39	34.19	33.24	33.68	1037163	35493168.00
2017/05/08	33.19	34.10	33.04	33.71	1284700	43653468.00
2017/05/09	33.96	36.55	33.71	35.62	3253624	116220512.00
2017/05/10	35.60	36.09	32.19	32.90	2871760	100576544.00
2017/05/11	32.02	32.58	30.49	32.30	2116905	67756960.00
2017/05/12	32.04	32.49	31.26	31.54	1331660	42641828.00
2017/05/15	31.50	31.70	31.24	31.31	868568	27599680.00
2017/05/16	31.21	32.00	29.76	31.92	1564594	49273064.00
2017/05/17	31.93	35.14	31.93	35.14	2015184	70002440.00
2017/05/18	35.50	36.84	35.15	35.87	5974835	217435296.00
2017/05/19	35.96	36.54	34.17	34.39	3172424	112073032.00
2017/05/22	33.83	34.99	31.06	31.58	2818307	94442168.00
2017/05/23	31.34	31.94	29.17	29.39	2683874	82867608.00
2017/05/24	29.49	30.49	28.19	29.90	1774831	52784068.00
2017/05/25	30.69	30.89	29.79	30.52	1908464	58726244.00
2017/05/26	30.52	31.35	30.22	30.81	1612203	50251428.00
2017/05/31	31.77	32.11	30.06	30.13	1779610	56092988.00
2017/06/01	29.93	30.15	28.40	28.47	1726411	51061024.00
2017/06/02	28.29	29.99	27.85	29.64	1437969	42392888.00
2017/06/05	29.99	30.99	29.90	30.45	1680326	51917292.00
2017/06/06	30.32	31.79	30.19	30.79	2007379	63136752.00
2017/06/07	30.79	32.34	30.79	32.17	3125117	99997912.00
2017/06/08	32.12	32.13	31.31	31.35	2451214	78444560.00
2017/06/09	31.18	32.35	31.16	31.72	1879579	60509716.00
2017/06/12	31.40	31.59	29.69	29.84	1900320	58546608.00
2017/06/13	29.70	31.64	29.70	31.63	1995259	62426620.00
2017/06/14	31.49	33.04	31.49	32.19	2914756	95059528.00
2017/06/15	31.99	33.72	31.99	33.64	3642872	121398984.00
2017/06/16	33.49	34.12	32.71	32.92	2395341	80063672.00
2017/06/19	32.89	33.08	32.35	32.79	1689200	55730128.00
2017/06/20	33.14	33.14	32.49	32.78	1562975	51649864.00
2017/06/21	32.91	33.03	32.50	32.94	1526240	50546760.00
2017/06/22	32.89	33.39	31.74	31.74	1973123	64537652.00
2017/06/23	30.94	31.74	30.52	31.23	1923355	59839016.00
2017/06/26	31.24	31.73	31.13	31.65	1035803	32667040.00
2017/06/27	31.74	31.93	31.33	31.50	918080	29072652.00
2017/06/28	31.22	31.27	30.45	30.61	994157	30612244.00
2017/06/29	30.61	30.94	30.55	30.78	653369	20128396.00
2017/06/30	30.72	31.22	30.54	31.10	769970	23878808.00
2017/07/03	31.16	31.51	30.95	31.51	685496	21490894.00
2017/07/04	31.52	32.76	31.52	32.20	1768596	57203636.00
2017/07/05	31.67	35.43	31.67	35.43	2054197	70125592.00
2017/07/06	38.98	38.98	38.98	38.98	1349994	52703764.00
2017/07/07	40.83	42.74	40.16	41.14	12440076	513218336.00
2017/07/10	39.56	41.69	39.04	40.72	8956361	361670528.00
2017/07/11	39.74	39.74	36.64	36.67	7670972	291889408.00
2017/07/12	36.95	38.19	36.75	37.75	4902043	184112400.00
2017/07/13	37.26	39.74	36.35	38.59	6115540	232410368.00
2017/07/14	37.71	37.93	36.36	36.39	4081996	151743280.00
2017/07/17	36.84	36.84	32.75	32.75	4159809	142062288.00
2017/07/18	32.49	33.32	30.39	32.24	3639785	117072216.00
2017/07/19	32.46	34.93	32.46	33.86	4091832	138557344.00
2017/07/20	33.45	35.49	32.97	34.84	4680037	161167680.00
2017/07/21	35.04	35.84	33.12	33.17	3949844	136462944.00
2017/07/24	33.25	33.92	31.94	33.92	3307608	109443576.00
2017/07/25	33.97	34.33	32.74	32.76	2356075	79081848.00
2017/07/26	32.92	33.44	32.15	32.27	2068414	67634816.00
2017/07/27	32.28	34.42	32.16	34.36	3817701	128681600.00
2017/07/28	34.36	34.36	33.39	33.78	2434741	82284688.00
2017/07/31	33.66	34.42	33.66	33.98	2365409	80838848.00
2017/08/01	33.67	34.07	32.94	33.28	2136748	71098064.00
2017/08/02	33.24	33.32	31.78	32.07	2413453	78378208.00
2017/08/03	31.85	32.76	31.85	32.17	1375139	44562536.00
2017/08/04	32.14	32.30	31.22	31.25	1552716	49264852.00
2017/08/07	31.31	31.93	31.31	31.75	820957	26075970.00
2017/08/08	31.84	32.19	31.26	31.77	1049671	33286834.00
2017/08/09	31.45	32.59	31.45	31.94	1577124	50907028.00
2017/08/10	31.44	32.14	31.40	31.54	1335644	42356856.00
2017/08/11	31.27	31.42	30.46	30.47	1503010	46405356.00
2017/08/14	30.14	31.17	30.14	31.02	995780	30831804.00
2017/08/15	31.02	31.77	31.02	31.32	1027421	32233196.00
2017/08/16	31.33	32.92	31.09	32.54	2639016	84964232.00
2017/08/17	31.94	32.84	31.75	32.45	2561139	82990144.00
2017/08/18	32.18	32.32	31.74	31.81	1494959	47874616.00
2017/08/21	31.74	32.89	31.74	32.54	1631059	52861628.00
2017/08/22	32.56	35.80	31.95	34.79	5551723	191337536.00
2017/08/23	33.79	34.20	33.19	33.23	3430698	115687096.00
2017/08/24	32.79	33.21	32.24	32.34	1837528	60206256.00
2017/08/25	32.11	33.11	32.11	32.80	1511880	49596928.00
2017/08/28	32.83	34.10	32.66	33.69	3005522	100833184.00
2017/08/29	33.46	34.37	33.12	33.74	3339807	112817264.00
