002817 黄山胶囊 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/10/25	16.42	19.75	16.42	19.75	12239	244093.09
2016/10/26	21.75	21.75	21.75	21.75	1039	22847.61
2016/10/27	23.95	23.95	23.95	23.95	2200	53218.00
2016/10/28	26.37	26.37	26.37	26.37	3778	100532.58
2016/10/31	29.03	29.03	29.03	29.03	5200	152204.00
2016/11/01	31.96	31.96	31.96	31.96	2339	75315.80
2016/11/02	35.18	35.18	35.18	35.18	8802	311766.84
2016/11/03	38.72	38.72	38.72	38.72	15989	622931.44
2016/11/04	42.62	42.62	42.62	42.62	23117	990794.63
2016/11/07	46.91	46.91	46.91	46.91	10913	514547.94
2016/11/08	51.63	51.63	51.63	51.63	15300	793611.00
2016/11/09	56.82	56.82	56.82	56.82	36739	2096327.38
2016/11/10	62.53	62.53	62.53	62.53	49334	3096695.25
2016/11/11	68.81	68.81	68.81	68.81	47917	3308668.75
2016/11/14	75.72	75.72	75.72	75.72	84378	6409353.00
2016/11/15	83.22	83.22	78.27	79.78	13140232	1062181888.00
2016/11/16	76.76	77.74	73.76	74.51	7803753	589024256.00
2016/11/17	73.74	77.61	72.83	75.36	6191434	470408960.00
2016/11/18	73.84	76.34	73.76	73.98	3856327	288588064.00
2016/11/21	73.66	73.66	71.02	72.34	3980143	288031616.00
2016/11/22	72.65	76.06	72.47	75.15	5308316	396864512.00
2016/11/23	74.48	76.14	73.88	74.18	3733686	280788736.00
2016/11/24	73.68	74.88	72.57	72.98	2682639	197794096.00
2016/11/25	72.76	74.17	71.11	73.79	2705868	198028800.00
2016/11/28	73.56	73.56	71.87	71.97	1968977	143198400.00
2016/11/29	71.59	72.31	69.31	69.37	2584765	182957232.00
2016/11/30	68.96	69.71	68.36	69.24	1271591	88101280.00
2016/12/01	69.32	70.71	69.24	70.31	1666141	117060008.00
2016/12/02	70.46	70.46	68.54	68.58	1590806	110360952.00
2016/12/05	68.26	69.61	67.36	68.52	1149702	79021544.00
2016/12/06	68.87	69.76	68.56	68.68	1162091	80731680.00
2016/12/07	68.38	68.96	66.67	68.36	1581700	107398808.00
2016/12/08	68.14	69.21	67.90	68.42	1605453	110719648.00
2016/12/09	67.81	68.41	65.46	65.77	2119704	141465456.00
2016/12/12	65.35	65.50	59.56	59.60	2539947	157832128.00
2016/12/13	58.74	60.36	57.80	59.46	1438092	85185016.00
2016/12/14	59.34	59.74	58.00	58.29	1077324	63588932.00
2016/12/15	57.94	59.76	57.56	58.58	1285262	76072352.00
2016/12/16	58.56	59.26	58.28	59.21	1080835	63815388.00
2016/12/19	58.98	62.98	58.64	61.17	2053354	125688944.00
2016/12/20	60.43	60.96	59.59	60.36	1270451	76741384.00
2016/12/21	60.60	61.08	60.22	60.63	1122023	68220184.00
2016/12/22	60.51	61.82	60.17	61.80	1798787	110400408.00
2016/12/23	61.68	63.26	61.16	61.64	3122321	195484528.00
2016/12/26	60.57	63.94	60.36	63.26	3000147	188896992.00
2016/12/27	62.76	64.31	61.99	62.59	2780442	175785776.00
2016/12/28	61.83	62.59	60.56	60.83	1808945	110963008.00
2016/12/29	61.16	61.30	57.66	58.35	1822139	109026392.00
2016/12/30	58.22	58.38	56.26	56.73	1350211	77460456.00
2017/01/03	56.76	57.35	56.36	57.19	1092114	62390972.00
2017/01/04	57.06	62.91	56.84	62.39	2983480	177494528.00
2017/01/05	60.76	62.01	59.77	61.06	2276610	138876896.00
2017/01/06	60.76	67.19	60.54	67.19	7134737	469054368.00
2017/01/09	67.27	73.66	62.78	73.66	5244724	351495872.00
2017/01/10	67.19	72.25	66.31	72.25	5728444	394622752.00
2017/01/11	67.78	68.06	65.00	65.00	5943015	389007776.00
2017/01/12	61.76	63.22	58.64	58.76	3092526	189200656.00
2017/01/13	57.79	60.56	55.36	58.76	3482604	202533712.00
2017/01/16	57.56	59.26	53.14	59.09	2898196	166991616.00
2017/01/17	57.73	60.15	56.96	59.95	2857467	170490832.00
2017/01/18	58.78	60.52	57.76	59.43	1919091	114520640.00
2017/01/19	58.59	60.25	57.44	58.64	2720817	161790528.00
2017/01/20	57.63	60.05	56.96	58.76	1948748	114681024.00
2017/01/23	58.26	59.03	57.20	57.20	1790166	104725320.00
2017/01/24	57.11	59.06	54.76	57.37	1590972	92073464.00
2017/01/25	56.76	57.65	56.55	57.07	1140509	65380660.00
2017/01/26	57.08	57.72	56.37	56.58	804680	46041704.00
2017/02/03	56.55	62.26	55.28	62.26	4649457	281756128.00
2017/02/06	62.16	63.06	61.54	62.41	5900581	368359072.00
2017/02/07	62.35	62.35	59.42	59.86	3536960	214905952.00
2017/02/08	59.75	59.93	57.84	59.91	2757472	163290528.00
2017/02/09	59.36	61.22	59.35	59.72	2652508	160399968.00
2017/02/10	58.94	59.21	57.26	57.26	2591878	151225616.00
2017/02/13	57.26	58.74	56.89	57.85	1681952	97891912.00
2017/02/14	58.06	59.15	57.77	58.42	1663175	97766208.00
2017/02/15	58.16	58.96	57.54	57.68	1971223	115028960.00
2017/02/16	57.33	57.61	56.38	56.92	1828484	104363696.00
2017/02/17	56.93	57.66	56.06	56.09	1416370	80713040.00
2017/02/20	56.08	56.30	54.26	54.77	1557519	86028976.00
2017/02/21	54.77	56.73	54.77	56.46	1467451	82301008.00
2017/02/22	56.18	56.38	55.43	55.79	1020566	57196852.00
2017/02/23	56.04	61.36	55.28	59.20	4812799	284724800.00
2017/02/24	58.77	60.74	58.38	58.55	2434594	145243504.00
2017/02/27	58.72	59.41	57.54	57.56	1544259	90609128.00
2017/02/28	57.66	58.03	57.16	57.78	875101	50541092.00
2017/03/01	57.81	60.05	57.06	59.65	2275879	134878016.00
2017/03/02	59.35	65.31	58.79	62.45	6148516	387224288.00
2017/03/03	62.25	62.26	58.66	58.72	4052087	244073728.00
2017/03/06	58.26	59.18	57.42	58.97	2694203	157873344.00
2017/03/07	58.68	60.41	58.56	59.57	2342401	140254624.00
2017/03/08	59.60	60.36	58.71	58.90	1751436	104260528.00
2017/03/09	58.56	59.44	58.19	59.14	1384962	81863368.00
2017/03/10	58.86	60.62	58.86	59.44	2393983	143599968.00
2017/03/13	59.02	59.64	56.76	59.16	2185347	127571312.00
2017/03/14	58.94	61.41	58.83	60.78	3893692	236353680.00
2017/03/15	60.47	62.61	59.87	61.71	4366735	269069920.00
2017/03/16	61.56	64.75	61.46	62.72	5291572	336692320.00
2017/03/17	62.21	64.19	60.84	61.06	3710243	232632304.00
2017/03/20	60.75	62.86	60.27	62.81	2503969	155011856.00
2017/03/21	62.73	64.89	62.32	63.86	3265259	208916272.00
2017/03/22	63.36	63.73	61.87	63.18	2623324	165407312.00
2017/03/23	62.91	64.40	61.74	64.00	3711188	236020320.00
2017/03/24	63.56	65.97	63.56	63.81	3989335	259728288.00
2017/03/27	62.76	65.25	62.68	64.63	2740068	175437392.00
2017/03/28	64.56	65.75	64.26	64.30	2757179	179800608.00
2017/03/29	63.79	64.54	60.56	60.67	2881318	179315152.00
2017/03/30	59.89	59.89	54.84	56.45	2793676	160389488.00
2017/03/31	56.01	57.72	55.77	56.49	1151550	65503068.00
2017/04/05	56.50	56.90	55.17	56.83	1405495	79448304.00
2017/04/06	56.86	58.64	56.12	57.57	1880342	108693600.00
2017/04/07	56.56	57.05	55.61	55.66	2019554	113693936.00
2017/04/10	55.54	55.54	50.08	50.08	2691727	141211264.00
2017/04/11	49.49	50.60	46.76	50.56	1757853	87044064.00
2017/04/12	49.96	50.38	49.41	49.46	918123	46018644.00
2017/04/13	49.76	50.72	49.37	49.71	735109	37038288.00
2017/04/14	49.75	50.12	48.77	48.79	557770	27567184.00
2017/04/17	46.76	46.76	44.66	44.66	1431187	65426192.00
2017/04/18	44.76	45.61	44.16	44.17	748669	33748408.00
2017/04/19	44.17	45.46	43.09	45.34	951003	42725296.00
2017/04/20	44.96	49.29	44.80	46.72	1611691	75885416.00
2017/04/21	46.66	46.66	44.84	44.97	754752	34670504.00
2017/04/24	45.07	45.55	42.76	42.76	768739	33517184.00
2017/04/25	42.96	44.26	42.96	43.25	567239	24844106.00
2017/04/26	43.24	44.23	42.89	43.56	537604	23557696.00
2017/04/27	42.86	44.69	42.26	44.55	1077246	47297980.00
2017/04/28	44.10	45.06	44.10	44.86	663284	29778304.00
2017/05/02	45.26	46.25	44.96	45.75	1008278	46351280.00
2017/05/03	45.75	45.75	44.42	45.17	691398	31338704.00
2017/05/04	44.91	45.01	43.87	44.16	510193	22796876.00
2017/05/05	44.01	44.92	43.90	43.96	495607	22073026.00
2017/05/08	43.64	44.09	42.47	42.47	464400	20183860.00
2017/05/09	42.56	43.71	42.33	43.44	481297	20867304.00
2017/05/10	43.53	44.05	42.57	42.95	597100	26138914.00
