002818 富森美 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/11/09	29.41	32.23	29.41	32.23	17025	575391.75
2016/11/10	35.61	35.61	35.61	35.61	7200	267912.00
2016/11/11	39.33	39.33	39.33	39.33	6445	263793.84
2016/11/14	43.42	43.42	43.42	43.42	13798	621185.94
2016/11/15	47.92	47.92	47.92	47.92	10627	526249.06
2016/11/16	52.87	52.87	52.87	52.87	28584	1556970.50
2016/11/17	58.32	58.32	58.32	58.32	29187	1748885.00
2016/11/18	64.31	64.31	64.31	64.31	165269	10892880.00
2016/11/21	70.86	70.90	67.86	70.90	20345195	1449836032.00
2016/11/22	72.39	78.15	69.70	78.15	15885015	1211194496.00
2016/11/23	82.29	86.13	80.80	86.13	5260482	450330624.00
2016/11/24	93.40	94.90	83.60	84.10	24014049	2209299456.00
2016/11/25	80.90	90.20	79.53	85.36	18264055	1574767616.00
2016/11/28	82.40	83.17	76.70	76.72	14597997	1185505408.00
2016/11/29	75.47	79.09	74.41	74.86	9966841	777246848.00
2016/11/30	73.75	75.80	72.35	72.90	8278808	623714112.00
2016/12/01	73.61	76.96	71.62	76.10	11306304	859354752.00
2016/12/02	74.79	74.89	71.61	71.68	8749285	654499520.00
2016/12/05	69.56	71.46	68.92	69.86	5288305	379766688.00
2016/12/06	70.25	74.38	70.25	71.93	7300383	540165568.00
2016/12/07	71.01	74.17	70.41	73.40	6887009	508469632.00
2016/12/08	72.90	74.78	71.18	71.35	7167622	535249280.00
2016/12/09	70.80	71.30	68.90	69.25	5593448	400445792.00
2016/12/12	69.60	69.78	62.17	62.20	7197396	480544864.00
2016/12/13	60.98	63.67	60.01	62.30	5161765	328535072.00
2016/12/14	62.12	62.83	60.42	60.62	4279595	269722368.00
2016/12/15	60.79	62.89	60.78	62.11	4570253	290504544.00
2016/12/16	61.97	66.13	61.63	64.58	5623831	365251456.00
2016/12/19	63.41	64.60	62.45	63.32	3674312	238817040.00
2016/12/20	62.70	63.85	62.08	62.50	2832576	182994768.00
2016/12/21	62.43	63.39	61.40	62.56	3229122	206576144.00
2016/12/22	62.26	62.89	61.61	62.20	2486179	158831200.00
2016/12/23	61.92	62.84	58.41	58.65	4356188	270785664.00
2016/12/26	57.80	58.90	55.76	58.67	3368940	198753408.00
2016/12/27	58.43	58.88	57.66	57.80	2238412	133852392.00
2016/12/28	57.81	58.39	57.00	57.02	2105273	124957288.00
2016/12/29	56.73	57.43	56.17	56.30	2562693	149189824.00
2016/12/30	56.20	57.95	55.85	57.05	2919947	170504816.00
2017/01/03	57.28	59.90	56.99	58.68	3447827	206403440.00
2017/01/04	58.38	59.15	57.73	58.68	2859058	171585184.00
2017/01/05	58.68	58.78	57.05	57.10	2808040	167114048.00
2017/01/06	57.10	57.15	53.66	53.79	4298402	243783872.00
2017/01/09	53.20	54.27	52.95	53.33	2270179	125113488.00
2017/01/10	53.26	54.20	53.05	53.30	1889601	104395272.00
2017/01/11	53.06	53.33	50.46	50.50	3326107	177000400.00
2017/01/12	50.46	51.35	48.51	48.90	3125284	160795376.00
2017/01/13	48.90	49.18	46.76	47.08	3547943	175120752.00
2017/01/16	46.07	46.75	42.32	44.10	3748761	174413936.00
2017/01/17	43.70	46.76	42.16	45.99	4853044	224693264.00
2017/01/18	45.40	45.59	44.20	44.20	2545368	118346000.00
2017/01/19	43.70	45.85	42.96	44.77	3178094	147125696.00
2017/01/20	44.75	46.62	44.47	46.10	3814794	181031920.00
2017/01/23	46.02	47.09	45.91	45.96	2920821	140221760.00
2017/01/24	46.10	46.11	44.55	44.73	2294145	107339024.00
2017/01/25	44.48	46.10	44.45	45.86	2123765	100062400.00
2017/01/26	45.86	46.31	45.62	46.20	1794560	85377504.00
2017/02/03	46.31	46.47	45.52	46.03	1546631	73629208.00
2017/02/06	45.80	47.69	45.80	47.55	2915011	141910080.00
2017/02/07	47.63	47.63	46.50	47.01	2305682	112123280.00
2017/02/08	46.99	48.09	46.51	47.86	2671259	131031512.00
2017/02/09	47.68	49.31	47.53	48.23	3159571	158341984.00
2017/02/10	48.14	48.29	46.98	47.09	2684884	131842632.00
2017/02/13	46.65	48.35	46.61	48.02	2415844	119354384.00
2017/02/14	48.18	48.21	47.59	48.02	2015918	99793376.00
2017/02/15	47.75	49.68	47.63	48.32	4399650	221598576.00
2017/02/16	47.91	49.28	47.51	49.00	3132625	156536400.00
2017/02/17	48.90	53.72	48.70	50.35	6559933	345575232.00
2017/02/20	50.35	51.84	49.50	51.30	4083424	214123216.00
2017/02/21	51.30	51.82	50.30	51.49	3441528	181087664.00
2017/02/22	51.49	55.68	51.00	54.45	7653009	420801888.00
2017/02/23	54.45	54.49	53.00	53.89	5036246	278192896.00
2017/02/24	53.45	54.96	53.14	53.40	3893522	216115440.00
2017/02/27	53.24	53.40	51.42	51.71	3862847	207821952.00
2017/02/28	51.63	52.55	51.63	52.30	2344804	125906096.00
2017/03/01	52.40	52.68	51.45	51.54	2665692	143003344.00
2017/03/02	51.60	52.17	50.81	51.63	2619915	139123264.00
2017/03/03	51.40	52.24	50.83	52.20	2398424	127607728.00
2017/03/06	52.20	53.28	51.94	53.19	2829125	154012240.00
2017/03/07	53.52	55.25	53.45	54.99	5797137	325913312.00
2017/03/08	54.98	54.98	53.84	54.26	3280686	183200560.00
2017/03/09	54.40	54.40	52.22	52.48	3038224	165604240.00
2017/03/10	52.49	53.29	52.00	52.79	2319771	125904784.00
2017/03/13	52.69	53.35	51.22	53.35	2881914	155548656.00
2017/03/14	53.30	54.25	52.93	53.82	3286433	181892192.00
2017/03/15	53.68	54.78	53.30	54.49	3798864	212549824.00
2017/03/16	54.76	56.00	53.90	55.68	5936564	336999808.00
2017/03/17	55.85	55.85	53.53	53.61	4989946	280985664.00
2017/03/20	53.28	54.09	53.11	54.09	2417196	133286040.00
2017/03/21	54.17	55.39	53.62	55.24	3323718	186662688.00
2017/03/22	54.88	56.28	54.32	55.96	5512166	314608160.00
2017/03/23	56.00	56.81	53.77	56.16	5723669	328623456.00
2017/03/24	55.98	57.15	55.69	56.17	4708622	273084928.00
2017/03/27	56.30	56.49	55.11	55.42	2934650	167525568.00
2017/03/28	55.20	55.70	54.15	54.18	2492388	140794464.00
2017/03/29	54.27	54.77	51.41	51.57	3682770	199947056.00
2017/03/30	49.20	50.58	46.71	47.35	4986377	249095648.00
2017/03/31	47.40	48.17	46.80	47.29	2265965	111091336.00
2017/04/05	47.08	48.25	46.72	48.02	1811535	89282680.00
2017/04/06	48.05	48.69	47.70	48.00	1831382	91097816.00
2017/04/07	47.96	47.96	47.06	47.10	1871821	91742960.00
2017/04/10	47.00	47.00	44.09	44.11	3239805	151326672.00
2017/04/11	44.12	45.08	43.95	45.02	2083051	96193544.00
2017/04/12	44.66	44.89	44.21	44.28	1289387	59454308.00
2017/04/13	44.28	44.92	44.03	44.38	998494	46115952.00
2017/04/14	44.53	44.68	43.98	44.11	1093123	50055324.00
2017/04/17	43.30	43.30	41.60	42.20	1519714	66655620.00
2017/04/18	42.22	42.90	41.98	42.23	1094034	48195788.00
2017/04/19	41.91	43.24	41.91	43.22	1501748	66514612.00
2017/04/20	43.30	43.65	42.44	42.93	1191254	53188956.00
2017/04/21	42.95	43.38	42.81	43.17	734877	32822082.00
2017/04/24	43.17	43.17	41.81	42.09	902949	39708164.00
2017/04/25	42.00	42.96	42.00	42.34	776004	34261844.00
2017/04/26	42.30	42.95	41.91	42.69	1046858	46348988.00
2017/04/27	42.69	43.65	41.63	43.62	2049637	91005432.00
2017/04/28	43.60	43.80	43.23	43.49	1262724	56951828.00
2017/05/02	43.48	43.67	43.22	43.50	909951	40996412.00
2017/05/03	43.50	43.78	43.08	43.60	1102071	49605276.00
2017/05/04	43.67	43.69	42.43	42.70	1117773	49818476.00
2017/05/05	42.61	42.61	41.20	41.22	1627176	70817144.00
2017/05/08	40.87	40.87	39.00	39.10	1570146	65093088.00
2017/05/09	38.51	39.80	38.51	39.63	1113675	45641408.00
2017/05/10	39.66	40.71	39.30	39.42	1450138	60235960.00
2017/05/11	38.85	39.80	38.70	39.64	1301122	53240996.00
2017/05/12	39.64	39.98	39.44	39.82	839347	34689192.00
2017/05/15	39.88	40.36	39.20	39.50	776568	31953286.00
2017/05/16	39.30	40.20	38.43	40.08	1502597	60599448.00
2017/05/17	40.06	40.87	39.89	40.27	1292282	53601896.00
2017/05/18	39.70	40.17	39.32	39.75	962257	39403400.00
2017/05/19	39.75	40.35	39.70	39.91	1021714	42044680.00
2017/05/22	39.98	40.87	38.70	38.74	1610800	66354164.00
2017/05/23	38.40	38.50	34.86	35.29	2453767	92589888.00
2017/05/24	35.27	35.80	34.58	35.50	1314441	47778556.00
2017/05/25	36.80	36.80	35.15	35.96	1145320	42344616.00
2017/05/26	35.95	36.76	35.94	36.48	1201438	44933812.00
2017/05/31	37.70	37.89	36.40	36.45	1612153	61797860.00
2017/06/01	35.90	36.53	34.57	34.70	1221990	44667696.00
2017/06/02	34.68	35.77	34.43	35.74	1171636	42592080.00
2017/06/05	35.93	36.50	35.93	36.22	1188411	44401184.00
2017/06/06	36.10	36.75	35.96	36.51	850800	31879464.00
2017/06/07	36.38	37.83	36.38	37.52	1767107	67689544.00
2017/06/08	37.40	37.76	36.97	37.07	1592513	61131204.00
2017/06/09	36.89	37.55	36.89	37.32	1377038	52890304.00
2017/06/12	37.10	37.55	36.88	36.94	1238047	47406748.00
2017/06/13	36.94	37.86	36.94	37.79	1545627	59681628.00
2017/06/14	37.80	37.89	37.08	37.86	1507881	58181236.00
2017/06/15	38.80	38.80	38.01	38.39	1951951	77301368.00
2017/06/16	38.39	38.47	37.78	37.81	1328500	51942828.00
2017/06/19	37.48	38.07	37.48	37.90	725590	28247236.00
2017/06/20	38.30	38.30	37.49	37.57	1065072	41513804.00
2017/06/21	37.60	37.90	37.20	37.56	846808	32609014.00
2017/06/22	37.52	37.70	36.47	36.47	970903	37195052.00
2017/06/23	36.40	36.48	35.51	36.19	1012497	37602956.00
2017/06/26	36.19	36.73	35.99	36.62	714219	26779920.00
2017/06/27	36.63	37.22	36.41	36.68	771340	29234402.00
2017/06/28	36.68	36.68	35.81	35.99	766931	28556560.00
2017/06/29	36.14	37.39	36.02	37.25	1523679	57766824.00
2017/06/30	37.75	38.69	37.40	38.37	3136796	123638888.00
2017/07/03	37.90	38.10	37.53	37.97	1590591	61881980.00
2017/07/04	38.05	38.40	37.73	38.00	973170	38039436.00
2017/07/05	38.00	38.18	37.57	37.99	978332	38144236.00
2017/07/06	38.00	38.08	37.25	37.60	1108403	42979268.00
2017/07/07	37.45	38.49	37.38	38.32	1893681	74152112.00
2017/07/10	37.90	38.00	37.06	37.06	1645000	63491732.00
2017/07/11	37.11	37.38	36.32	36.35	1198834	45356884.00
2017/07/12	36.22	36.86	35.25	36.67	894457	33228818.00
2017/07/13	36.39	36.78	36.25	36.35	610545	22946258.00
2017/07/14	36.42	36.65	35.90	36.01	569911	21269542.00
2017/07/17	35.80	35.80	32.57	32.57	1798421	62509248.00
2017/07/18	32.86	33.23	32.56	33.05	740991	25182764.00
2017/07/19	33.52	34.86	33.25	34.44	1603480	56719672.00
2017/07/20	34.29	34.78	34.12	34.27	969560	34432972.00
2017/07/21	34.20	34.70	34.00	34.03	709330	25128312.00
2017/07/24	33.91	34.44	33.11	34.20	1114568	38821476.00
