002826 易明医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/12/09	7.15	8.61	7.15	8.61	13268	114137.69
2016/12/12	9.48	9.48	9.48	9.48	9129	87638.40
2016/12/13	10.44	10.44	10.44	10.44	6231	65799.36
2016/12/14	11.50	11.50	11.50	11.50	5600	65072.00
2016/12/15	12.66	12.66	12.66	12.66	6900	88182.00
2016/12/16	13.94	13.94	13.94	13.94	7197	101189.82
2016/12/19	15.35	15.35	15.35	15.35	15469	239305.44
2016/12/20	16.90	16.90	16.90	16.90	17962	305713.25
2016/12/21	18.60	18.60	18.60	18.60	13581	254236.31
2016/12/22	20.47	20.47	20.47	20.47	37424	770560.19
2016/12/23	22.53	22.53	22.53	22.53	69441	1572838.63
2016/12/26	24.80	24.80	24.80	24.80	172673	4303011.00
2016/12/27	27.29	27.29	27.29	27.29	298164	8172675.00
2016/12/28	30.03	30.03	30.03	30.03	2314704	69788328.00
2016/12/29	28.78	29.88	27.06	27.18	24577604	695035968.00
2016/12/30	26.88	27.14	25.69	26.16	15727699	415357600.00
2017/01/03	26.42	28.36	26.19	27.64	17394886	475029184.00
2017/01/04	27.44	27.68	26.76	27.21	11308557	308939232.00
2017/01/05	26.96	27.48	26.28	26.89	10335896	278661888.00
2017/01/06	26.68	26.78	25.40	25.53	9169772	240018080.00
2017/01/09	25.08	25.18	24.84	25.07	5185193	130342320.00
2017/01/10	25.13	25.59	24.91	25.17	4173553	106114480.00
2017/01/11	25.09	25.13	24.18	24.18	4555650	112881944.00
2017/01/12	24.22	24.56	23.57	23.67	4047012	97771080.00
2017/01/13	23.53	23.83	22.78	22.92	4668923	108761192.00
2017/01/16	22.65	22.66	20.77	21.48	4851895	106987920.00
2017/01/17	21.18	22.90	20.88	22.38	5474181	120803936.00
2017/01/18	22.23	22.27	21.91	22.13	2584991	57448672.00
2017/01/19	21.83	22.88	21.44	22.44	3858603	87045760.00
2017/01/20	22.44	24.01	22.24	23.40	4814126	112288816.00
2017/01/23	23.25	23.93	23.24	23.51	3645532	86574072.00
2017/01/24	23.68	24.03	23.19	23.25	3498414	83046280.00
2017/01/25	22.68	23.64	22.67	23.36	2901553	67566888.00
2017/01/26	23.43	23.48	22.98	23.34	2622321	61302236.00
2017/02/03	23.40	23.65	23.02	23.39	2446044	57306168.00
2017/02/06	23.53	24.62	23.29	24.50	5321077	129263752.00
2017/02/07	24.50	24.86	24.16	24.61	4640355	114185864.00
2017/02/08	24.48	25.38	24.29	25.10	6915162	172926736.00
2017/02/09	24.78	25.19	24.78	24.89	4529832	113637264.00
2017/02/10	24.83	24.96	24.33	24.33	4205020	103987208.00
2017/02/13	24.26	26.78	23.98	26.78	7128326	186693344.00
2017/02/14	27.68	27.68	26.18	26.92	15760341	428334720.00
2017/02/15	26.58	28.36	26.41	27.15	13144534	363072896.00
2017/02/16	26.62	26.73	25.88	26.25	7909986	208669568.00
2017/02/17	26.02	26.87	25.65	25.68	6424137	169356144.00
2017/02/20	25.34	26.55	24.98	26.18	6525176	168274128.00
2017/02/21	26.16	27.28	25.98	26.99	10228045	276094592.00
2017/02/22	26.58	26.83	25.76	25.92	7155543	188223920.00
2017/02/23	25.93	28.52	25.76	28.52	17687577	493736224.00
2017/02/24	31.38	31.38	30.46	31.38	19015286	595559616.00
2017/02/27	31.38	34.48	30.97	32.45	22685143	741358080.00
2017/02/28	31.88	35.48	30.78	34.09	20292727	665497408.00
2017/03/01	33.52	34.16	32.38	32.38	14045279	467969152.00
2017/03/02	31.88	33.13	31.18	32.40	10182895	330017504.00
2017/03/03	31.88	33.04	31.38	32.70	7602393	245875136.00
2017/03/06	32.89	33.76	32.23	33.71	10595877	351664736.00
2017/03/07	33.51	33.51	32.63	32.99	7415017	245432064.00
2017/03/08	32.82	33.26	31.99	32.20	6665642	217963888.00
2017/03/09	32.48	32.52	29.88	30.67	8265454	256345680.00
2017/03/10	30.93	31.36	30.34	30.89	4674658	144793088.00
2017/03/13	30.81	31.64	30.08	31.53	5165114	160374960.00
2017/03/14	31.44	31.84	30.90	31.46	5515351	173691040.00
2017/03/15	31.45	31.84	31.08	31.27	4334069	136491568.00
2017/03/16	31.38	33.34	31.37	32.83	10262552	336922464.00
2017/03/17	32.58	33.18	31.83	31.91	7914084	258458288.00
2017/03/20	31.48	32.37	30.81	32.31	5125176	162493696.00
2017/03/21	32.31	33.06	32.00	32.94	6802851	222871056.00
2017/03/22	32.58	35.38	32.40	33.88	11784419	402197920.00
2017/03/23	33.98	34.13	30.90	32.50	9873084	325292320.00
2017/03/24	32.00	32.36	31.59	31.83	5456549	174931968.00
2017/03/27	31.83	32.26	31.48	31.90	3416726	109221936.00
2017/03/28	31.52	32.48	31.51	31.64	3667863	117680392.00
2017/03/29	31.64	31.93	28.78	29.54	7436898	225491008.00
2017/03/30	28.68	28.88	26.57	26.78	7362784	205074576.00
2017/03/31	27.12	28.15	26.79	27.58	5076932	141022416.00
2017/04/05	27.12	28.08	26.59	27.68	3532453	97392672.00
2017/04/06	27.69	28.68	27.43	28.06	3600721	101835760.00
2017/04/07	27.98	28.32	27.54	27.58	2420003	67545680.00
2017/04/10	27.50	27.51	25.13	26.01	4683801	122878568.00
2017/04/11	25.78	26.56	25.58	26.48	3050215	80417264.00
2017/04/12	26.54	26.66	25.88	25.88	1756662	46071988.00
2017/04/13	25.96	26.62	25.89	26.07	1512758	39959800.00
2017/04/14	25.64	25.93	25.37	25.38	1905881	48959024.00
