002831 裕同科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/12/16	43.02	51.85	43.02	51.85	30208	1592888.63
2016/12/19	57.15	57.15	57.15	57.15	5677	330685.25
2016/12/20	62.98	62.98	62.98	62.98	10638	681683.06
2016/12/21	69.39	69.39	69.39	69.39	8153	574705.00
2016/12/22	76.44	76.44	76.44	76.44	32148	2492756.00
2016/12/23	84.19	84.19	78.51	79.63	16250921	1343509376.00
2016/12/26	75.90	75.90	71.67	72.24	9774679	728748992.00
2016/12/27	71.60	74.40	71.60	72.64	6440728	475713536.00
2016/12/28	71.92	72.40	67.40	67.90	7782795	549156864.00
2016/12/29	67.60	69.77	65.99	67.40	5691335	393787840.00
2016/12/30	67.82	69.28	66.48	68.10	5123433	353302336.00
2017/01/03	68.10	68.89	67.22	68.60	4009734	277555072.00
2017/01/04	68.52	69.18	67.21	68.28	5192270	359260704.00
2017/01/05	67.90	68.04	65.56	65.57	5374223	365062432.00
2017/01/06	65.62	65.87	62.70	62.80	5156007	334895168.00
2017/01/09	62.46	64.64	61.71	63.60	3992569	257862624.00
2017/01/10	63.10	64.74	62.92	63.16	2695761	175009616.00
2017/01/11	63.23	63.23	60.11	60.20	3675102	229892528.00
2017/01/12	60.25	61.43	59.55	60.24	2661538	163548208.00
2017/01/13	60.25	60.35	58.03	58.13	3483377	208969312.00
2017/01/16	57.55	59.08	53.20	57.46	4147865	243756352.00
2017/01/17	56.90	60.65	56.12	60.28	5178060	311023168.00
2017/01/18	59.43	60.40	59.11	59.65	3042241	185371120.00
2017/01/19	59.09	60.34	57.50	58.77	2964340	177869536.00
2017/01/20	58.60	60.89	58.32	59.75	3130628	191021760.00
2017/01/23	59.85	61.58	59.70	60.25	3167705	195770992.00
2017/01/24	60.30	60.59	57.96	58.04	2575639	154612496.00
2017/01/25	57.90	59.13	57.58	58.55	2441729	145467472.00
2017/01/26	58.86	59.46	58.50	58.85	1847717	110826232.00
2017/02/03	58.67	59.05	57.71	58.45	1358601	80843320.00
2017/02/06	59.10	61.40	58.91	61.38	3977621	244312576.00
2017/02/07	61.40	63.29	61.22	61.90	4913991	310893408.00
2017/02/08	61.50	62.77	61.25	62.58	2572243	162639344.00
2017/02/09	62.65	64.40	62.30	63.38	4419832	286713504.00
2017/02/10	63.13	63.70	61.20	61.62	2822290	178629968.00
2017/02/13	61.50	63.49	61.46	63.17	3027958	193406624.00
2017/02/14	62.80	63.34	62.21	63.23	2431833	155191312.00
2017/02/15	63.09	65.60	62.66	63.70	5569888	364802784.00
2017/02/16	63.28	63.39	62.17	63.23	3037113	194012848.00
2017/02/17	62.90	64.89	62.89	63.05	3385278	219587488.00
2017/02/20	62.40	62.90	59.90	60.91	3791401	235235168.00
2017/02/21	60.90	61.88	60.60	61.48	1948438	121587584.00
2017/02/22	61.39	61.87	60.49	60.90	2492716	154811424.00
2017/02/23	60.90	63.33	60.56	63.23	4909822	311323872.00
2017/02/24	63.46	68.00	63.40	65.96	9184595	616994496.00
2017/02/27	68.01	68.80	66.21	66.24	6850735	467200000.00
2017/02/28	66.23	68.89	65.79	68.79	6263782	429226528.00
2017/03/01	68.61	71.20	67.44	67.71	6187822	435185088.00
2017/03/02	67.53	72.48	67.53	71.99	8301839	594453760.00
2017/03/03	71.20	73.39	69.98	71.21	5591198	406342784.00
2017/03/06	71.20	73.12	70.78	71.66	4283874	311688896.00
2017/03/07	71.50	73.09	70.53	72.27	4628673	337874720.00
2017/03/08	71.93	72.78	70.42	70.86	3813656	276387392.00
2017/03/09	70.53	70.85	68.20	68.56	3976825	279834272.00
2017/03/10	68.49	70.17	68.40	68.92	2620788	184560736.00
2017/03/13	68.68	75.92	67.93	75.92	7990478	591602304.00
2017/03/14	76.30	77.33	75.23	76.25	6100855	471403456.00
2017/03/15	76.40	77.48	74.51	75.90	4686737	360982784.00
2017/03/16	76.38	78.88	75.71	76.90	5270822	412958464.00
2017/03/17	76.42	80.10	76.42	76.60	6198542	491053984.00
2017/03/20	76.79	77.60	74.12	77.40	3997835	307953216.00
2017/03/21	77.44	77.78	76.01	76.96	2957669	230214656.00
2017/03/22	76.28	79.40	75.78	78.32	4767864	377169760.00
2017/03/23	78.02	78.78	74.10	75.92	5495077	424885920.00
2017/03/24	75.90	76.78	74.90	75.00	3086608	237230128.00
2017/03/27	75.40	76.40	73.70	76.18	3905611	297984480.00
2017/03/28	75.68	76.60	73.10	73.13	3258064	247365664.00
2017/03/29	72.75	73.56	69.42	69.51	4366269	314597728.00
2017/03/30	68.85	68.85	67.08	67.46	3947462	272463072.00
2017/03/31	67.86	69.15	66.93	68.21	2449698	170172912.00
2017/04/05	68.25	71.03	67.00	70.70	2949001	207619360.00
2017/04/06	70.05	71.28	69.95	70.90	1712093	123076552.00
2017/04/07	70.89	71.29	69.00	69.57	1687916	119917376.00
2017/04/10	68.79	69.18	65.04	65.06	2911803	199235536.00
2017/04/11	65.50	66.98	64.80	66.59	2135335	143410192.00
2017/04/12	66.19	67.50	65.96	66.14	1404472	95366912.00
2017/04/13	65.90	67.64	65.79	66.59	1117392	76100448.00
2017/04/14	66.60	67.38	65.60	67.10	1050485	71137624.00
2017/04/17	65.88	68.90	64.91	68.22	2184497	149600976.00
2017/04/18	68.10	70.38	67.91	68.92	1976950	139577600.00
2017/04/19	68.96	70.09	68.11	69.81	1568675	110780872.00
2017/04/20	69.40	70.52	66.00	67.78	1615130	112800192.00
2017/04/21	67.56	68.67	66.66	67.11	1018213	69888544.00
2017/04/24	67.10	68.75	64.91	68.21	1436239	98359520.00
2017/04/25	66.64	70.90	66.40	70.63	2875355	202237920.00
2017/04/26	70.43	71.62	69.65	69.90	1624151	116253872.00
2017/04/27	69.50	72.88	69.31	72.29	2302716	166633680.00
2017/04/28	71.90	72.70	71.06	71.76	1319743	96328960.00
2017/05/02	71.78	72.45	70.51	70.93	1055896	76597192.00
2017/05/03	70.98	71.67	68.60	69.53	1927985	136619712.00
2017/05/04	69.40	70.07	68.89	69.30	1030454	72907744.00
