002845 同兴达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/25	10.43	11.39	10.43	11.39	14235	326872.06
2017/01/26	12.54	12.54	12.54	12.54	2400	60792.00
2017/02/03	13.80	13.80	13.80	13.80	8552	238258.72
2017/02/06	15.20	15.20	15.20	15.20	12705	389408.25
2017/02/07	16.73	16.73	16.73	16.73	13983	471506.75
2017/02/08	18.42	18.42	18.42	18.42	19161	710681.50
2017/02/09	20.27	20.27	20.27	20.27	26345	1074876.00
2017/02/10	22.31	22.31	22.31	22.31	38470	1726533.63
2017/02/13	24.56	24.56	24.56	24.56	143479	7083558.00
2017/02/14	27.03	27.03	27.03	27.03	118199	6419387.50
2017/02/15	29.74	29.74	29.74	29.74	90724	5419852.00
2017/02/16	32.62	32.73	31.86	32.73	6392077	417851776.00
2017/02/17	32.72	32.72	29.44	29.44	12596182	778977472.00
2017/02/20	28.13	28.37	26.49	26.50	8650822	468850976.00
2017/02/21	26.42	27.65	26.26	26.93	6039428	327524832.00
2017/02/22	26.91	27.40	26.27	27.02	4857457	262082192.00
2017/02/23	26.87	28.61	26.72	28.38	7335910	411109088.00
2017/02/24	28.17	29.12	27.68	28.32	5836026	332035648.00
2017/02/27	28.73	28.87	27.90	28.12	3680277	209762816.00
2017/02/28	27.91	29.30	27.88	29.12	5533022	319588256.00
2017/03/01	29.31	29.67	28.03	28.05	6021890	346627616.00
2017/03/02	27.95	28.75	27.62	28.23	3953596	224579952.00
2017/03/03	27.92	28.67	27.70	28.55	3317736	189012160.00
2017/03/06	28.52	29.36	28.52	29.02	4698997	273499744.00
2017/03/07	28.87	29.82	28.87	29.55	4560606	269231136.00
2017/03/08	29.37	30.57	29.22	30.45	5412789	324892864.00
2017/03/09	30.28	30.30	28.81	28.87	4944870	291359840.00
2017/03/10	28.72	29.19	28.43	28.47	3035582	175196032.00
2017/03/13	28.35	28.90	27.67	28.86	3092968	175906064.00
2017/03/14	28.89	29.54	28.73	29.08	3795664	222722896.00
2017/03/15	28.92	29.31	28.41	29.09	2883638	167563872.00
2017/03/16	29.17	30.51	29.17	30.15	5628296	339744736.00
2017/03/17	29.89	30.62	29.27	29.27	5398215	324379840.00
2017/03/20	29.18	30.87	29.02	30.80	5364675	325058720.00
2017/03/21	30.72	31.44	30.28	31.23	5281488	327819232.00
2017/03/22	30.81	31.86	30.45	31.82	5068928	317337312.00
2017/03/23	31.83	32.24	29.87	30.86	5086301	317342304.00
2017/03/24	33.96	33.96	33.96	33.96	1157804	78939080.00
2017/03/27	37.37	37.37	37.37	37.37	312509	23438176.00
2017/03/28	41.12	41.12	41.00	41.12	10016316	826340416.00
2017/03/29	41.63	42.72	39.87	40.44	11835592	981476544.00
2017/03/30	40.42	41.84	39.49	41.16	7107029	581131968.00
2017/03/31	39.88	40.07	37.03	37.03	6305586	475176256.00
2017/04/05	35.82	37.01	34.17	36.38	5216211	375200544.00
2017/04/06	36.22	37.54	35.64	35.71	4907853	361596704.00
2017/04/07	35.72	37.06	35.57	35.85	3581457	259883168.00
2017/04/10	34.62	35.37	32.90	32.97	4709047	322566304.00
2017/04/11	32.80	35.22	32.64	34.82	4463759	303283776.00
2017/04/12	34.49	35.77	34.37	34.68	3662046	258006864.00
2017/04/13	34.37	35.46	33.43	33.72	3253295	225044848.00
2017/04/14	33.52	34.52	33.13	33.47	2106234	143141584.00
2017/04/17	31.44	31.87	30.17	30.19	3605968	224712368.00
2017/04/18	30.52	30.86	29.67	30.30	1909397	116370968.00
2017/04/19	30.22	31.52	30.22	31.37	2754932	171417216.00
2017/04/20	31.12	31.65	28.87	30.05	3537049	215965600.00
2017/04/21	30.09	30.86	30.03	30.68	1738991	106372480.00
2017/04/24	30.70	31.60	30.37	31.42	2460439	154235184.00
2017/04/25	31.67	32.67	31.33	32.55	3008934	193140736.00
2017/04/26	31.38	33.42	31.37	33.40	3017470	196829984.00
2017/04/27	32.86	34.36	31.87	33.97	4075462	271274176.00
2017/04/28	33.62	33.86	33.17	33.22	2739795	183916928.00
2017/05/02	33.18	33.86	33.07	33.39	2126034	142720960.00
2017/05/03	33.34	35.06	33.19	34.86	3708477	254783552.00
2017/05/04	34.57	35.46	34.16	34.16	2955003	206155520.00
2017/05/05	33.88	34.85	33.40	33.77	2202152	150545232.00
2017/05/08	33.42	35.35	33.42	34.08	2508640	173363680.00
2017/05/09	34.02	36.62	33.88	36.02	3547582	251857472.00
2017/05/10	36.20	36.85	35.23	35.28	3599892	260504864.00
2017/05/11	35.12	37.81	35.02	37.45	4692537	343544416.00
2017/05/12	37.18	37.82	36.89	37.80	3342101	250434720.00
2017/05/15	37.52	38.10	37.03	37.52	2301058	172618208.00
2017/05/16	37.17	38.32	36.40	37.63	3209349	241237984.00
2017/05/17	37.62	38.23	36.23	36.37	3362620	251709776.00
2017/05/18	36.05	37.24	35.62	35.74	2376988	173416032.00
2017/05/19	35.79	36.27	34.05	34.14	2987670	210127664.00
2017/05/22	33.90	34.35	30.86	31.02	3287804	215800400.00
2017/05/23	30.88	31.32	28.87	29.88	3874458	233632992.00
2017/05/24	29.48	31.22	29.48	30.37	3175274	193932224.00
2017/05/25	30.43	30.56	28.38	29.98	3557558	210176032.00
2017/05/26	30.00	30.80	29.72	30.47	2353644	143251248.00
2017/05/31	31.37	32.20	30.49	30.57	3073266	194425376.00
2017/06/01	30.37	30.57	28.92	29.15	2376075	142465536.00
2017/06/02	28.88	31.06	28.87	30.86	2521407	152388560.00
2017/06/05	31.27	33.35	31.27	32.35	3578148	232423744.00
