002860 星帅尔 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/12	17.23	18.82	17.23	18.82	5177	146149.81
2017/04/13	20.72	20.72	20.72	20.72	1177	36934.26
2017/04/14	22.81	22.81	22.81	22.81	2454	84712.08
2017/04/17	25.11	25.11	25.11	25.11	6791	257854.27
2017/04/18	27.65	27.65	27.65	27.65	8509	355420.94
2017/04/19	30.43	30.43	30.43	30.43	13854	636591.31
2017/04/20	33.50	33.50	33.50	33.50	16954	857024.69
2017/04/25	36.47	36.87	34.81	36.87	4722029	257672768.00
2017/04/26	35.13	38.47	35.05	36.95	7361754	408326752.00
2017/04/27	35.80	40.66	35.48	40.66	8361080	486820576.00
2017/04/28	39.59	40.44	38.17	38.69	6296536	370916160.00
2017/05/02	38.59	39.30	37.30	38.13	4687343	270382624.00
2017/05/03	38.67	41.93	38.65	41.00	7072597	426990880.00
2017/05/04	40.07	41.47	38.47	39.79	4938335	297406016.00
2017/05/05	39.13	39.53	37.58	37.58	3296943	191642688.00
2017/05/08	37.06	38.10	35.84	36.20	2585494	145601104.00
2017/05/09	35.92	37.31	35.85	36.87	2199961	121418880.00
2017/05/10	36.59	37.05	34.33	34.59	3374795	181243712.00
2017/05/11	33.85	36.40	33.81	35.33	2345066	123314216.00
2017/05/12	35.47	35.48	34.54	35.13	1824012	96436168.00
2017/05/15	35.27	36.37	35.00	35.73	2102392	113142528.00
2017/05/16	35.13	36.55	34.16	36.38	2337813	124741936.00
2017/05/17	36.14	36.88	35.97	36.21	2293913	125985616.00
2017/05/18	35.77	37.65	35.47	36.49	2342643	129297536.00
2017/05/19	36.31	36.75	35.49	35.77	1893592	103362768.00
2017/05/22	35.33	35.95	32.17	32.17	2453103	124708384.00
2017/05/23	31.79	32.01	29.07	29.30	2392848	110252656.00
2017/05/24	29.13	30.30	28.47	30.00	1627891	73119312.00
2017/05/25	30.03	30.60	29.00	30.11	1573396	70610728.00
2017/05/26	30.13	31.26	29.91	30.63	1711086	78799848.00
2017/05/31	31.80	33.67	31.35	31.93	3114738	153355232.00
2017/06/01	31.20	31.65	29.80	30.13	1670493	77619288.00
2017/06/02	29.84	33.00	29.80	32.32	2106085	99794416.00
2017/06/05	32.93	33.67	32.03	32.79	2086570	103730504.00
2017/06/06	32.28	33.30	32.14	32.60	1168061	57688320.00
2017/06/07	32.49	34.04	32.47	33.12	1897097	95161400.00
2017/06/08	32.87	33.41	32.01	32.40	1339382	66211804.00
2017/06/09	32.47	32.65	31.81	32.53	848420	41333984.00
2017/06/12	32.13	32.13	30.43	31.28	1281925	60591924.00
2017/06/13	30.88	32.25	30.88	31.87	832226	39936684.00
2017/06/14	32.20	32.77	31.80	32.21	987523	48205348.00
2017/06/15	32.21	33.31	31.93	32.63	1228367	61038992.00
2017/06/16	32.67	32.80	32.07	32.27	655251	31961852.00
2017/06/19	32.45	32.45	31.93	32.18	539943	26210404.00
2017/06/20	32.47	32.66	31.94	31.99	790870	38589832.00
2017/06/21	31.93	32.24	31.76	32.00	567486	27409198.00
2017/06/22	32.00	32.10	30.87	30.87	730117	34690168.00
2017/06/23	31.02	31.19	30.00	30.74	619730	28615756.00
2017/06/26	30.78	31.07	30.47	30.93	541115	25220424.00
2017/06/27	30.93	31.40	30.83	30.93	597586	28048634.00
2017/06/28	30.97	31.45	30.83	30.97	676723	31738298.00
2017/06/29	31.17	31.53	30.85	31.39	629491	29657624.00
2017/06/30	31.47	32.40	30.98	32.40	963608	46002836.00
2017/07/03	31.93	32.45	31.85	32.28	708065	34382388.00
2017/07/04	32.13	32.37	31.72	31.75	790285	38091376.00
2017/07/05	31.75	32.36	31.48	32.17	906270	43909872.00
2017/07/06	32.18	33.17	32.07	32.99	1602961	79407704.00
2017/07/07	32.97	33.72	32.84	33.05	1457129	73161832.00
2017/07/10	32.71	32.80	30.88	31.00	1116477	53621924.00
2017/07/11	31.13	31.27	30.17	30.25	731316	33876756.00
2017/07/12	30.27	30.67	29.78	30.64	638995	29132874.00
2017/07/13	30.49	30.64	29.89	30.07	489328	22319510.00
2017/07/14	30.47	30.47	29.93	30.33	316894	14450162.00
2017/07/17	29.87	29.87	27.28	27.28	938448	39766480.00
2017/07/18	27.12	27.39	26.34	27.00	773412	31388392.00
2017/07/19	26.83	27.05	26.47	26.97	447377	18152294.00
2017/07/20	26.94	27.67	26.62	26.80	596277	24529162.00
2017/07/21	26.73	27.07	26.64	26.76	637936	25933960.00
2017/07/24	26.76	27.52	26.55	27.30	552614	22595106.00
2017/07/25	27.27	27.51	27.07	27.50	458754	18928252.00
2017/07/26	27.53	27.58	27.25	27.38	491339	20331900.00
2017/07/27	27.38	28.76	27.00	28.00	607354	25667066.00
2017/07/28	28.09	28.32	27.61	27.67	413308	17418854.00
2017/07/31	27.94	28.64	27.93	28.45	535782	22891472.00
2017/08/01	28.53	29.10	28.07	28.47	594351	25606294.00
2017/08/02	28.34	28.47	27.59	27.63	438562	18509342.00
2017/08/03	27.52	28.37	27.39	28.05	527485	22198102.00
2017/08/04	27.53	27.53	26.61	27.33	967273	39546268.00
2017/08/07	27.01	27.40	26.47	27.40	480955	19731188.00
2017/08/08	27.27	27.40	26.91	27.12	455932	18688800.00
2017/08/09	27.13	27.27	26.99	27.27	433539	17795046.00
2017/08/10	27.13	27.27	26.47	26.53	456777	18543126.00
2017/08/11	26.20	26.39	26.00	26.08	385777	15272982.00
2017/08/14	26.16	26.65	26.07	26.50	702977	28022664.00
2017/08/15	26.59	27.05	26.43	27.00	830345	33591940.00
2017/08/16	27.00	27.51	26.80	27.33	970126	39882196.00
2017/08/17	27.31	28.67	26.93	28.45	2334654	98461600.00
2017/08/18	27.87	28.11	27.13	27.13	1471449	61324228.00
2017/08/21	27.27	27.62	27.04	27.60	759148	31376806.00
2017/08/22	27.67	27.89	27.39	27.63	738393	30873774.00
2017/08/23	27.49	27.73	26.89	27.67	863718	35786476.00
2017/08/24	27.65	27.77	27.25	27.28	735930	30558414.00
2017/08/25	27.13	28.00	27.13	27.81	921216	38452824.00
2017/08/28	28.07	29.00	27.88	28.57	1445401	62296864.00
2017/08/29	28.76	29.46	28.43	28.92	1769033	77280776.00
2017/08/30	28.54	29.23	28.37	29.09	1416344	61470884.00
2017/08/31	29.23	29.82	29.16	29.73	1755983	78302136.00
2017/09/01	29.83	29.89	29.17	29.67	1247330	55503564.00
2017/09/04	29.87	29.87	29.03	29.40	1127277	49952172.00
2017/09/05	29.53	29.53	29.14	29.31	595429	26351952.00
