002875 安奈儿 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/06/01	17.18	18.75	17.18	18.75	9906	243284.48
2017/06/02	20.65	20.65	20.65	20.65	4513	122031.52
2017/06/05	22.72	22.72	22.72	22.72	7600	226024.00
2017/06/06	25.01	25.01	25.01	25.01	5400	176634.00
2017/06/07	27.52	27.52	27.52	27.52	41706	1500581.88
2017/06/08	30.29	30.29	30.29	30.29	87406	3459529.50
2017/06/09	33.34	33.34	31.47	33.34	12749386	542085824.00
2017/06/12	32.85	36.68	31.88	36.57	17804780	826675008.00
2017/06/13	33.67	35.22	32.90	34.38	13346763	591448704.00
2017/06/14	32.92	32.92	30.93	30.93	10143871	418302560.00
2017/06/15	30.06	31.73	29.86	30.93	8168688	331362720.00
2017/06/16	30.42	31.29	29.33	30.21	7538258	298619552.00
2017/06/19	29.87	30.57	29.27	29.55	5986071	232182800.00
2017/06/20	29.62	30.12	29.32	29.78	4963641	192654320.00
2017/06/21	29.69	30.05	29.36	29.99	4205943	163886816.00
2017/06/22	29.93	30.08	28.32	28.41	5209991	199720672.00
2017/06/23	28.35	28.46	26.78	27.43	5022880	181653664.00
2017/06/26	27.19	27.53	26.81	27.37	2905564	103349072.00
2017/06/27	27.45	27.77	27.04	27.27	2521353	90393464.00
2017/06/28	27.00	27.00	26.09	26.22	3370462	116747368.00
2017/06/29	26.27	26.48	26.18	26.25	1679551	57760068.00
2017/06/30	26.04	27.91	25.93	27.42	5342951	189776272.00
2017/07/03	27.19	27.42	26.81	27.29	2773418	98311792.00
2017/07/04	27.31	28.51	27.30	27.81	4363281	159886816.00
2017/07/05	27.79	28.30	27.55	28.12	3847178	140956464.00
2017/07/06	28.08	28.53	27.92	28.42	4060632	150225120.00
2017/07/07	28.46	28.49	28.06	28.11	3508169	129402440.00
2017/07/10	27.54	27.55	26.32	26.39	3967877	139432960.00
2017/07/11	26.15	26.52	26.15	26.19	1689051	58084748.00
2017/07/12	26.28	26.59	25.81	26.51	2115247	72315992.00
2017/07/13	26.51	26.51	25.88	25.98	1658783	56574796.00
2017/07/14	25.85	26.14	25.60	25.69	1403394	47452948.00
2017/07/17	25.25	25.25	23.11	23.11	2824966	88262296.00
2017/07/18	22.92	23.45	22.69	23.31	1457602	44042792.00
2017/07/19	23.32	23.45	22.94	23.38	1410954	42944752.00
2017/07/20	23.31	23.75	23.08	23.14	1506764	46263600.00
2017/07/21	23.15	23.52	22.95	23.24	1321434	40043956.00
2017/07/24	22.98	23.69	22.98	23.52	1557730	47802180.00
2017/07/25	23.52	23.62	23.25	23.37	1100716	33752424.00
2017/07/26	23.42	23.52	22.85	22.95	1470122	44369348.00
2017/07/27	22.92	23.95	22.78	23.92	2605439	80244192.00
2017/07/28	23.74	23.89	23.42	23.43	1498219	46365060.00
2017/07/31	23.45	23.93	23.38	23.93	1815362	56392344.00
2017/08/01	23.58	25.88	23.55	25.45	3555360	113923360.00
2017/08/02	25.18	26.38	24.92	26.23	4487013	151823232.00
2017/08/03	26.74	26.76	25.66	26.04	2914526	98900832.00
2017/08/04	25.94	26.18	24.75	25.14	4125289	137490592.00
2017/08/07	24.95	26.76	24.77	25.94	2517737	84149168.00
2017/08/08	25.92	26.38	25.32	26.23	2445206	82231896.00
2017/08/09	26.01	26.38	25.75	25.89	1961860	66393672.00
2017/08/10	25.84	26.61	25.25	25.53	4109148	138458736.00
2017/08/11	25.35	25.94	24.85	25.15	1812108	59925536.00
2017/08/14	25.30	27.36	25.16	25.86	2552584	86310184.00
2017/08/15	26.13	26.15	25.28	25.48	3222705	107631736.00
2017/08/16	25.48	25.78	25.08	25.52	2325030	77323616.00
2017/08/17	25.35	25.38	24.96	25.12	1841200	60616276.00
2017/08/18	24.95	25.10	24.45	24.46	1636173	52898148.00
2017/08/21	24.52	24.89	24.46	24.77	1065294	34409016.00
2017/08/22	24.71	24.82	23.95	23.99	2116661	67469912.00
2017/08/23	23.95	24.42	23.82	24.29	1477878	46665148.00
2017/08/24	24.30	24.62	24.01	24.12	1417676	45031260.00
