002880 卫光生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/06/16	32.64	35.66	32.64	35.66	8600	310674.00
2017/06/19	39.28	39.28	39.28	39.28	2710	107803.80
2017/06/20	43.26	43.26	43.26	43.26	2469	108043.44
2017/06/21	47.64	47.64	47.64	47.64	4770	229627.80
2017/06/22	52.45	52.45	52.45	52.45	45379	2402818.00
2017/06/23	57.75	57.75	57.75	57.75	85933	5005597.00
2017/06/26	63.58	63.58	63.58	63.58	106967	6854445.50
2017/06/27	69.99	69.99	69.99	69.99	267847	18880536.00
2017/06/28	77.04	77.04	74.51	77.04	17370778	1337547520.00
2017/06/29	79.00	80.00	75.63	77.76	12769095	1000432832.00
2017/06/30	75.50	78.00	74.89	75.20	8637567	665336704.00
2017/07/03	75.30	81.18	73.61	79.30	9422203	738869760.00
2017/07/04	79.00	80.68	77.11	77.59	6308849	498379840.00
2017/07/05	77.11	78.75	75.06	76.53	7404560	573593856.00
2017/07/06	76.50	78.47	76.48	77.40	6652951	519474688.00
2017/07/07	76.45	76.45	74.00	74.00	7027692	533117632.00
2017/07/10	72.30	72.30	68.18	68.40	6667265	473247872.00
2017/07/11	68.25	69.14	67.00	67.08	2852442	195764176.00
2017/07/12	66.90	67.35	65.15	66.80	3140525	209451760.00
2017/07/13	66.50	66.99	65.70	66.90	1956608	131048800.00
2017/07/14	66.63	68.35	66.32	66.71	2657305	180438816.00
2017/07/17	64.50	64.50	59.99	59.99	4611437	285792128.00
2017/07/18	59.44	61.40	59.00	60.70	1859311	113485600.00
2017/07/19	60.20	60.80	59.32	60.68	1645134	99851984.00
2017/07/20	60.40	62.30	59.80	59.98	1733449	106476048.00
2017/07/21	59.55	59.88	58.08	58.18	1885320	111957536.00
2017/07/24	57.50	61.44	56.80	60.32	2043422	120967496.00
2017/07/25	60.14	62.70	59.58	60.89	2070539	128348784.00
2017/07/26	60.51	61.51	60.28	61.31	1520464	93409504.00
2017/07/27	61.11	63.28	60.72	62.55	2062544	129470936.00
2017/07/28	62.18	62.59	60.71	60.75	1561566	96789520.00
2017/07/31	60.52	61.49	60.07	60.14	1149453	70223248.00
2017/08/01	59.72	60.45	59.20	60.19	1051286	63426808.00
2017/08/02	59.92	63.66	59.72	61.41	2742649	171465872.00
2017/08/03	61.01	61.90	60.30	60.59	1303459	80229360.00
2017/08/04	60.50	60.94	59.38	59.43	1096527	66298484.00
2017/08/07	59.70	60.48	59.70	59.98	639999	38811204.00
2017/08/08	59.87	60.06	58.38	58.58	1542817	91578152.00
2017/08/09	58.20	58.85	58.11	58.30	848762	50054088.00
2017/08/10	58.27	58.27	56.53	56.56	1389455	80288192.00
2017/08/11	55.71	57.37	55.71	56.14	1006430	57462708.00
2017/08/14	56.20	57.37	56.20	57.06	668442	38432928.00
2017/08/15	57.00	57.86	56.86	57.39	688497	39820112.00
2017/08/16	57.39	59.30	57.11	59.01	1453875	85988640.00
2017/08/17	58.50	58.70	57.97	58.18	1066747	62733300.00
2017/08/18	57.94	58.67	57.70	58.36	762885	44825164.00
2017/08/21	58.33	58.90	57.50	58.76	1097351	64614024.00
2017/08/22	58.68	60.78	58.40	60.10	2342234	141381040.00
2017/08/23	59.84	59.90	58.60	59.00	1366340	81590304.00
2017/08/24	59.00	60.67	58.86	59.40	1591755	96052768.00
2017/08/25	59.38	61.07	59.12	60.89	1844236	112282064.00
2017/08/28	61.10	63.49	61.10	62.95	3040854	191638608.00
2017/08/29	62.48	64.68	61.53	63.20	3481612	221211280.00
2017/08/30	62.62	64.08	62.25	62.27	2045843	129728824.00
2017/08/31	62.40	64.68	61.48	64.25	3311464	210750880.00
2017/09/01	64.06	64.46	62.68	63.67	2219317	142029888.00
2017/09/04	63.67	64.27	62.55	62.90	1815624	116111704.00
2017/09/05	62.90	64.08	62.70	63.82	885640	56663792.00
2017/11/06	65.50	70.08	65.50	67.52	5470707	372890496.00
2017/11/07	66.46	69.78	65.86	68.49	4408882	301953152.00
2017/11/08	68.80	70.20	67.53	67.60	3017856	208721872.00
2017/11/09	67.40	69.00	67.20	68.04	1854725	127084848.00
2017/11/10	67.50	68.14	67.28	67.31	1671502	113790632.00
2017/11/13	67.60	70.55	67.36	69.97	2849364	199251744.00
2017/11/14	70.02	71.48	68.78	69.04	2463162	174136128.00
2017/11/15	69.21	70.00	66.90	67.37	2010707	137955792.00
2017/11/16	67.43	67.70	65.28	65.28	1585140	106387592.00
2017/11/17	65.00	65.68	59.45	59.61	2968289	185926384.00
2017/11/20	59.54	61.08	57.82	60.95	1787541	107072552.00
2017/11/21	60.54	61.93	58.51	59.74	1548905	94125904.00
2017/11/22	59.85	60.60	59.08	60.16	1073582	64749352.00
2017/11/23	59.66	60.00	58.20	58.30	1022729	61053328.00
2017/11/24	58.00	58.94	57.81	58.00	801943	47276572.00
2017/11/27	57.78	57.96	56.00	56.13	985555	56685944.00
2017/11/28	56.01	57.48	56.01	57.21	615595	35382576.00
2017/11/29	57.30	57.48	56.18	57.05	672411	38514412.00
2017/11/30	56.98	58.29	56.52	57.60	719089	41897996.00
2017/12/01	57.70	58.27	57.30	58.24	631358	36931528.00
2017/12/04	58.09	58.09	54.10	54.22	1805950	101332280.00
2017/12/05	54.19	54.60	52.12	52.48	1026698	55195464.00
2017/12/06	52.38	53.38	51.43	53.20	880466	46642208.00
2017/12/07	52.99	53.24	52.30	52.60	474770	25312476.00
2017/12/08	52.49	54.15	52.46	53.91	714095	38696932.00
2017/12/11	54.01	54.60	53.65	54.20	550048	30036332.00
2017/12/12	54.20	54.63	53.58	53.67	623200	34057340.00
2017/12/13	53.67	54.34	53.58	54.28	341819	18631588.00
2017/12/14	54.60	55.22	54.26	55.15	568171	31348346.00
2017/12/15	55.00	55.00	53.60	53.98	588245	32260784.00
2017/12/18	53.88	54.25	53.01	53.21	382439	20661554.00
2017/12/19	53.21	54.06	53.20	53.66	320074	17342238.00
2017/12/20	53.66	53.74	52.09	52.28	568118	30218358.00
2017/12/21	52.02	52.87	51.76	52.50	635570	33722552.00
2017/12/22	52.69	53.47	52.24	53.12	458236	24511262.00
2017/12/25	52.91	53.12	51.30	52.09	817661	42708032.00
2017/12/26	51.80	54.67	51.80	54.39	1232476	66893684.00
2017/12/27	54.02	54.41	53.39	53.39	669073	36432772.00
2017/12/28	53.43	54.81	53.13	53.91	758484	41502872.00
2017/12/29	54.00	54.55	53.73	54.08	540103	29476836.00
2018/01/02	54.40	55.05	53.79	54.94	714077	39344472.00
2018/01/03	54.80	55.13	54.50	54.95	647834	35850900.00
2018/01/04	54.99	54.99	54.20	54.28	485670	26707722.00
2018/01/05	53.76	54.93	53.76	54.90	549844	30262440.00
2018/01/08	54.84	55.66	54.35	55.58	811029	44978848.00
2018/01/09	55.30	57.99	55.16	56.64	1258353	72104504.00
2018/01/10	56.54	56.96	55.18	55.83	817740	46095060.00
2018/01/11	55.36	56.94	54.81	56.40	630547	35816016.00
2018/01/12	56.42	56.65	55.51	55.99	525866	29715508.00
2018/01/15	55.70	56.08	52.87	52.88	918238	50003124.00
2018/01/16	52.42	53.48	52.42	53.23	500410	26825524.00
2018/01/17	53.15	53.87	51.81	53.60	750240	39986852.00
2018/01/18	53.40	54.03	53.18	53.61	389200	21032796.00
2018/01/19	53.59	54.18	53.37	53.40	419142	22700716.00
2018/01/22	53.16	53.70	52.01	53.37	458770	24500538.00
2018/01/23	53.20	53.93	53.20	53.39	403218	21785642.00
2018/01/24	53.35	54.35	53.22	54.00	583408	31719292.00
2018/01/25	53.68	54.47	53.61	54.01	521008	28490822.00
2018/01/26	54.01	54.01	53.01	53.12	591149	31820442.00
2018/01/29	53.08	53.30	52.03	52.06	506370	26891876.00
2018/01/30	52.15	52.80	51.91	52.08	393236	20757444.00
2018/01/31	52.04	52.04	49.52	49.67	867802	44263900.00
2018/02/01	49.68	50.24	47.71	47.75	690461	33932660.00
2018/02/02	47.27	48.04	46.60	47.25	474140	22644610.00
2018/02/05	46.70	47.33	46.20	46.83	493726	23369702.00
2018/02/06	45.82	46.16	43.52	43.53	701900	31946192.00
2018/02/07	44.38	44.95	42.80	44.49	610100	27244188.00
2018/02/08	44.26	45.44	44.16	45.00	413464	18851516.00
2018/02/09	43.58	44.78	43.38	43.86	507138	22580388.00
2018/02/12	44.09	45.68	44.09	45.30	336338	15344047.00
2018/02/13	45.68	45.79	44.15	44.15	459268	20829164.00
2018/02/14	44.16	44.45	43.63	44.03	376267	16730309.00
2018/02/22	44.39	44.92	44.01	44.78	305069	13744628.00
2018/02/23	44.75	45.35	44.55	45.28	350506	15938613.00
2018/02/26	45.84	47.30	45.68	47.09	791932	37236448.00
2018/02/27	47.07	47.90	46.74	47.44	682774	32724862.00
2018/02/28	47.10	47.24	46.57	46.86	504075	23891142.00
2018/03/01	46.53	48.16	46.52	48.00	588078	28255474.00
2018/03/02	47.63	48.32	47.43	47.53	496515	24030486.00
2018/03/05	47.52	48.98	47.52	48.65	575415	28053918.00
2018/03/06	48.65	49.70	48.50	49.10	676060	33639392.00
2018/03/07	49.05	49.73	48.89	49.03	549500	27369824.00
2018/03/08	48.93	51.00	48.86	50.37	865774	43904328.00
2018/03/09	50.31	52.70	50.22	52.68	1462992	76126048.00
2018/03/12	52.76	53.68	51.76	52.18	1240460	65575312.00
2018/03/13	51.84	52.50	51.40	51.85	703540	36899660.00
2018/03/14	51.80	52.10	50.65	50.75	670038	34842016.00
2018/03/15	50.40	50.45	48.51	49.20	1031834	51508152.00
2018/03/16	49.35	50.68	49.20	49.94	554532	28090698.00
2018/03/19	50.46	51.96	50.06	51.50	682440	35408080.00
2018/03/20	51.03	53.30	51.03	52.76	1087758	57774652.00
2018/03/21	52.90	53.47	51.61	51.62	872500	46264808.00
2018/03/22	51.64	53.75	51.64	52.75	895636	47752412.00
2018/03/23	51.38	52.69	49.27	50.17	1331551	68864056.00
2018/03/26	49.08	53.35	49.00	53.20	1026934	53176028.00
2018/03/27	53.30	55.06	53.13	54.61	1642397	89879944.00
2018/03/28	54.01	56.35	53.77	54.52	1557613	86770616.00
2018/03/29	54.82	55.49	52.90	53.30	1376098	75035424.00
2018/03/30	52.48	55.57	52.46	55.55	2193256	119337408.00
2018/04/02	55.50	55.90	54.33	54.33	1765944	98228960.00
2018/04/03	53.51	55.70	53.10	54.92	1474905	80709256.00
2018/04/04	55.15	56.90	54.40	54.52	1612266	90448176.00
2018/04/09	54.20	55.15	53.12	54.97	1130406	61764884.00
2018/04/10	54.80	55.49	53.01	55.49	1669612	91658592.00
2018/04/11	55.98	58.12	55.10	58.09	2804054	160953920.00
2018/04/12	57.55	58.94	57.03	57.36	1850210	107893096.00
2018/04/13	57.24	57.90	56.48	56.74	1171086	67432520.00
2018/04/16	57.00	57.12	55.80	56.42	858710	48719544.00
2018/04/17	56.43	56.89	54.00	54.00	1246300	69425632.00
2018/04/18	54.40	54.93	52.48	54.69	1113170	60208324.00
2018/04/19	54.46	55.38	54.20	54.46	693207	38362716.00
2018/04/20	53.97	54.46	51.55	52.00	1035240	55423584.00
2018/04/23	48.20	49.50	46.75	46.75	1994295	96611608.00
2018/04/24	46.68	47.98	46.52	47.96	1004099	48202400.00
2018/04/25	47.70	48.60	47.09	48.19	866652	42085916.00
2018/04/26	48.19	48.85	46.63	46.72	908049	43786992.00
2018/04/27	46.85	48.27	46.85	47.58	740536	35643456.00
2018/05/02	47.60	48.83	47.58	47.96	654235	31857204.00
2018/05/03	47.96	47.96	46.57	47.78	771515	36808120.00
2018/05/04	47.49	47.90	47.20	47.52	581639	27895752.00
2018/05/07	47.50	48.45	47.47	48.20	785400	38204152.00
2018/05/08	48.09	48.83	48.09	48.50	845800	41461688.00
2018/05/09	48.84	48.90	48.01	48.56	802100	39217840.00
2018/05/10	48.50	50.78	48.41	50.61	1680000	84609696.00
2018/05/11	50.59	51.66	50.25	50.35	1584397	81398664.00
2018/05/14	50.17	50.41	48.82	49.16	1033562	51656636.00
2018/05/15	49.22	49.97	49.09	49.90	742490	37199016.00
2018/05/16	49.77	51.46	49.72	50.62	1434823	73401840.00
2018/05/17	50.38	50.50	49.98	50.24	627187	31810022.00
2018/05/18	50.49	50.49	49.16	50.00	744700	37410588.00
2018/05/21	50.00	50.82	49.78	50.62	641998	32648664.00
2018/05/22	50.99	51.53	50.41	51.19	823554	42045052.00
2018/05/23	50.99	52.25	50.75	51.02	875334	45120796.00
2018/05/24	51.03	51.23	50.30	50.50	591878	29984606.00
2018/05/25	50.25	51.50	50.21	51.31	939657	48026728.00
2018/05/28	53.00	55.23	52.21	53.64	2684777	143549728.00
2018/05/29	53.09	53.31	51.21	51.21	1551367	81339752.00
2018/05/30	50.28	50.28	47.01	47.45	1390026	68127440.00
2018/05/31	48.00	48.68	47.55	48.20	681567	32853338.00
2018/06/01	48.01	48.94	47.92	48.29	533960	25784536.00
2018/06/04	48.33	48.49	47.70	47.77	446048	21397876.00
2018/06/05	47.77	49.06	47.77	48.89	584905	28426040.00
2018/06/06	48.71	49.44	48.71	49.32	464838	22840546.00
2018/06/07	49.45	49.45	48.48	48.63	611168	29867690.00
2018/06/08	48.63	48.77	48.00	48.15	430198	20787258.00
2018/06/11	48.29	48.43	47.80	47.94	336200	16160429.00
2018/06/12	48.12	48.18	46.50	47.51	701726	33059964.00
2018/06/13	47.20	47.76	46.70	46.75	465050	21902946.00
2018/06/14	46.75	47.19	46.21	47.06	322693	15117926.00
2018/06/15	47.38	47.38	45.51	45.86	497100	22975288.00
2018/06/19	45.03	45.70	41.96	42.80	880700	38467568.00
2018/06/20	42.35	44.32	42.35	44.32	641798	28067018.00
2018/06/21	44.35	44.35	42.93	42.95	700798	30722160.00
2018/06/22	42.79	44.19	42.30	43.83	417883	18200142.00
2018/06/25	44.48	44.48	43.50	43.58	237270	10412763.00
2018/06/26	43.10	44.25	42.82	43.96	404410	17709574.00
2018/06/27	44.08	44.45	43.68	43.92	371952	16393242.00
2018/06/28	43.57	44.35	43.57	43.62	284900	12514750.00
2018/06/29	43.92	44.97	43.70	44.96	414979	18485768.00
2018/07/02	44.88	45.38	44.33	44.51	398700	17903268.00
2018/07/03	44.60	45.64	44.19	45.42	465626	20882226.00
2018/07/04	45.20	45.20	44.03	44.03	447500	19946128.00
2018/07/05	43.97	44.65	43.13	43.16	428356	18707016.00
2018/07/06	43.18	44.00	42.92	43.61	365540	15891086.00
2018/07/09	43.80	44.70	43.55	44.66	416856	18539384.00
2018/07/10	44.76	45.21	44.44	45.19	483100	21666088.00
2018/07/11	44.77	44.84	43.99	44.57	494600	21999912.00
2018/07/12	44.36	45.75	44.36	45.51	651318	29542596.00
2018/07/13	45.35	45.98	45.21	45.65	484818	22081874.00
2018/07/16	50.22	50.22	47.22	47.49	2168628	106626720.00
2018/07/17	52.00	52.24	52.00	52.24	2311190	120684952.00
2018/07/18	52.24	52.24	47.97	49.12	4085810	203985120.00
2018/07/19	47.85	48.11	46.51	46.97	1681168	79477792.00
2018/07/20	46.87	47.50	46.05	46.97	1004020	47174804.00
2018/07/23	45.78	51.67	44.88	50.41	3561220	178250192.00
2018/07/24	49.06	50.87	48.00	49.65	2722181	134965632.00
2018/07/25	49.20	53.50	49.00	52.05	3502725	180694240.00
2018/07/26	51.00	51.24	50.09	50.30	1890471	95664040.00
2018/07/27	49.58	49.86	48.23	48.55	1529529	74988992.00
2018/07/30	48.50	48.78	46.55	46.80	1399470	66130544.00
2018/07/31	46.85	48.03	46.45	47.39	825250	39043132.00
2018/08/01	47.00	47.76	46.52	46.65	659500	31047752.00
2018/08/02	46.15	47.00	44.70	45.65	876294	40009780.00
2018/08/03	45.74	47.05	45.21	46.30	850400	39628576.00
2018/08/06	46.05	46.28	43.27	44.26	931770	41605056.00
2018/08/07	44.45	45.07	43.99	45.00	504700	22544470.00
2018/08/08	45.04	45.04	43.61	44.00	654038	28873016.00
2018/08/09	43.72	45.18	43.72	44.73	485238	21666890.00
2018/08/10	45.00	47.20	44.61	45.61	719400	33103318.00
2018/08/13	45.50	45.75	44.73	45.66	495800	22386484.00
2018/08/14	45.50	45.85	45.15	45.25	324100	14743103.00
2018/08/15	45.25	45.80	44.44	44.44	387300	17563708.00
2018/08/16	44.37	44.60	43.70	44.18	419666	18526698.00
2018/08/17	44.33	44.79	42.77	42.85	482900	21143732.00
2018/08/20	42.90	43.55	42.51	43.37	322190	13879164.00
2018/08/21	43.35	44.19	43.09	43.89	426500	18637168.00
2018/08/22	43.98	44.32	43.50	43.96	336942	14791369.00
2018/08/23	43.94	44.33	43.60	44.20	290466	12807907.00
2018/08/24	44.20	45.53	43.85	44.92	534505	24034160.00
2018/08/27	44.90	45.96	44.62	45.87	509605	23190692.00
2018/08/28	45.99	45.99	45.23	45.75	381100	17372020.00
2018/08/29	45.75	45.89	44.94	45.29	321900	14669275.00
2018/08/30	45.30	45.95	44.88	44.88	275366	12496971.00
2018/08/31	44.85	45.08	44.08	44.50	340400	15176565.00
2018/09/03	44.49	44.50	43.49	44.00	285558	12520766.00
2018/09/04	44.00	45.24	44.00	44.94	307770	13733506.00
2018/09/05	44.94	45.10	43.92	43.93	304700	13568236.00
2018/09/06	43.80	44.33	43.64	43.71	218470	9593976.00
2018/09/07	43.73	44.35	43.47	43.70	238570	10464133.00
2018/09/10	43.68	43.96	42.88	42.91	270300	11694711.00
2018/09/11	43.08	43.60	42.98	43.41	235400	10192828.00
2018/09/12	43.30	44.11	43.13	43.88	277270	12146050.00
2018/09/13	44.11	44.30	42.58	43.38	350600	15198641.00
2018/09/14	43.38	43.70	42.88	42.88	204900	8879299.00
2018/09/17	42.71	42.90	42.30	42.30	169270	7216987.50
2018/09/18	42.14	43.20	42.13	43.16	176200	7523856.00
2018/09/19	42.90	43.75	42.80	43.40	184300	7985910.00
2018/09/20	43.18	43.67	42.89	42.95	121500	5246929.00
2018/09/21	43.00	44.30	42.85	44.20	396784	17364084.00
2018/09/25	44.32	45.47	44.10	44.76	381700	17147116.00
2018/09/26	44.66	45.10	44.60	44.75	205037	9196402.00
2018/09/27	45.00	45.98	44.66	44.86	372018	16837768.00
2018/09/28	45.01	45.20	44.57	44.92	283600	12695401.00
2018/10/08	44.70	44.70	42.78	42.85	396600	17238618.00
2018/10/09	43.19	43.40	42.89	43.13	180361	7778643.50
2018/10/10	43.40	43.60	43.00	43.15	182370	7895626.50
2018/10/11	41.98	41.98	39.25	39.80	622384	25513776.00
2018/10/12	40.00	40.40	39.26	40.17	280070	11190438.00
2018/10/15	40.31	40.80	40.00	40.09	210870	8531088.00
