002896 中大力德 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/08/29	15.33	16.74	15.33	16.74	7500	126618.00
2017/08/30	18.43	18.43	18.43	18.43	2600	48386.00
2017/08/31	20.29	20.29	20.29	20.29	3600	73692.00
2017/09/01	22.34	22.34	22.34	22.34	5400	121608.00
2017/09/04	24.59	24.59	24.59	24.59	7400	183298.00
2017/09/05	27.07	27.07	27.07	27.07	11400	310650.00
2017/09/06	29.80	29.80	29.80	29.80	11800	353764.00
2017/09/07	32.80	32.80	32.80	32.80	46970	1549070.63
2017/09/08	36.10	36.10	36.10	36.10	92471	3354848.00
2017/09/13	39.73	39.73	39.73	39.73	158615	6330324.50
2017/09/14	43.72	43.72	43.72	43.72	82600	3626140.00
2017/09/15	48.11	48.11	48.11	48.11	297700	14375933.00
2017/09/18	52.94	52.94	51.33	52.94	13792799	727246528.00
2017/09/19	51.82	57.76	51.20	55.84	13532337	737127296.00
2017/09/20	53.09	59.81	50.84	56.53	11908668	663028096.00
2017/09/21	55.92	57.72	51.82	52.11	9112979	498833024.00
2017/09/22	50.70	53.97	48.99	51.42	6955679	361695456.00
2017/09/25	51.42	56.58	50.49	56.58	7456927	414415744.00
2017/09/26	57.32	59.22	51.33	52.63	9250727	511630624.00
2017/09/27	49.81	50.33	47.92	49.10	6653211	328803936.00
2017/09/28	49.28	50.32	47.55	47.57	5172121	254291376.00
2017/09/29	47.83	48.82	46.70	46.99	3605724	172241792.00
2017/10/09	48.03	48.40	47.00	48.10	2106046	101134416.00
2017/10/10	47.84	49.31	47.72	49.15	2879688	140909712.00
2017/10/11	49.02	49.25	47.04	48.82	3268883	158429248.00
2017/10/12	48.61	50.32	48.22	49.65	3821354	190050608.00
2017/10/13	49.52	49.74	48.32	49.13	2352951	115701432.00
2017/10/16	49.05	49.05	46.42	46.72	2970900	141397520.00
2017/10/17	46.82	47.40	46.02	46.93	1499646	70520208.00
2017/10/18	46.93	48.01	45.62	45.63	2029800	95949584.00
2017/10/19	45.20	45.32	43.86	44.62	2542856	114078888.00
2017/10/20	44.37	45.41	44.20	45.14	1337700	60312600.00
2017/10/23	45.25	45.62	44.82	45.51	1087891	49456648.00
2017/10/24	45.22	45.22	43.83	44.22	1529463	68215168.00
2017/10/25	44.29	46.02	44.22	45.68	1736743	78681808.00
2017/10/26	45.70	48.70	45.49	47.74	3748344	178466512.00
2017/10/27	46.32	46.82	45.83	45.85	2766812	128119072.00
2017/10/30	44.92	45.22	42.32	42.82	2736090	120073232.00
2017/10/31	42.54	43.37	42.40	43.26	1161300	50117896.00
2017/11/01	43.26	45.52	43.02	44.91	2172100	97487736.00
2017/11/02	44.63	46.62	44.27	45.14	2531435	116192168.00
2017/11/03	45.02	46.47	44.34	45.39	1856231	84822928.00
2017/11/06	46.81	47.74	46.20	46.72	2492937	117382312.00
2017/11/07	46.17	47.74	45.67	47.54	2319568	108912704.00
2017/11/08	47.82	50.09	47.69	48.68	3985349	196548000.00
2017/11/09	47.82	50.08	47.71	50.02	3467468	171324464.00
2017/11/10	49.74	50.32	48.85	49.59	2533090	126166944.00
2017/11/13	51.07	53.28	50.82	53.28	4728076	247486576.00
2017/11/14	53.28	58.63	52.70	58.63	8849264	503488448.00
2017/11/15	58.81	60.57	56.62	57.23	7710020	452486560.00
2017/11/16	58.95	59.31	52.59	52.71	7127624	399475968.00
2017/11/17	53.32	56.14	52.52	54.28	6727164	367177536.00
2017/11/20	49.82	54.03	48.83	53.04	4449279	229343552.00
2017/11/21	51.92	53.59	47.83	49.80	5011005	253487680.00
2017/11/22	48.95	51.06	47.32	50.43	3667427	181784976.00
2017/11/23	49.58	54.52	48.34	52.00	4450379	229978976.00
2017/11/24	50.82	54.29	49.82	50.02	4221300	222274672.00
2017/11/27	47.82	48.71	45.00	45.00	3598984	165082176.00
2017/11/28	44.02	45.82	43.50	45.43	2273274	102743152.00
2017/11/29	45.22	46.58	44.32	45.37	1925172	87800216.00
2017/11/30	44.87	47.09	44.87	46.27	2599806	121016440.00
2017/12/01	45.74	46.92	44.51	46.37	2121335	97493992.00
2017/12/04	45.32	45.32	41.72	41.72	3411417	147979248.00
2017/12/05	41.82	42.12	38.34	38.95	2286103	91973984.00
2017/12/06	39.00	40.77	38.27	40.47	1765889	70031864.00
2017/12/07	40.26	42.79	40.22	41.76	2538940	106862536.00
2017/12/08	41.24	43.42	40.83	42.61	1932503	82399216.00
2017/12/11	42.33	42.92	41.83	42.42	1386341	58944528.00
2017/12/12	42.38	42.90	40.72	40.82	1492500	62370048.00
2017/12/13	40.38	43.00	40.38	42.74	1909995	80481664.00
2017/12/14	42.65	43.32	42.26	42.93	1413035	60711376.00
2017/12/15	43.04	44.81	42.58	42.83	2005841	88138968.00
2017/12/18	42.62	43.98	42.34	43.67	1318300	57048544.00
2017/12/19	43.67	44.10	43.23	43.90	1143360	50136392.00
2017/12/20	43.99	45.23	43.10	43.12	1418900	62835208.00
