002900 哈三联 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/09/22	15.57	17.01	15.57	17.01	16126	419381.53
2017/09/25	18.75	18.75	18.75	18.75	8358	239205.95
2017/09/26	20.65	20.65	20.65	20.65	14759	464613.31
2017/09/27	22.75	22.75	22.75	22.75	12707	440043.41
2017/09/28	25.06	25.06	25.06	25.06	55463	2112585.75
2017/09/29	27.60	27.60	27.60	27.60	285763	11973470.00
2017/10/09	27.60	27.60	25.01	25.13	19764867	773943552.00
2017/10/10	24.33	27.68	24.33	27.68	17116055	695368384.00
2017/10/11	28.33	30.48	28.13	30.48	27991266	1275239808.00
2017/10/12	29.00	30.33	27.40	29.03	22106088	956870592.00
2017/10/13	28.00	31.12	27.40	29.03	21973891	985689472.00
2017/10/16	28.07	28.07	26.60	26.97	14458958	599948608.00
2017/10/17	26.40	27.87	26.33	27.39	10503035	437184000.00
2017/10/18	27.07	27.53	25.67	25.93	11367772	459679552.00
2017/10/19	26.07	26.45	25.14	25.33	8532797	333535552.00
2017/10/20	25.00	25.55	24.77	25.21	6407602	244122448.00
2017/10/23	25.12	26.69	24.93	26.26	8510121	332845216.00
2017/10/24	25.93	26.83	25.03	25.42	6600809	259651936.00
2017/10/25	25.14	25.83	25.05	25.57	4470816	173450608.00
2017/10/26	25.54	25.57	25.09	25.24	4725273	181525648.00
2017/10/27	25.29	25.57	25.21	25.33	3971699	153113920.00
2017/10/30	25.00	25.00	23.18	23.31	7548907	272494112.00
2017/10/31	23.07	23.58	23.07	23.42	3258954	115928352.00
2017/11/01	23.45	23.85	23.27	23.49	3571546	128078448.00
2017/11/02	23.42	24.73	23.42	24.28	6354266	233977392.00
2017/11/03	24.25	24.25	23.40	23.60	3777273	136324768.00
2017/11/06	23.79	24.31	23.77	24.23	4091315	149991152.00
2017/11/07	24.27	24.38	23.71	24.06	3555482	129707824.00
2017/11/08	24.07	25.19	24.07	24.72	7738949	291070912.00
2017/11/09	24.47	24.71	24.26	24.56	3796520	141195904.00
2017/11/10	24.32	24.56	24.07	24.09	4269736	157608480.00
2017/11/13	24.09	24.19	23.47	23.77	3735207	134977488.00
2017/11/14	23.77	23.80	23.21	23.27	4201945	149540992.00
2017/11/15	23.25	23.58	23.10	23.47	2566532	91257928.00
2017/11/16	23.45	23.48	21.95	22.18	4649725	160919888.00
2017/11/17	22.04	22.29	20.37	20.55	5097490	164141072.00
2017/11/20	20.32	20.71	19.33	20.69	2823656	87329496.00
2017/11/21	20.67	20.96	20.19	20.57	2529081	79442768.00
2017/11/22	20.59	20.71	20.07	20.24	2429739	75509296.00
