002913 奥士康 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/12/01	36.15	43.44	36.15	43.44	19716	855946.44
2017/12/04	47.82	47.82	47.82	47.82	12558	604416.56
2017/12/05	52.63	52.63	52.63	52.63	71745	3798180.25
2017/12/06	56.69	57.92	52.70	57.92	16758520	937802560.00
2017/12/07	56.29	56.49	53.09	53.27	13355578	737585408.00
2017/12/08	50.89	57.87	50.75	55.29	15261199	850779840.00
2017/12/11	53.76	56.13	52.69	53.82	9645304	525008608.00
2017/12/12	52.57	52.57	48.69	48.69	11121508	565806656.00
2017/12/13	47.69	49.54	47.35	48.07	6309695	306717984.00
2017/12/14	48.09	49.56	47.90	48.93	6394302	314183840.00
2017/12/15	48.40	48.66	46.09	46.53	6889120	327976640.00
2017/12/18	46.84	47.18	44.72	45.46	4485968	205738832.00
2017/12/19	45.32	46.01	44.40	45.15	4825599	219380544.00
2017/12/20	44.99	45.82	44.80	45.56	4426112	202295856.00
2017/12/21	45.19	45.22	43.30	44.46	5557563	248139056.00
2017/12/22	44.30	45.67	44.08	44.90	4635168	210370448.00
2017/12/25	44.49	44.59	42.69	44.04	4939124	216954928.00
2017/12/26	43.65	47.05	43.55	46.09	7296516	336444224.00
2017/12/27	46.04	50.57	46.04	47.99	10656103	514226688.00
2017/12/28	47.05	49.67	46.69	48.64	10282686	500728544.00
2017/12/29	47.82	50.47	47.35	47.66	7695847	376829888.00
2018/01/02	49.11	49.52	47.70	48.54	5745420	280660032.00
2018/01/03	47.99	48.07	45.15	45.78	7845938	365362304.00
2018/01/04	45.63	46.74	45.27	45.52	5263757	243676000.00
2018/01/05	45.09	45.68	44.59	45.12	4245934	192580976.00
2018/01/08	45.44	48.38	45.35	47.29	7318746	345493440.00
2018/01/09	46.75	47.23	46.26	47.07	5400375	254039568.00
2018/01/10	47.14	47.66	45.50	45.94	4380846	205292224.00
2018/01/11	45.04	47.40	45.04	46.55	5039953	236023984.00
2018/01/12	46.27	47.15	45.27	45.38	3764903	174475056.00
2018/01/15	45.37	45.49	43.19	43.50	4120050	181975424.00
2018/01/16	43.52	44.79	43.49	44.11	3221994	143220496.00
2018/01/17	44.05	45.49	43.30	45.11	4303677	193426128.00
2018/01/18	44.86	45.34	44.32	44.53	2766355	124392968.00
2018/01/19	44.57	46.14	44.57	45.11	3892028	177681136.00
2018/01/22	44.81	44.81	43.21	44.01	2469286	109160432.00
2018/01/23	43.73	44.55	43.46	44.22	2562366	113561816.00
2018/01/24	44.04	45.04	43.85	44.58	2681211	120204640.00
2018/01/25	44.39	45.03	43.84	43.86	2750800	123060928.00
2018/01/26	43.69	44.14	42.80	42.91	3002950	131172544.00
2018/01/29	42.94	43.69	42.70	43.10	1715472	74445568.00
2018/01/30	42.90	43.31	42.74	43.01	1456959	62972856.00
2018/01/31	42.83	42.87	40.30	40.55	2872531	119259400.00
2018/02/01	40.55	40.93	36.71	37.47	3225583	125923152.00
