002917 金奥博 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/12/08	13.77	16.56	13.77	16.56	13776	230328.77
2017/12/11	18.24	18.24	18.24	18.24	5680	104739.20
2017/12/12	20.08	20.08	20.08	20.08	6904	140013.13
2017/12/13	22.11	22.11	22.11	22.11	13902	310153.63
2017/12/14	24.34	24.34	24.34	24.34	50919	1249552.25
2017/12/15	26.79	26.79	26.79	26.79	188240	5080597.50
2017/12/18	27.30	28.68	24.81	26.90	16308452	436661824.00
2017/12/19	25.90	28.78	25.60	27.57	15874358	443322464.00
2017/12/20	27.00	27.24	24.83	25.06	13663027	355902752.00
2017/12/21	23.82	24.78	23.11	24.01	10634955	256366640.00
2017/12/22	24.08	25.37	23.80	24.60	9570687	238711664.00
2017/12/25	23.56	25.29	23.10	24.99	8864562	215104368.00
2017/12/26	24.60	27.51	24.21	27.51	10909817	293991680.00
2017/12/27	29.00	30.28	29.00	30.28	11477335	347365344.00
2017/12/28	33.33	33.33	33.33	33.33	3849938	129088424.00
2017/12/29	34.78	34.80	30.02	32.50	20240930	667599040.00
2018/01/02	33.40	35.77	33.40	35.77	9852786	342283072.00
2018/01/03	35.80	35.80	32.17	32.70	17992950	600175616.00
2018/01/04	30.70	32.00	30.11	31.05	11195474	349324128.00
2018/01/05	30.47	32.30	30.47	31.46	10476610	334217408.00
2018/01/08	30.86	34.39	29.94	33.39	12942431	421298784.00
2018/01/09	32.68	36.42	32.50	33.95	15217615	527339776.00
2018/01/10	32.58	32.69	30.60	31.52	11736584	373328992.00
2018/01/11	30.97	32.55	30.18	31.21	9611146	305433952.00
2018/01/12	30.35	31.17	29.06	29.17	8884260	267297872.00
2018/01/15	28.26	30.09	27.90	29.36	6714421	196916176.00
2018/01/16	28.70	30.98	28.61	30.62	8051159	245188720.00
2018/01/17	30.95	33.30	29.86	32.13	11251621	356907136.00
2018/01/18	32.65	32.77	30.89	30.96	8467551	270689728.00
2018/01/19	31.48	34.08	31.15	34.08	9916651	329615808.00
2018/01/22	33.60	33.60	30.65	30.65	12206715	393309184.00
2018/01/23	29.60	31.68	29.15	31.38	8809724	273216608.00
2018/01/24	30.97	32.99	30.65	32.31	9516803	307747392.00
2018/01/25	31.69	33.45	30.70	31.35	10109522	327201984.00
2018/01/26	30.50	31.13	29.33	29.63	7796086	236614032.00
2018/01/29	29.60	30.26	28.60	30.25	6046454	180524272.00
2018/01/30	30.10	30.20	29.17	29.32	3771809	112414216.00
2018/01/31	28.96	29.79	26.58	27.05	5868863	166216176.00
2018/02/01	26.69	27.40	25.80	26.50	4222077	113728256.00
2018/02/02	26.51	26.67	25.20	25.33	4152948	108237856.00
2018/02/05	24.37	24.92	23.12	23.31	4367406	105912712.00
2018/02/06	22.20	23.78	21.81	22.10	4013857	91862824.00
2018/02/07	22.80	24.33	22.45	24.33	8067452	192547520.00
2018/02/08	23.79	24.98	23.38	24.09	6528963	159218304.00
2018/02/09	22.81	24.92	22.80	24.30	6043970	145502304.00
2018/02/12	24.85	25.74	23.80	25.16	5964475	150223808.00
2018/02/13	24.98	25.20	23.95	24.11	4918201	121561960.00
2018/02/14	24.01	24.50	22.85	23.65	3112759	73993800.00
2018/02/22	23.80	24.95	23.60	24.50	3633604	88898728.00
2018/02/23	24.29	24.66	23.94	24.50	3542569	86882408.00
2018/02/26	25.08	25.70	24.76	25.39	5751614	146475408.00
2018/02/27	25.25	26.50	25.06	26.01	6852638	177766432.00
2018/02/28	25.50	25.56	24.40	24.81	4675216	117503192.00
2018/03/01	24.54	25.65	24.52	25.55	4539554	115575248.00
2018/03/02	25.50	26.05	24.72	24.83	4370404	111849552.00
2018/03/05	25.10	26.08	24.82	25.95	5212615	134453040.00
2018/03/06	27.50	28.57	27.50	28.57	2970025	85120768.00
2018/03/07	31.20	31.20	28.82	28.90	11895081	358021536.00
2018/03/08	28.13	29.70	28.13	28.68	8439823	244992608.00
2018/03/09	28.27	30.00	28.27	29.35	8786999	259686288.00
2018/03/12	29.70	31.20	29.16	30.58	9441498	287931168.00
2018/03/13	30.01	30.25	28.58	29.08	6417603	189533632.00
