002932 明德生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/07/10	24.14	29.05	24.14	29.05	10955	318939.75
2018/07/11	32.00	32.00	32.00	32.00	2000	64800.00
2018/07/12	35.24	35.24	35.24	35.24	1700	60588.00
2018/07/13	38.80	38.80	38.80	38.80	13174	516420.81
2018/07/16	42.72	42.72	42.72	42.72	18211	785258.31
2018/07/17	47.03	47.03	47.03	47.03	18900	896427.00
2018/07/18	51.77	51.77	51.77	51.77	22600	1179042.00
2018/07/19	56.99	56.99	56.99	56.99	36300	2083257.00
2018/07/20	62.73	62.73	62.73	62.73	72780	4594601.50
2018/07/23	69.04	69.04	69.04	69.04	113549	7884842.50
2018/07/24	75.98	75.98	75.98	75.98	89309	6821421.50
2018/07/25	83.62	83.62	83.62	83.62	69700	5856194.00
2018/07/26	92.02	92.02	92.02	92.02	106900	9879698.00
2018/07/27	101.26	101.26	101.26	101.26	3671705	373265536.00
2018/07/30	94.60	97.60	91.09	91.09	7908788	747866496.00
2018/07/31	85.65	86.59	81.94	82.93	8268613	695741184.00
2018/08/01	82.79	91.26	81.60	91.26	9804501	858883200.00
2018/08/02	89.60	90.35	83.28	86.52	6376402	555027840.00
2018/08/03	88.48	94.54	79.60	86.60	8254222	726125824.00
2018/08/06	82.36	90.60	81.27	83.01	7139408	616556160.00
2018/08/07	86.35	91.35	85.78	91.35	7261117	652660160.00
2018/08/08	90.40	90.40	82.18	82.18	8120519	701643392.00
2018/08/09	76.60	81.77	75.37	80.60	6687515	528565632.00
2018/08/10	78.83	83.25	78.83	80.40	5601277	454397184.00
2018/08/13	76.60	81.80	75.88	80.98	4616578	368336768.00
2018/08/14	81.60	86.05	80.80	82.96	6810542	571531392.00
2018/08/15	81.90	84.88	77.25	79.28	6135855	508270400.00
2018/08/16	76.40	78.23	71.61	74.58	5269005	399799520.00
2018/08/17	75.68	76.77	69.78	72.65	5480841	401587328.00
2018/08/20	73.00	74.91	70.23	74.30	4362588	318788704.00
2018/08/21	73.54	73.98	70.22	72.90	4584536	333200192.00
2018/08/22	72.35	73.10	68.19	68.37	4980981	352842272.00
2018/08/23	67.83	70.58	67.78	69.68	4396395	308000416.00
2018/08/24	69.30	70.08	66.37	68.40	4277746	292611968.00
