002938 鹏鼎控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/09/18	19.28	23.14	19.28	23.14	390103	9005196.00
2018/09/19	25.45	25.45	25.45	25.45	138874	3534343.25
2018/09/20	28.00	28.00	28.00	28.00	639029	17892812.00
2018/09/21	30.00	30.00	26.03	26.17	92942080	2524118784.00
2018/09/25	25.00	25.00	23.56	23.71	63891504	1547096192.00
2018/09/26	23.50	23.87	23.13	23.45	42096032	986786176.00
2018/09/27	23.30	23.30	21.35	21.46	53200913	1179361152.00
2018/09/28	21.40	21.84	21.11	21.26	28087082	602536640.00
2018/10/08	20.70	20.97	20.05	20.23	22330159	460781632.00
2018/10/09	20.75	21.17	20.61	20.74	25560416	533695040.00
2018/10/10	20.55	20.88	20.31	20.57	16678697	343802624.00
2018/10/11	19.45	19.68	18.51	18.51	26345071	500601152.00
2018/10/12	18.18	18.39	16.88	17.98	25630670	456034272.00
2018/10/15	18.01	18.58	17.89	17.91	18124903	330551680.00
2018/10/16	17.91	18.06	17.20	17.64	15237835	269573888.00
2018/10/17	18.02	18.30	17.53	18.29	21187142	380930432.00
2018/10/18	18.07	18.79	17.61	18.30	28499520	519378880.00
2018/10/19	17.99	20.08	17.85	19.39	37276609	705837952.00
2018/10/22	19.56	20.85	19.40	20.37	42542450	856414208.00
2018/10/23	20.20	20.36	19.52	19.63	28791970	573174464.00
2018/10/24	19.54	19.94	19.22	19.49	16831137	328957824.00
2018/10/25	18.76	20.36	18.55	20.13	27489341	536953472.00
2018/10/26	20.40	20.55	19.61	19.67	17946313	358754080.00
2018/10/29	19.58	20.20	19.48	19.70	14090074	280495296.00
2018/10/30	19.75	19.86	19.08	19.77	14990826	293293696.00
2018/10/31	20.21	20.95	20.21	20.62	36302401	748797696.00
2018/11/01	20.51	20.74	20.25	20.29	23134078	473745344.00
2018/11/02	20.58	20.85	20.41	20.78	23093759	475916832.00
2018/11/05	21.09	21.29	20.02	20.16	35932996	736546816.00
2018/11/06	19.94	19.95	18.90	19.10	31933601	614385216.00
2018/11/07	19.15	19.31	19.01	19.06	14214229	272586112.00
2018/11/08	19.21	19.37	18.80	18.86	13299573	253937008.00
2018/11/09	18.68	19.09	18.58	18.82	8921231	168571360.00
2018/11/12	18.93	19.28	18.73	19.28	13534505	258087776.00
2018/11/13	18.94	19.30	18.85	19.23	18105494	345977504.00
2018/11/14	19.28	19.57	19.21	19.26	17693577	343066848.00
2018/11/15	19.26	19.77	19.24	19.77	23383519	456709248.00
2018/11/16	19.76	19.94	19.64	19.68	19726984	389909216.00
2018/11/19	19.67	19.85	19.42	19.70	14557350	285545696.00
2018/11/20	19.46	19.54	18.88	18.88	18514744	355913184.00
2018/11/21	18.61	19.07	18.51	19.05	11082458	208131744.00
2018/11/22	19.10	19.10	18.87	18.91	6845097	129803976.00
2018/11/23	18.95	19.06	17.93	17.97	13870978	255329088.00
2018/11/26	17.97	18.13	17.86	17.92	5615611	101081888.00
2018/11/27	18.15	18.37	18.10	18.16	7669245	139512656.00
2018/11/28	18.10	18.35	17.92	18.33	7446788	135443296.00
2018/11/29	18.50	18.55	17.65	17.66	9168509	166293120.00
2018/11/30	17.60	17.74	17.20	17.60	9701286	169696608.00
2018/12/03	18.13	18.65	18.05	18.60	19157882	353143232.00
2018/12/04	18.50	18.55	18.30	18.48	10049611	185142240.00
2018/12/05	18.11	18.26	18.04	18.18	8444468	153394848.00
2018/12/06	18.19	18.29	17.93	17.93	9112689	164787248.00
2018/12/07	17.93	18.14	17.92	17.93	4528365	81480720.00
2018/12/10	17.78	17.85	17.36	17.45	8361819	146735760.00
2018/12/11	17.45	17.62	17.45	17.60	4956835	86989672.00
2018/12/12	17.63	17.83	17.61	17.62	5368545	95002792.00
2018/12/13	17.72	17.97	17.59	17.81	8553750	152203232.00
2018/12/14	17.77	17.78	17.29	17.34	8020920	140718736.00
2018/12/17	17.19	17.51	17.19	17.46	4887397	84897368.00
2018/12/18	17.41	17.53	17.27	17.44	4722384	82201104.00
2018/12/19	17.47	17.60	17.31	17.34	5419508	94615856.00
2018/12/20	17.30	17.48	17.24	17.43	4386113	76320584.00
2018/12/21	17.38	17.74	17.33	17.70	8926382	156563664.00
2018/12/24	17.70	18.35	17.70	18.30	18081025	328650432.00
2018/12/25	18.10	18.58	17.82	18.44	18955488	344611872.00
2018/12/26	18.45	18.49	18.08	18.08	12133048	221070240.00
2018/12/27	18.38	18.45	17.65	17.66	11618207	210724096.00
2018/12/28	17.75	17.89	17.50	17.52	9291905	164159952.00
2019/01/02	17.62	17.74	17.46	17.58	5567585	98039696.00
2019/01/03	17.62	17.93	16.96	17.00	12726409	222933216.00
数据来源:通达信
