300024 机器人 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/10/30	2.98	4.43	2.59	3.02	11110913	865163392.00
2009/11/02	2.70	3.02	2.70	2.74	4326984	301303840.00
2009/11/03	2.85	2.89	2.73	2.78	2503327	175888384.00
2009/11/04	2.80	2.95	2.78	2.90	2065914	147980000.00
2009/11/05	2.88	3.03	2.81	2.93	2281412	166084704.00
2009/11/06	2.89	2.92	2.79	2.82	1626976	115327880.00
2009/11/09	2.81	2.83	2.74	2.77	980399	67931944.00
2009/11/10	2.77	2.87	2.74	2.75	1082126	75335096.00
2009/11/11	2.72	2.80	2.70	2.78	1011687	69592760.00
2009/11/12	2.77	2.82	2.75	2.79	1010936	70324240.00
2009/11/13	2.80	3.01	2.79	2.92	2160550	156726240.00
2009/11/16	2.89	2.96	2.88	2.93	1118794	81384584.00
2009/11/17	2.93	2.98	2.86	2.89	988927	71716392.00
2009/11/18	2.88	2.97	2.87	2.94	1313077	95686136.00
2009/11/19	2.95	3.24	2.93	3.09	2954669	226012384.00
2009/11/20	3.06	3.12	2.99	3.02	1303910	98419232.00
2009/11/23	3.03	3.18	3.03	3.13	1299536	99879512.00
2009/11/24	3.13	3.16	2.83	2.85	1787271	133644464.00
2009/11/25	2.88	3.02	2.83	3.01	1285436	94204464.00
2009/11/26	3.01	3.09	2.94	2.98	1453026	108763352.00
2009/11/27	2.97	3.10	2.93	3.08	1617788	121882696.00
2009/11/30	3.10	3.14	3.00	3.13	1381966	105681896.00
2009/12/01	3.13	3.14	3.04	3.09	1175977	89982656.00
2009/12/02	3.10	3.27	3.08	3.21	1924244	152275664.00
2009/12/03	3.19	3.42	3.17	3.40	2043902	167996096.00
2009/12/04	3.27	3.31	3.04	3.09	2222206	173402256.00
2009/12/07	3.06	3.15	3.01	3.11	971963	74737792.00
2009/12/08	3.10	3.20	3.04	3.18	1112060	86419648.00
2009/12/09	3.16	3.28	3.13	3.19	1353528	107599616.00
2009/12/10	3.18	3.25	3.14	3.14	939325	74049712.00
2009/12/11	3.12	3.16	2.93	3.00	1265254	95612192.00
2009/12/14	3.02	3.02	2.89	2.96	681634	49988908.00
2009/12/15	2.96	3.03	2.95	2.98	513672	38144056.00
2009/12/16	2.98	2.99	2.89	2.90	714710	52172060.00
2009/12/17	2.89	2.90	2.74	2.77	913289	63845824.00
2009/12/18	2.73	2.86	2.64	2.77	940979	64359208.00
2009/12/21	2.76	2.84	2.73	2.80	402976	28074094.00
2009/12/22	2.79	2.80	2.67	2.67	545308	36929344.00
2009/12/23	2.66	2.75	2.66	2.73	532747	36300208.00
2009/12/24	2.71	2.79	2.67	2.78	635578	43588904.00
2009/12/25	2.77	2.77	2.67	2.68	727413	49054176.00
2009/12/28	2.68	2.73	2.68	2.70	386314	26167112.00
2009/12/29	2.71	2.74	2.70	2.74	451816	30738890.00
2009/12/30	2.76	3.03	2.75	3.00	3035337	225917840.00
2009/12/31	2.93	2.94	2.87	2.90	1436233	103890240.00
2010/01/04	2.93	2.96	2.89	2.92	752808	54884716.00
