300033 同花顺 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/12/25	6.52	7.13	6.05	6.06	9661747	717010560.00
2009/12/28	6.00	6.44	5.95	6.12	2823223	201759504.00
2009/12/29	6.07	6.33	6.02	6.28	2134155	151742480.00
2009/12/30	6.24	6.32	6.07	6.10	1771074	126105360.00
2009/12/31	6.09	6.23	6.02	6.12	1019272	72095040.00
2010/01/04	6.27	6.77	6.22	6.59	3627417	270247680.00
2010/01/05	6.59	6.60	6.35	6.47	1775468	130424584.00
2010/01/06	6.40	6.77	6.40	6.41	1714526	127669480.00
2010/01/07	6.39	6.39	6.13	6.17	1387438	99786648.00
2010/01/08	6.08	6.16	5.63	5.80	2182159	150317232.00
2010/01/11	6.22	6.63	6.10	6.25	2430874	176287696.00
2010/01/12	6.16	6.51	6.16	6.35	1740600	127207584.00
2010/01/13	6.16	7.22	6.14	6.88	2481989	186611728.00
2010/01/14	6.88	7.37	6.88	7.01	1968590	155240784.00
2010/01/15	6.97	7.62	6.91	7.52	2222696	178811760.00
2010/01/18	7.60	7.89	7.33	7.54	1790863	147635296.00
2010/01/19	7.48	8.02	7.33	8.00	1963947	163762112.00
2010/01/20	7.89	7.97	6.95	7.04	2320990	187881600.00
2010/01/21	7.04	7.58	7.04	7.42	1529881	123519872.00
2010/01/22	7.22	7.32	6.64	6.80	1784673	137071616.00
2010/01/26	7.76	7.76	7.72	7.76	3318900	278554368.00
2010/01/27	7.52	8.12	7.41	7.58	3429414	288925792.00
2010/01/28	7.39	7.52	7.06	7.18	1771967	140923408.00
2010/01/29	7.11	7.68	7.04	7.37	1598001	130005928.00
2010/02/01	7.03	7.59	6.89	7.45	1584618	126733752.00
2010/02/02	7.45	7.64	7.33	7.45	811469	66171364.00
2010/02/03	7.45	7.50	6.84	7.19	1372665	108076232.00
2010/02/04	6.87	7.18	6.84	6.92	1644968	127434840.00
2010/02/05	6.74	7.17	6.69	6.89	1334953	103041784.00
2010/02/08	6.75	7.10	6.75	6.93	1053949	81721832.00
2010/02/09	6.89	6.92	6.63	6.68	1098409	83336224.00
2010/02/10	6.75	7.51	6.75	7.45	2202229	174359536.00
2010/02/11	7.38	7.70	7.20	7.37	1583120	129095032.00
2010/02/12	7.32	8.09	7.32	7.94	1688209	141891696.00
2010/02/22	7.94	7.94	7.65	7.76	1121462	94162472.00
2010/02/23	7.83	8.28	7.71	8.22	1632520	140289232.00
2010/02/25	8.50	8.74	8.23	8.26	1924767	172097760.00
2010/02/26	8.28	8.31	8.08	8.14	935146	81494056.00
2010/03/01	8.19	8.21	7.98	8.19	1118373	97120264.00
2010/03/02	8.18	8.45	8.09	8.25	1099561	97035680.00
2010/03/03	8.19	8.24	7.89	7.97	1680227	144656944.00
2010/03/04	7.95	8.04	7.53	7.58	1106372	92879792.00
2010/03/05	7.63	7.87	7.58	7.82	964627	81077528.00
2010/03/08	8.22	8.84	8.08	8.62	2828103	252732784.00
2010/03/09	8.43	8.84	8.29	8.77	1816877	165021824.00
2010/03/10	8.78	8.97	8.47	8.64	1362951	124521200.00
2010/03/11	8.64	9.78	8.52	9.78	3487303	336199840.00
2010/03/12	9.85	9.98	8.95	9.02	7414512	361608320.00
2010/03/15	8.80	9.10	8.59	9.05	4192835	192446880.00
2010/03/16	9.03	9.03	8.19	8.39	3875007	174365248.00
2010/03/17	8.39	9.13	8.28	8.70	4446813	203994736.00
2010/03/18	8.73	8.79	8.49	8.75	3062770	138508912.00
2010/03/19	8.68	8.85	8.65	8.72	2334250	106735976.00
2010/03/22	8.72	8.90	8.52	8.85	2745980	124876600.00
2010/03/23	8.81	9.72	8.68	9.55	6341786	304857152.00
2010/03/24	9.40	10.17	9.32	9.65	6657612	333111840.00
2010/03/25	9.80	10.88	9.75	10.79	9649543	503951360.00
2010/03/26	10.18	10.63	9.93	10.27	6341485	327729760.00
2010/03/29	10.27	10.48	9.50	10.08	5263314	265914864.00
2010/03/30	9.93	10.52	9.81	10.31	4303555	223718656.00
2010/03/31	10.42	11.30	10.36	11.13	6761744	368803552.00
2010/04/01	11.21	11.80	10.93	11.16	7371567	416552992.00
2010/04/02	10.78	11.38	10.78	11.23	3575724	197169200.00
2010/04/06	11.28	11.52	11.13	11.50	4044411	227271024.00
2010/04/07	11.52	12.05	11.52	12.00	4662983	271154240.00
2010/04/08	12.00	12.18	11.19	11.25	5320279	306121856.00
