300048 合康新能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/01/20	5.20	5.47	5.09	5.12	16444760	708978304.00
2010/01/21	5.20	5.28	4.85	5.02	6120391	255702192.00
2010/01/22	4.89	4.89	4.56	4.58	4388700	171244160.00
2010/01/25	4.59	4.90	4.57	4.59	3575825	139812960.00
2010/01/26	4.71	4.89	4.71	4.85	4685500	185907824.00
2010/01/27	5.28	5.36	5.18	5.21	7467331	325267424.00
2010/01/28	5.08	5.37	5.03	5.37	4886743	209954576.00
2010/01/29	5.55	5.93	5.48	5.65	6653866	313333280.00
2010/02/01	5.58	5.88	5.52	5.68	4549729	213355824.00
2010/02/02	5.66	5.93	5.55	5.93	3986914	187473968.00
2010/02/03	5.93	5.93	5.31	5.32	5864656	266590304.00
2010/02/04	5.25	5.39	5.09	5.13	3910597	168381328.00
2010/02/05	4.99	5.25	4.93	5.16	3189598	133843456.00
2010/02/08	5.10	5.33	5.10	5.22	2601716	112052112.00
2010/02/09	5.10	5.21	5.02	5.13	1652138	69619616.00
2010/02/10	5.21	5.33	5.10	5.29	1777675	76679768.00
2010/02/11	5.21	5.43	5.21	5.31	1694681	74591128.00
2010/02/12	5.30	5.35	5.22	5.31	1177403	51284384.00
2010/02/22	5.34	5.53	5.29	5.29	1472791	65725896.00
2010/02/23	5.23	5.41	5.18	5.41	1157867	50781864.00
2010/02/24	5.39	5.68	5.39	5.60	2250439	103312544.00
2010/02/25	5.60	5.77	5.57	5.75	1829525	85391192.00
2010/02/26	5.76	5.94	5.41	5.52	4515356	209860448.00
2010/03/01	5.53	6.04	5.53	5.98	2499839	118620928.00
2010/03/02	5.91	6.18	5.91	5.99	2129836	105449528.00
2010/03/03	5.95	6.08	5.85	6.00	1777592	86823768.00
2010/03/04	5.93	6.00	5.71	5.80	1237657	59444112.00
2010/03/05	5.80	5.88	5.67	5.79	1093988	51768108.00
2010/03/08	5.80	6.05	5.80	5.99	1137521	55542904.00
2010/03/09	6.04	6.04	5.84	5.93	754006	36430328.00
2010/03/10	5.92	5.92	5.60	5.64	2617056	123267056.00
2010/03/11	5.63	5.75	5.58	5.73	1096073	51060020.00
2010/03/12	5.75	5.95	5.66	5.66	1610113	76667360.00
2010/03/15	5.68	5.84	5.61	5.79	1024265	48250228.00
2010/03/16	5.77	5.81	5.60	5.62	924007	43264904.00
2010/03/17	5.66	5.77	5.62	5.77	871978	40783424.00
2010/03/18	5.83	6.16	5.78	5.98	1909843	93251520.00
2010/03/19	5.98	6.04	5.92	5.96	719783	35265248.00
2010/03/22	5.94	6.05	5.85	6.01	618641	30225354.00
2010/03/23	6.04	6.23	5.99	6.12	1506495	75343152.00
2010/03/24	6.14	6.28	6.07	6.23	1546816	78304368.00
2010/03/25	6.18	6.40	6.08	6.29	2068828	105370504.00
2010/03/26	6.12	6.17	5.95	6.01	1394666	69190872.00
2010/03/29	6.04	6.07	5.83	5.93	2212662	107454096.00
2010/03/30	5.93	6.25	5.89	6.13	1785945	89082432.00
2010/03/31	6.18	6.46	6.12	6.44	2286507	118775504.00
2010/04/01	6.43	6.76	6.34	6.35	2386973	127734216.00
2010/04/02	6.26	6.41	6.18	6.37	1510099	77499368.00
2010/04/06	6.37	6.67	6.30	6.66	1560880	83531312.00
2010/04/07	6.67	6.78	6.56	6.70	1997384	108756376.00
2010/04/08	6.59	7.07	6.45	6.87	3073840	168671904.00
2010/04/09	6.65	6.99	6.65	6.97	958895	53726904.00
2010/04/12	6.97	7.38	6.89	7.35	1673043	97463128.00
2010/04/13	7.25	7.32	6.71	7.19	2559773	146694144.00
2010/04/14	7.13	7.13	6.77	7.04	665621	38041996.00
2010/04/15	7.00	7.24	6.49	6.55	1824107	100161720.00
2010/04/16	6.55	6.81	6.49	6.73	723457	39550148.00
2010/04/19	6.73	7.14	6.62	7.08	1568091	89120112.00
2010/04/20	6.74	6.90	6.51	6.87	4010063	218544112.00
2010/04/21	6.67	7.34	6.67	7.23	1896953	109871240.00
2010/04/22	7.25	7.33	7.08	7.14	2520317	147048256.00
2010/04/23	7.08	7.48	7.01	7.13	1571976	92476880.00
2010/04/26	7.07	7.13	6.62	6.65	2339939	129867136.00
2010/04/27	6.59	6.59	6.03	6.21	2825625	143046784.00
2010/04/29	6.20	6.23	5.77	5.85	1876764	92963256.00
2010/04/30	5.79	5.84	5.68	5.79	1433637	67626488.00
2010/05/04	5.72	5.98	5.66	5.81	1510351	72383520.00
2010/05/05	5.76	6.07	5.75	6.05	1152838	55894384.00
2010/05/06	6.11	6.32	6.03	6.04	2011532	101687920.00
2010/05/07	5.84	6.18	5.75	5.90	1541348	75514536.00
2010/05/10	5.85	5.96	5.28	5.47	2280169	102736088.00
2010/05/11	5.60	5.60	5.18	5.22	1285121	56954348.00
2010/05/12	5.16	5.18	4.71	4.86	3645943	147280304.00
2010/05/13	4.86	5.04	4.76	4.97	2477688	100180904.00
2010/05/14	4.92	5.08	4.82	5.05	1902541	77673528.00
2010/05/17	4.93	5.03	4.83	4.90	1290054	52356872.00
2010/05/18	4.86	5.16	4.79	5.09	1623380	66561492.00
2010/05/19	5.07	5.38	5.05	5.27	1273459	54930400.00
2010/05/20	5.21	5.44	5.08	5.20	1497217	64552552.00
2010/05/21	5.11	5.47	5.01	5.40	1500536	65246888.00
2010/05/24	5.40	5.63	5.40	5.55	1821886	82789392.00
2010/05/25	5.50	5.64	5.49	5.56	1134090	51611820.00
2010/05/26	5.61	5.61	5.43	5.53	1032045	46617772.00
2010/05/27	5.54	5.78	5.47	5.77	1533519	71315656.00
2010/05/28	5.86	5.90	5.65	5.74	1013236	47753960.00
2010/05/31	5.75	5.90	5.69	5.69	1224646	58207840.00
2010/06/01	5.62	5.62	5.44	5.59	1552383	70220840.00
2010/06/02	5.56	5.66	5.47	5.66	986319	45209544.00
2010/06/03	5.72	5.75	5.42	5.42	669103	30895894.00
2010/06/04	5.41	5.56	5.40	5.52	426197	19130690.00
2010/06/07	5.43	5.84	5.40	5.79	1435309	66661372.00
2010/06/08	5.74	5.84	5.66	5.69	1108932	52154364.00
2010/06/09	5.77	5.93	5.71	5.88	2173965	103459744.00
2010/06/10	5.87	6.14	5.82	6.11	1719553	84698680.00
2010/06/11	6.13	6.36	6.06	6.18	1769420	89359200.00
2010/06/17	6.27	6.36	5.98	5.98	1501377	75785024.00
2010/06/18	5.89	5.98	5.49	5.62	992999	46191808.00
2010/06/21	5.58	5.78	5.41	5.74	1043657	47953728.00
2010/06/22	5.71	5.77	5.65	5.65	631858	29605898.00
2010/06/23	5.61	5.77	5.47	5.57	1076823	49011312.00
2010/06/24	5.52	5.68	5.52	5.57	1015008	46394352.00
2010/06/25	5.52	5.55	5.20	5.31	1074455	47035116.00
2010/06/28	5.24	5.30	5.10	5.16	496876	21166348.00
2010/06/29	5.17	5.21	4.62	4.62	1547154	60876180.00
2010/06/30	4.59	4.60	4.28	4.54	1561833	56920940.00
2010/07/01	4.47	4.66	4.41	4.53	1317407	49437052.00
2010/07/02	4.55	4.59	4.19	4.41	1557052	56647628.00
2010/07/05	4.30	4.52	4.19	4.47	1091735	39298148.00
2010/07/06	4.44	4.69	4.36	4.61	1238897	47121484.00
2010/07/07	4.63	4.69	4.57	4.63	997869	38205384.00
2010/07/08	4.68	4.68	4.41	4.53	1571089	58671688.00
2010/07/09	4.49	4.72	4.41	4.63	1996055	75471656.00
