300061 康旗股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/03/19	4.98	5.39	4.98	5.36	9887523	277558400.00
2010/03/22	5.20	5.42	5.18	5.32	5482845	157688624.00
2010/03/23	5.24	5.28	5.10	5.21	3157167	88836648.00
2010/03/24	5.21	5.50	5.14	5.40	4564955	132349560.00
2010/03/25	5.36	5.89	5.34	5.68	4607648	139958192.00
2010/03/26	5.54	5.59	5.36	5.50	2576838	76241016.00
2010/03/29	5.52	5.69	5.41	5.61	2457329	73734456.00
2010/03/30	5.61	5.78	5.57	5.67	2098663	64518436.00
2010/03/31	5.64	5.92	5.64	5.78	2506801	78951040.00
2010/04/01	5.92	6.01	5.78	5.79	3047379	97530208.00
2010/04/02	5.69	5.89	5.69	5.78	1780103	55457944.00
2010/04/06	5.78	5.91	5.78	5.88	1853224	58506204.00
2010/04/07	6.03	6.08	5.91	5.97	2164676	70099936.00
2010/04/08	6.01	6.01	5.79	5.79	2028040	64462064.00
2010/04/09	5.78	5.89	5.73	5.89	1238319	39108180.00
2010/04/12	5.95	5.99	5.84	5.92	1496767	47872408.00
2010/04/13	5.89	5.89	5.36	5.49	1791926	54556024.00
2010/04/14	5.49	5.65	5.49	5.61	1102608	33214670.00
2010/04/15	5.61	5.69	5.30	5.45	1509520	44880932.00
2010/04/16	5.36	5.53	5.31	5.45	494135	14609312.00
2010/04/19	5.33	5.52	5.27	5.27	754296	22000604.00
2010/04/20	5.27	5.32	5.03	5.20	729354	20255072.00
2010/04/21	5.20	5.34	5.17	5.29	684984	19571128.00
2010/04/22	5.28	5.46	5.24	5.38	920465	26758226.00
2010/04/23	5.36	5.46	5.29	5.39	737586	21533236.00
2010/04/26	5.41	5.41	5.31	5.31	399606	11595525.00
2010/04/27	5.26	5.26	4.89	4.96	563635	15360435.00
2010/04/28	4.90	5.00	4.79	4.85	399872	10570433.00
2010/04/29	4.85	4.93	4.79	4.79	356139	9409731.00
2010/04/30	4.80	4.88	4.53	4.59	564627	14231492.00
2010/05/04	4.43	4.62	4.43	4.56	264831	6560382.50
2010/05/05	4.44	4.82	4.43	4.78	525547	13340793.00
2010/05/06	4.78	4.78	4.54	4.55	400588	10146650.00
2010/05/07	4.48	4.60	4.41	4.51	282536	6929364.00
2010/05/10	4.51	4.58	4.30	4.43	469430	11314774.00
