300084 海默科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/05/20	8.96	9.41	7.97	8.32	9566334	361624096.00
2010/05/21	7.47	8.07	7.47	7.84	6277095	214395200.00
2010/05/24	7.73	8.17	7.61	8.07	5229024	185726192.00
2010/05/25	7.82	7.88	7.34	7.48	4160527	141263488.00
2010/05/26	7.39	7.70	7.34	7.41	1951830	65553868.00
2010/05/27	7.41	7.54	7.25	7.53	2037777	67660216.00
2010/05/28	7.57	7.61	7.38	7.43	1659049	55759388.00
2010/05/31	7.43	7.68	7.32	7.32	1772925	59881428.00
2010/06/01	7.23	7.34	6.71	6.79	1881592	58756348.00
2010/06/02	6.70	6.92	6.57	6.91	1031500	31263044.00
2010/06/03	6.91	6.96	6.70	6.70	1203460	37091220.00
2010/06/04	6.66	6.72	6.46	6.72	983084	29125470.00
2010/06/07	6.53	6.95	6.53	6.88	1398225	42738928.00
2010/06/08	6.88	6.98	6.78	6.86	829291	25538530.00
2010/06/09	6.90	7.11	6.85	6.99	1484680	46446816.00
2010/06/10	6.99	7.14	6.91	7.09	1131374	35844560.00
2010/06/11	7.11	7.77	7.11	7.65	2852626	95908536.00
2010/06/17	7.65	7.65	7.03	7.04	1941571	63864940.00
2010/06/18	6.96	7.02	6.60	6.65	1111429	33764372.00
2010/06/21	6.65	6.90	6.60	6.86	659172	20068580.00
2010/06/22	6.88	7.18	6.81	6.98	1005405	31760102.00
2010/06/23	6.96	7.09	6.78	6.94	669272	20781986.00
2010/06/24	6.98	7.02	6.84	6.91	489427	15226588.00
2010/06/25	6.93	6.93	6.66	6.75	653250	19834382.00
2010/06/28	6.73	6.78	6.63	6.66	470902	14128039.00
2010/06/29	6.62	6.68	6.13	6.13	603773	17189766.00
2010/06/30	6.09	6.09	5.85	6.05	498643	13329218.00
2010/07/01	6.02	6.12	5.91	5.91	397999	10689829.00
2010/07/02	5.89	5.97	5.55	5.80	523059	13587533.00
2010/07/05	5.67	5.80	5.55	5.71	428907	10936315.00
2010/07/06	5.69	5.88	5.66	5.87	507804	13294777.00
2010/07/07	5.88	5.96	5.83	5.95	453116	12038115.00
2010/07/08	6.19	6.19	5.85	5.97	481339	12994670.00
2010/07/09	5.98	6.15	5.90	6.11	611960	16672927.00
2010/07/12	6.11	6.20	6.06	6.08	429558	11804968.00
2010/07/13	6.05	6.05	5.83	5.94	563688	15007750.00
2010/07/14	5.92	6.03	5.91	5.93	395394	10606195.00
2010/07/15	5.93	5.98	5.70	5.70	470838	12416226.00
2010/07/16	5.65	5.80	5.64	5.76	417155	10705476.00
2010/07/19	5.72	5.88	5.70	5.88	296146	7749713.00
2010/07/20	5.88	6.05	5.78	6.05	619578	16638707.00
2010/07/21	6.05	6.22	6.00	6.09	703710	19414984.00
2010/07/22	6.03	6.13	5.98	6.11	666525	18208060.00
2010/07/23	6.11	6.18	6.03	6.12	614483	16883826.00
2010/07/26	6.13	6.19	6.07	6.16	673613	18595286.00
2010/07/27	6.12	6.15	6.05	6.05	516439	14125831.00
2010/07/28	6.08	6.18	6.04	6.16	724085	19937178.00
2010/07/29	6.18	6.30	6.15	6.29	1073931	29979042.00
2010/07/30	6.26	6.33	6.19	6.25	514148	14451990.00
2010/08/02	6.25	6.36	6.25	6.34	642632	18230360.00
2010/08/03	6.39	6.39	6.21	6.21	643694	18192786.00
2010/08/04	6.21	6.23	6.10	6.21	457633	12672349.00
2010/08/05	6.23	6.35	6.21	6.28	789498	22375072.00
2010/08/06	6.27	6.41	6.25	6.41	666406	19003230.00
2010/08/09	6.43	6.58	6.41	6.54	987283	28923306.00
2010/08/10	6.55	6.58	6.25	6.26	840979	24202754.00
2010/08/11	6.25	6.35	6.23	6.33	447687	12660802.00
2010/08/12	6.31	6.35	6.20	6.21	512961	14475083.00
2010/08/13	6.21	6.31	6.17	6.31	415575	11683400.00
2010/08/16	6.31	6.46	6.31	6.43	617189	17744064.00
2010/08/17	6.43	6.53	6.39	6.51	647327	18801264.00
2010/08/18	6.48	6.51	6.38	6.45	509975	14781077.00
2010/08/19	6.45	6.50	6.35	6.46	634947	18360700.00
2010/08/20	6.43	6.43	6.19	6.20	1580194	44675924.00
2010/08/23	6.16	6.16	5.92	5.99	1689156	45877716.00
2010/08/24	5.99	6.09	5.95	6.05	548311	14851149.00
2010/08/25	6.03	6.05	5.84	5.87	633604	16948630.00
2010/08/26	5.87	5.93	5.87	5.90	449221	11913487.00
2010/08/27	5.89	6.00	5.89	5.97	505034	13513993.00
2010/08/30	5.98	6.18	5.98	6.14	871082	23950954.00
2010/08/31	6.09	6.17	6.08	6.12	607790	16736014.00
2010/09/01	6.12	6.15	5.94	5.97	725965	19722058.00
2010/09/02	6.02	6.11	5.99	6.08	671947	18297954.00
2010/09/03	6.11	6.31	6.08	6.25	1272712	35556960.00
