300110 华仁药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/08/25	4.73	4.94	4.41	4.49	32361030	737594240.00
2010/08/26	4.54	4.66	4.41	4.60	17362880	383706880.00
2010/08/27	4.43	4.45	4.21	4.37	13589488	284797312.00
2010/08/30	4.32	4.45	4.26	4.39	11002017	232183648.00
2010/08/31	4.31	4.46	4.29	4.42	8477010	180663648.00
2010/09/01	4.43	4.43	4.16	4.21	10190234	210410016.00
2010/09/02	4.25	4.39	4.20	4.37	7085743	146404064.00
2010/09/03	4.35	4.51	4.31	4.40	7698244	164637200.00
2010/09/06	4.41	4.44	4.26	4.28	5204394	108238584.00
2010/09/07	4.28	4.34	4.27	4.31	2638805	54817636.00
2010/09/08	4.27	4.31	4.24	4.28	3271441	67192416.00
2010/09/09	4.28	4.40	4.28	4.29	4711087	98585800.00
2010/09/10	4.32	4.44	4.27	4.42	7651261	161817760.00
2010/09/13	4.45	4.45	4.36	4.38	4664757	98888128.00
2010/09/14	4.40	4.41	4.30	4.33	4238472	88972456.00
2010/09/15	4.31	4.35	4.24	4.26	3781280	78238624.00
2010/09/16	4.26	4.29	4.11	4.16	3631271	73153200.00
2010/09/17	4.17	4.22	4.15	4.15	1987872	40004724.00
2010/09/20	4.14	4.20	3.96	3.97	2614581	50484276.00
2010/09/21	4.00	4.00	3.89	3.96	1810570	34069340.00
2010/09/27	3.97	4.02	3.91	4.01	1260453	23952970.00
2010/09/29	3.96	3.96	3.85	3.85	2025531	37533728.00
2010/09/30	3.85	3.90	3.82	3.88	1592956	29287852.00
2010/10/08	3.89	3.97	3.86	3.94	1722770	32359466.00
2010/10/11	3.94	3.96	3.90	3.95	2176737	40695596.00
2010/10/12	3.95	3.97	3.91	3.93	1550383	29011752.00
2010/10/13	3.93	3.93	3.86	3.91	2122954	39205288.00
2010/10/14	3.92	4.04	3.89	4.01	4187871	79720048.00
2010/10/15	4.00	4.00	3.84	3.91	3082718	57454516.00
2010/10/18	3.89	3.89	3.70	3.73	2496826	44481924.00
2010/10/19	3.72	3.94	3.67	3.91	3621615	66614644.00
2010/10/20	3.86	4.00	3.81	3.89	3532601	65886448.00
2010/10/21	3.89	3.91	3.79	3.81	2403953	43671252.00
2010/10/22	3.80	3.91	3.80	3.87	2103278	38796152.00
2010/10/25	3.89	3.96	3.89	3.95	2658935	49871396.00
2010/10/26	3.95	3.99	3.87	3.98	2875444	53849912.00
2010/10/27	3.99	4.09	3.92	3.94	3357960	64475324.00
2010/10/28	3.94	3.96	3.89	3.91	1471641	27439048.00
2010/10/29	3.94	3.98	3.91	3.95	1970535	37130940.00
2010/11/01	3.96	4.09	3.96	4.07	4415304	85340056.00
2010/11/02	4.07	4.07	3.96	4.02	2913017	55717556.00
2010/11/03	3.98	4.04	3.92	3.98	1952721	37086316.00
2010/11/04	3.98	3.99	3.92	3.96	1902077	35824472.00
2010/11/05	4.01	4.01	3.94	3.97	1542309	29192236.00
2010/11/08	3.96	4.06	3.96	4.05	3329152	64154364.00
2010/11/09	4.05	4.09	4.01	4.09	3042512	58989448.00
2010/11/10	4.10	4.19	4.07	4.10	4294887	85397496.00
2010/11/11	4.10	4.19	4.07	4.07	3616074	71980912.00
2010/11/12	4.05	4.08	3.81	3.82	3360298	63043300.00
2010/11/15	3.88	3.97	3.82	3.97	2672499	49679496.00
2010/11/16	3.96	4.10	3.92	4.00	4360776	84181424.00
2010/11/17	3.95	4.04	3.89	3.90	2004567	38132412.00
2010/11/18	3.91	3.99	3.86	3.92	1593107	29674740.00
2010/11/19	3.94	4.07	3.92	4.07	2945378	56345344.00
2010/11/22	4.07	4.18	4.05	4.15	4752846	94398976.00
2010/11/23	4.15	4.16	4.02	4.09	2874157	55997584.00
2010/11/24	4.07	4.21	4.04	4.19	4088335	81242904.00
2010/11/25	4.16	4.23	4.07	4.10	6438214	127444200.00
