300117 嘉寓股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/02	5.22	5.98	5.22	5.47	16898777	634074752.00
2010/09/03	5.27	5.74	5.27	5.36	9521818	350228096.00
2010/09/06	5.30	5.38	4.83	4.84	7169271	240012992.00
2010/09/07	4.84	4.86	4.68	4.78	2865855	91946400.00
2010/09/08	4.74	4.74	4.66	4.68	3255801	102357784.00
2010/09/09	4.71	4.81	4.66	4.68	2619261	83174704.00
2010/09/10	4.71	4.75	4.63	4.72	2210562	69594280.00
2010/09/13	4.71	4.74	4.64	4.70	2137290	67137176.00
2010/09/14	4.72	4.75	4.69	4.72	1993143	63143656.00
2010/09/15	4.72	4.72	4.30	4.31	3553130	106088960.00
2010/09/16	4.30	4.36	4.18	4.22	1769546	50745772.00
2010/09/17	4.24	4.27	4.15	4.21	1339224	37848440.00
2010/09/20	4.20	4.21	4.04	4.10	1593344	44166432.00
2010/09/21	4.10	4.11	4.01	4.02	1019550	27674314.00
2010/09/27	4.03	4.08	4.01	4.08	1009955	27561044.00
2010/09/28	4.07	4.07	3.93	3.93	1325438	35643872.00
2010/09/29	3.93	3.96	3.88	3.88	886780	23400012.00
2010/09/30	3.91	4.08	3.87	4.03	1749252	47248128.00
2010/10/08	4.03	4.23	4.03	4.15	1822524	50968572.00
2010/10/11	4.14	4.14	4.03	4.05	1514659	41481080.00
2010/10/12	4.09	4.22	4.09	4.14	1609501	45034732.00
2010/10/13	4.12	4.17	4.01	4.10	1300866	35714200.00
2010/10/14	4.11	4.14	4.02	4.02	1117870	30679446.00
2010/10/15	4.01	4.04	3.93	3.93	1412700	37628308.00
2010/10/18	3.92	3.94	3.86	3.94	1222049	32060712.00
2010/10/19	3.95	4.24	3.94	4.16	2605157	72168352.00
2010/10/20	4.10	4.21	4.06	4.11	2076343	57598464.00
2010/10/21	4.15	4.18	4.10	4.11	1502373	41749500.00
2010/10/22	4.12	4.23	4.12	4.16	1568356	44145884.00
2010/10/25	4.18	4.31	4.18	4.26	1960688	56203400.00
2010/10/26	4.28	4.30	4.16	4.19	1748013	49502608.00
2010/10/27	4.20	4.25	4.16	4.17	1277606	36116868.00
2010/10/28	4.17	4.20	4.13	4.18	1140536	31932790.00
2010/10/29	4.19	4.37	4.18	4.31	2570472	74017184.00
2010/11/01	4.39	4.43	4.31	4.41	2662474	78475000.00
2010/11/02	4.44	4.44	4.24	4.24	2364030	68706128.00
2010/11/03	4.23	4.24	4.18	4.19	1073044	30329772.00
2010/11/04	4.19	4.23	4.18	4.23	845943	23939946.00
2010/11/05	4.25	4.31	4.25	4.28	1126965	32327074.00
2010/11/08	4.31	4.39	4.30	4.37	1770390	51759716.00
2010/11/09	4.37	4.39	4.31	4.35	1621642	47261780.00
2010/11/11	4.42	4.56	4.41	4.43	3694783	111495400.00
2010/11/12	4.47	4.66	4.42	4.47	4915742	149468096.00
2010/11/15	4.50	4.89	4.50	4.86	4944628	157501200.00
2010/11/16	4.83	4.94	4.55	4.63	4024512	127970472.00
2010/11/17	4.56	4.75	4.44	4.48	1972390	60899632.00
2010/11/18	4.56	4.62	4.41	4.57	1681307	51001948.00
2010/11/19	4.61	4.81	4.53	4.79	2720914	85201128.00
2010/11/22	4.77	4.90	4.69	4.78	3253912	105127376.00
2010/11/23	4.78	5.00	4.77	4.96	4279534	140675200.00
2010/11/24	4.90	5.07	4.90	5.04	2974934	99865672.00
2010/11/25	5.06	5.07	4.88	4.89	2916251	96718992.00
2010/11/26	4.85	4.97	4.84	4.92	1777321	58531812.00
2010/11/29	4.87	4.94	4.85	4.91	1580387	51975368.00
2010/11/30	4.92	4.92	4.55	4.68	2317510	73433832.00
2010/12/01	4.65	4.74	4.65	4.74	1053415	33250510.00
2010/12/02	4.71	4.79	4.65	4.66	3717630	117312368.00
2010/12/03	4.65	4.68	4.48	4.53	2238037	68288240.00
2010/12/06	4.52	4.54	4.35	4.38	1611891	47877384.00
2010/12/07	4.37	4.48	4.30	4.47	1767069	52430348.00
2010/12/08	4.47	4.52	4.36	4.39	1231442	36775880.00
2010/12/09	4.39	4.46	4.38	4.39	1055723	31215842.00
2010/12/10	4.36	4.47	4.35	4.44	1113839	33071068.00
2010/12/13	4.49	4.61	4.48	4.60	1756329	53726996.00
2010/12/14	4.61	4.63	4.56	4.62	1240070	38225972.00
2010/12/16	4.57	4.66	4.57	4.60	1191506	36934372.00
2010/12/17	4.60	4.69	4.59	4.66	1176545	36704500.00
2010/12/20	4.72	4.92	4.63	4.80	3581190	115237368.00
2010/12/21	4.81	4.86	4.73	4.81	1776067	57086236.00
2010/12/22	4.80	4.80	4.65	4.66	1872528	59142320.00
2010/12/23	4.65	4.72	4.53	4.56	1405617	43730748.00
2010/12/24	4.51	4.52	4.41	4.45	1210877	36254884.00
2010/12/27	4.46	4.54	4.32	4.35	1125016	33720300.00
2010/12/28	4.35	4.42	4.27	4.37	799174	23291374.00
2010/12/29	4.37	4.45	4.32	4.45	584036	17306268.00
2010/12/30	4.45	4.51	4.42	4.45	703925	21139500.00
2010/12/31	4.47	4.52	4.45	4.50	750669	22621404.00
2011/01/04	4.47	4.50	4.40	4.50	1558813	46649528.00
2011/01/05	4.48	4.50	4.44	4.45	1011763	30339304.00
2011/01/06	4.45	4.45	4.33	4.35	1192542	35011520.00
2011/01/07	4.33	4.42	4.32	4.35	727819	21376736.00
2011/01/10	4.35	4.38	4.25	4.25	704647	20408268.00
2011/01/11	4.27	4.29	4.16	4.19	631853	17873112.00
2011/01/12	4.23	4.30	4.18	4.27	499549	14266401.00
2011/01/13	4.27	4.33	4.26	4.30	548718	15838774.00
2011/01/14	4.29	4.29	4.14	4.15	569398	16055437.00
2011/01/17	4.13	4.13	3.96	3.96	731273	19811712.00
2011/01/18	3.97	4.01	3.94	3.98	345243	9239733.00
2011/01/19	3.97	4.05	3.97	4.02	598549	16176776.00
2011/01/20	4.03	4.03	3.88	3.88	645215	17127226.00
2011/01/21	3.87	3.94	3.86	3.93	620230	16281387.00
2011/01/24	3.92	3.94	3.85	3.85	514361	13468947.00
2011/01/25	3.85	3.85	3.75	3.79	550833	14038254.00
2011/01/26	3.79	3.87	3.79	3.86	318308	8245240.00
2011/01/27	3.84	3.90	3.78	3.88	539750	14068819.00
2011/01/28	3.88	3.95	3.88	3.94	467362	12318714.00
2011/01/31	3.95	3.95	3.89	3.93	554031	14600462.00
2011/02/01	3.94	3.94	3.86	3.89	761646	19977760.00
2011/02/09	3.86	3.90	3.83	3.83	434714	11317903.00
2011/02/10	3.82	4.01	3.81	4.00	1033694	27378732.00
2011/02/11	3.97	4.04	3.97	4.00	758390	20450128.00
2011/02/14	4.04	4.07	3.99	4.06	948555	25760468.00
2011/02/15	4.06	4.08	4.01	4.02	804606	21940406.00
2011/02/16	4.02	4.13	4.02	4.13	911007	25041354.00
2011/02/17	4.13	4.13	4.06	4.11	782470	21538252.00
2011/02/18	4.09	4.10	4.03	4.05	763649	20863228.00
2011/02/21	4.01	4.11	4.01	4.10	630087	17301614.00
2011/02/22	4.10	4.13	3.94	3.94	944912	25505048.00
2011/02/23	3.94	4.00	3.94	3.98	463069	12379521.00
2011/02/24	3.99	4.12	3.97	4.06	655133	17876960.00
2011/02/25	4.05	4.06	4.00	4.05	440223	11950028.00
2011/02/28	4.03	4.04	3.98	4.04	841417	22669310.00
2011/03/01	4.04	4.10	4.01	4.06	703874	19210398.00
2011/03/02	4.06	4.06	3.97	4.01	695512	18744438.00
2011/03/03	4.04	4.04	3.93	3.94	710555	19031938.00
2011/03/04	3.94	3.97	3.88	3.94	797721	21024844.00
2011/03/07	3.96	4.05	3.95	4.02	850238	22960936.00
2011/03/08	4.02	4.06	3.99	4.06	703589	19102228.00
2011/03/09	4.05	4.06	4.01	4.03	641214	17389454.00
2011/03/10	4.05	4.07	4.02	4.06	892817	24355860.00
2011/03/11	4.05	4.17	4.05	4.13	1963223	54591620.00
2011/03/14	4.11	4.46	4.11	4.39	3657515	106120832.00
