300121 阳谷华泰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/17	6.87	7.16	6.05	6.11	8598042	276263104.00
2010/09/20	5.85	5.95	5.61	5.61	3627038	100841648.00
2010/09/21	5.47	5.53	5.23	5.24	3412402	87357240.00
2010/09/27	5.25	5.34	5.22	5.28	1574683	39860680.00
2010/09/28	5.31	5.44	5.22	5.29	1662553	42901108.00
2010/09/29	5.23	5.28	5.12	5.14	1444365	35763704.00
2010/09/30	5.15	5.38	5.14	5.32	1332739	33971672.00
2010/10/08	5.39	5.43	5.33	5.40	1241113	32256138.00
2010/10/11	5.39	5.49	5.36	5.45	1338522	35013360.00
2010/10/12	5.42	5.58	5.41	5.49	1214446	32451122.00
2010/10/13	5.39	5.45	5.32	5.42	1004833	26096324.00
2010/10/14	5.43	5.45	5.31	5.32	755039	19539434.00
2010/10/15	5.32	5.36	5.20	5.24	780078	19790836.00
2010/10/18	5.24	5.24	5.04	5.10	881518	21427348.00
2010/10/19	5.11	5.44	5.09	5.37	1153033	29473050.00
2010/10/20	5.27	5.54	5.27	5.39	1338483	35269456.00
2010/10/21	5.39	5.44	5.28	5.40	596051	15368851.00
2010/10/22	5.39	5.53	5.34	5.44	1090701	28791092.00
2010/10/25	5.46	5.72	5.46	5.68	1677726	45634668.00
2010/10/26	5.65	5.65	5.53	5.54	1035924	28112130.00
2010/10/27	5.54	5.61	5.46	5.50	807164	21773970.00
2010/10/28	5.47	5.59	5.46	5.57	695747	18635294.00
2010/10/29	5.57	5.71	5.57	5.65	969379	26665036.00
2010/11/01	5.68	5.79	5.68	5.76	1157251	32715444.00
2010/11/02	5.76	5.80	5.66	5.66	1030032	28752882.00
2010/11/03	5.64	5.66	5.58	5.59	572684	15628005.00
2010/11/04	5.57	5.68	5.57	5.64	424277	11642214.00
2010/11/05	5.67	5.70	5.57	5.62	530353	14474253.00
2010/11/08	5.62	5.75	5.62	5.73	944503	26236666.00
2010/11/09	5.74	5.79	5.69	5.79	934446	26303700.00
2010/11/10	5.83	5.94	5.79	5.87	902938	26097542.00
2010/11/11	5.84	5.93	5.79	5.79	878059	25379926.00
2010/11/12	5.73	5.78	5.39	5.50	1048235	28687218.00
2010/11/15	5.51	5.70	5.50	5.69	576231	15765867.00
2010/11/16	5.70	5.86	5.55	5.72	1284448	36253280.00
2010/11/17	5.63	5.97	5.61	5.85	1754534	50522096.00
2010/11/18	5.87	6.31	5.87	6.26	3155855	96446400.00
2010/11/19	6.19	6.29	6.05	6.29	1810130	55807740.00
2010/11/22	6.19	6.42	6.11	6.21	1805494	56667568.00
2010/11/23	6.13	6.19	5.92	6.09	1008985	30221516.00
2010/11/24	6.06	6.24	6.05	6.21	1060463	32590672.00
2010/11/25	6.21	6.24	6.05	6.10	886723	27012126.00
2010/11/26	6.07	6.41	6.07	6.33	1332534	41593788.00
2010/11/29	6.30	6.57	6.26	6.51	1694432	55456156.00
2010/11/30	6.47	6.61	6.07	6.29	1443187	45435864.00
2010/12/01	6.24	6.46	6.19	6.22	931470	29556948.00
2010/12/02	6.25	6.34	6.13	6.20	668207	20820264.00
2010/12/03	6.18	6.20	5.96	6.04	712914	21460226.00
2010/12/06	6.05	6.11	5.80	5.88	428894	12585969.00
2010/12/07	5.88	6.01	5.81	6.01	297249	8704072.00
2010/12/08	6.00	6.09	5.93	5.98	256567	7647366.50
2010/12/09	5.95	6.00	5.82	5.84	290626	8424795.00
2010/12/10	5.80	5.95	5.80	5.92	208206	6041456.50
2010/12/13	5.94	6.06	5.94	6.06	597501	17881490.00
2010/12/14	6.05	6.10	6.01	6.08	469615	14121343.00
2010/12/15	6.09	6.10	6.00	6.00	406728	12185445.00
2010/12/16	6.03	6.19	5.96	6.15	601724	18276040.00
2010/12/17	6.14	6.18	6.00	6.17	1681231	50659464.00
2010/12/21	6.14	6.16	6.07	6.16	1085061	33004102.00
2010/12/22	6.16	6.24	6.09	6.21	1125787	34706488.00
2010/12/23	6.19	6.23	6.04	6.04	732065	22293466.00
2010/12/24	5.96	6.00	5.80	5.80	735265	21234902.00
2010/12/27	5.82	5.87	5.39	5.45	890763	24692710.00
2010/12/28	5.51	5.53	5.41	5.49	672745	17802644.00
2010/12/29	5.50	5.58	5.49	5.57	517016	13924143.00
2010/12/30	5.56	5.61	5.52	5.54	444941	12027748.00
2010/12/31	5.55	5.63	5.54	5.63	404787	11014424.00
2011/01/04	5.66	5.85	5.66	5.84	1006371	28671546.00
2011/01/05	5.83	5.93	5.82	5.83	632564	18261692.00
2011/01/06	5.84	5.88	5.73	5.83	779597	22222472.00
2011/01/07	5.79	5.96	5.77	5.87	638920	18450426.00
2011/01/10	5.85	5.91	5.56	5.66	559503	15783257.00
2011/01/11	5.68	5.68	5.56	5.66	471787	12896762.00
2011/01/12	5.65	5.71	5.62	5.70	284791	7884470.50
2011/01/13	5.71	5.71	5.66	5.68	142460	3965769.00
2011/01/14	5.65	5.65	5.48	5.52	420979	11312608.00
2011/01/17	5.49	5.54	5.32	5.37	315734	8270753.50
2011/01/18	5.38	5.38	5.26	5.32	377427	9644956.00
2011/01/19	5.32	5.49	5.32	5.48	433656	11336271.00
2011/01/20	5.48	5.57	5.39	5.39	511631	13664888.00
2011/01/21	5.33	5.51	5.33	5.44	188926	4982522.00
2011/01/24	5.44	5.49	5.26	5.27	295160	7554667.50
2011/01/25	5.27	5.27	5.14	5.22	231298	5729292.50
2011/01/26	5.21	5.32	5.19	5.29	175403	4434640.50
2011/01/27	5.24	5.38	5.24	5.37	243661	6262017.00
2011/01/28	5.38	5.38	5.33	5.34	255864	6595626.50
2011/01/31	5.36	5.45	5.32	5.44	280306	7282499.00
2011/02/01	5.44	5.50	5.39	5.47	193550	5097425.50
2011/02/09	5.44	5.50	5.31	5.34	255456	6654592.50
2011/02/10	5.34	5.51	5.30	5.51	397219	10449151.00
2011/02/11	5.52	5.58	5.47	5.55	387688	10409496.00
2011/02/14	5.55	5.62	5.53	5.58	425125	11533582.00
2011/02/15	5.55	5.63	5.55	5.57	394527	10746758.00
2011/02/16	5.60	5.65	5.53	5.64	374434	10223529.00
2011/02/17	5.64	5.80	5.62	5.80	890475	25018840.00
2011/02/18	5.80	5.98	5.78	5.82	818683	23702978.00
2011/02/21	5.82	6.03	5.82	6.03	1120761	33225244.00
2011/02/22	6.01	6.12	5.89	6.00	1144602	34021732.00
2011/02/23	5.99	6.17	5.98	6.15	1084809	32831000.00
2011/02/24	6.19	6.19	5.85	5.95	1207511	35783472.00
2011/02/25	5.87	5.95	5.70	5.93	1527344	43585620.00
2011/02/28	5.88	6.01	5.83	5.93	1475763	43254304.00
2011/03/01	5.92	5.97	5.85	5.86	930411	27028408.00
2011/03/02	5.88	5.88	5.78	5.84	509490	14612754.00
2011/03/03	5.87	6.06	5.80	5.94	1613753	47755640.00
2011/03/04	6.04	6.19	6.01	6.16	1982822	60421768.00
2011/03/07	6.27	6.33	6.08	6.17	1698912	52810620.00
2011/03/08	6.12	6.23	6.10	6.16	828158	25401622.00
2011/03/09	6.17	6.19	6.10	6.17	877215	26855130.00
2011/03/10	6.21	6.33	6.18	6.20	1322634	41393588.00
2011/03/11	6.14	6.37	6.14	6.26	1234166	38741508.00
2011/03/14	6.23	6.26	6.16	6.20	717356	22198872.00
2011/03/15	6.18	6.23	6.05	6.13	725421	22188234.00
2011/03/16	6.15	6.24	6.11	6.24	747112	22957932.00
2011/03/17	6.21	6.30	6.18	6.26	819695	25550950.00
2011/03/18	6.29	6.46	6.29	6.42	992341	31890244.00
2011/03/22	6.21	6.39	6.18	6.21	912931	28510244.00
2011/03/23	6.27	6.57	6.26	6.52	1039558	33607248.00
2011/03/24	6.53	6.78	6.46	6.77	1454710	49218676.00
2011/03/25	6.72	6.77	6.59	6.64	1038756	35095648.00
2011/03/28	6.67	6.69	6.40	6.49	1199824	39150512.00
2011/03/29	6.43	6.44	6.14	6.20	912329	28708266.00
2011/03/30	6.15	6.28	6.03	6.03	836317	14052346.00
2011/03/31	6.06	6.20	6.01	6.16	957189	16089652.00
2011/04/01	6.14	6.17	5.85	6.14	637314	10721209.00
2011/04/06	6.11	6.12	5.89	5.92	1148771	18857850.00
2011/04/07	5.92	5.93	5.82	5.89	1155859	18500586.00
2011/04/08	5.89	5.99	5.86	5.94	1112940	18142034.00
2011/04/11	5.95	5.98	5.85	5.87	903185	14606849.00
2011/04/12	5.85	5.88	5.62	5.66	1356723	21186860.00
2011/04/13	5.67	5.77	5.64	5.76	856529	13344200.00
2011/04/14	5.75	5.85	5.72	5.80	762892	12064695.00
2011/04/15	5.78	5.83	5.69	5.76	677679	10569084.00
2011/04/18	5.75	5.87	5.70	5.83	737166	11691062.00
2011/04/19	5.80	5.91	5.77	5.89	861251	13834810.00
2011/04/20	5.91	5.92	5.79	5.85	721790	11561933.00
2011/04/21	5.85	5.87	5.80	5.84	607515	9684045.00
2011/04/22	5.82	5.93	5.78	5.83	477705	7633244.00
2011/04/25	5.82	5.84	5.65	5.65	721950	11259408.00
2011/04/26	5.60	5.60	5.40	5.50	1236331	18285642.00
2011/04/27	5.48	5.54	5.38	5.42	407407	5949747.50
2011/04/28	5.46	5.46	5.18	5.22	766322	10842345.00
2011/04/29	5.25	5.40	5.21	5.32	545650	7761671.00
2011/05/03	5.30	5.49	5.30	5.48	624921	9084175.00
2011/05/04	5.55	5.72	5.48	5.54	1179019	17887294.00
2011/05/05	5.43	5.72	5.43	5.67	1325800	20320944.00
2011/05/06	5.64	5.67	5.52	5.63	507152	7692261.00
2011/05/09	5.63	5.72	5.59	5.67	469169	7208225.50
2011/05/10	5.80	5.80	5.63	5.68	778600	12090731.00
2011/05/11	5.64	5.68	5.60	5.63	480435	7343133.00
2011/05/12	5.63	5.65	5.48	5.49	596664	8951619.00
2011/05/13	5.51	5.51	5.33	5.44	516497	7501381.00
2011/05/16	5.43	5.56	5.39	5.53	406179	5984652.00
2011/05/17	5.50	5.54	5.38	5.49	350183	5145192.00
2011/05/18	5.52	5.66	5.46	5.51	227866	3401717.75
2011/05/19	5.48	5.55	5.38	5.50	261920	3849475.75
2011/05/20	5.50	5.58	5.50	5.52	379765	5672422.00
2011/05/23	5.46	5.51	5.26	5.36	570907	8233444.50
2011/05/24	5.36	5.46	5.26	5.44	385072	5549868.00
2011/05/25	5.41	5.41	5.26	5.26	318825	4520665.50
2011/05/26	5.28	5.32	5.17	5.22	296225	4128228.25
2011/05/27	5.18	5.25	5.09	5.11	234188	3187781.50
2011/05/30	5.11	5.21	5.05	5.10	317542	4291437.00
2011/05/31	5.07	5.18	5.06	5.16	211539	2869599.75
2011/06/01	5.14	5.19	5.12	5.19	184833	2529563.50
2011/06/02	5.14	5.16	5.07	5.16	120721	1628618.38
2011/06/03	5.14	5.26	5.13	5.20	254869	3522824.50
2011/06/07	5.16	5.24	5.16	5.22	118741	1642894.88
2011/06/08	5.22	5.30	5.15	5.27	202554	2823766.75
2011/06/09	5.27	5.29	5.14	5.15	141960	1958740.50
2011/06/10	5.14	5.21	5.14	5.17	91190	1247392.00
2011/06/13	5.11	5.19	5.10	5.19	95990	1308134.25
2011/06/14	5.21	5.29	5.17	5.23	150674	2091491.25
2011/06/15	5.24	5.25	5.18	5.23	102708	1424352.50
2011/06/16	5.14	5.19	5.11	5.12	105760	1437820.88
2011/06/17	5.11	5.17	5.11	5.12	67269	913166.13
2011/06/20	5.10	5.11	5.05	5.06	115310	1540108.63
2011/06/21	5.08	5.13	5.05	5.12	81690	1101587.88
2011/06/22	5.13	5.16	5.08	5.14	114242	1546608.63
2011/06/23	5.12	5.23	5.08	5.21	237595	3272744.75
2011/06/24	5.20	5.38	5.20	5.31	489084	6933766.50
2011/06/27	5.31	5.36	5.23	5.30	367379	5193803.50
2011/06/28	5.28	5.32	5.26	5.30	159989	2254812.75
2011/06/29	5.31	5.36	5.18	5.18	282070	3942062.50
2011/06/30	5.18	5.37	5.18	5.35	430536	6097839.50
2011/07/01	5.33	5.42	5.31	5.33	557564	7967787.00
2011/07/04	5.36	5.40	5.34	5.38	546070	7851737.50
2011/07/05	5.40	5.54	5.39	5.47	911943	13472123.00
2011/07/06	5.54	5.54	5.44	5.48	416205	6134657.50
2011/07/07	5.48	5.57	5.44	5.46	751753	11157997.00
2011/07/08	5.40	5.49	5.39	5.40	335317	4868653.50
2011/07/11	5.40	5.43	5.37	5.41	227639	3295246.25
2011/07/12	5.41	5.46	5.34	5.37	243864	3520859.75
2011/07/13	5.40	5.45	5.38	5.44	457142	6659788.50
2011/07/14	5.44	5.63	5.44	5.61	974595	14544715.00
2011/07/15	5.63	5.73	5.55	5.67	1070749	16340951.00
