300134 大富科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/10/26	12.18	12.67	11.61	11.66	20863835	1124630912.00
2010/10/27	11.69	11.69	11.23	11.27	7689879	399478592.00
2010/10/28	11.34	11.76	11.33	11.59	5601509	293668928.00
2010/10/29	11.69	12.51	11.57	12.24	8250104	447999552.00
2010/11/01	12.67	13.28	12.45	12.90	8593370	493200384.00
2010/11/02	12.89	12.97	12.26	12.42	7000670	396451296.00
2010/11/03	12.23	12.67	12.02	12.11	4055459	225108320.00
2010/11/04	12.13	12.42	12.11	12.38	2892785	160051296.00
2010/11/05	12.42	12.72	12.27	12.53	3439417	193092576.00
2010/11/08	12.69	13.46	12.60	13.43	5826964	341732896.00
2010/11/09	13.27	14.12	13.16	13.38	5698395	347079936.00
2010/11/10	13.43	14.07	13.29	14.01	3917058	240665296.00
2010/11/11	14.03	14.63	13.81	13.85	3884848	248155472.00
2010/11/12	13.68	14.25	13.16	13.36	3695144	224755088.00
2010/11/16	14.25	14.61	13.65	13.75	5260593	331698720.00
2010/11/17	13.52	14.00	12.95	13.06	3097440	187210144.00
2010/11/18	13.36	13.43	12.92	13.24	2103841	124285432.00
2010/11/19	13.28	14.07	13.28	14.07	2750259	168735712.00
2010/11/22	14.12	15.00	14.12	14.55	3352374	217467552.00
2010/11/23	14.41	14.76	14.16	14.64	3503610	225426224.00
2010/11/24	14.60	15.17	14.51	15.07	2106108	138862048.00
2010/11/25	15.00	15.04	14.67	14.98	2282766	150100128.00
2010/11/26	15.00	15.33	14.88	15.26	1642632	110417256.00
2010/11/29	15.23	15.31	14.89	15.09	1457213	97478152.00
2010/11/30	15.07	15.07	14.07	14.49	2146684	138358848.00
2010/12/01	14.39	14.78	14.30	14.50	785709	50825560.00
2010/12/02	14.71	14.75	14.09	14.36	1247295	79701208.00
2010/12/03	14.30	14.33	14.02	14.23	1031998	65190636.00
2010/12/06	14.26	14.37	13.48	13.57	1112373	68473400.00
2010/12/07	13.53	13.85	13.31	13.80	826584	50457180.00
2010/12/08	13.81	13.95	13.38	13.44	833156	50908484.00
2010/12/09	13.38	13.79	13.20	13.46	678503	40813532.00
2010/12/10	13.38	13.90	13.31	13.86	752342	46165612.00
2010/12/13	14.04	14.51	13.92	14.36	1248505	79168824.00
2010/12/14	14.27	14.58	14.24	14.45	907228	58120328.00
2010/12/15	14.45	14.51	14.10	14.11	737243	47014840.00
2010/12/16	14.07	14.45	14.07	14.22	558417	35566620.00
2010/12/17	15.29	15.77	14.76	15.56	4798320	326096448.00
2010/12/20	15.42	16.12	15.12	16.03	3780874	260411680.00
2010/12/21	15.95	16.16	15.64	15.81	1625210	113640096.00
2010/12/22	15.91	16.03	15.62	15.74	1159850	81063800.00
2010/12/23	15.70	15.86	15.08	15.14	1556208	105858768.00
2010/12/24	15.05	15.17	14.63	14.73	915222	60392740.00
2010/12/27	14.97	15.22	14.09	14.11	1143584	74910128.00
2010/12/28	14.09	14.36	13.82	14.13	843574	52788552.00
2010/12/29	14.13	14.49	14.12	14.47	728887	46394288.00
2010/12/30	14.42	14.67	14.26	14.60	763744	49243432.00
2010/12/31	14.68	14.95	14.51	14.88	764007	50198700.00
2011/01/04	16.09	16.50	16.09	16.50	2123495	153470944.00
2011/01/05	16.79	16.92	16.20	16.60	3196524	233540640.00
2011/01/06	16.47	17.21	16.37	16.59	2345695	174324112.00
2011/01/07	16.49	16.69	15.61	15.76	1636561	116487136.00
2011/01/10	15.72	16.44	15.59	15.86	1465432	103607136.00
