300137 先河环保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/11/05	7.02	7.95	6.83	7.52	19808235	634798272.00
2010/11/08	7.70	7.98	7.47	7.68	10767551	369284768.00
2010/11/09	7.52	8.06	7.45	7.79	7407394	254966736.00
2010/11/10	7.91	8.27	7.81	8.02	5802234	206368896.00
2010/11/11	8.29	8.60	8.05	8.11	6695749	246756016.00
2010/11/12	8.00	8.39	7.82	8.26	6412283	230816848.00
2010/11/15	8.35	9.08	8.15	9.02	5666628	215049632.00
2010/11/16	8.84	9.21	8.17	8.35	5077943	194195888.00
2010/11/17	8.14	8.58	8.04	8.11	2866380	104486920.00
2010/11/18	8.26	8.30	7.82	8.09	2293737	81659312.00
2010/11/19	8.09	8.46	7.93	8.37	2875525	104171080.00
2010/11/22	8.36	8.61	8.05	8.27	3471289	128194344.00
2010/11/23	8.33	8.62	8.27	8.60	3510718	131148888.00
2010/11/24	8.51	8.84	8.49	8.69	3220295	123112200.00
2010/11/25	8.72	8.72	8.24	8.40	3614193	134772320.00
2010/11/26	8.31	8.49	8.21	8.36	1800513	66499960.00
2010/11/29	8.28	8.59	8.26	8.47	2169540	80881136.00
2010/11/30	8.47	8.58	7.84	7.97	2455970	88110536.00
2010/12/01	7.91	8.17	7.88	8.14	1560129	55677984.00
2010/12/02	8.27	8.32	7.98	8.00	2191033	78420792.00
2010/12/03	8.01	8.06	7.68	7.77	1711903	59172968.00
2010/12/06	7.77	7.80	7.53	7.69	1426300	48168944.00
2010/12/07	7.66	7.90	7.58	7.83	1397946	48160440.00
2010/12/08	7.80	7.97	7.56	7.59	1536780	53019276.00
2010/12/09	7.60	7.82	7.59	7.76	1590553	54357576.00
2010/12/10	7.75	8.16	7.68	8.08	1927831	67835608.00
2010/12/13	8.25	8.90	8.24	8.60	3574740	135817696.00
2010/12/14	8.56	9.07	8.42	8.99	3914628	152566048.00
2010/12/15	8.95	9.16	8.77	8.95	2144685	84978008.00
2010/12/16	8.92	9.20	8.84	9.07	1813178	72616328.00
2010/12/20	9.30	9.69	9.09	9.32	2605981	107792712.00
2010/12/21	9.34	9.48	9.13	9.20	2057411	84228224.00
2010/12/22	9.10	9.30	8.85	8.94	1640416	65271124.00
2010/12/23	8.94	9.02	8.61	8.63	1499388	57907828.00
2010/12/24	8.61	8.71	8.46	8.56	903018	34320628.00
2010/12/27	8.57	8.83	7.91	8.28	1557844	58096844.00
2010/12/28	8.17	8.37	8.03	8.30	858649	31165404.00
2010/12/29	8.30	8.44	8.21	8.40	707049	26087934.00
2010/12/30	8.42	8.70	8.33	8.56	981245	37185764.00
2010/12/31	8.45	8.71	8.45	8.65	726307	27692302.00
2011/01/04	8.71	8.79	8.51	8.60	2108640	79855704.00
2011/01/05	8.56	8.87	8.28	8.87	2023096	76530984.00
2011/01/06	8.77	8.88	8.68	8.80	1139482	44218236.00
2011/01/07	8.73	8.76	8.27	8.38	834533	31302142.00
2011/01/10	8.37	8.58	7.98	7.98	1526477	55907088.00
2011/01/11	7.96	8.05	7.63	7.83	1061851	36671320.00
2011/01/12	7.87	7.98	7.73	7.89	546679	18985594.00
2011/01/13	7.90	8.00	7.69	7.83	331701	11552191.00
2011/01/14	7.83	7.84	7.19	7.26	1137758	37795324.00
2011/01/17	7.21	7.33	6.99	7.12	574460	18280068.00
2011/01/18	7.12	7.28	7.09	7.25	431245	13815232.00
2011/01/19	7.26	7.52	7.22	7.46	685387	22421858.00
2011/01/20	7.51	7.56	6.94	6.94	491698	15805284.00
2011/01/21	6.97	7.02	6.42	6.63	1405455	41328884.00
2011/01/24	6.56	6.61	6.14	6.15	974767	27293668.00
2011/01/25	6.06	6.28	6.06	6.21	566775	15615084.00
2011/01/26	6.21	6.43	6.21	6.27	879256	24786536.00
2011/01/27	6.25	6.60	6.18	6.58	877552	25120374.00
2011/01/28	6.57	6.57	6.37	6.48	461591	13250691.00
2011/01/31	6.64	7.13	6.64	7.04	1156174	35895636.00
2011/02/01	6.97	7.06	6.87	6.92	573557	17652138.00
2011/02/09	6.73	6.73	6.21	6.64	5379365	153763376.00
2011/02/10	6.46	6.84	6.39	6.78	2713255	79524440.00
2011/02/11	6.76	6.93	6.69	6.74	1578432	47568988.00
2011/02/14	6.73	6.87	6.69	6.83	1389539	41912300.00
2011/02/15	6.82	7.03	6.73	6.98	2334270	71245624.00
2011/02/16	6.90	6.96	6.81	6.95	1662516	50847152.00
2011/02/17	6.95	7.01	6.81	6.94	1418859	43454960.00
2011/02/18	6.83	6.93	6.64	6.72	1958032	58716784.00
2011/02/21	6.66	6.83	6.64	6.81	1125901	33768016.00
2011/02/22	6.83	6.95	6.73	6.94	2219480	67867208.00
2011/02/23	6.89	7.38	6.87	7.25	3184799	101835880.00
2011/02/24	7.26	7.28	7.03	7.14	1459201	46144720.00
2011/02/25	7.14	7.17	6.87	6.97	1124485	34851888.00
2011/02/28	6.96	7.17	6.87	7.10	1086756	34071684.00
2011/03/01	7.14	7.14	6.97	7.01	1150395	35927144.00
2011/03/02	7.00	7.13	6.87	6.93	729370	22461742.00
2011/03/03	7.02	7.02	6.66	6.66	908200	27353848.00
2011/03/04	6.66	6.75	6.44	6.69	1077075	31486910.00
2011/03/07	6.69	6.75	6.64	6.73	761455	22690420.00
2011/03/08	6.72	6.85	6.68	6.80	712141	21386900.00
2011/03/09	6.76	6.86	6.71	6.74	636250	19166534.00
2011/03/10	6.76	6.80	6.64	6.75	1054948	31513842.00
