300138 晨光生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/11/05	7.94	8.02	7.64	7.68	11974018	451640640.00
2010/11/08	7.63	7.81	7.59	7.77	5921497	222115088.00
2010/11/09	7.75	7.75	7.59	7.66	3603874	134072448.00
2010/11/10	7.67	7.93	7.64	7.81	4157580	157799440.00
2010/11/11	7.77	8.23	7.70	7.96	5181103	199763264.00
2010/11/12	7.88	8.17	7.62	7.67	4146649	158121264.00
2010/11/15	7.73	8.10	7.64	8.05	4267190	163405280.00
2010/11/16	8.00	8.17	7.67	7.77	4031464	155346800.00
2010/11/17	7.62	7.68	7.07	7.12	3276691	117420200.00
2010/11/18	7.17	7.31	7.03	7.24	1668758	58428016.00
2010/11/19	7.26	7.46	7.21	7.39	1610351	57433604.00
2010/11/22	7.39	7.60	7.35	7.43	2079041	75532768.00
2010/11/23	7.42	7.47	7.32	7.45	1201969	43144280.00
2010/11/24	7.45	7.73	7.40	7.68	2025316	74867488.00
2010/11/25	7.70	7.75	7.46	7.55	1694384	62456904.00
2010/11/26	7.52	7.74	7.49	7.74	1790533	66644472.00
2010/11/29	7.74	7.89	7.70	7.80	1712769	65024816.00
2010/11/30	7.80	7.80	7.30	7.49	1734406	63538192.00
2010/12/01	7.49	7.55	7.41	7.50	670723	24462876.00
2010/12/02	7.57	7.60	7.46	7.47	794371	29035392.00
2010/12/03	7.45	7.49	7.30	7.34	858938	30784610.00
2010/12/06	7.35	7.38	7.17	7.24	849626	29935126.00
2010/12/07	7.19	7.38	7.15	7.37	558309	19800896.00
2010/12/09	7.28	7.32	7.21	7.26	447113	15788563.00
2010/12/10	7.28	7.48	7.24	7.42	586261	21086564.00
2010/12/13	7.47	7.63	7.41	7.58	899697	33011924.00
2010/12/14	7.58	7.61	7.51	7.57	661611	24296788.00
2010/12/15	7.57	7.70	7.53	7.56	1016015	37517780.00
2010/12/16	7.61	7.67	7.55	7.59	567359	20952872.00
2010/12/17	7.58	7.70	7.58	7.67	975411	36200188.00
2010/12/20	7.70	7.72	7.52	7.68	1485853	55211456.00
