300140 中环装备 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/11/12	13.37	13.60	12.07	12.24	8479000	449501472.00
2010/11/15	11.73	12.13	11.10	11.94	3463346	168401888.00
2010/11/16	11.90	12.28	11.45	11.45	2514504	123881136.00
2010/11/17	11.25	11.51	11.02	11.05	1844795	85420832.00
2010/11/18	11.11	11.24	10.81	11.15	1146121	52444092.00
2010/11/19	11.50	11.98	11.35	11.81	1886038	91340504.00
2010/11/22	11.80	12.23	11.63	11.74	1712849	84552760.00
2010/11/23	11.66	12.00	11.52	11.98	1071364	52319536.00
2010/11/24	12.00	12.49	11.97	12.45	1850387	93692616.00
2010/11/25	12.44	12.48	11.93	12.10	1457945	73189584.00
2010/11/26	12.10	12.40	12.02	12.15	1067752	53940948.00
2010/11/29	12.10	12.31	11.95	12.16	837191	42029592.00
2010/11/30	12.16	12.19	11.23	11.97	1198928	58282048.00
2010/12/01	11.85	11.98	11.62	11.68	531017	25901042.00
2010/12/02	11.79	11.85	11.60	11.63	509693	24641788.00
2010/12/03	11.60	11.88	11.53	11.70	513672	24876686.00
2010/12/06	11.70	11.82	11.10	11.27	604136	28445698.00
2010/12/07	11.25	11.45	11.10	11.38	354897	16666794.00
2010/12/08	11.45	11.59	11.29	11.35	493375	23418568.00
2010/12/09	11.35	11.75	11.28	11.44	404466	19269244.00
2010/12/10	11.50	11.58	11.40	11.54	488057	23231366.00
2010/12/13	11.57	12.00	11.57	11.91	772746	37820644.00
2010/12/14	11.93	11.95	11.78	11.90	671443	32999758.00
2010/12/15	11.88	12.09	11.70	11.73	641533	31561774.00
2010/12/17	11.78	11.99	11.61	11.98	681077	33413054.00
2010/12/20	12.09	12.09	11.49	11.88	817315	39859356.00
2010/12/21	11.85	11.92	11.71	11.79	435371	21300578.00
2010/12/22	11.78	11.96	11.74	11.93	547730	26858080.00
2010/12/23	11.96	11.96	11.54	11.54	533643	25821548.00
2010/12/24	11.49	11.49	11.18	11.33	393599	18430264.00
2010/12/27	11.19	11.44	10.88	10.91	286718	13294236.00
2010/12/28	10.87	11.09	10.61	10.70	339380	15120536.00
2010/12/29	10.66	10.84	10.66	10.81	210593	9397102.00
2010/12/30	10.80	10.85	10.70	10.74	227563	10166013.00
2010/12/31	10.75	10.98	10.75	10.98	258354	11684242.00
2011/01/04	11.01	11.14	10.90	11.13	465214	21279764.00
2011/01/05	11.08	11.35	11.08	11.19	401828	18655710.00
2011/01/06	11.23	11.23	11.02	11.02	227250	10465762.00
2011/01/07	11.09	11.15	10.85	10.94	157360	7191520.00
2011/01/10	10.90	10.99	10.70	10.71	230919	10324430.00
2011/01/11	10.97	10.97	10.70	10.80	273467	12300506.00
2011/01/12	10.73	10.90	10.42	10.80	364322	16062299.00
2011/01/13	10.78	10.78	10.60	10.64	115415	5097106.50
2011/01/17	10.39	10.39	9.78	9.78	340302	14167674.00
2011/01/18	9.73	9.73	9.58	9.68	182684	7345736.00
2011/01/19	9.68	9.83	9.61	9.81	131483	5343537.00
2011/01/20	9.81	9.81	9.23	9.23	172738	6871122.50
2011/01/21	9.24	9.46	9.20	9.36	133463	5204598.00
2011/01/24	9.28	9.47	9.28	9.28	174950	6813728.50
2011/01/25	9.23	9.23	8.90	9.05	159322	6012508.00
2011/01/26	9.35	9.35	9.08	9.32	182891	7030460.50
2011/01/27	9.25	9.47	9.23	9.44	140207	5483676.50
2011/01/28	9.40	9.60	9.40	9.59	111252	4414978.50
2011/01/31	9.59	9.82	9.45	9.82	168795	6755569.50
2011/02/01	9.82	9.82	9.64	9.74	86401	3493371.00
2011/02/09	9.60	9.70	9.46	9.49	174700	6971228.00
2011/02/10	9.49	9.80	9.49	9.77	152600	6162059.50
2011/02/11	9.78	10.05	9.71	9.87	190476	7854442.50
2011/02/14	9.82	9.93	9.65	9.89	1130268	46045636.00
2011/02/15	9.89	9.92	9.80	9.89	658830	27048696.00
2011/02/16	9.90	10.05	9.80	10.03	773892	31963544.00
2011/02/17	10.03	10.19	9.88	10.19	940315	39110124.00
2011/02/18	10.19	10.48	10.08	10.17	715900	30507472.00
2011/02/21	10.10	10.25	10.00	10.21	619221	26040836.00
2011/02/22	10.18	10.25	9.73	9.73	512934	21218668.00
2011/02/23	9.74	9.90	9.67	9.82	550949	22433682.00
2011/02/24	9.79	9.85	9.64	9.78	958990	38921780.00
2011/02/25	9.80	9.80	9.63	9.71	376659	15200156.00
2011/02/28	9.71	9.80	9.65	9.80	283174	11476405.00
2011/03/01	9.80	9.92	9.78	9.91	452482	18552482.00
2011/03/02	9.85	9.85	9.55	9.64	538939	21626678.00
2011/03/03	9.65	9.72	9.40	9.41	299295	11915509.00
2011/03/04	9.41	9.59	9.40	9.58	331588	13164402.00
2011/03/07	9.60	9.66	9.56	9.65	203397	8151756.00
2011/03/08	9.61	9.72	9.60	9.69	256159	10302841.00
2011/03/09	9.69	9.73	9.63	9.73	304015	12260276.00
2011/03/10	9.73	10.10	9.73	9.91	695727	28839050.00
2011/03/11	9.85	10.27	9.85	10.10	905476	38132392.00
2011/03/14	10.07	10.42	9.99	10.29	609739	25955032.00
2011/03/15	10.28	11.00	10.28	10.90	2378958	105748712.00
2011/03/16	10.85	11.02	10.73	10.95	1137271	51565156.00
2011/03/17	10.96	11.20	10.85	11.07	1019153	46690776.00
2011/03/18	11.07	11.10	10.10	10.60	1063892	46939244.00
2011/03/21	10.59	10.60	10.05	10.35	1088582	46312912.00
2011/03/22	10.23	10.39	10.23	10.38	351222	15085920.00
2011/03/23	10.39	10.47	10.30	10.44	394936	16986970.00
2011/03/24	10.43	10.90	10.43	10.87	794471	35234672.00
2011/03/25	10.93	11.00	10.73	10.90	387572	17485702.00
2011/03/28	10.95	11.49	10.94	11.22	1223148	56917056.00
2011/03/29	11.15	11.15	10.40	10.80	928041	41184196.00
2011/03/30	10.67	11.00	10.65	10.84	441908	19810600.00
2011/03/31	10.83	10.85	10.48	10.56	403934	17905530.00
2011/04/01	10.56	10.79	10.42	10.73	270408	11982240.00
2011/04/06	10.68	10.85	10.57	10.58	181178	8004954.00
2011/04/07	10.53	10.76	10.52	10.60	193282	8485513.00
2011/04/08	10.57	10.70	10.40	10.65	179386	7887524.00
2011/04/11	10.66	10.67	10.43	10.43	246877	10763470.00
2011/04/12	10.41	10.46	10.25	10.32	223867	9592169.00
2011/04/13	10.32	10.45	10.26	10.42	111419	4808051.50
2011/04/14	10.42	10.54	10.38	10.40	154809	6709911.00
2011/04/15	10.36	10.45	10.32	10.38	117590	5064972.00
2011/04/18	10.35	10.37	10.14	10.21	211332	8980174.00
2011/04/20	9.98	10.22	9.98	10.18	206894	8691322.00
2011/04/21	10.17	10.19	10.04	10.12	136075	5715683.50
2011/04/22	10.10	10.17	9.65	9.93	354648	14666285.00
2011/04/25	9.70	10.00	9.60	9.61	200171	8098781.00
2011/04/26	9.60	9.78	9.08	9.17	408488	15783467.00
2011/04/27	9.25	9.25	9.00	9.10	171600	6552768.50
2011/04/28	9.27	9.27	8.33	8.35	464800	16995278.00
2011/04/29	8.35	8.48	8.33	8.45	292679	10293739.00
2011/05/03	8.48	8.59	8.40	8.57	121309	4322819.00
2011/05/04	8.57	8.64	8.46	8.49	114630	4104231.50
2011/05/05	8.46	8.60	8.45	8.55	98810	3531268.75
2011/05/06	8.50	8.56	8.45	8.55	180230	6416440.00
