300144 宋城演艺 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/12/09	7.51	7.77	7.08	7.57	28027414	1782854656.00
2010/12/10	7.57	7.70	7.32	7.58	12758467	819276288.00
2010/12/13	7.61	7.82	7.42	7.75	10822177	703236544.00
2010/12/14	7.62	7.73	7.36	7.37	8996278	574343936.00
2010/12/15	7.47	7.69	7.36	7.36	6469856	414231360.00
2010/12/16	7.24	7.57	7.24	7.45	4670137	295137632.00
2010/12/17	7.38	7.70	7.34	7.66	4709387	302318944.00
2010/12/20	7.66	7.69	7.34	7.43	5210676	333686528.00
2010/12/21	7.52	7.54	7.38	7.44	2682010	170367904.00
2010/12/22	7.38	7.44	7.11	7.19	4706868	290794176.00
2010/12/23	7.26	7.35	6.99	7.01	2794005	171926384.00
2010/12/24	6.88	7.00	6.63	6.69	2919591	169545008.00
2010/12/27	6.70	6.79	6.51	6.59	1999196	114675880.00
2010/12/28	6.49	6.64	6.38	6.42	1985477	111558000.00
2010/12/29	6.42	6.61	6.42	6.55	1652622	92747448.00
2010/12/30	6.55	6.56	6.46	6.48	1345030	75318384.00
2010/12/31	6.49	6.59	6.37	6.54	1623758	91023440.00
2011/01/04	6.55	6.75	6.51	6.69	1833452	105062616.00
2011/01/05	6.64	6.80	6.58	6.71	1708392	98563080.00
2011/01/06	6.71	6.74	6.50	6.50	1267255	71885256.00
2011/01/07	6.50	6.58	6.42	6.47	1261389	70606816.00
2011/01/10	6.48	6.51	6.31	6.33	1360338	75077744.00
2011/01/11	6.30	6.32	6.00	6.10	1687748	89697216.00
2011/01/12	6.13	6.19	6.06	6.17	1198203	63444964.00
2011/01/13	6.22	6.22	6.05	6.05	1101843	58305304.00
2011/01/14	6.08	6.08	5.77	5.87	1817535	92711424.00
2011/01/17	5.81	5.84	5.61	5.64	1229219	61120680.00
2011/01/18	5.61	5.68	5.56	5.61	572893	28047076.00
2011/01/19	5.64	5.74	5.57	5.69	1460462	71978024.00
2011/01/20	5.67	5.67	5.28	5.28	1713153	81732120.00
2011/01/21	5.24	5.33	5.14	5.22	1318482	60554548.00
2011/01/24	5.20	5.27	5.08	5.19	1109261	50520704.00
