300153 科泰电源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/12/29	9.50	10.13	9.50	9.57	8489804	353248864.00
2010/12/30	9.38	9.42	8.95	9.16	3674677	144384496.00
2010/12/31	9.06	9.19	9.00	9.15	1917021	74709536.00
2011/01/04	9.20	9.37	9.15	9.34	1661511	65771212.00
2011/01/05	9.33	9.33	9.21	9.24	1097155	43355720.00
2011/01/06	9.13	9.37	9.13	9.27	1140584	45044800.00
2011/01/07	9.25	9.25	9.05	9.08	1246263	48643032.00
2011/01/10	9.05	9.14	9.03	9.08	755815	29379766.00
2011/01/11	9.04	9.16	9.00	9.07	627123	24361224.00
2011/01/12	9.07	9.13	8.92	8.98	595217	22934420.00
2011/01/13	8.98	8.99	8.89	8.90	520301	19868550.00
2011/01/14	8.90	8.90	8.66	8.71	698890	26184438.00
2011/01/17	8.58	8.75	8.47	8.48	483217	17795304.00
2011/01/18	8.48	8.60	8.42	8.50	241516	8849422.00
2011/01/19	8.50	8.62	8.47	8.60	399923	14701662.00
2011/01/20	8.60	8.60	8.24	8.25	360651	13069251.00
2011/01/21	8.23	8.35	8.18	8.29	246907	8794581.00
2011/01/24	8.30	8.30	8.08	8.08	264286	9282193.00
2011/01/25	8.09	8.09	7.91	7.99	272573	9363145.00
2011/01/26	8.04	8.18	7.95	8.15	223424	7804374.50
2011/01/27	8.11	8.23	8.00	8.18	278909	9785966.00
2011/01/28	8.20	8.24	8.13	8.19	219683	7725185.00
2011/01/31	8.19	8.23	8.15	8.21	190269	6713229.50
2011/02/01	8.17	8.23	8.17	8.18	155455	5483808.50
2011/02/09	8.18	8.23	8.03	8.15	158664	5578570.50
2011/02/10	8.18	8.42	8.13	8.42	377859	13568576.00
2011/02/11	8.57	8.83	8.55	8.60	841942	31319014.00
2011/02/14	8.60	8.67	8.51	8.64	509907	18801354.00
2011/02/16	8.60	8.73	8.53	8.73	455679	16917514.00
2011/02/17	8.71	8.76	8.63	8.70	472576	17585992.00
