300174 元力股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/02/01	6.27	7.31	6.23	6.60	9699787	247346608.00
2011/02/09	6.42	6.84	6.24	6.78	5265790	133926424.00
2011/02/10	7.09	7.51	6.98	7.51	3398221	93955616.00
2011/02/11	7.86	8.23	7.65	7.76	5980755	177942528.00
2011/02/14	7.67	7.78	7.53	7.69	3107877	90380272.00
2011/02/15	7.60	7.88	7.46	7.66	3521693	102478264.00
2011/02/16	7.62	7.95	7.56	7.83	2962237	87393984.00
2011/02/17	7.76	7.83	7.34	7.59	3477757	100308992.00
2011/02/18	7.38	7.56	7.28	7.34	1805897	50985428.00
2011/02/21	7.31	7.78	7.31	7.78	2480253	72178512.00
2011/02/22	7.77	7.86	7.38	7.40	2065885	60011816.00
2011/02/23	7.40	8.11	7.40	7.89	2117107	62944656.00
2011/02/24	7.89	8.03	7.67	7.93	1518793	45209556.00
2011/02/25	7.84	8.06	7.70	7.97	1392446	41776664.00
2011/02/28	7.97	8.55	7.96	8.22	2106959	66616276.00
2011/03/01	8.10	8.36	8.03	8.13	1178839	36508316.00
2011/03/02	8.05	8.12	7.86	8.01	917891	27768642.00
2011/03/03	8.01	8.48	7.90	8.19	1351159	42319280.00
2011/03/04	8.08	8.87	8.06	8.70	1532533	49287460.00
2011/03/07	8.77	9.07	8.60	8.82	1332850	44443468.00
2011/03/08	8.70	8.73	8.51	8.73	1134685	37006132.00
2011/03/09	8.70	8.85	8.56	8.85	687091	22666088.00
2011/03/10	8.77	9.22	8.77	8.89	927561	31804686.00
2011/03/11	8.87	9.02	8.56	8.94	1112947	36914020.00
2011/03/14	8.89	8.94	8.63	8.71	636870	21189120.00
2011/03/15	8.67	8.80	8.31	8.59	920614	29591664.00
2011/03/16	8.42	8.66	8.42	8.54	511676	16549759.00
2011/03/17	8.45	8.81	8.39	8.56	485360	15747660.00
2011/03/18	8.59	8.72	8.47	8.56	197562	6382097.50
2011/03/21	8.48	8.77	8.48	8.77	472051	15468366.00
2011/03/22	8.79	8.87	8.51	8.70	423539	13850679.00
2011/03/23	8.70	8.70	8.17	8.46	785441	25132932.00
2011/03/24	8.45	8.53	8.33	8.50	422544	13491074.00
2011/03/25	8.39	8.66	8.39	8.50	377826	12188254.00
2011/03/28	8.64	8.64	8.17	8.19	578219	18163482.00
2011/03/29	8.14	8.14	7.81	7.84	875312	26238764.00
2011/03/30	7.84	7.96	7.67	7.78	251628	7433350.00
2011/03/31	7.86	8.00	7.67	7.81	121110	3569238.00
2011/04/01	7.49	7.86	7.49	7.80	89059	2628381.75
2011/04/06	7.79	7.79	7.67	7.69	204850	5998999.00
2011/04/07	7.63	7.94	7.63	7.84	175073	5142342.50
2011/04/08	7.81	7.89	7.76	7.86	94795	2821745.50
2011/04/11	7.85	8.03	7.85	7.96	166941	5034568.00
2011/04/12	8.15	8.15	7.70	7.87	254213	7593932.50
2011/04/13	7.63	8.03	7.49	7.72	205282	6010871.50
2011/04/14	7.73	7.73	7.59	7.66	97400	2844272.00
2011/04/15	7.62	7.77	7.53	7.61	140219	4060169.00
2011/04/18	7.56	7.58	7.19	7.33	387084	10843922.00
2011/04/19	7.39	7.42	7.04	7.33	319438	8721192.00
2011/04/20	7.33	7.37	7.17	7.37	195391	5401920.50
2011/04/21	7.32	7.56	7.21	7.36	289751	8181861.50
2011/04/22	7.31	7.48	7.14	7.36	141194	3944400.25
2011/04/25	7.36	7.45	7.17	7.23	129220	3574856.75
2011/04/26	7.18	7.27	7.13	7.20	95304	2608665.25
2011/04/27	7.20	7.22	6.87	7.05	164970	4430943.50
2011/04/28	7.20	7.20	6.70	6.81	140200	3665393.00
2011/04/29	6.78	6.89	6.78	6.84	84698	2217025.75
2011/05/03	6.92	6.94	6.73	6.83	233955	6090653.50
2011/05/04	6.76	6.82	6.53	6.73	314500	8001659.00
2011/05/05	6.68	6.73	6.59	6.70	139598	3586131.25
2011/05/06	6.54	6.72	6.53	6.70	105590	2705495.00
2011/05/10	6.73	6.90	6.67	6.78	283291	7400030.00
2011/05/11	6.81	6.91	6.76	6.90	280313	7350907.00
2011/05/12	6.85	7.06	6.84	7.03	462780	12260490.00
2011/05/13	7.00	7.03	6.87	7.01	135397	3584946.75
2011/05/16	7.01	7.01	6.82	6.94	380526	10080863.00
2011/05/17	6.94	7.03	6.84	6.94	219600	5765310.00
