300176 鸿特科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/02/15	4.53	4.55	4.14	4.23	13973973	290738048.00
2011/02/16	4.17	4.69	4.14	4.56	9945338	214081008.00
2011/02/17	4.49	4.55	4.33	4.41	5859822	125753896.00
2011/02/18	4.39	4.46	4.28	4.43	3957278	83659312.00
2011/02/21	4.37	4.48	4.35	4.41	3285561	70362368.00
2011/02/22	4.37	4.40	4.08	4.09	4290592	88096592.00
2011/02/23	4.07	4.12	4.05	4.09	2005423	40117084.00
2011/02/24	4.11	4.17	4.08	4.14	1455114	29363432.00
2011/02/25	4.14	4.17	4.06	4.12	1053518	21127114.00
2011/02/28	4.12	4.20	4.10	4.20	1315581	26693172.00
2011/03/01	4.18	4.21	4.14	4.15	1209202	24588380.00
2011/03/02	4.13	4.14	4.07	4.13	1062663	21363100.00
2011/03/03	4.12	4.15	4.05	4.06	900814	18030152.00
2011/03/04	4.06	4.16	4.06	4.16	747644	15003022.00
2011/03/07	4.16	4.16	4.12	4.13	977030	19732458.00
2011/03/08	4.13	4.15	4.10	4.15	981455	19781334.00
2011/03/09	4.16	4.17	4.13	4.16	941970	19065780.00
2011/03/10	4.21	4.21	4.15	4.15	1363639	27781288.00
2011/03/11	4.11	4.21	4.11	4.18	1402785	28599380.00
2011/03/14	4.20	4.28	4.17	4.27	1626716	33439234.00
2011/03/15	4.25	4.25	4.12	4.17	1494862	30396268.00
2011/03/16	4.18	4.18	4.15	4.17	886640	18027306.00
2011/03/17	4.14	4.14	4.09	4.09	1226870	24659716.00
2011/03/18	4.12	4.14	4.11	4.12	463320	9326729.00
2011/03/21	4.14	4.15	4.11	4.14	541755	10921193.00
2011/03/22	4.14	4.21	4.10	4.21	1184476	24055900.00
2011/03/23	4.21	4.21	4.18	4.20	831689	16993894.00
2011/03/24	4.17	4.18	4.13	4.15	1372928	27810174.00
2011/03/25	4.15	4.16	4.13	4.15	804099	16260992.00
2011/03/28	4.15	4.15	4.10	4.11	974994	19610596.00
2011/03/29	4.11	4.11	3.91	3.92	1568900	30791064.00
2011/03/30	3.92	3.96	3.85	3.87	626620	11993859.00
2011/03/31	3.91	3.92	3.87	3.88	413912	7910864.00
2011/04/01	3.87	3.89	3.84	3.87	781208	14849082.00
2011/04/06	3.81	3.85	3.78	3.80	808558	15189367.00
2011/04/07	3.79	3.84	3.79	3.82	420491	7915212.50
2011/04/08	3.83	3.90	3.82	3.88	568820	10821310.00
2011/04/11	3.88	3.89	3.81	3.82	543599	10282351.00
