300182 捷成股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/02/22	1.93	2.06	1.88	2.01	9443924	630743680.00
2011/02/23	1.90	2.03	1.90	2.03	4253410	281045856.00
2011/02/24	2.01	2.04	1.91	1.93	2503109	164816352.00
2011/02/25	1.90	1.90	1.78	1.79	2030231	125842152.00
2011/02/28	1.79	1.83	1.78	1.82	890514	54727600.00
2011/03/01	1.82	1.83	1.81	1.83	934903	57877832.00
2011/03/02	1.83	1.84	1.76	1.84	903375	55177820.00
2011/03/03	1.82	1.87	1.81	1.85	732044	45612376.00
2011/03/04	1.84	1.98	1.84	1.95	1203741	77925112.00
2011/03/07	1.93	1.98	1.91	1.97	622082	40790324.00
2011/03/08	1.95	2.02	1.94	1.95	656080	43439448.00
2011/03/09	1.94	1.96	1.89	1.91	479587	31008180.00
2011/03/10	1.93	1.95	1.90	1.94	470845	30507210.00
2011/03/11	1.91	2.00	1.91	1.97	935205	61752712.00
2011/03/14	1.99	2.06	1.97	2.01	539561	36380080.00
2011/03/15	2.02	2.08	1.99	2.08	1312172	89262408.00
2011/03/16	2.07	2.13	2.06	2.13	1079331	75940920.00
2011/03/17	2.12	2.15	2.00	2.14	1130139	78192840.00
2011/03/18	2.11	2.21	2.08	2.21	892482	64060856.00
2011/03/21	2.19	2.33	2.19	2.30	1084542	81394960.00
2011/03/22	2.28	2.31	2.20	2.28	378250	28145398.00
2011/03/23	2.25	2.31	2.21	2.31	301581	22515864.00
2011/03/24	2.28	2.30	2.25	2.28	201410	15152256.00
2011/03/25	2.27	2.35	2.25	2.34	418000	31712230.00
2011/03/28	2.35	2.44	2.34	2.39	641487	50373844.00
2011/03/29	2.34	2.44	2.20	2.23	605042	45578508.00
2011/03/30	2.22	2.31	2.22	2.29	350380	26265274.00
2011/03/31	2.28	2.31	2.21	2.31	480772	36093608.00
2011/04/01	2.30	2.32	2.27	2.31	181860	13791258.00
2011/04/06	2.29	2.35	2.28	2.30	151951	11607634.00
2011/04/07	2.31	2.39	2.31	2.38	253760	19665612.00
2011/04/08	2.34	2.38	2.31	2.36	244169	18778468.00
2011/04/11	2.36	2.37	2.27	2.29	821536	62469756.00
2011/04/12	2.25	2.33	2.14	2.14	543878	40259476.00
2011/04/13	2.13	2.15	2.03	2.12	395529	27716890.00
2011/04/14	2.10	2.24	2.07	2.12	495544	35596292.00
2011/04/15	2.10	2.12	2.07	2.11	112308	7829492.00
2011/04/19	2.11	2.14	2.05	2.11	127716	8898432.00
2011/04/20	2.13	2.19	2.11	2.17	128158	9162388.00
2011/04/21	2.18	2.22	2.17	2.21	117333	8553126.00
2011/04/22	2.21	2.34	2.21	2.21	339150	25442400.00
2011/04/25	2.19	2.23	2.17	2.21	220021	16031282.00
2011/04/26	2.21	2.25	2.19	2.23	78056	5717399.00
2011/04/27	2.23	2.24	2.00	2.20	134180	9717763.00
2011/04/28	2.19	2.20	1.95	2.00	435094	29480426.00
2011/04/29	1.97	2.02	1.95	2.02	280141	18698244.00
2011/05/03	2.00	2.05	2.00	2.05	152551	10333151.00
2011/05/04	2.03	2.03	1.98	2.02	44809	3016596.75
2011/05/05	2.00	2.03	1.98	2.02	42125	2848362.25
2011/05/06	2.02	2.02	1.96	1.98	127730	8487230.00
2011/05/09	1.95	2.01	1.95	1.98	131461	4336057.50
2011/05/10	1.98	2.15	1.98	2.08	286741	9871297.00
2011/05/11	2.05	2.14	2.04	2.14	346323	11989827.00
2011/05/12	2.11	2.14	2.05	2.12	334181	11560140.00
2011/05/13	2.11	2.13	2.07	2.13	100655	3505498.00
2011/05/16	2.08	2.13	1.99	2.04	388738	13155411.00
2011/05/17	2.02	2.02	1.95	1.95	433250	14367318.00
2011/05/18	1.92	1.98	1.86	1.88	341036	10773550.00
2011/05/19	1.81	1.91	1.81	1.87	666638	20820512.00
2011/05/20	1.86	1.88	1.83	1.84	142168	4428230.00
2011/05/23	1.88	1.88	1.80	1.83	744308	22802622.00
2011/05/24	1.81	1.85	1.74	1.78	1127586	34010628.00
2011/05/25	1.78	1.79	1.66	1.67	667112	19449702.00
2011/05/26	1.68	1.68	1.60	1.61	454745	12601349.00
2011/05/30	1.57	1.61	1.52	1.59	200566	5409696.50
2011/05/31	1.58	1.64	1.57	1.63	276298	7660518.00
2011/06/01	1.64	1.65	1.62	1.64	326867	9135846.00
2011/06/02	1.61	1.71	1.61	1.66	278030	7890914.50
2011/06/03	1.66	1.69	1.63	1.67	193300	5497401.00
2011/06/07	1.64	1.67	1.64	1.67	163602	4618287.50
2011/06/08	1.65	1.71	1.61	1.69	326771	9267562.00
2011/06/09	1.68	1.70	1.66	1.69	507946	14592472.00
2011/06/10	1.67	1.71	1.60	1.67	774920	21924510.00
2011/06/13	1.63	1.66	1.60	1.64	391584	11012643.00
2011/06/14	1.64	1.71	1.64	1.71	396800	11458015.00
2011/06/15	1.69	1.76	1.68	1.71	511331	14898939.00
2011/06/16	1.70	1.74	1.66	1.72	305159	8852266.00
2011/06/17	1.72	1.73	1.67	1.73	362716	10469490.00
2011/06/20	1.71	1.73	1.68	1.69	438750	12660257.00
2011/06/21	1.67	1.81	1.67	1.75	788122	23324884.00
2011/06/22	1.76	1.80	1.72	1.78	313055	9369572.00
2011/06/23	1.78	1.94	1.75	1.91	449656	14106592.00
2011/06/24	1.89	2.01	1.87	1.98	476024	15426393.00
2011/06/27	2.03	2.13	1.95	1.98	1291682	43692652.00
2011/06/28	1.99	2.03	1.94	2.02	386317	12691384.00
2011/06/29	2.02	2.08	1.99	2.02	516439	17535254.00
2011/06/30	2.02	2.13	2.02	2.11	505433	17432724.00
2011/07/01	2.12	2.22	2.11	2.21	580026	20862640.00
2011/07/04	2.22	2.26	2.17	2.25	647814	23587152.00
2011/07/05	2.25	2.25	2.15	2.20	590176	21436680.00
2011/07/06	2.19	2.21	2.12	2.19	474000	17023056.00
2011/07/07	2.19	2.19	2.14	2.16	504877	18034230.00
2011/07/08	2.14	2.17	2.04	2.04	747847	25796002.00
2011/07/11	2.04	2.09	2.02	2.02	468402	15899667.00
2011/07/12	2.01	2.05	1.94	1.97	1610342	53566860.00
2011/07/13	1.97	1.99	1.94	1.96	2396569	78406272.00
2011/07/14	1.97	2.11	1.97	2.11	3609984	120633152.00
2011/07/15	2.10	2.15	2.06	2.15	2015321	69731480.00
2011/07/18	2.13	2.31	2.12	2.27	2486846	90393840.00
2011/07/19	2.27	2.34	2.21	2.34	1996595	73938440.00
2011/07/20	2.32	2.34	2.25	2.30	1400430	52422816.00
2011/07/21	2.28	2.30	2.18	2.30	1165460	42698056.00
2011/07/22	2.26	2.38	2.26	2.30	824055	31251714.00
2011/07/25	2.32	2.32	2.19	2.25	668164	24539742.00
2011/07/26	2.25	2.27	2.21	2.23	453518	16610706.00
2011/07/27	2.17	2.29	2.16	2.26	844407	31085292.00
2011/07/28	2.25	2.25	2.18	2.20	342510	12431791.00
2011/07/29	2.20	2.23	2.16	2.16	314690	11257256.00
2011/08/01	2.16	2.23	2.12	2.22	304848	10974069.00
2011/08/02	2.21	2.32	2.16	2.32	694412	25767130.00
2011/08/03	2.31	2.37	2.28	2.32	659942	25149678.00
2011/08/04	2.32	2.36	2.29	2.32	366229	13941545.00
2011/08/05	2.25	2.42	2.23	2.35	854180	32735004.00
2011/08/08	2.32	2.40	2.26	2.34	759526	28773182.00
2011/08/09	2.26	2.46	2.23	2.42	1183398	46170872.00
2011/08/10	2.44	2.47	2.39	2.45	1022438	40694820.00
2011/08/11	2.41	2.49	2.38	2.49	935576	37404212.00
2011/08/12	2.51	2.58	2.42	2.47	877012	35245836.00
2011/08/15	2.45	2.51	2.40	2.46	838905	33504770.00
2011/08/16	2.48	2.48	2.41	2.45	514612	20430496.00
2011/08/17	2.42	2.45	2.36	2.41	618746	24179066.00
2011/08/18	2.41	2.45	2.37	2.38	336738	13213852.00
2011/08/19	2.31	2.42	2.31	2.40	201196	7808637.00
2011/08/22	2.38	2.45	2.38	2.42	311517	12317198.00
2011/08/23	2.43	2.45	2.40	2.43	178190	7032016.50
2011/08/24	2.43	2.47	2.41	2.44	318572	12610653.00
2011/08/25	2.43	2.44	2.32	2.40	596300	23073680.00
2011/08/26	2.38	2.44	2.36	2.42	345355	13598163.00
2011/08/29	2.42	2.56	2.36	2.54	933828	38035408.00
2011/08/30	2.56	2.56	2.50	2.50	271492	11096479.00
2011/08/31	2.49	2.51	2.39	2.48	213535	8457915.00
2011/09/01	2.47	2.50	2.45	2.45	153126	6143825.00
2011/09/02	2.46	2.46	2.41	2.45	103815	4119734.50
2011/09/05	2.39	2.51	2.39	2.45	283669	11311588.00
2011/09/06	2.44	2.46	2.27	2.39	359395	14019033.00
2011/09/07	2.39	2.42	2.37	2.41	114675	4464931.00
2011/09/08	2.40	2.42	2.38	2.41	54195	2122766.50
2011/09/09	2.40	2.40	2.37	2.39	67404	2623368.00
2011/09/13	2.37	2.39	2.36	2.36	62100	2399941.00
2011/09/14	2.34	2.38	2.34	2.34	198262	7621383.50
2011/09/15	2.36	2.37	2.33	2.33	87700	3362792.25
2011/09/16	2.34	2.34	2.26	2.28	308095	11517819.00
