300215 电科院 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/05/11	4.51	4.61	4.39	4.58	6842098	545827520.00
2011/05/12	4.51	4.63	4.43	4.51	2963277	237335984.00
2011/05/13	4.57	4.74	4.48	4.56	2394605	195017616.00
2011/05/16	4.59	4.61	4.23	4.24	2347055	182922816.00
2011/05/17	4.24	4.39	4.22	4.28	1346941	103489968.00
2011/05/18	4.23	4.26	4.07	4.15	1151953	85041800.00
2011/05/19	4.17	4.25	4.13	4.17	778967	58172888.00
2011/05/20	4.16	4.23	4.14	4.16	562963	41989688.00
2011/05/23	4.14	4.29	4.08	4.22	892164	67176768.00
2011/05/24	4.20	4.29	4.07	4.25	761394	56906408.00
2011/05/25	4.21	4.24	4.08	4.12	632474	46922348.00
2011/05/26	4.11	4.16	4.08	4.11	508837	37408044.00
2011/05/27	4.11	4.16	4.04	4.13	419708	30862448.00
2011/05/30	4.09	4.23	4.09	4.12	324239	24134610.00
2011/05/31	4.09	4.17	4.09	4.15	247894	18305506.00
2011/06/01	4.16	4.17	4.10	4.13	302829	22381724.00
2011/06/02	4.09	4.22	4.05	4.19	620628	45877664.00
2011/06/03	4.19	4.25	4.17	4.21	355395	26705074.00
2011/06/07	4.20	4.23	4.16	4.20	180235	13483559.00
2011/06/08	4.17	4.18	4.10	4.17	318319	23537232.00
2011/06/09	4.17	4.32	4.14	4.24	518740	39262632.00
2011/06/10	4.21	4.66	4.21	4.54	1071109	85819760.00
2011/06/13	4.51	4.61	4.48	4.58	557219	44796048.00
2011/06/14	4.58	4.68	4.56	4.63	486051	39600336.00
2011/06/15	4.61	4.61	4.41	4.44	470725	37741548.00
2011/06/16	4.42	4.48	4.36	4.43	365364	28597706.00
2011/06/17	4.42	4.44	4.19	4.20	416076	31932750.00
2011/06/20	4.20	4.26	4.16	4.20	130749	9829165.00
2011/06/21	4.23	4.25	4.08	4.15	368756	27282484.00
2011/06/22	4.14	4.18	4.11	4.16	165396	12263256.00
2011/06/23	4.15	4.34	4.11	4.31	480256	36610484.00
2011/06/24	4.32	4.40	4.27	4.38	392969	30349414.00
2011/06/27	4.39	4.43	4.33	4.36	533878	41624532.00
2011/06/28	4.35	4.38	4.32	4.36	169628	13140208.00
2011/06/29	4.35	4.40	4.28	4.28	205947	15912632.00
2011/06/30	4.28	4.39	4.28	4.36	236248	18288058.00
2011/07/01	4.36	4.50	4.33	4.41	304139	23944266.00
2011/07/04	4.43	4.90	4.40	4.90	804840	67212592.00
2011/07/05	5.03	5.06	4.90	4.95	798799	69774776.00
2011/07/06	4.87	5.00	4.79	4.97	466583	40108136.00
2011/07/07	4.97	5.44	4.91	5.08	845456	76723848.00
2011/07/08	5.08	5.18	5.01	5.12	322621	28848872.00
2011/07/11	5.08	5.40	5.08	5.30	691181	64326324.00
2011/07/12	5.29	5.38	5.22	5.25	483795	44860660.00
2011/07/13	5.20	5.50	5.20	5.46	573932	54142856.00
2011/07/14	5.49	5.70	5.40	5.67	526876	50735456.00
2011/07/15	5.63	5.82	5.57	5.63	453257	44694532.00
2011/07/18	5.64	5.69	5.48	5.58	513756	49886136.00
2011/07/19	5.51	5.58	5.40	5.51	380684	36305584.00
