300227 光韵达 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/06/08	5.60	5.68	5.10	5.31	12092468	201323408.00
2011/06/09	5.18	5.39	4.98	5.02	6977082	111977024.00
2011/06/10	4.96	5.12	4.90	5.07	4371148	67915136.00
2011/06/13	4.98	5.12	4.95	5.05	2516883	39228032.00
2011/06/14	5.03	5.10	5.01	5.03	2590405	40554328.00
2011/06/15	5.03	5.05	4.87	4.90	2244016	34506008.00
2011/06/16	4.85	4.93	4.83	4.90	1245517	18862218.00
2011/06/17	4.90	4.90	4.77	4.77	1165051	17466428.00
2011/06/20	4.76	4.80	4.68	4.80	973267	14331508.00
2011/06/21	4.82	4.93	4.77	4.92	1466643	22181770.00
2011/06/22	4.87	4.90	4.77	4.80	880781	13193747.00
2011/06/23	4.78	5.05	4.73	5.01	1895188	29028340.00
2011/06/24	4.97	5.25	4.97	5.14	2675987	42331528.00
2011/06/27	5.14	5.26	5.10	5.15	1818657	29141978.00
2011/06/28	5.15	5.26	5.11	5.22	1147329	18416960.00
2011/06/29	5.23	5.26	5.05	5.05	1218110	19401354.00
2011/06/30	5.07	5.16	5.05	5.10	882018	13972613.00
2011/07/01	5.11	5.27	5.09	5.20	1265364	20413476.00
2011/07/04	5.23	5.34	5.21	5.30	1391754	22779736.00
2011/07/05	5.27	5.30	5.20	5.25	1133509	18435984.00
2011/07/06	5.26	5.54	5.23	5.43	2072832	34693912.00
2011/07/07	5.40	5.99	5.40	5.76	3723061	66811964.00
2011/07/08	5.73	5.88	5.67	5.71	2065203	36735020.00
2011/07/11	5.73	5.90	5.68	5.82	1213427	21680774.00
2011/07/12	5.76	5.79	5.56	5.60	1551951	27131616.00
2011/07/13	5.55	5.87	5.55	5.83	1568039	27872166.00
2011/07/14	5.83	5.95	5.78	5.92	1553223	28100434.00
2011/07/15	5.90	6.46	5.85	6.11	2837869	54024840.00
2011/07/18	6.12	6.28	6.03	6.14	1502049	28421884.00
2011/07/19	6.13	6.13	5.76	5.95	1637312	29960630.00
2011/07/20	6.00	6.11	5.77	5.90	1184837	21623546.00
2011/07/21	5.92	5.92	5.73	5.75	1308596	23472034.00
2011/07/22	5.80	5.99	5.78	5.97	1359791	24674658.00
2011/07/25	5.89	5.89	5.60	5.70	1570191	27809824.00
2011/07/26	5.70	5.81	5.63	5.79	1034144	18291912.00
2011/07/27	5.79	6.09	5.71	6.04	1887642	34756620.00
2011/07/28	5.97	6.23	5.93	6.05	1784858	33474768.00
2011/07/29	6.01	6.09	5.84	5.87	1387029	25416264.00
2011/08/01	5.84	6.17	5.83	6.16	1742819	32556702.00
2011/08/02	6.10	6.23	5.92	6.17	1965062	36754432.00
2011/08/03	6.07	6.31	5.91	5.99	2254703	42381540.00
2011/08/04	5.99	6.05	5.82	5.82	1343533	24510946.00
2011/08/05	5.57	5.69	5.54	5.63	1290126	22422962.00
2011/08/08	5.56	5.67	5.11	5.36	1010656	16927606.00
2011/08/09	5.23	5.45	5.11	5.36	800686	13123018.00
2011/08/10	5.50	5.59	5.39	5.45	980794	16664722.00
2011/08/11	5.32	5.63	5.27	5.59	829656	14122748.00
2011/08/12	5.62	5.71	5.60	5.70	871473	15272803.00
2011/08/15	5.77	5.79	5.67	5.77	690674	12248833.00
2011/08/16	5.77	5.81	5.70	5.80	780756	13871556.00
2011/08/17	5.78	5.83	5.72	5.78	591613	10560739.00
2011/08/18	5.80	5.81	5.57	5.59	582187	10230797.00
2011/08/19	5.43	5.65	5.41	5.65	779798	13281695.00
2011/08/22	5.62	5.93	5.62	5.85	1472151	26484250.00
2011/08/23	5.93	6.16	5.82	6.15	1976687	36740768.00
2011/08/24	6.17	6.26	6.07	6.18	1684652	31981178.00
2011/08/25	6.25	6.53	6.07	6.53	2652978	51474936.00
2011/08/26	6.38	6.93	6.38	6.76	2952987	60669148.00
2011/08/29	6.83	7.38	6.70	7.16	3234122	69774952.00
2011/08/30	7.31	7.31	6.84	7.04	2751745	59399560.00
2011/08/31	7.04	7.76	7.02	7.23	4007932	89358440.00
2011/09/01	7.23	7.36	6.90	7.17	3038672	65882924.00
2011/09/02	7.06	7.06	6.71	6.75	2086886	44062004.00
2011/09/05	6.60	6.74	6.48	6.55	1698458	34459496.00
2011/09/06	6.55	6.63	6.25	6.40	1568598	30899108.00
2011/09/07	6.50	6.69	6.38	6.66	2013265	40537244.00
2011/09/08	6.60	6.72	6.00	6.10	3095072	61763440.00
2011/09/09	6.07	6.13	5.87	5.92	2106597	39031416.00
2011/09/13	5.85	6.00	5.76	5.98	1381838	25012094.00
2011/09/14	5.97	6.07	5.77	6.07	2316288	42344568.00
2011/09/15	6.06	6.16	6.02	6.10	2070320	38877952.00
2011/09/16	6.10	6.15	5.92	5.93	1434219	26586408.00
2011/09/19	5.93	6.09	5.67	5.96	2051269	37501148.00
2011/09/20	5.93	6.14	5.91	6.08	1904457	35555492.00
2011/09/21	6.04	6.33	6.01	6.28	2324425	44528896.00
2011/09/22	6.17	6.32	5.83	5.85	1946642	36545216.00
2011/09/23	5.70	5.81	5.64	5.72	1267866	22331106.00
2011/09/26	5.72	5.87	5.68	5.72	789753	14033055.00
2011/09/27	5.80	5.82	5.57	5.70	896445	15745188.00
2011/09/28	5.76	5.81	5.66	5.76	913935	16179631.00
2011/09/29	5.73	5.74	5.60	5.62	681409	11941071.00
2011/09/30	5.58	5.73	5.21	5.31	941821	15631389.00
2011/10/10	5.37	5.37	5.29	5.31	307949	5067444.50
2011/10/11	5.45	5.48	5.20	5.29	639999	10609790.00
2011/10/12	5.28	5.63	5.18	5.53	841400	14238949.00
2011/10/13	5.56	5.75	5.51	5.60	961716	16796194.00
2011/10/14	5.63	5.71	5.55	5.69	734039	12760943.00
2011/10/17	5.63	5.90	5.63	5.87	1153268	20554278.00
2011/10/18	5.83	5.95	5.64	5.65	1025401	18385454.00
2011/10/19	5.68	5.79	5.65	5.66	584476	10308388.00
2011/10/20	5.51	5.53	5.28	5.38	928939	15437865.00
2011/10/21	5.42	5.42	5.20	5.20	521166	8506439.00
2011/10/24	5.26	5.39	4.94	5.35	599611	9595699.00
2011/10/25	5.23	5.51	5.23	5.49	857266	14360246.00
2011/10/26	5.45	5.59	5.43	5.46	854457	14541048.00
2011/10/27	5.50	5.54	5.36	5.39	612424	10316055.00
2011/10/28	5.50	5.59	5.44	5.56	812594	13845977.00
2011/10/31	5.56	5.71	5.52	5.66	1004407	17458670.00
2011/11/01	5.60	5.66	5.49	5.61	928357	15985088.00
2011/11/02	5.51	5.90	5.50	5.84	1485827	26361584.00
2011/11/03	5.83	6.02	5.74	5.77	1908578	34649580.00
2011/11/04	5.80	5.93	5.74	5.87	1116698	20166782.00
2011/11/07	5.87	5.93	5.82	5.83	870418	15752574.00
2011/11/08	5.82	5.83	5.67	5.72	766632	13611905.00
2011/11/09	5.75	5.88	5.71	5.87	704806	12620935.00
2011/11/10	5.83	6.07	5.73	5.92	1594117	29192986.00
2011/11/11	5.92	5.98	5.80	5.89	962014	17510154.00
2011/11/14	5.93	6.47	5.91	6.39	2636802	50641592.00
2011/11/15	6.27	6.39	6.16	6.26	1688353	32478930.00
2011/11/16	6.20	6.30	5.97	6.04	1177091	22367584.00
2011/11/17	6.02	6.27	6.02	6.14	1203708	22799618.00
2011/11/18	6.09	6.12	5.77	5.81	1237950	22513016.00
2011/11/21	5.74	5.82	5.49	5.60	905647	15703923.00
2011/11/22	5.56	5.67	5.47	5.63	684108	11756835.00
2011/11/23	5.75	6.21	5.73	6.21	4982271	94444672.00
2011/11/24	6.03	6.16	5.95	6.13	3559803	66502640.00
2011/11/25	6.08	6.15	5.80	5.80	2073264	38360060.00
2011/11/28	5.74	5.82	5.55	5.61	1725542	30210928.00
