300228 富瑞特装 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/06/08	4.16	4.70	4.11	4.52	12208937	357357184.00
2011/06/09	4.41	4.52	4.26	4.33	6261853	182934144.00
2011/06/10	4.30	4.30	3.97	4.16	4328281	119934568.00
2011/06/13	4.13	4.37	4.10	4.26	2536549	72422952.00
2011/06/14	4.18	4.27	4.12	4.22	1249735	35086140.00
2011/06/15	4.24	4.41	4.20	4.21	1777071	51021112.00
2011/06/16	4.17	4.18	3.99	4.08	1085237	29624448.00
2011/06/17	4.06	4.15	4.04	4.08	810673	22263524.00
2011/06/20	4.10	4.17	4.06	4.13	516157	14201960.00
2011/06/21	4.16	4.36	4.13	4.32	1304258	37317772.00
2011/06/22	4.32	4.43	4.24	4.38	1087488	31629394.00
2011/06/23	4.35	4.75	4.30	4.65	1828891	55700652.00
2011/06/24	4.59	4.89	4.59	4.82	1461863	45622140.00
2011/06/27	4.82	5.20	4.77	5.13	1643191	54587968.00
2011/06/28	5.05	5.32	5.03	5.20	1247537	42638716.00
2011/06/29	5.20	5.21	5.04	5.07	703453	23809824.00
2011/06/30	5.08	5.36	5.05	5.13	1062284	36491500.00
2011/07/01	5.13	5.41	5.09	5.27	1030660	35690932.00
2011/07/04	5.36	5.51	5.27	5.33	1148185	40617944.00
2011/07/05	5.30	5.36	5.24	5.33	761828	26690282.00
2011/07/06	5.33	5.51	5.21	5.46	856597	30548412.00
2011/07/07	5.50	5.66	5.39	5.39	1091258	39776628.00
2011/07/08	5.42	5.47	5.21	5.34	633791	22352180.00
2011/07/11	5.59	5.59	5.25	5.35	783952	27789032.00
2011/07/12	5.29	5.33	5.06	5.13	828466	28441672.00
2011/07/13	5.14	5.28	5.00	5.28	3157005	107043624.00
2011/07/14	5.22	5.32	5.11	5.24	2489907	85821216.00
2011/07/15	5.25	5.57	5.20	5.38	1610667	57544104.00
2011/07/18	5.36	5.44	5.21	5.38	996197	35036312.00
2011/07/19	5.37	5.88	5.25	5.83	1789576	66412632.00
2011/07/20	5.68	5.82	5.52	5.70	1432854	53513568.00
2011/07/21	5.63	5.74	5.52	5.61	536182	19994426.00
2011/07/22	5.63	5.99	5.63	5.89	1097350	42258620.00
2011/07/25	5.83	5.98	5.54	5.57	902698	33880536.00
2011/07/26	5.59	5.62	5.29	5.44	1249185	44458752.00
2011/07/27	5.39	5.84	5.32	5.84	1173534	43304104.00
2011/07/28	5.75	5.98	5.69	5.80	1819553	70480464.00
2011/07/29	5.79	5.79	5.50	5.58	1151921	42833540.00
2011/08/01	5.58	5.81	5.55	5.74	1026671	38957644.00
2011/08/02	5.65	5.95	5.40	5.92	2140334	78889904.00
2011/08/03	5.79	6.30	5.77	6.11	1488356	59527668.00
2011/08/04	6.09	6.29	5.96	6.03	718849	28749896.00
2011/08/08	5.92	6.03	5.77	5.95	1544778	60259060.00
2011/08/09	5.79	6.46	5.79	6.26	1088490	43927052.00
2011/08/10	6.27	6.68	6.27	6.61	1151777	49681224.00
2011/08/11	6.54	6.76	6.46	6.56	1089012	47109880.00
2011/08/12	6.57	6.69	6.37	6.41	1220311	52472464.00
2011/08/15	6.46	6.88	6.46	6.85	1836453	80683664.00
2011/08/16	6.83	7.00	6.76	6.91	1043213	47023036.00
2011/08/17	6.86	7.05	6.78	6.91	912259	41751440.00
2011/08/18	6.92	7.11	6.68	6.72	859364	38887952.00
2011/08/19	6.67	6.99	6.61	6.84	745179	33363136.00
2011/08/22	6.95	7.32	6.94	7.21	846992	39809984.00
2011/08/23	7.32	7.36	7.00	7.32	722421	34138028.00
2011/08/24	7.29	7.33	7.03	7.14	908121	42648208.00
2011/08/25	7.11	7.16	6.79	6.97	897601	40877424.00
2011/08/26	6.97	7.17	6.96	7.05	601506	27939916.00
2011/08/30	7.13	7.13	6.72	6.72	626727	28364044.00
2011/08/31	6.73	6.83	6.39	6.62	950987	41108808.00
2011/09/01	6.56	6.75	6.43	6.54	486770	21126402.00
2011/09/02	6.59	6.59	6.39	6.53	525337	22345522.00
2011/09/05	6.43	6.45	6.24	6.30	570545	23857828.00
2011/09/06	6.25	6.25	5.92	6.22	1541158	62092740.00
2011/09/07	6.15	6.52	6.15	6.44	956533	39957472.00
2011/09/08	6.44	6.46	6.02	6.06	1911375	78813584.00
2011/09/09	6.03	6.25	5.94	6.13	859923	34789632.00
2011/09/13	6.03	6.18	5.97	6.11	875076	35024524.00
2011/09/14	6.14	6.16	6.00	6.16	546944	21934088.00
2011/09/15	6.18	6.43	6.10	6.34	1027751	42895364.00
2011/09/16	6.37	6.44	6.25	6.26	314031	13086029.00
2011/09/19	6.14	6.25	5.99	6.03	918476	36672820.00
2011/09/20	6.02	6.14	5.93	6.05	378875	15082093.00
2011/09/21	6.06	6.30	6.00	6.28	774979	31578012.00
2011/09/22	6.22	6.32	6.05	6.07	535705	21797912.00
2011/09/23	5.91	5.98	5.78	5.89	1044542	40461212.00
2011/09/26	5.88	5.95	5.68	5.72	749701	28884434.00
