300254 仟源医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/08/19	12.09	12.36	11.12	11.28	21025807	359146688.00
2011/08/22	11.39	11.61	10.85	11.61	13087530	220695920.00
2011/08/23	11.42	12.81	11.21	12.81	15187332	271777568.00
2011/08/24	13.28	14.09	13.10	13.59	16888478	339210048.00
2011/08/25	13.41	14.99	13.35	14.99	13626990	281465472.00
2011/08/26	15.03	16.12	14.65	15.67	14503916	327593984.00
2011/08/29	15.44	15.97	15.28	15.64	9525118	220315504.00
2011/08/30	15.57	15.91	14.66	14.66	10201145	228912608.00
2011/08/31	14.58	15.22	14.28	15.01	8755097	190655632.00
2011/09/01	14.87	15.00	14.05	14.14	6856582	147043824.00
2011/09/02	14.07	14.74	14.02	14.49	7571428	161901104.00
2011/09/05	14.17	15.74	14.07	15.14	10994602	243201280.00
2011/09/06	14.79	14.97	13.58	13.58	9334417	193681072.00
2011/09/07	13.48	14.23	13.21	14.12	7164771	146224640.00
2011/09/08	14.09	14.43	13.76	13.92	6820602	142673920.00
2011/09/09	13.73	14.18	13.43	13.59	5546635	113516968.00
2011/09/13	13.14	13.28	12.19	12.22	5916088	110358464.00
2011/09/14	12.37	12.65	11.98	12.60	5141998	94311296.00
2011/09/15	12.55	13.05	12.45	12.68	6003166	113674288.00
2011/09/16	12.65	12.75	12.03	12.04	5130629	93705416.00
2011/09/19	11.85	11.87	11.00	11.03	5017788	85298424.00
2011/09/20	11.03	11.46	11.00	11.33	3660483	61371620.00
2011/09/21	11.25	11.93	11.07	11.73	4976205	85972712.00
2011/09/22	11.54	11.71	10.88	10.92	4575343	77122032.00
2011/09/23	10.56	10.91	10.41	10.88	3327656	52995236.00
2011/09/26	10.82	11.09	10.61	10.74	2398959	38925512.00
2011/09/27	10.88	11.00	10.57	10.90	2532832	41017384.00
2011/09/28	10.96	11.03	10.43	10.43	2780641	44558744.00
2011/09/29	10.29	10.38	9.86	9.89	2509365	37919848.00
2011/09/30	9.98	10.10	9.84	10.06	1691106	25292730.00
2011/10/10	10.12	10.36	10.00	10.19	1879912	28719636.00
2011/10/11	10.54	10.57	9.96	10.18	2443162	37909756.00
2011/10/12	9.98	10.83	9.85	10.70	4213071	66061572.00
2011/10/13	10.68	11.05	10.57	10.87	4241442	68809160.00
2011/10/14	10.83	10.83	10.50	10.64	2812261	44694032.00
2011/10/17	10.66	11.39	10.61	11.31	5384446	88972360.00
2011/10/18	11.09	11.33	10.61	10.61	4119308	67930272.00
2011/10/19	10.64	10.93	10.43	10.64	2397829	38372108.00
2011/10/20	10.57	10.57	9.91	10.10	2584312	39311496.00
2011/10/21	10.14	10.14	9.51	9.54	2205902	32490806.00
2011/10/24	9.49	9.89	9.12	9.84	2564246	36726236.00
2011/10/25	9.84	10.28	9.70	10.14	3315047	49737460.00
2011/10/26	10.10	10.36	10.03	10.26	3456150	52792680.00
2011/10/27	10.27	10.68	10.09	10.18	3161712	49200260.00
2011/10/28	10.34	10.48	10.12	10.42	2799889	43217704.00
2011/10/31	10.43	10.66	10.36	10.57	2972397	46700872.00
2011/11/01	10.42	11.05	10.32	10.93	4796138	76970328.00
2011/11/02	10.67	11.37	10.59	11.23	4786315	78456424.00
2011/11/03	11.30	11.71	11.00	11.01	5158800	87256616.00
2011/11/04	11.05	11.21	10.77	10.84	3274995	53353828.00
2011/11/07	10.81	11.05	10.78	10.82	2018337	32821218.00
2011/11/08	10.89	10.89	10.37	10.42	2775825	44217064.00
2011/11/09	10.48	10.76	10.25	10.73	2105517	33103490.00
2011/11/10	10.57	11.63	10.43	11.16	5865691	96810880.00
2011/11/11	11.09	11.75	10.99	11.47	6952930	118333408.00
2011/11/14	11.64	12.03	11.34	11.82	6405624	111525576.00
2011/11/15	11.73	11.75	11.41	11.58	4328440	74588160.00
2011/11/16	11.62	11.64	10.91	10.98	3735421	62427476.00
2011/11/17	10.94	11.48	10.91	11.27	3738572	62546832.00
2011/11/18	11.12	11.14	10.62	10.68	2745395	44621536.00
2011/11/21	10.47	10.48	9.71	10.12	5122440	77119376.00
2011/11/22	9.91	10.05	9.75	10.04	3570570	52971008.00
2011/11/23	9.98	10.18	9.91	9.99	2642997	39788264.00
2011/11/24	9.84	10.18	9.66	10.01	2347427	35098464.00
2011/11/25	10.01	10.21	9.81	9.84	2046883	30662072.00
2011/11/28	9.89	9.97	9.77	9.89	1524087	22529582.00
2011/11/29	10.01	10.19	9.98	10.15	3080662	46572112.00
2011/11/30	10.12	10.18	9.23	9.35	3385057	49583564.00
2011/12/01	9.77	9.99	9.44	9.73	3255422	47657280.00
2011/12/02	9.63	9.73	9.34	9.39	1841557	26217976.00
2011/12/05	9.30	9.34	8.55	8.61	2213905	29738800.00
2011/12/06	8.62	8.92	8.57	8.80	1368580	18056408.00
2011/12/07	8.80	8.93	8.74	8.86	1489446	19865706.00
2011/12/08	8.87	9.07	8.55	8.89	2110255	28106556.00
2011/12/09	8.75	8.98	8.68	8.82	1217177	16194692.00
2011/12/12	8.78	8.89	8.69	8.73	987705	13104327.00
2011/12/13	8.62	9.08	8.31	8.34	1660802	21159360.00
2011/12/14	8.28	8.45	8.17	8.19	1230221	15412312.00
2011/12/15	8.07	8.21	7.90	7.93	1566172	19096642.00
2011/12/16	8.00	8.23	7.87	8.21	1450644	17715716.00
2011/12/19	7.93	8.39	7.93	8.35	2162266	26636478.00
2011/12/20	8.33	8.47	8.20	8.22	1953704	24619580.00
2011/12/21	8.33	8.41	7.91	7.93	1772115	22048876.00
2011/12/22	7.80	7.88	7.37	7.61	2148800	24806034.00
2011/12/23	7.62	7.84	7.54	7.69	1260923	14743211.00
2011/12/26	7.59	7.80	7.59	7.64	709245	8287310.00
2011/12/27	7.62	7.63	7.16	7.20	1348266	15101849.00
2011/12/28	7.16	7.16	6.84	7.03	1476857	15746582.00
2011/12/29	6.98	7.14	6.94	7.01	1251966	13447894.00
2011/12/30	7.09	7.23	7.05	7.16	1283497	13972522.00
2012/01/04	7.23	7.31	6.82	6.84	1296110	13982035.00
2012/01/05	6.82	6.82	6.43	6.46	1348132	13599154.00
2012/01/06	6.57	6.67	6.48	6.67	1018910	10268215.00
2012/01/09	6.70	7.04	6.58	7.04	1690317	17693194.00
2012/01/10	7.05	7.39	7.01	7.36	2634881	29038608.00
2012/01/11	7.24	7.50	7.24	7.34	2153314	24136770.00
2012/01/12	7.30	7.48	7.21	7.27	1591617	17728988.00
2012/01/13	7.30	7.30	6.71	6.72	2403211	25414902.00
2012/01/16	6.58	6.69	6.44	6.44	1265946	12724540.00
2012/01/17	6.39	6.89	6.39	6.85	1550889	15944694.00
2012/01/18	6.85	7.00	6.52	6.57	1718657	17837928.00
2012/01/19	6.57	6.96	6.47	6.82	1687084	17432090.00
2012/01/20	6.82	7.16	6.82	7.09	2261552	24176086.00
2012/01/30	6.82	7.19	6.64	6.96	3169981	33402224.00
2012/01/31	6.85	6.89	6.55	6.75	1967765	20126034.00
2012/02/01	6.75	6.85	6.65	6.71	1430322	14713823.00
2012/02/02	6.74	6.85	6.65	6.83	1453367	14992478.00
2012/02/03	6.87	7.15	6.82	7.13	3050271	32564488.00
2012/02/06	7.13	7.21	7.03	7.16	2379721	25734626.00
2012/02/07	7.14	7.14	6.85	6.94	1778271	18879152.00
2012/02/08	6.94	7.22	6.89	7.22	2272229	24527136.00
2012/02/09	7.22	7.49	7.16	7.33	3555773	39755848.00
2012/02/10	7.33	7.41	7.25	7.32	2560015	28524916.00
2012/02/13	7.31	7.57	7.21	7.49	3440070	38889304.00
2012/02/14	7.51	7.51	7.31	7.41	1865739	20955108.00
2012/02/15	7.44	7.56	7.32	7.54	2335609	26513242.00
2012/02/16	7.53	7.66	7.39	7.55	2413435	27593376.00
2012/02/17	7.53	7.59	7.36	7.41	1480372	16745161.00
2012/02/20	7.57	7.57	7.37	7.38	1761556	19952312.00
2012/02/21	7.37	7.56	7.25	7.54	2323973	26194502.00
2012/02/22	7.53	8.33	7.52	8.33	7361580	88312080.00
2012/02/23	8.41	8.48	8.10	8.26	7396999	92661720.00
2012/02/24	8.21	8.28	8.09	8.23	3416511	42205228.00
2012/02/27	8.23	8.41	8.14	8.16	3933722	49084860.00
2012/02/28	8.16	8.21	7.88	8.07	3102835	37605044.00
2012/02/29	8.05	8.18	7.93	8.07	2351796	28702772.00
2012/03/01	8.07	8.30	8.03	8.20	2722370	33646228.00
2012/03/02	8.28	8.35	8.17	8.34	3171915	39570624.00
2012/03/05	8.34	8.81	8.23	8.60	5372421	69000992.00
2012/03/06	8.14	8.25	8.02	8.03	5681660	69655712.00
2012/03/07	7.91	8.12	7.82	7.91	2756191	33185836.00
2012/03/08	7.92	8.04	7.90	7.99	2276793	27517748.00
2012/03/09	8.01	8.32	8.00	8.24	3718712	45903972.00
2012/03/12	8.23	8.24	8.05	8.24	3025486	37321020.00
2012/03/13	8.25	8.39	8.18	8.29	2888468	36101032.00
2012/03/14	8.31	8.79	8.02	8.18	8051580	103046352.00
2012/03/15	8.16	8.30	7.59	7.82	3897502	46614288.00
2012/03/16	7.78	7.98	7.77	7.96	2567299	30673956.00
2012/03/19	7.95	8.19	7.89	8.19	2438929	29844464.00
2012/03/20	8.19	8.19	7.83	7.84	2233134	26879658.00
2012/03/21	7.91	7.96	7.58	7.71	1872712	21947310.00
2012/03/22	7.71	7.78	7.64	7.72	904357	10569195.00
2012/03/23	7.64	7.73	7.41	7.43	1193827	13669542.00
2012/03/26	7.43	7.46	7.16	7.23	1136320	12634632.00
2012/03/28	7.16	7.20	6.59	6.65	1957627	20459232.00
2012/03/29	6.66	6.66	6.33	6.48	1726402	17168204.00
2012/03/30	6.48	6.53	6.25	6.34	1086899	10600554.00
2012/04/05	6.39	6.59	6.33	6.58	1273796	12618015.00
2012/04/06	6.59	6.71	6.47	6.66	1285197	12971310.00
2012/04/09	6.61	6.61	6.48	6.49	720630	7214644.50
2012/04/10	6.47	6.61	6.26	6.61	1140115	11214176.00
2012/04/11	6.53	6.62	6.45	6.57	904320	9037719.00
2012/04/12	6.57	6.85	6.51	6.81	1708689	17462420.00
2012/04/13	6.87	7.18	6.76	6.97	2336567	24770754.00
2012/04/16	6.85	6.92	6.54	6.83	1344429	13908569.00
2012/04/17	6.77	6.96	6.67	6.78	1318504	13724441.00
2012/04/18	6.78	6.96	6.75	6.92	1410096	14794309.00
2012/04/19	6.87	7.37	6.87	7.08	2670439	28915458.00
2012/04/20	7.03	7.14	6.89	7.03	1652356	17653470.00
2012/04/23	6.98	6.98	6.41	6.45	2782371	28001672.00
2012/04/24	6.46	6.50	6.20	6.33	1695261	16466800.00
2012/04/25	6.39	6.41	6.26	6.37	989779	9623322.00
2012/04/26	6.46	6.46	6.30	6.33	835372	8141833.00
2012/04/27	6.33	6.44	6.26	6.35	951275	9265790.00
2012/05/02	6.39	6.49	6.39	6.45	1037607	10230777.00
2012/05/03	6.43	6.62	6.40	6.57	1172100	11685571.00
2012/05/04	6.54	6.67	6.54	6.66	1097874	11101942.00
2012/05/07	6.61	6.71	6.59	6.71	1301052	13239111.00
2012/05/08	6.71	6.85	6.59	6.77	2160876	22114492.00
2012/05/09	6.70	6.71	6.53	6.56	1448711	14625358.00
2012/05/10	6.53	7.09	6.53	6.78	2837344	29610458.00
2012/05/11	6.71	6.87	6.67	6.79	1813685	18695368.00
2012/05/14	6.80	7.00	6.71	6.81	2159089	22593028.00
2012/05/15	6.75	6.78	6.61	6.72	1236767	12617004.00
2012/05/16	6.72	6.72	6.55	6.55	1091010	11001313.00
2012/05/17	6.51	6.69	6.46	6.64	1206329	12146097.00
2012/05/18	6.55	6.64	6.51	6.53	990401	9940185.00
2012/05/21	6.53	6.93	6.51	6.70	1848773	18979834.00
2012/05/22	6.69	6.81	6.65	6.78	1814175	18691930.00
2012/05/23	6.68	6.78	6.60	6.73	1134982	11596828.00
2012/05/24	6.68	6.85	6.68	6.79	1721992	17835906.00
2012/05/25	6.83	6.83	6.47	6.49	1525174	15357395.00
2012/05/28	6.39	6.46	6.28	6.44	1334332	12877800.00
2012/05/29	6.34	6.57	6.34	6.53	1108103	10929199.00
2012/05/30	6.52	6.62	6.48	6.58	1006661	10032863.00
2012/05/31	6.55	6.76	6.49	6.65	1232436	12417805.00
2012/06/01	6.66	6.71	6.59	6.63	775835	7813048.50
2012/06/04	6.53	6.54	6.32	6.33	1017879	9934149.00
2012/06/05	6.34	6.46	6.33	6.42	874869	8511683.00
2012/06/06	6.49	6.75	6.46	6.64	2100486	21142516.00
2012/06/07	6.59	6.75	6.59	6.66	1929679	19529664.00
2012/06/08	6.71	6.73	6.51	6.53	1117072	11177053.00
2012/06/11	6.59	7.12	6.53	7.01	4146245	43158140.00
2012/06/12	6.89	7.00	6.84	6.89	2769775	28990720.00
