300255 常山药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/08/19	3.58	4.21	3.57	3.93	17123249	532497024.00
2011/08/22	4.01	4.14	3.95	4.04	9170301	293079232.00
2011/08/23	4.01	4.35	3.86	4.22	10563678	338530720.00
2011/08/24	4.26	4.57	4.22	4.30	9703238	334817984.00
2011/08/25	4.26	4.44	4.13	4.34	7007111	236484384.00
2011/08/26	4.28	4.44	4.26	4.36	6281873	215663664.00
2011/08/29	4.36	4.41	4.26	4.30	4299632	146806160.00
2011/08/30	4.31	4.34	4.09	4.17	5294090	175393360.00
2011/08/31	4.17	4.17	3.97	4.05	3343568	107016800.00
2011/09/01	4.05	4.13	3.98	4.01	2603641	83455016.00
2011/09/02	4.03	4.28	4.00	4.26	5188937	169767824.00
2011/09/05	4.17	4.46	4.16	4.20	7014162	237582192.00
2011/09/06	4.12	4.12	3.77	3.77	5893684	180684368.00
2011/09/07	3.76	3.91	3.74	3.88	3737780	113024560.00
2011/09/08	3.88	3.91	3.76	3.76	3081945	93124456.00
2011/09/09	3.72	3.81	3.68	3.71	2088824	61950904.00
2011/09/13	3.65	3.65	3.46	3.51	1867185	52341468.00
2011/09/14	3.55	3.60	3.46	3.60	1828082	51334480.00
2011/09/15	3.61	3.68	3.58	3.62	2156980	62109004.00
2011/09/16	3.62	3.64	3.50	3.50	1925784	54468968.00
2011/09/19	3.47	3.48	3.32	3.33	1812884	48445340.00
2011/09/20	3.32	3.39	3.31	3.35	1168482	31146520.00
2011/09/21	3.33	3.51	3.33	3.49	2321581	63539908.00
2011/09/22	3.44	3.48	3.27	3.28	2171894	58433804.00
2011/09/23	3.20	3.32	3.16	3.32	1760528	45486152.00
2011/09/26	3.30	3.37	3.24	3.27	1090065	28633266.00
2011/09/27	3.31	3.33	3.26	3.29	721654	18917468.00
2011/09/28	3.32	3.34	3.20	3.24	783422	20458284.00
2011/09/29	3.23	3.23	3.10	3.10	1119509	28202524.00
2011/09/30	3.08	3.15	3.04	3.08	776648	19088604.00
2011/10/10	3.10	3.13	3.04	3.05	624335	15266092.00
2011/10/11	3.14	3.17	3.02	3.06	1159537	28723598.00
2011/10/12	3.03	3.19	3.01	3.18	1482985	37105532.00
2011/10/13	3.18	3.28	3.16	3.23	1573450	40488928.00
2011/10/14	3.20	3.23	3.14	3.17	1361934	34398312.00
2011/10/17	3.18	3.34	3.18	3.31	2254417	58868392.00
2011/10/18	3.27	3.42	3.27	3.30	3457221	91932896.00
2011/10/19	3.30	3.33	3.20	3.22	1614675	41977320.00
2011/10/20	3.19	3.25	3.05	3.10	1222449	30285264.00
2011/10/21	3.10	3.11	3.01	3.01	964490	23475598.00
2011/10/24	2.94	2.94	2.70	2.84	2606549	58114060.00
2011/10/25	2.78	2.98	2.76	2.97	1972258	45372228.00
2011/10/26	2.92	3.01	2.90	2.94	1624977	38301548.00
2011/10/27	2.94	3.03	2.93	2.93	1510036	35934360.00
2011/10/28	2.99	3.01	2.94	3.01	1487713	35377892.00
2011/10/31	3.01	3.08	3.01	3.06	1292093	31370492.00
2011/11/01	3.02	3.16	3.01	3.12	1979494	48507096.00
2011/11/02	3.02	3.23	3.02	3.20	2112991	52572912.00
2011/11/03	3.20	3.29	3.17	3.17	2218299	57103168.00
2011/11/04	3.19	3.23	3.15	3.18	1323916	33591724.00
2011/11/07	3.17	3.25	3.17	3.19	999100	25526178.00
2011/11/08	3.19	3.21	3.05	3.06	1272097	31780086.00
2011/11/09	3.08	3.11	2.99	3.09	1431265	34828132.00
2011/11/10	3.04	3.27	3.03	3.19	2766075	69564400.00
2011/11/11	3.18	3.41	3.16	3.35	4171177	109812168.00
2011/11/14	3.42	3.52	3.35	3.50	3630581	99798984.00
2011/11/15	3.49	3.52	3.44	3.47	2050604	56547276.00
2011/11/16	3.50	3.52	3.26	3.30	1935745	52444792.00
2011/11/17	3.31	3.50	3.31	3.43	2422920	65812148.00
2011/11/18	3.42	3.55	3.40	3.41	2815271	77558560.00
2011/11/21	3.42	3.42	3.13	3.22	2859768	73211528.00
2011/11/22	3.17	3.18	3.06	3.14	1531711	38149892.00
2011/11/23	3.20	3.20	3.12	3.13	1478316	37288276.00
2011/11/24	3.07	3.16	3.01	3.11	1288343	31862194.00
2011/11/25	3.10	3.18	3.07	3.12	1034646	25851036.00
2011/11/28	3.13	3.13	3.03	3.06	1094140	26746076.00
2011/11/29	3.11	3.15	3.07	3.14	1371583	34064864.00
2011/11/30	3.14	3.20	2.98	3.04	1920705	47608328.00
2011/12/01	3.14	3.30	3.10	3.22	3485250	88687640.00
2011/12/02	3.18	3.20	3.09	3.12	1571128	39361112.00
2011/12/05	3.09	3.10	2.81	2.83	1847753	42989336.00
2011/12/06	2.86	2.87	2.72	2.86	1940192	43354664.00
2011/12/07	2.81	2.86	2.78	2.81	1667589	37703572.00
2011/12/08	2.80	2.87	2.73	2.83	1487445	33396564.00
2011/12/09	2.78	2.83	2.77	2.79	727222	16335947.00
2011/12/12	2.80	2.91	2.78	2.82	1056892	24012582.00
2011/12/13	2.81	2.90	2.81	2.87	1962488	44867152.00
2011/12/14	2.87	2.87	2.73	2.74	1549303	34644216.00
2011/12/15	2.72	2.72	2.57	2.58	1601578	33727040.00
2011/12/16	2.61	2.68	2.54	2.67	1035975	21749274.00
2011/12/19	2.64	2.69	2.55	2.67	1173297	24762222.00
2011/12/20	2.66	2.72	2.63	2.63	980239	21032126.00
2011/12/21	2.67	2.68	2.57	2.58	826157	17495850.00
2011/12/22	2.57	2.57	2.42	2.49	1146333	22962658.00
2011/12/23	2.47	2.55	2.46	2.50	758440	15318642.00
2011/12/26	2.49	2.52	2.45	2.45	611251	12246010.00
2011/12/27	2.43	2.45	2.24	2.24	1206083	22676052.00
2011/12/28	2.23	2.24	2.14	2.20	1038185	18395322.00
2011/12/29	2.22	2.23	2.17	2.20	577711	10345448.00
2011/12/30	2.22	2.28	2.22	2.23	727271	13228841.00
2012/01/04	2.26	2.27	2.12	2.12	728868	13089227.00
2012/01/05	2.06	2.12	1.99	1.99	754981	12575140.00
2012/01/06	1.97	2.05	1.95	2.04	790644	12829599.00
2012/01/09	2.02	2.15	1.99	2.14	1124627	19126906.00
2012/01/10	2.14	2.25	2.13	2.24	1707032	30359278.00
2012/01/11	2.23	2.28	2.22	2.24	1229118	22354174.00
2012/01/12	2.23	2.27	2.20	2.20	1039275	18807876.00
2012/01/13	2.20	2.22	2.05	2.05	1177210	20081776.00
2012/01/16	2.02	2.02	1.90	1.92	780999	12553481.00
2012/01/17	1.92	2.06	1.91	2.06	1279030	20762152.00
2012/01/18	2.10	2.10	1.94	1.96	1160737	19195938.00
2012/01/19	1.96	2.09	1.92	2.07	1029398	17034330.00
2012/01/20	2.09	2.15	2.05	2.14	995204	17051246.00
2012/01/30	2.15	2.19	2.09	2.17	1008834	17568868.00
2012/01/31	2.16	2.16	2.08	2.13	564677	9694017.00
2012/02/01	2.12	2.16	2.10	2.10	653830	11314310.00
2012/02/02	2.12	2.17	2.10	2.17	937206	16239031.00
2012/02/03	2.18	2.27	2.16	2.24	1381887	24878568.00
2012/02/06	2.24	2.25	2.20	2.25	1029749	18632470.00
2012/02/07	2.22	2.25	2.17	2.18	709084	12681848.00
2012/02/08	2.18	2.26	2.17	2.26	881762	15891304.00
2012/02/09	2.26	2.31	2.24	2.26	1837731	33799964.00
2012/02/10	2.28	2.28	2.23	2.24	1114278	20338946.00
2012/02/13	2.23	2.32	2.21	2.31	1679456	31047692.00
2012/02/14	2.31	2.31	2.27	2.31	885734	16413183.00
2012/02/15	2.32	2.35	2.28	2.34	1221661	22876794.00
2012/02/16	2.33	2.37	2.27	2.31	1106397	20700796.00
2012/02/17	2.32	2.32	2.24	2.27	1036099	19052140.00
2012/02/20	2.30	2.30	2.24	2.25	1445778	26603010.00
2012/02/21	2.25	2.30	2.23	2.30	1071154	19669336.00
2012/02/22	2.30	2.41	2.29	2.40	2235839	42647784.00
2012/02/23	2.40	2.47	2.39	2.43	2162734	42442464.00
2012/02/24	2.45	2.52	2.44	2.49	1998385	39902052.00
2012/02/27	2.53	2.55	2.45	2.47	1854000	37151368.00
2012/02/28	2.46	2.46	2.39	2.42	1712214	33371908.00
2012/02/29	2.41	2.45	2.39	2.39	1183762	23111682.00
2012/03/01	2.38	2.43	2.38	2.41	762491	14795761.00
2012/03/02	2.41	2.45	2.41	2.45	1106592	21723556.00
2012/03/05	2.47	2.51	2.44	2.47	1496288	29773332.00
2012/03/06	2.45	2.46	2.39	2.41	1130926	21991198.00
2012/03/07	2.37	2.44	2.36	2.39	900610	17490690.00
2012/03/08	2.42	2.44	2.39	2.43	937971	18293346.00
2012/03/09	2.44	2.52	2.43	2.52	1542133	30930318.00
2012/03/13	2.56	2.67	2.53	2.59	2876888	60270272.00
2012/03/14	2.63	2.65	2.42	2.43	2480893	51192440.00
2012/03/15	2.45	2.56	2.38	2.54	2555441	51137340.00
2012/03/16	2.53	2.71	2.52	2.71	3051907	64256228.00
2012/03/19	2.72	2.72	2.65	2.72	2078144	44889452.00
2012/03/20	2.69	2.80	2.68	2.71	2269062	49766560.00
2012/03/21	2.74	2.74	2.55	2.65	1805229	38219704.00
2012/03/22	2.65	2.68	2.60	2.62	957341	20301518.00
2012/03/23	2.59	2.67	2.57	2.60	1001722	21121024.00
2012/03/26	2.61	2.77	2.61	2.63	2114597	45442400.00
2012/03/27	2.68	2.68	2.46	2.47	2794333	57651864.00
2012/03/28	2.46	2.46	2.30	2.32	1536329	29342010.00
2012/03/29	2.29	2.35	2.25	2.28	961579	17896630.00
2012/03/30	2.30	2.31	2.22	2.24	844369	15434985.00
2012/04/05	2.27	2.33	2.24	2.32	629847	11695415.00
2012/04/06	2.32	2.37	2.29	2.32	801593	15074275.00
2012/04/09	2.32	2.34	2.28	2.28	551276	10309437.00
2012/04/10	2.26	2.29	2.17	2.29	1012858	18313548.00
2012/04/11	2.25	2.29	2.22	2.26	1058111	19320936.00
2012/04/12	2.27	2.35	2.25	2.34	1007109	18777750.00
2012/04/13	2.36	2.38	2.33	2.35	994813	18916588.00
2012/04/16	2.33	2.35	2.29	2.33	729741	13665683.00
2012/04/17	2.32	2.35	2.29	2.32	701091	13174096.00
2012/04/18	2.33	2.39	2.32	2.39	943141	17990876.00
2012/04/19	2.39	2.45	2.37	2.40	1105038	21464380.00
2012/04/20	2.40	2.46	2.40	2.43	821680	16110139.00
2012/04/23	2.42	2.42	2.26	2.28	2137275	40102220.00
2012/04/24	2.29	2.31	2.17	2.24	1017107	18451698.00
