300258 精锻科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/08/26	8.30	8.82	8.08	8.73	17825277	640398656.00
2011/08/29	8.45	9.29	8.33	8.90	12900152	490787680.00
2011/08/30	8.83	9.03	8.50	8.57	8224681	309936864.00
2011/08/31	8.54	8.55	7.77	8.30	6799749	241334432.00
2011/09/01	8.15	8.40	7.99	8.02	3782980	133687256.00
2011/09/02	7.98	8.33	7.71	8.33	5212144	182180624.00
2011/09/05	8.19	8.40	8.01	8.06	3829820	136173712.00
2011/09/06	7.92	7.92	7.20	7.20	4307579	141086416.00
2011/09/07	7.22	7.39	7.21	7.36	2873686	91657432.00
2011/09/08	7.36	7.36	6.86	6.89	4033409	124838288.00
2011/09/09	6.85	7.05	6.80	6.91	2111061	63925368.00
2011/09/13	6.61	6.72	6.30	6.38	2478142	70185384.00
2011/09/14	6.43	6.54	6.13	6.52	2469922	69349832.00
2011/09/15	6.50	6.85	6.44	6.70	3642150	106552168.00
2011/09/16	6.70	6.81	6.33	6.36	2603390	74966560.00
2011/09/19	6.36	6.37	5.90	5.90	1710181	45698276.00
2011/09/20	5.90	6.05	5.72	5.92	1586771	41536148.00
2011/09/21	5.92	6.21	5.87	6.15	2120552	56990876.00
2011/09/22	6.04	6.10	5.76	5.76	1945951	51226388.00
2011/09/23	5.61	5.74	5.53	5.70	1368007	34377772.00
2011/09/26	5.64	5.90	5.64	5.76	1663028	42746492.00
2011/09/27	5.86	5.93	5.68	5.84	1227100	31635668.00
2011/09/28	5.90	5.91	5.59	5.68	1238609	31692520.00
2011/09/29	5.70	6.23	5.68	5.97	4081966	108411912.00
2011/09/30	5.91	6.47	5.90	6.36	4767930	130416576.00
2011/10/11	6.44	6.65	6.28	6.54	4645688	131934216.00
2011/10/12	6.53	6.67	6.13	6.67	4219841	120412288.00
2011/10/13	6.54	6.69	6.45	6.54	3522522	101544048.00
2011/10/14	6.53	6.53	6.27	6.40	2441087	68562328.00
2011/10/17	6.42	7.10	6.42	7.10	5840268	176249856.00
2011/10/18	7.02	7.02	6.59	6.60	3831547	115028480.00
2011/10/19	6.59	6.70	6.44	6.69	2436037	70596624.00
2011/10/20	6.63	6.63	6.27	6.38	2025973	56852488.00
2011/10/21	6.30	6.44	5.70	5.74	2391675	63004704.00
2011/10/24	5.73	6.01	5.54	5.98	2143125	54986428.00
2011/10/25	5.97	6.35	5.88	6.21	2960994	80439688.00
2011/10/26	6.11	6.28	6.08	6.14	2249335	61525912.00
2011/10/27	6.14	6.23	6.02	6.21	2393700	64838176.00
2011/10/28	6.33	6.35	6.15	6.33	2529891	70003672.00
2011/10/31	6.35	6.70	6.35	6.52	2876761	82724488.00
2011/11/01	6.40	6.52	6.30	6.48	2100776	59447880.00
2011/11/02	6.32	6.69	6.27	6.68	2866002	81747880.00
2011/11/03	6.68	6.75	6.51	6.53	2977786	86498208.00
2011/11/04	6.54	6.60	6.38	6.52	1981646	56486920.00
2011/11/07	6.43	6.53	6.38	6.38	1201489	34040132.00
2011/11/08	6.33	6.43	6.03	6.05	1924027	53081800.00
2011/11/09	6.05	6.19	5.95	6.19	1773294	47775612.00
2011/11/10	6.06	6.33	6.05	6.19	1950299	53577996.00
2011/11/11	6.21	6.26	6.07	6.13	1164315	31686556.00
2011/11/14	6.16	6.60	6.16	6.58	3023997	86090968.00
2011/11/15	6.59	6.64	6.46	6.53	2337519	67257560.00
2011/11/16	6.56	6.65	6.46	6.57	2822769	81241008.00
2011/11/17	6.53	7.03	6.53	6.83	5239017	156259824.00
2011/11/18	6.71	6.82	6.37	6.38	3014901	87145640.00
2011/11/21	6.35	6.38	6.06	6.18	1773657	48240644.00
2011/11/22	6.08	6.15	5.94	6.10	1627723	43442688.00
2011/11/23	6.14	6.22	5.89	6.17	1957853	52766980.00
2011/11/24	6.10	6.14	5.89	5.98	1509911	40083584.00
2011/11/25	5.99	6.15	5.92	5.94	1480336	39588908.00
2011/11/28	5.84	5.94	5.60	5.72	3729353	94638272.00
2011/11/29	5.76	5.97	5.72	5.97	2183168	56473112.00
2011/11/30	5.95	5.95	5.34	5.57	2299324	58049516.00
2011/12/01	5.76	5.84	5.66	5.68	1745778	44643620.00
