300285 国瓷材料 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/01/13	3.06	3.34	3.04	3.06	9494606	258910112.00
2012/01/16	2.80	2.80	2.73	2.73	788800	18887652.00
2012/01/17	2.47	2.73	2.44	2.66	5736628	128730728.00
2012/01/18	2.73	2.81	2.48	2.57	4442086	103640832.00
2012/01/19	2.50	2.69	2.44	2.58	2919193	65635812.00
2012/01/20	2.60	2.70	2.57	2.69	2469602	57597820.00
2012/01/30	2.66	2.86	2.57	2.74	2555856	60808620.00
2012/01/31	2.85	3.02	2.84	2.92	3194803	81013544.00
2012/02/01	2.85	3.03	2.85	3.02	3122366	79779680.00
2012/02/02	2.98	3.05	2.93	3.02	2257911	58611296.00
2012/02/03	3.01	3.21	2.99	2.99	2639744	70360704.00
2012/02/06	2.99	3.17	2.93	3.08	2495236	65982792.00
2012/02/07	3.02	3.08	2.91	2.96	1608576	41661844.00
2012/02/08	2.94	3.09	2.92	3.06	1697839	44150932.00
2012/02/09	3.04	3.12	2.96	3.00	3476461	90889848.00
2012/02/10	2.96	3.03	2.91	3.03	2678154	69030840.00
2012/02/13	2.98	3.21	2.98	3.15	3222358	86647280.00
2012/02/14	3.13	3.24	3.10	3.16	2692653	73515320.00
2012/02/15	3.16	3.20	3.07	3.20	2143031	58075392.00
2012/02/16	3.16	3.21	3.00	3.06	2230391	59708916.00
2012/02/17	3.04	3.12	3.04	3.09	1470011	39162640.00
2012/02/20	3.11	3.16	3.01	3.06	1472192	39212484.00
2012/02/21	3.06	3.09	2.98	3.08	1263785	33202460.00
2012/02/22	3.07	3.18	3.04	3.18	2562804	68962504.00
2012/02/23	3.22	3.52	3.20	3.42	5984732	176578608.00
2012/02/24	3.35	3.40	3.31	3.38	2543991	73342200.00
2012/02/28	3.34	3.58	3.30	3.49	3056893	90415704.00
2012/02/29	3.43	3.55	3.28	3.29	1807543	53075792.00
2012/03/01	3.24	3.38	3.23	3.31	1113185	31797398.00
2012/03/02	3.33	3.49	3.33	3.38	1080097	31403644.00
2012/03/05	3.40	3.74	3.38	3.64	4090125	126458064.00
2012/03/06	3.57	3.65	3.48	3.63	2450759	74859712.00
2012/03/07	3.55	3.74	3.52	3.53	2267499	70333896.00
2012/03/08	3.55	3.58	3.46	3.55	1461902	44106176.00
2012/03/09	3.55	3.63	3.54	3.62	1383354	42466424.00
2012/03/12	3.60	3.64	3.52	3.55	1518511	46438968.00
2012/03/13	3.54	3.66	3.54	3.66	1819247	56302588.00
2012/03/14	3.66	3.68	3.28	3.33	2666417	79955456.00
2012/03/15	3.36	3.37	3.20	3.25	1527040	43073420.00
2012/03/16	3.27	3.38	3.24	3.34	981836	27972820.00
2012/03/19	3.34	3.47	3.30	3.46	1109881	32452346.00
2012/03/20	3.44	3.44	3.25	3.27	987493	28361096.00
2012/03/21	3.27	3.31	3.14	3.18	1006849	27826552.00
