300307 慈星股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/03/29	14.24	14.95	14.16	14.26	14957020	458796384.00
2012/03/30	14.55	15.15	14.46	14.80	9388808	293873824.00
2012/04/05	14.78	15.03	14.21	14.90	6033353	186367024.00
2012/04/06	14.77	14.97	14.50	14.82	4026527	125529424.00
2012/04/09	14.74	14.74	14.40	14.40	3063433	94377024.00
2012/04/10	14.27	15.75	14.20	15.36	6020515	189579440.00
2012/04/11	15.16	15.53	15.00	15.12	4567973	146860848.00
2012/04/12	15.15	15.28	14.96	15.25	3356503	107472280.00
2012/04/13	15.25	15.38	15.06	15.21	3109906	99869864.00
2012/04/16	15.05	15.05	14.60	14.65	4156574	130086048.00
2012/04/17	14.79	14.84	14.54	14.67	2379193	73843328.00
2012/04/18	14.75	14.96	14.59	14.89	2512191	78755928.00
2012/04/19	14.81	15.34	14.81	15.03	3268940	104545024.00
2012/04/20	15.05	15.21	14.87	15.09	2385281	75803120.00
2012/04/23	15.17	15.25	14.51	14.58	3409570	106516056.00
2012/04/24	14.54	15.05	14.30	15.03	3680507	114488312.00
2012/04/25	14.90	15.24	14.83	15.05	2892440	92057968.00
2012/04/26	14.98	15.15	14.87	14.87	1966654	62379628.00
2012/04/27	14.86	15.09	14.66	14.86	1932056	60726652.00
2012/05/02	15.08	15.26	14.90	15.15	2853475	91051696.00
2012/05/03	15.14	15.29	15.02	15.22	2659471	85275096.00
2012/05/04	15.19	15.38	15.08	15.24	2620470	84280704.00
2012/05/07	15.17	15.18	14.90	15.10	3040697	96512304.00
2012/05/08	15.09	15.60	14.99	15.47	4873685	157722880.00
2012/05/09	15.35	15.74	15.21	15.28	3759758	122848280.00
2012/05/10	15.28	15.40	15.19	15.24	2212848	71339392.00
2012/05/11	15.32	15.32	14.89	14.89	2518271	80151048.00
2012/05/14	15.03	15.04	14.80	14.81	1546003	48706300.00
2012/05/15	14.67	14.88	14.66	14.82	973446	30385900.00
2012/05/16	14.80	14.87	14.55	14.57	1174716	36574176.00
2012/05/17	14.65	14.74	14.53	14.70	1155809	35831100.00
2012/05/18	14.64	14.64	14.38	14.40	1737124	53310096.00
2012/05/21	14.43	14.53	14.33	14.45	827166	25290684.00
2012/05/22	14.51	14.62	14.50	14.57	911893	28095816.00
2012/05/23	14.50	14.57	14.40	14.48	849386	26018192.00
2012/05/24	14.50	14.77	14.46	14.48	1104586	34145724.00
2012/05/25	14.51	14.57	14.30	14.33	957210	29194564.00
2012/05/28	14.33	14.48	14.19	14.44	1000180	30389002.00
2012/05/29	14.40	14.64	14.40	14.60	980950	30228164.00
2012/05/30	14.61	14.61	14.47	14.49	899123	27640904.00
2012/05/31	14.46	14.52	14.28	14.49	1218892	37179092.00
2012/06/01	14.48	14.54	14.31	14.35	1075456	32860272.00
2012/06/04	14.20	14.28	13.67	13.67	2361037	70364152.00
2012/06/05	13.68	13.80	13.54	13.54	1513362	43804132.00
2012/06/06	13.55	13.66	13.54	13.60	719026	20759590.00
2012/06/07	13.72	13.78	13.36	13.40	1167847	33718868.00
2012/06/08	13.55	13.55	13.23	13.31	1095991	31150668.00
2012/06/11	13.36	13.55	13.28	13.48	855428	24431236.00
2012/06/12	13.44	13.58	13.27	13.52	944468	26937188.00
2012/06/13	13.59	13.70	13.46	13.66	978234	28283240.00
2012/06/14	13.66	13.80	13.53	13.56	994046	28892214.00
2012/06/15	13.57	13.71	13.42	13.61	601111	17350848.00
2012/06/18	13.65	13.79	13.55	13.79	1008469	29416452.00
2012/06/19	13.78	13.78	13.60	13.64	640299	18592170.00
2012/06/20	13.68	13.75	13.55	13.61	846534	24505554.00
2012/06/21	13.60	13.60	13.35	13.42	711627	20330546.00
2012/06/25	13.41	13.45	12.96	13.03	841550	23640000.00
2012/06/26	12.95	13.15	12.95	13.08	639653	17808756.00
2012/06/27	13.08	13.46	13.03	13.24	1052552	29745050.00
2012/06/28	13.28	13.33	12.98	12.98	712711	19971994.00
2012/06/29	12.96	13.02	12.53	12.60	2515619	68134624.00
2012/07/02	12.67	12.89	12.65	12.74	1689228	45948548.00
2012/07/03	12.78	13.24	12.71	13.15	1990751	55395632.00
2012/07/04	13.10	13.29	12.88	13.00	1469156	40870728.00
2012/07/05	14.39	14.39	14.36	14.39	11882626	362061120.00
2012/07/06	14.39	14.84	14.28	14.61	14822240	455798688.00
2012/07/09	14.40	14.74	14.28	14.37	7991880	245016384.00
2012/07/10	14.20	14.24	13.33	13.36	6448359	187257536.00
2012/07/11	13.16	13.54	13.03	13.29	3785281	106721120.00
2012/07/12	13.29	13.29	12.93	13.17	5824054	162588160.00
