300310 宜通世纪 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/04/25	2.36	2.47	2.36	2.47	11541648	223880976.00
2012/04/26	2.52	2.71	2.44	2.57	11933480	244031008.00
2012/04/27	2.51	2.65	2.51	2.60	5760544	118927208.00
2012/05/02	2.63	2.66	2.57	2.60	4767413	99629080.00
2012/05/03	2.58	2.71	2.58	2.62	4069325	85929080.00
2012/05/04	2.64	2.69	2.61	2.67	3445085	73042104.00
2012/05/07	2.65	2.75	2.64	2.68	3818747	81519592.00
2012/05/08	2.66	2.69	2.62	2.64	3562066	75557264.00
2012/05/09	2.61	2.71	2.60	2.66	3027024	64377652.00
2012/05/10	2.67	2.73	2.65	2.70	3054926	65434836.00
2012/05/11	2.69	2.70	2.60	2.62	2625748	55491152.00
2012/05/14	2.62	2.63	2.56	2.56	2095956	43615572.00
2012/05/15	2.53	2.56	2.52	2.56	1365131	27781578.00
2012/05/16	2.56	2.59	2.54	2.54	1467342	30108726.00
2012/05/17	2.54	2.58	2.52	2.57	1299396	26631286.00
2012/05/18	2.54	2.67	2.52	2.58	2307730	48053504.00
2012/05/21	2.59	2.62	2.56	2.60	1408841	29259184.00
2012/05/22	2.62	2.65	2.60	2.63	1100440	23073366.00
2012/05/23	2.65	2.72	2.63	2.67	2665286	56950920.00
2012/05/24	2.67	2.68	2.60	2.62	1881902	39521120.00
2012/05/25	2.62	2.67	2.49	2.51	1406638	28923766.00
2012/05/28	2.50	2.52	2.45	2.51	1460657	29230056.00
2012/05/29	2.53	2.55	2.51	2.53	1481614	30105888.00
2012/05/30	2.53	2.56	2.53	2.54	880600	17923012.00
2012/05/31	2.53	2.60	2.51	2.58	1427769	29357502.00
2012/06/01	2.59	2.59	2.53	2.55	903813	18536586.00
2012/06/04	2.48	2.51	2.44	2.44	1592366	31587942.00
2012/06/05	2.45	2.48	2.44	2.46	710897	14051307.00
2012/06/06	2.46	2.49	2.42	2.45	840758	16601449.00
2012/06/07	2.48	2.49	2.42	2.44	713116	14047995.00
2012/06/08	2.46	2.47	2.41	2.47	873525	17173434.00
2012/06/11	2.47	2.53	2.45	2.51	973651	19441068.00
2012/06/12	2.47	2.53	2.47	2.50	973216	19538866.00
2012/06/13	2.52	2.57	2.50	2.55	1220197	24743954.00
2012/06/14	2.54	2.62	2.53	2.55	1662237	34265484.00
2012/06/15	2.56	2.56	2.48	2.53	1128984	22840380.00
2012/06/18	2.55	2.80	2.54	2.80	4971824	107601496.00
2012/06/19	2.82	2.86	2.79	2.82	5288763	118691760.00
2012/06/20	2.82	2.96	2.80	2.85	3629068	82725672.00
2012/06/21	2.79	2.80	2.68	2.71	3940741	85538656.00
2012/06/25	2.70	2.75	2.67	2.67	2934593	63579548.00
2012/06/26	2.65	2.75	2.61	2.74	3118196	66752748.00
2012/06/27	2.72	2.87	2.70	2.76	4585660	101852288.00
2012/06/28	2.75	2.77	2.66	2.67	2439736	52805980.00
2012/06/29	2.64	2.78	2.64	2.78	2549033	55626912.00
2012/07/02	2.79	2.85	2.76	2.79	2574358	57291848.00
2012/07/03	2.78	2.86	2.77	2.80	2676322	60003672.00
2012/07/04	2.81	2.91	2.79	2.86	3322989	75489472.00
2012/07/05	2.84	2.86	2.75	2.77	2405007	53329136.00
2012/07/06	2.79	2.79	2.67	2.78	2484358	54064156.00
2012/07/09	2.74	2.74	2.57	2.57	1846047	39557144.00
2012/07/10	2.56	2.60	2.48	2.50	1708901	34503828.00
2012/07/11	2.50	2.54	2.45	2.53	1103106	22191906.00
2012/07/12	2.51	2.58	2.48	2.56	1596796	32400656.00
2012/07/13	2.55	2.57	2.41	2.42	2091413	41649476.00
2012/07/16	2.39	2.41	2.20	2.22	1994463	36674416.00
2012/07/17	2.21	2.25	2.20	2.25	659891	11907998.00
2012/07/18	2.25	2.26	2.17	2.25	824351	14771451.00
2012/07/19	2.24	2.36	2.24	2.33	1741680	32617624.00
2012/07/20	2.31	2.35	2.28	2.30	680519	12647828.00
2012/07/23	2.24	2.32	2.23	2.29	756681	13867793.00
2012/07/24	2.27	2.33	2.27	2.29	685641	12733637.00
2012/07/25	2.23	2.37	2.23	2.31	3292023	61334284.00
2012/07/26	2.28	2.32	2.24	2.24	1820142	33467094.00
2012/07/27	2.28	2.34	2.24	2.32	2265325	41775472.00
2012/07/30	2.31	2.34	2.23	2.25	1048513	19292164.00
2012/07/31	2.27	2.27	2.15	2.16	1066387	18985846.00
2012/08/01	2.16	2.25	2.16	2.20	1059527	18988596.00
2012/08/02	2.19	2.21	2.13	2.16	1067975	18756666.00
2012/08/03	2.19	2.27	2.17	2.27	1495126	27032370.00
2012/08/06	2.27	2.38	2.23	2.36	2218784	41758652.00
2012/08/07	2.34	2.38	2.32	2.34	1374983	25977568.00
2012/08/08	2.34	2.37	2.30	2.34	1077494	20245092.00
2012/08/09	2.59	2.59	2.59	2.59	276386	5735009.50
2012/08/10	2.87	2.87	2.87	2.87	1042887	23809110.00
2012/08/13	3.00	3.11	2.96	2.96	10446336	250894736.00
2012/08/14	2.91	2.93	2.79	2.87	5511914	125087200.00
2012/08/15	2.85	3.00	2.84	2.84	4571376	105771872.00
2012/08/16	2.81	2.86	2.73	2.75	2845537	63322816.00
2012/08/17	2.77	2.83	2.73	2.80	2267799	50459492.00
2012/08/20	2.77	2.87	2.77	2.85	1789680	40080872.00
2012/08/21	2.84	2.92	2.83	2.86	3194603	73124288.00
2012/08/22	2.86	2.97	2.86	2.88	3127513	72085624.00
2012/08/23	2.88	2.93	2.79	2.83	2825013	63700212.00
2012/08/24	2.82	2.88	2.78	2.80	1885485	42364004.00
2012/08/27	2.70	2.71	2.50	2.54	3174812	65427228.00
2012/08/28	2.52	2.60	2.52	2.57	1662854	34156932.00
2012/08/29	2.57	2.71	2.55	2.61	2675876	56597832.00
2012/08/30	2.60	2.65	2.46	2.52	2542535	52129176.00
2012/08/31	2.50	2.59	2.50	2.58	1145965	23504002.00
2012/09/03	2.58	2.71	2.56	2.69	2058685	43752812.00
2012/09/04	2.69	2.73	2.64	2.67	1656428	35542076.00
2012/09/05	2.68	2.85	2.65	2.79	3358492	74033472.00
2012/09/06	2.80	2.84	2.75	2.81	1442806	31920350.00
2012/09/07	2.83	2.88	2.79	2.86	3123289	70516320.00
2012/09/10	2.88	2.96	2.84	2.88	2501803	57522636.00
2012/09/11	2.86	2.89	2.80	2.86	1572617	35706412.00
2012/09/12	2.88	2.89	2.78	2.84	1749145	39354252.00
2012/09/13	2.84	2.85	2.71	2.73	1072918	23938546.00
2012/09/14	2.77	2.79	2.67	2.75	1420608	30983906.00
2012/09/17	2.74	2.74	2.65	2.66	840342	18078556.00
2012/09/18	2.69	2.73	2.63	2.66	1639695	35231864.00
2012/09/19	2.67	2.72	2.66	2.69	1235040	26457380.00
2012/09/20	2.67	2.69	2.50	2.52	1774567	36443124.00
2012/09/21	2.49	2.53	2.40	2.41	1342121	26630416.00
2012/09/24	2.38	2.44	2.36	2.43	907475	17520394.00
2012/09/25	2.43	2.43	2.31	2.32	1491871	28213016.00
2012/09/26	2.32	2.32	2.18	2.21	1938157	17265232.00
2012/09/27	2.20	2.37	2.20	2.32	3484655	31978690.00
2012/09/28	2.26	2.30	2.23	2.29	3925775	35400616.00
2012/10/08	2.27	2.34	2.24	2.32	4064261	37260100.00
2012/10/09	2.30	2.41	2.30	2.40	3909003	36743860.00
2012/10/10	2.39	2.40	2.35	2.40	2917674	27546034.00
2012/10/11	2.38	2.44	2.37	2.38	3528920	33649848.00
2012/10/12	2.37	2.42	2.28	2.30	3159882	29320864.00
2012/10/15	2.34	2.36	2.24	2.34	2667808	24316560.00
2012/10/16	2.31	2.34	2.27	2.32	2060615	18966126.00
2012/10/17	2.32	2.33	2.28	2.30	1566232	14334683.00
2012/10/18	2.30	2.35	2.29	2.33	2137786	19744984.00
2012/10/19	2.33	2.57	2.32	2.42	6006685	58478928.00
2012/10/22	2.39	2.42	2.36	2.41	2671971	25328034.00
2012/10/23	2.42	2.42	2.31	2.31	2793270	26131214.00
2012/10/24	2.31	2.32	2.25	2.28	2445836	22210818.00
2012/10/25	2.26	2.30	2.24	2.24	1504988	13584149.00
2012/10/26	2.24	2.31	2.21	2.25	1741793	15655391.00
2012/10/29	2.24	2.28	2.23	2.27	1021646	9174104.00
2012/10/30	2.27	2.28	2.22	2.24	1381730	12371188.00
2012/10/31	2.23	2.30	2.22	2.30	1525907	13780459.00
2012/11/01	2.30	2.34	2.29	2.32	2003990	18459960.00
2012/11/02	2.33	2.46	2.32	2.35	5093151	48042172.00
2012/11/05	2.33	2.40	2.33	2.34	2010632	18849422.00
2012/11/06	2.34	2.35	2.24	2.31	2491445	22727676.00
2012/11/07	2.31	2.36	2.29	2.32	2420641	22379342.00
2012/11/08	2.27	2.30	2.22	2.23	1805044	16233121.00
2012/11/09	2.21	2.28	2.21	2.25	1094890	9801384.00
2012/11/12	2.24	2.28	2.23	2.25	1194047	10691223.00
2012/11/13	2.24	2.25	2.18	2.18	1433035	12572646.00
2012/11/14	2.16	2.21	2.14	2.19	1106682	9580662.00
2012/11/15	2.19	2.19	2.10	2.10	1211874	10352746.00
2012/11/16	2.09	2.09	2.04	2.05	1022929	8414477.00
2012/11/19	2.03	2.07	2.01	2.06	776771	6353359.00
2012/11/20	2.07	2.17	2.06	2.08	1428424	12043367.00
2012/11/21	2.08	2.15	2.07	2.14	1549732	13123129.00
2012/11/22	2.12	2.12	2.07	2.10	1005055	8431877.00
2012/11/23	2.10	2.13	2.08	2.09	1117468	9400822.00
2012/11/26	2.08	2.09	2.02	2.02	1035159	8482841.00
2012/11/27	2.01	2.03	1.91	1.91	1335150	10453687.00
2012/11/28	1.90	1.90	1.85	1.89	1182673	8927441.00
2012/11/29	1.89	1.91	1.84	1.84	705990	5333694.50
2012/11/30	1.84	1.88	1.83	1.86	967201	7228383.00
2012/12/03	1.86	1.87	1.73	1.73	1362759	9928062.00
2012/12/04	1.75	1.80	1.70	1.79	1547433	11015474.00
2012/12/05	1.77	1.87	1.76	1.84	1998432	14861669.00
2012/12/06	1.82	1.89	1.82	1.84	1822781	13666968.00
2012/12/07	1.85	1.91	1.82	1.91	2353956	17761950.00
2012/12/10	1.93	1.97	1.91	1.94	2794232	21814274.00
2012/12/11	1.95	2.07	1.92	2.00	4847443	38778960.00
2012/12/12	2.00	2.06	1.93	1.99	3925447	31469000.00
2012/12/13	1.99	2.00	1.93	1.94	2138060	16848288.00
2012/12/14	1.95	2.12	1.93	2.04	4268172	34749788.00
2012/12/17	2.05	2.06	2.01	2.03	2942665	23999620.00
2012/12/18	2.01	2.06	1.99	2.00	2066447	16825076.00
2012/12/19	2.00	2.05	1.99	2.03	1620290	13159508.00
2012/12/20	2.01	2.09	1.99	2.06	2789510	22871064.00
2012/12/21	2.06	2.12	2.01	2.10	4907784	40699496.00
2012/12/24	2.08	2.12	2.06	2.11	3077056	25755976.00
2012/12/25	2.10	2.20	2.10	2.18	4503660	38777952.00
2012/12/26	2.18	2.41	2.16	2.41	8558851	79000800.00
2012/12/27	2.48	2.50	2.32	2.33	8742570	83652936.00
2012/12/28	2.31	2.43	2.28	2.39	5375335	50413480.00
2012/12/31	2.37	2.39	2.30	2.31	3589376	33250656.00
2013/01/04	2.35	2.35	2.27	2.30	2774994	25411356.00
2013/01/07	2.28	2.34	2.26	2.34	2778826	25472780.00
2013/01/08	2.35	2.54	2.31	2.47	7501001	72410584.00
2013/01/09	2.43	2.72	2.42	2.57	8066292	82308976.00
2013/01/10	2.53	2.73	2.50	2.70	8970083	93379656.00
2013/01/11	2.70	2.75	2.58	2.62	6812297	71888880.00
2013/01/14	2.59	2.81	2.56	2.77	7048677	75303536.00
2013/01/15	2.74	2.88	2.71	2.78	6701001	73868592.00
2013/01/16	2.75	2.78	2.59	2.70	4477244	47419652.00
2013/01/17	2.68	2.69	2.59	2.59	2605077	27065226.00
2013/01/18	2.58	2.68	2.58	2.64	1907865	19881790.00
2013/01/21	2.65	2.71	2.61	2.71	2238530	23569202.00
2013/01/22	2.69	2.71	2.48	2.49	5359671	54631500.00
2013/01/23	2.48	2.53	2.37	2.46	3465494	33486590.00
2013/01/24	2.47	2.52	2.33	2.37	2848059	27434088.00
2013/01/25	2.37	2.42	2.36	2.39	1445090	13694770.00
2013/01/28	2.40	2.47	2.39	2.45	1748522	16874274.00
2013/01/29	2.47	2.65	2.46	2.59	4409277	44451480.00
2013/01/30	2.58	2.62	2.51	2.53	2472449	25017986.00
2013/01/31	2.54	2.55	2.48	2.51	1546271	15341630.00
2013/02/01	2.48	2.56	2.47	2.54	1542652	15449232.00
2013/02/04	2.59	2.60	2.44	2.44	2480548	24417278.00
2013/02/05	2.44	2.52	2.44	2.50	1323656	13013304.00
2013/02/06	2.50	2.58	2.47	2.56	2446753	24684436.00
2013/02/07	2.56	2.59	2.53	2.57	2026567	20561174.00
