300322 硕贝德 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/06/08	3.14	3.16	2.96	3.07	9117527	127450184.00
2012/06/11	3.03	3.20	3.01	3.19	7458725	105654024.00
2012/06/12	3.12	3.14	3.03	3.05	4334214	60633920.00
2012/06/13	3.06	3.16	3.03	3.13	4078444	57582740.00
2012/06/14	3.12	3.32	3.10	3.22	7293824	107307008.00
2012/06/15	3.28	3.35	3.23	3.28	4513478	67099156.00
2012/06/18	3.28	3.42	3.25	3.38	4636888	70083744.00
2012/06/19	3.35	3.36	3.22	3.27	3265667	48708176.00
2012/06/20	3.27	3.38	3.24	3.31	3313940	49940088.00
2012/06/21	3.31	3.31	3.15	3.18	2251505	32806784.00
2012/06/25	3.16	3.40	3.14	3.29	4102181	61272412.00
2012/06/26	3.25	3.63	3.22	3.49	6096905	95094768.00
2012/06/27	3.42	3.71	3.40	3.53	6058732	97146336.00
2012/06/28	3.50	3.60	3.44	3.53	3459710	55122400.00
2012/06/29	3.49	3.84	3.48	3.71	5402450	90242872.00
2012/07/02	3.68	3.92	3.62	3.92	4495270	76094704.00
2012/07/03	3.87	3.95	3.82	3.85	3913845	68388120.00
2012/07/04	3.81	3.87	3.65	3.71	3742252	63254504.00
2012/07/05	3.69	3.77	3.62	3.72	2644078	44186844.00
2012/07/06	3.68	3.71	3.33	3.48	5176109	81701088.00
2012/07/09	3.46	3.56	3.41	3.44	3499447	55548880.00
2012/07/10	3.42	3.53	3.35	3.37	2303377	36143760.00
2012/07/11	3.37	3.41	3.16	3.29	2541117	37625440.00
2012/07/12	3.26	3.36	3.22	3.32	1806593	27064150.00
2012/07/13	3.35	3.51	3.32	3.33	3439067	53323980.00
2012/07/16	3.33	3.46	3.27	3.29	3127671	47687196.00
2012/07/17	3.28	3.42	3.28	3.35	1389240	21086602.00
2012/07/18	3.36	3.38	3.08	3.28	2307594	33599300.00
2012/07/19	3.23	3.46	3.19	3.38	2276399	34597628.00
2012/07/20	3.36	3.44	3.33	3.37	1567474	23935300.00
2012/07/23	3.33	3.33	3.22	3.29	614682	9181804.00
2012/07/24	3.24	3.35	3.23	3.31	749131	11241928.00
2012/07/25	3.26	3.49	3.26	3.45	2400524	37165520.00
2012/07/26	3.44	3.47	3.39	3.39	1358930	21078902.00
2012/07/27	3.38	3.53	3.36	3.49	1330231	20722858.00
2012/07/30	3.49	3.59	3.38	3.39	1593571	25120502.00
2012/07/31	3.33	3.37	3.07	3.11	1239004	18003970.00
2012/08/01	3.07	3.22	3.05	3.17	684377	9872405.00
2012/08/02	3.14	3.19	3.11	3.11	528550	7572618.00
2012/08/03	3.12	3.27	3.12	3.27	821193	12009023.00
2012/08/06	3.21	3.48	3.21	3.44	1298023	20021418.00
2012/08/07	3.44	3.49	3.41	3.44	745271	11620135.00
2012/08/08	3.46	3.49	3.41	3.49	699672	10933762.00
2012/08/09	3.49	3.70	3.49	3.65	2126121	34955632.00
2012/08/10	3.63	3.89	3.63	3.69	2922676	50053912.00
2012/08/13	3.64	3.88	3.59	3.69	2217545	37283140.00
2012/08/14	3.63	3.91	3.62	3.77	3363525	57595872.00
2012/08/15	3.68	3.99	3.61	3.91	3649615	63449232.00
2012/08/16	3.86	3.93	3.74	3.77	1670644	28746394.00
2012/08/17	3.83	3.86	3.69	3.83	1492617	25416742.00
2012/08/20	3.80	3.94	3.72	3.90	1447139	25041226.00
2012/08/21	3.90	4.30	3.85	4.19	2638030	48785920.00
2012/08/22	4.18	4.20	4.07	4.14	1617451	29929302.00
2012/08/23	4.11	4.25	4.03	4.19	1428963	26591828.00
2012/08/24	4.12	4.19	3.96	3.96	1455840	26483034.00
2012/08/27	3.91	3.91	3.69	3.70	1676201	28591492.00
2012/08/28	3.79	4.09	3.73	4.09	3995681	72637784.00
2012/08/29	4.07	4.50	4.01	4.24	4770753	91911072.00
2012/08/30	4.20	4.42	4.07	4.35	3580867	68739976.00
2012/08/31	4.37	4.39	4.21	4.27	2067111	39782544.00
2012/09/03	4.23	4.65	4.21	4.50	2664707	53296072.00
2012/09/04	4.46	4.58	4.42	4.57	2568673	51827520.00
2012/09/05	4.47	4.83	4.40	4.46	2577373	53250344.00
2012/09/06	4.39	4.68	4.35	4.66	1915564	38513176.00
2012/09/07	4.67	4.82	4.53	4.72	2558153	53848988.00
2012/09/10	4.69	5.07	4.56	4.89	2092888	45164752.00
2012/09/11	4.84	4.95	4.72	4.86	2045883	44213148.00
2012/09/12	4.86	5.00	4.66	4.74	2026538	43364884.00
2012/09/13	4.74	4.74	4.58	4.61	1401617	29093446.00
2012/09/14	4.62	5.01	4.50	4.91	2650528	56165492.00
2012/09/17	4.87	4.99	4.67	4.76	1568245	34039704.00
2012/09/18	4.71	5.06	4.66	4.99	1639569	36184528.00
2012/09/19	5.00	5.20	5.00	5.09	1045932	23781836.00
2012/09/20	4.94	5.13	4.88	4.90	1401858	31397122.00
2012/09/21	4.86	4.97	4.64	4.69	1221087	25932938.00
2012/09/24	4.65	4.72	4.28	4.69	1278428	26270640.00
2012/09/25	4.59	4.68	4.47	4.49	1290527	26525548.00
2012/09/26	4.50	4.61	4.24	4.27	1414626	28347888.00
2012/09/27	4.27	4.56	4.24	4.49	1027614	20455192.00
2012/09/28	4.47	4.66	4.41	4.61	568280	11482315.00
2012/10/08	4.58	4.84	4.57	4.72	839921	17792908.00
2012/10/09	4.71	4.83	4.71	4.78	721622	15416920.00
2012/10/10	4.90	4.90	4.65	4.74	940717	19875446.00
2012/10/11	4.69	4.73	4.51	4.51	1650500	33628516.00
2012/10/12	4.51	4.54	4.25	4.35	1306098	25633182.00
2012/10/15	4.35	4.36	4.10	4.22	1277237	24025590.00
2012/10/16	4.20	4.27	4.19	4.20	652919	12380531.00
2012/10/17	4.21	4.25	4.15	4.20	564584	10669244.00
2012/10/18	4.16	4.41	4.16	4.40	1481046	28880486.00
2012/10/19	4.41	4.56	4.37	4.53	1333620	26828294.00
2012/10/22	4.47	4.64	4.47	4.60	961409	19686894.00
2012/10/23	4.60	4.63	4.49	4.51	657374	13329278.00
2012/10/24	4.49	4.53	4.41	4.41	576950	11491194.00
2012/10/25	4.43	4.43	4.34	4.36	408600	7988765.50
2012/10/26	4.41	4.63	4.41	4.44	497124	10012760.00
2012/10/29	4.44	4.61	4.43	4.59	379034	7709817.00
2012/10/30	4.60	4.67	4.60	4.65	483648	10050175.00
2012/10/31	4.65	4.68	4.57	4.59	267167	5492592.50
2012/11/01	4.51	4.73	4.51	4.73	510470	10595035.00
2012/11/02	4.76	4.76	4.65	4.67	306441	6438609.50
2012/11/05	4.68	4.68	4.57	4.62	376470	7750982.50
2012/11/06	4.60	4.60	4.42	4.55	217732	4396414.50
2012/11/07	4.44	4.59	4.44	4.59	550709	11162123.00
2012/11/08	4.47	4.56	4.33	4.33	327700	6491159.00
2012/11/09	4.38	4.38	4.16	4.25	309048	5876235.50
2012/11/12	4.27	4.34	4.25	4.25	191441	3670434.25
2012/11/13	4.32	4.32	4.19	4.21	192721	3650877.25
2012/11/14	4.17	4.23	4.05	4.14	465489	8628596.00
2012/11/15	4.14	4.19	4.07	4.07	210452	3901965.75
2012/11/16	4.06	4.10	4.00	4.07	129294	2354362.00
2012/11/19	4.02	4.16	4.02	4.14	117529	2156636.25
2012/11/20	4.15	4.19	4.13	4.16	86421	1613352.75
2012/11/21	4.12	4.17	4.04	4.15	86677	1596264.38
2012/11/22	4.08	4.12	4.05	4.07	47782	873823.13
2012/11/23	4.04	4.21	4.04	4.07	165821	3089882.25
2012/11/26	4.06	4.11	4.00	4.03	86800	1583448.00
2012/11/27	4.02	4.02	3.69	3.69	343299	5838278.50
2012/11/28	3.68	3.68	3.60	3.63	170851	2797983.25
2012/11/29	3.62	3.73	3.55	3.63	138100	2281215.50
2012/11/30	3.67	3.68	3.59	3.63	137311	2249881.00
2012/12/03	3.60	3.69	3.57	3.58	240889	3927969.25
2012/12/04	3.58	3.68	3.53	3.65	243001	3968468.50
2012/12/05	3.63	3.90	3.62	3.74	1284038	21688202.00
2012/12/06	3.61	3.74	3.58	3.62	831395	13690456.00
2012/12/07	3.61	3.86	3.58	3.85	852280	14410548.00
2012/12/10	3.82	4.10	3.79	4.03	809350	14432265.00
2012/12/11	3.98	4.02	3.92	3.92	400655	7137945.00
2012/12/12	3.91	3.98	3.87	3.98	211510	3740818.75
2012/12/13	3.98	4.04	3.93	4.00	453604	8119273.00
2012/12/14	4.00	4.22	3.98	4.14	1717025	31507784.00
2012/12/17	4.14	4.14	3.78	3.81	1631360	28708964.00
2012/12/18	3.81	3.82	3.63	3.67	1486571	24870664.00
2012/12/19	3.68	3.76	3.61	3.74	1227924	20398406.00
2012/12/20	3.72	3.90	3.66	3.87	1253843	21559554.00
2012/12/21	3.84	4.10	3.81	3.99	1921265	34188688.00
2012/12/24	4.02	4.16	4.00	4.04	1334867	24460406.00
2012/12/25	4.03	4.15	4.03	4.13	1652982	30463434.00
2012/12/26	4.13	4.36	4.07	4.36	2032826	39097336.00
2012/12/27	4.39	4.44	4.16	4.17	1127991	21684706.00
2012/12/28	4.16	4.37	4.10	4.35	1350467	26037242.00
2012/12/31	4.33	4.44	4.19	4.28	2006701	38607680.00
2013/01/04	4.32	4.32	4.14	4.24	1255717	23796268.00
2013/01/07	4.21	4.55	4.18	4.46	1840733	35950352.00
2013/01/08	4.46	4.87	4.40	4.69	2601148	53795316.00
2013/01/09	4.74	5.04	4.59	4.74	2929548	62846500.00
2013/01/10	4.69	4.78	4.58	4.69	1214159	25397196.00
2013/01/11	4.69	4.97	4.64	4.73	1783527	38199936.00
2013/01/14	4.63	4.94	4.54	4.91	1747941	37532100.00
2013/01/15	4.93	4.99	4.85	4.95	1275291	27973724.00
2013/01/16	4.97	4.98	4.69	4.70	1436905	30855624.00
2013/01/17	4.74	4.79	4.58	4.66	786206	16427030.00
2013/01/18	4.66	4.74	4.57	4.67	671690	13944502.00
2013/01/21	4.62	4.73	4.57	4.64	924891	19226482.00
2013/01/22	4.58	4.68	4.35	4.38	1295368	25905084.00
2013/01/23	4.37	4.46	4.30	4.38	927953	18140652.00
2013/01/24	4.37	4.48	4.04	4.12	1729605	33051576.00
2013/01/25	4.16	4.19	4.03	4.13	988372	18237738.00
2013/01/28	4.13	4.27	4.12	4.24	720281	13571014.00
2013/01/29	4.24	4.38	4.24	4.35	1214234	23603740.00
2013/01/30	4.35	4.37	4.25	4.28	632570	12174255.00
2013/01/31	4.26	4.29	4.18	4.23	591000	11207397.00
2013/02/01	4.24	4.30	4.20	4.25	294801	5621693.00
2013/02/04	4.23	4.30	3.81	3.90	3566117	62446676.00
2013/02/05	3.84	4.04	3.82	4.00	1873622	33376116.00
2013/02/06	4.01	4.07	3.98	4.06	1116378	20282312.00
2013/02/07	4.07	4.10	3.98	4.07	729486	13219744.00
2013/02/08	4.05	4.23	4.05	4.22	1130697	21155990.00
2013/02/18	4.23	4.30	4.16	4.20	1159364	21892010.00
2013/02/19	4.19	4.23	4.03	4.05	1281538	23535424.00
2013/02/20	4.05	4.28	4.00	4.28	1811169	34067464.00
2013/02/21	4.26	4.44	4.21	4.39	2794875	54678324.00
2013/02/22	4.37	4.46	4.30	4.32	1362713	26758846.00
2013/02/25	4.36	4.44	4.33	4.41	1242220	24362986.00
2013/02/26	4.39	4.53	4.34	4.41	1376254	27347368.00
2013/02/27	4.41	4.45	4.22	4.30	1043607	20196900.00
2013/02/28	4.30	4.40	4.23	4.37	785385	15181990.00
2013/03/01	4.39	4.47	4.37	4.44	1160875	23024270.00
2013/03/04	4.39	4.44	4.23	4.33	1089040	21192628.00
2013/03/05	4.37	4.55	4.31	4.51	1724196	34332172.00
2013/03/06	4.52	4.74	4.45	4.68	3009427	61905452.00
2013/03/07	4.62	4.72	4.52	4.61	1956635	40472600.00
2013/03/08	4.67	4.75	4.55	4.61	1115200	23143264.00
2013/03/11	4.63	4.81	4.51	4.77	1108342	23085440.00
2013/03/12	4.86	4.86	4.28	4.43	2153908	43612688.00
2013/03/13	4.30	4.46	4.25	4.40	879619	17171512.00
2013/03/14	4.40	4.50	4.32	4.50	1059693	21087274.00
2013/03/15	4.52	4.75	4.44	4.71	2245560	46584284.00
2013/03/18	4.61	4.85	4.61	4.81	2075425	44304124.00
2013/03/19	4.79	4.83	4.65	4.79	675913	14359138.00
2013/03/20	4.79	4.88	4.72	4.86	899167	19341818.00
2013/03/21	4.82	5.36	4.82	5.27	4459001	103456920.00
2013/03/22	5.20	5.48	5.14	5.39	3363426	80030984.00
2013/03/25	5.45	5.47	5.25	5.26	1524327	36040364.00
