300336 新文化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/07/10	4.03	4.47	4.02	4.47	19184610	585344448.00
2012/07/11	4.35	4.65	3.99	4.01	13527335	416331040.00
2012/07/12	3.88	4.22	3.83	4.14	9237765	267259616.00
2012/07/13	4.01	4.09	3.72	3.83	9043118	252693488.00
2012/07/16	3.79	3.89	3.54	3.58	5675104	152812640.00
2012/07/17	3.60	3.77	3.60	3.65	4343799	115136736.00
2012/07/18	3.63	3.74	3.47	3.73	4920542	128022528.00
2012/07/19	3.67	3.87	3.66	3.73	5674408	154452336.00
2012/07/20	3.68	3.81	3.59	3.72	3709260	99498712.00
2012/07/23	3.66	3.95	3.62	3.85	4883343	134051336.00
2012/07/24	3.82	3.90	3.76	3.85	3678196	101451704.00
2012/07/25	3.84	4.09	3.79	3.91	6771867	192618816.00
2012/07/26	3.86	3.93	3.77	3.77	4451668	122820544.00
2012/07/27	3.79	3.93	3.75	3.80	3986613	110206648.00
2012/07/30	3.76	3.77	3.53	3.55	4137302	108748384.00
2012/07/31	3.52	3.54	3.35	3.35	3148582	78116872.00
2012/08/01	3.37	3.49	3.36	3.44	2086152	51907492.00
2012/08/02	3.41	3.45	3.34	3.38	1824599	45020476.00
2012/08/03	3.38	3.62	3.38	3.59	3813551	97481120.00
2012/08/06	3.53	3.66	3.51	3.64	3433690	89313928.00
2012/08/07	3.64	3.88	3.64	3.69	5331616	144534144.00
2012/08/08	3.64	3.67	3.57	3.64	3223517	84382760.00
2012/08/09	3.63	3.74	3.58	3.71	2621660	69790912.00
2012/08/10	3.71	3.71	3.60	3.65	2095096	55221584.00
2012/08/13	3.61	3.67	3.52	3.53	1833043	47820144.00
2012/08/14	3.50	3.60	3.47	3.60	1737113	44550644.00
2012/08/15	3.56	3.65	3.53	3.60	1852295	48368368.00
2012/08/16	3.59	3.64	3.54	3.54	1402343	36386716.00
2012/08/17	3.53	3.60	3.52	3.58	909311	23462618.00
2012/08/20	3.53	3.71	3.53	3.71	2371507	62731940.00
2012/08/21	3.72	3.80	3.67	3.79	3493036	94267288.00
2012/08/22	3.77	3.88	3.72	3.73	5425508	148784016.00
2012/08/23	3.75	3.88	3.71	3.85	3469068	94930976.00
2012/08/24	3.83	3.85	3.68	3.69	2412504	65670532.00
2012/08/27	3.66	3.74	3.65	3.67	1442348	38592876.00
2012/08/28	3.65	3.82	3.62	3.78	2236760	60375964.00
2012/08/29	3.77	3.92	3.76	3.82	3189037	88430536.00
2012/08/30	3.80	3.92	3.55	3.68	3667286	98995392.00
2012/08/31	3.65	3.74	3.62	3.71	1716491	45674948.00
2012/09/03	3.73	4.09	3.67	4.03	5340356	150710576.00
2012/09/04	4.02	4.11	3.97	4.05	5038696	145962544.00
2012/09/05	4.01	4.10	3.94	3.95	3865817	111146336.00
2012/09/06	3.95	4.09	3.95	4.06	2897168	83677096.00
2012/09/07	4.11	4.21	4.02	4.11	4817338	141733040.00
2012/09/10	4.06	4.09	4.02	4.07	2957064	85893064.00
2012/09/11	4.05	4.17	3.98	4.02	4345600	127097472.00
2012/09/12	4.03	4.04	3.88	3.94	3250945	92201952.00
2012/09/13	3.94	3.97	3.89	3.90	1833104	51739364.00
2012/09/14	3.92	3.97	3.88	3.93	1685505	47559992.00
2012/09/17	3.92	3.95	3.65	3.65	3176254	86317656.00
2012/09/18	3.65	3.69	3.58	3.60	1674782	44006008.00
2012/09/19	3.61	3.65	3.58	3.62	1106283	28960206.00
2012/09/20	3.62	3.62	3.41	3.42	2438601	61805124.00
2012/09/21	3.45	3.51	3.40	3.42	1448892	36376004.00
2012/09/24	3.42	3.55	3.35	3.49	1734669	43783744.00
2012/09/25	3.46	3.48	3.33	3.34	1844559	45334528.00
2012/09/26	3.33	3.36	3.21	3.22	1415132	33885224.00
2012/09/27	3.23	3.33	3.20	3.31	1918117	45973268.00
2012/09/28	3.28	3.35	3.26	3.35	1751179	42260524.00
2012/10/08	3.35	3.37	3.27	3.29	1134726	27361544.00
2012/10/09	3.29	3.48	3.29	3.48	2431843	60129624.00
2012/10/10	3.42	3.53	3.41	3.53	2472426	62362340.00
2012/10/11	3.51	3.52	3.42	3.43	1344257	33825328.00
2012/10/12	3.55	3.59	3.40	3.43	2265213	57631828.00
2012/10/15	3.36	3.39	3.25	3.28	1488727	35757196.00
2012/10/16	3.27	3.37	3.27	3.33	1006894	24425590.00
2012/10/17	3.33	3.35	3.30	3.33	592348	14380066.00
2012/10/18	3.35	3.42	3.32	3.39	1135841	27956050.00
2012/10/19	3.39	3.45	3.39	3.39	1015074	25222474.00
2012/10/22	3.34	3.43	3.32	3.42	809022	19923230.00
2012/10/23	3.44	3.47	3.39	3.41	954346	23705558.00
2012/10/24	3.36	3.43	3.34	3.38	604629	14953788.00
2012/10/25	3.37	3.42	3.32	3.33	904516	22249568.00
2012/10/26	3.35	3.36	3.26	3.30	989311	23813102.00
2012/10/29	3.32	3.34	3.24	3.30	835727	20135002.00
2012/10/30	3.32	3.38	3.30	3.37	862577	21077942.00
2012/10/31	3.38	3.43	3.37	3.42	981831	24313238.00
2012/11/01	3.42	3.47	3.39	3.43	1323040	32978378.00
2012/11/02	3.43	3.46	3.41	3.44	970468	24217364.00
