300388 国祯环保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/08/01	2.73	3.05	2.73	3.05	53251	930755.75
2014/08/04	3.37	3.37	3.37	3.37	12950	249028.50
2014/08/05	3.73	3.73	3.73	3.73	21400	452610.00
2014/08/06	4.12	4.12	4.12	4.12	35769	832344.63
2014/08/07	4.55	4.55	4.55	4.55	66197	1694643.25
2014/08/08	5.03	5.03	5.03	5.03	83939	2363722.25
2014/08/11	5.55	5.55	5.55	5.55	113270	3509104.50
2014/08/12	6.12	6.12	6.12	6.12	3058486	104233200.00
2014/08/13	5.68	5.83	5.49	5.49	13604612	423935584.00
2014/08/14	5.44	5.63	5.38	5.44	6758525	207182784.00
2014/08/15	5.44	5.46	5.29	5.37	4154569	124156840.00
2014/08/18	5.39	5.49	5.37	5.45	3247103	98629040.00
2014/08/19	5.47	5.63	5.42	5.53	5052562	156837168.00
2014/08/20	5.51	6.04	5.46	5.80	8287654	266296880.00
2014/08/21	5.68	5.77	5.58	5.62	5136569	161788096.00
2014/08/22	5.63	5.70	5.51	5.62	3529114	110121592.00
2014/08/25	5.64	5.69	5.56	5.63	3061826	96328440.00
2014/08/26	5.61	5.61	5.35	5.38	3364054	102808016.00
2014/08/27	5.38	5.46	5.35	5.41	1395053	42198252.00
2014/08/28	5.47	5.54	5.41	5.45	2581679	78997112.00
2014/08/29	5.42	5.66	5.37	5.58	3547367	110100696.00
2014/09/01	5.60	5.95	5.58	5.87	5396700	175273152.00
2014/09/02	5.83	5.99	5.83	5.90	5090188	167719552.00
2014/09/03	5.92	5.95	5.75	5.90	4046749	131926800.00
2014/09/04	5.92	6.42	5.85	6.23	6215247	212884160.00
2014/09/05	6.16	6.32	6.13	6.28	3739502	129619408.00
2014/09/09	6.26	6.30	6.16	6.26	2426036	84235584.00
2014/09/10	6.33	6.91	6.33	6.91	6600716	245137152.00
2014/09/11	6.89	7.40	6.72	7.14	8286216	319847808.00
2014/09/12	6.99	7.05	6.90	7.00	3858009	149237600.00
2014/09/15	6.92	7.03	6.79	6.87	3687086	140539904.00
2014/09/16	6.86	6.95	6.53	6.56	3978158	148349328.00
2014/09/17	6.56	6.78	6.53	6.68	2493681	92219648.00
2014/09/18	6.64	6.81	6.62	6.71	1974041	73541272.00
2014/09/19	6.72	6.79	6.65	6.68	1679336	62421348.00
2014/09/22	6.68	6.68	6.38	6.43	2325517	83697304.00
