300391 康跃科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/08/01	4.62	5.57	4.62	5.57	52408	739652.50
2014/08/04	6.13	6.13	6.13	6.13	14900	232291.00
2014/08/05	6.76	6.76	6.76	6.76	14200	243530.00
2014/08/06	7.45	7.45	7.45	7.45	38550	727438.50
2014/08/07	8.20	8.20	8.20	8.20	85750	1780170.00
2014/08/08	9.03	9.03	9.03	9.03	106511	2432711.25
2014/08/11	9.95	9.95	9.95	9.95	124013	3115206.50
2014/08/12	10.95	10.95	10.95	10.95	2587321	71487680.00
2014/08/13	10.22	10.86	9.86	10.30	10522660	272239520.00
2014/08/14	10.30	10.82	10.19	10.42	7351384	194186448.00
2014/08/15	10.50	10.63	10.10	10.31	4279875	111963912.00
2014/08/18	10.27	10.47	10.22	10.37	3797341	99209488.00
2014/08/19	10.35	10.76	10.31	10.48	5407386	144372560.00
2014/08/20	10.43	11.54	10.31	11.35	9316019	260500832.00
2014/08/21	11.11	11.15	10.55	10.73	6378236	174522352.00
2014/08/22	10.65	10.81	10.48	10.66	3536659	95137200.00
2014/08/25	10.66	10.93	10.62	10.77	3017357	82202992.00
2014/08/26	10.70	10.90	10.32	10.38	2980802	78831352.00
2014/08/27	10.41	10.48	10.26	10.44	1621094	42508308.00
2014/08/28	10.41	10.75	10.37	10.53	2848165	76171720.00
2014/08/29	10.43	10.97	10.43	10.79	3379055	91612072.00
2014/09/01	10.85	11.81	10.70	11.53	5793205	166278752.00
2014/09/02	11.42	11.63	11.34	11.55	4695732	136045152.00
2014/09/03	11.52	11.53	11.19	11.40	3394682	97083136.00
2014/09/04	11.42	12.08	11.37	11.75	4599339	136439648.00
2014/09/05	11.66	11.78	11.61	11.71	2101826	61970560.00
2014/09/09	11.74	11.80	11.41	11.56	1846618	53769236.00
2014/09/10	11.56	12.13	11.42	12.03	3572840	106774704.00
2014/09/11	12.02	12.53	11.79	12.43	4950625	152319344.00
2014/09/12	12.29	12.42	12.10	12.30	2229821	68902368.00
2014/09/15	12.27	12.42	12.00	12.11	1961811	60024692.00
2014/09/16	12.12	12.28	11.51	11.58	2484721	74546664.00
2014/09/17	11.58	11.73	11.46	11.69	1293684	37903428.00
2014/09/18	11.69	11.76	11.58	11.70	875334	25807208.00
2014/09/19	11.74	11.74	11.48	11.63	1236046	36233028.00
2014/09/22	11.55	11.59	11.23	11.27	1482678	42477872.00
2014/09/23	11.26	11.76	11.26	11.68	1609257	46789316.00
2014/09/24	11.57	11.90	11.57	11.88	1897236	56272304.00
2014/09/25	11.86	12.03	11.78	11.94	1346788	40320328.00
2014/09/26	11.88	12.25	11.84	12.18	1812725	55348504.00
2014/09/29	12.26	12.49	12.15	12.47	2266856	70548912.00
2014/09/30	12.45	12.85	12.31	12.74	2176913	68821776.00
2014/10/08	12.85	12.90	12.50	12.73	1493797	47958916.00
2014/10/09	12.84	12.84	12.38	12.55	1589884	50488848.00
2014/10/10	12.46	12.64	12.39	12.40	1103068	34782400.00
2014/10/13	12.40	12.44	12.11	12.41	1019100	31496408.00
2014/10/14	12.30	12.43	12.22	12.30	1013498	31477510.00
2014/10/15	12.30	12.77	12.15	12.69	1748998	55067436.00
2014/10/16	12.65	12.94	12.40	12.42	1611231	51404420.00
2014/10/17	12.37	12.93	12.11	12.85	2349746	74385040.00
2014/10/20	12.75	13.23	12.68	13.06	1828926	59929100.00
2014/10/21	13.01	14.07	12.95	13.83	3175027	108937184.00
2014/10/22	13.67	14.07	13.55	13.73	2557411	88948680.00
2014/10/23	13.73	14.93	13.73	14.16	3773993	136974064.00
2014/10/24	13.94	14.96	13.90	14.14	3448813	126002424.00
2014/10/27	14.10	14.10	12.71	13.12	2396147	80264800.00
2014/10/28	13.20	14.44	13.20	14.44	2569642	90647616.00
2014/10/29	14.86	14.92	14.43	14.84	3276728	120915280.00
2014/10/30	14.70	14.84	14.46	14.54	1975575	72761112.00
2014/10/31	14.54	15.09	14.46	14.91	2585670	96325416.00
2014/11/03	14.92	15.83	14.80	15.34	2716654	104111120.00
2014/11/04	15.41	15.42	14.80	14.80	2005176	76161968.00
2014/11/05	14.70	15.11	14.49	14.74	1641058	61062948.00
2014/11/06	14.75	15.74	14.74	15.46	1997181	76698272.00
2014/11/07	15.50	16.13	15.24	15.35	2366449	93602328.00
2014/11/10	15.34	15.74	15.10	15.62	1623294	63250632.00
2014/11/11	15.61	17.19	15.52	17.19	5253542	220934560.00
2014/11/12	17.82	18.89	17.69	18.02	5581429	254642576.00
2014/11/13	17.10	17.70	16.79	17.03	3593492	155904000.00
2014/11/14	16.70	16.94	15.32	15.32	3293532	130516264.00
2014/11/17	14.91	16.07	14.90	15.41	1845238	72356072.00
2014/11/18	15.46	16.15	15.34	15.83	1495539	59371244.00
2014/11/19	15.84	16.29	15.69	16.05	1484902	59707896.00
2014/11/20	15.70	16.00	15.70	15.94	876982	34992896.00
2014/11/21	15.77	16.36	15.77	16.07	1255810	51008932.00
2014/11/24	16.10	17.21	15.91	16.46	1732416	72038520.00
2014/11/25	16.50	16.96	15.82	16.10	1855507	76124032.00
2014/11/26	16.18	16.47	15.98	16.30	1254742	51177668.00
2014/11/27	16.46	16.90	16.35	16.67	1600287	67162544.00
2014/11/28	16.61	16.89	16.30	16.43	1641700	68197016.00
2014/12/01	16.54	17.33	15.85	17.20	2598242	108196040.00
2014/12/02	17.02	18.70	16.94	17.81	2858645	128265472.00
