300400 劲拓股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/10/10	3.16	3.53	3.16	3.53	41001	448489.84
2014/10/13	3.89	3.89	3.89	3.89	15400	185262.00
2014/10/14	4.29	4.29	4.29	4.29	6249	82674.27
2014/10/15	4.73	4.73	4.73	4.73	12250	178237.50
2014/10/16	5.22	5.22	5.22	5.22	38400	614784.00
2014/10/17	5.75	5.75	5.75	5.75	133902	2358014.25
2014/10/20	6.34	6.34	6.34	6.34	212139	4109132.50
2014/10/21	6.98	6.98	6.98	6.98	334045	7118499.00
2014/10/22	7.69	7.69	7.69	7.69	398975	9351974.00
2014/10/23	8.47	8.47	8.47	8.47	3820525	98493136.00
2014/10/24	8.90	9.33	8.89	9.33	6293588	174239840.00
2014/10/27	9.55	9.65	8.79	8.80	10802318	298123840.00
2014/10/28	8.86	9.69	8.86	9.69	7509675	213886864.00
2014/10/29	10.21	10.39	9.91	10.15	9974456	307697120.00
2014/10/30	9.96	11.10	9.96	10.43	7872642	250925472.00
2014/10/31	10.33	11.48	10.21	11.48	7462577	245921456.00
2014/11/03	11.50	12.64	11.38	12.64	6431629	240096960.00
2014/11/04	12.88	13.92	12.27	12.28	10308378	408634528.00
2014/11/05	11.91	12.98	11.91	12.61	5953817	224134944.00
2014/11/06	12.21	13.60	12.05	13.31	6592306	256873408.00
2014/11/07	13.20	14.21	12.91	13.11	6831798	279428352.00
2014/11/10	12.98	13.64	12.88	13.25	4554754	182367520.00
2014/11/11	13.21	13.41	12.52	13.19	4962207	195645840.00
2014/11/12	13.18	13.81	12.81	13.61	6312070	256602176.00
2014/11/13	13.22	13.54	12.89	12.89	3856492	153978128.00
2014/11/14	12.80	13.17	11.59	11.59	4210080	154325376.00
2014/11/17	11.25	11.93	11.25	11.64	2210004	78449656.00
2014/11/18	11.76	12.03	11.72	11.85	1611253	57977592.00
2014/11/19	11.71	11.90	11.51	11.76	1753669	62319924.00
2014/11/20	11.71	12.11	11.65	12.08	2308064	83506944.00
2014/11/21	11.98	12.38	11.96	12.07	2196930	80815560.00
2014/11/24	12.16	12.35	11.94	12.10	2018474	74349200.00
2014/11/25	12.11	12.20	11.40	11.66	2630570	93568488.00
2014/11/26	11.75	11.97	11.66	11.85	1383948	49534664.00
2014/11/27	12.06	12.78	12.02	12.67	3730303	140897312.00
2014/11/28	12.71	13.38	12.71	12.93	4259697	168156384.00
2014/12/01	12.93	13.29	12.48	12.81	3211625	123672136.00
2014/12/02	12.91	14.10	12.91	14.10	2745575	114305728.00
2014/12/03	15.25	15.52	14.78	15.52	9213842	427495232.00
2014/12/04	14.92	15.33	14.61	14.98	6763966	305366368.00
2014/12/05	14.51	14.71	13.47	13.47	6288257	265354928.00
2014/12/08	13.01	13.47	12.78	12.78	3440884	135977120.00
2014/12/09	12.60	12.84	11.73	11.75	3508451	130468928.00
2014/12/10	11.75	12.38	11.55	12.08	2319332	84648824.00
2014/12/11	11.88	12.63	11.85	12.15	2189208	81416112.00
2014/12/12	12.28	12.59	12.21	12.40	1412727	52985424.00
2014/12/15	12.40	12.87	12.31	12.63	1803435	68921744.00
2014/12/16	12.55	12.71	12.17	12.30	1354123	50626712.00
2014/12/17	12.21	12.21	11.90	11.98	1231938	44838132.00
2014/12/18	11.85	12.26	11.72	11.72	1082411	39409524.00
2014/12/19	11.71	11.88	11.38	11.49	1638855	57756392.00
2014/12/22	11.05	11.32	10.33	10.33	1545756	48747268.00
2014/12/23	9.83	10.87	9.83	10.17	1487829	46980068.00
2014/12/24	10.33	10.84	10.21	10.78	1496706	47899096.00
2014/12/25	10.71	10.86	10.43	10.68	1250430	40318004.00
2014/12/26	10.55	10.77	10.52	10.55	780892	25172558.00
2014/12/29	10.23	10.54	9.88	10.01	968319	29626740.00
2014/12/30	9.95	10.11	9.78	9.91	715314	21570410.00
2014/12/31	9.95	10.88	9.70	10.60	1710145	53582212.00
2015/01/05	10.21	10.59	9.85	10.10	1320978	40285784.00
2015/01/06	9.91	10.54	9.89	10.51	1210713	38034792.00
2015/01/07	10.36	10.51	10.22	10.32	707960	22172864.00
2015/01/08	10.34	10.66	10.21	10.33	1119368	35712208.00
2015/01/09	10.24	10.47	10.10	10.17	999626	31230958.00
2015/01/12	10.08	10.08	9.68	9.71	857397	25594846.00
2015/01/13	9.71	10.06	9.55	9.98	889667	26576310.00
2015/01/14	9.93	10.06	9.68	9.83	872042	26106748.00
2015/01/15	9.86	10.11	9.77	9.88	713284	21524376.00
2015/01/16	9.83	10.19	9.83	10.07	907042	27655252.00
2015/01/19	9.88	10.87	9.86	10.38	1887180	59671648.00
2015/01/20	10.32	11.07	10.30	11.07	2469594	80928472.00
2015/01/21	10.97	11.21	10.86	10.95	1840472	61195072.00
2015/01/22	10.95	11.31	10.84	11.20	1493305	50230072.00
2015/01/23	11.18	11.21	10.95	10.97	1295137	43481924.00
2015/01/26	10.89	11.11	10.87	11.03	686829	22898184.00
2015/01/27	11.06	11.07	10.71	10.85	915302	30230316.00
2015/01/28	10.83	10.94	10.74	10.74	850321	27963662.00
2015/01/29	10.65	10.81	10.47	10.47	750172	24041632.00
2015/01/30	10.46	10.54	10.24	10.27	552781	17372216.00
2015/02/02	10.11	10.32	9.98	10.14	442030	13661702.00
2015/02/03	10.34	10.53	10.01	10.42	564440	17790126.00
2015/02/04	10.46	10.62	10.40	10.50	543886	17337562.00
2015/02/05	10.60	10.70	10.28	10.28	630619	20099310.00
2015/02/06	10.28	10.38	9.85	9.87	763911	23216052.00
2015/02/09	9.90	9.98	9.68	9.72	373810	11166341.00
2015/02/10	9.86	9.87	9.58	9.84	416379	12303688.00
2015/02/11	9.81	10.10	9.68	9.97	471242	14102402.00
2015/02/12	10.04	10.10	9.95	10.03	371548	11314743.00
2015/02/13	9.99	10.38	9.99	10.36	588315	18351594.00
2015/02/16	10.31	10.52	10.28	10.49	588441	18669822.00
2015/02/17	10.49	10.49	10.23	10.30	543065	17006646.00
2015/02/25	10.30	10.47	10.22	10.34	401459	12621474.00
2015/02/26	10.34	10.48	10.29	10.44	520847	16379699.00
2015/02/27	10.51	10.73	10.40	10.67	757955	24333564.00
2015/03/02	10.63	10.83	10.63	10.83	847775	27618022.00
2015/03/03	10.75	10.81	10.56	10.56	712009	23043844.00
2015/03/04	10.62	10.84	10.51	10.78	753402	24459180.00
2015/03/05	10.83	10.91	10.64	10.79	833329	27137244.00
2015/03/06	10.79	10.86	10.51	10.75	970704	31468150.00
2015/03/09	10.74	11.26	10.64	11.20	1877923	62903300.00
2015/03/10	11.21	11.32	11.08	11.18	1160662	39293412.00
2015/03/11	11.11	11.18	10.84	10.88	840547	27971724.00
2015/03/12	10.88	10.88	10.58	10.59	653954	21283926.00
2015/03/13	10.61	10.95	10.55	10.88	527717	17309972.00
2015/03/16	10.92	11.37	10.92	11.31	1166063	39552904.00
2015/03/17	11.23	11.35	11.10	11.28	1164169	39661204.00
2015/03/18	11.38	12.38	11.30	12.05	2169752	78170728.00
2015/03/19	12.55	12.55	11.98	12.30	2396529	88863456.00
2015/03/20	12.22	13.35	12.08	13.33	2257961	85773368.00
2015/03/23	13.25	14.17	13.11	13.85	2692811	111887760.00
2015/03/24	13.81	14.12	12.97	13.78	2425494	99799664.00
2015/03/25	13.86	14.21	13.55	13.89	1633835	68393952.00
2015/03/26	13.74	14.50	13.38	13.54	2094465	88595712.00
2015/03/27	13.38	14.19	13.38	13.84	1552455	64637608.00
2015/03/30	13.92	14.07	13.11	13.36	1749850	71335576.00
2015/03/31	13.21	13.53	12.67	13.20	2009072	79584312.00
2015/04/01	13.34	13.99	13.04	13.72	1737087	71168592.00
2015/04/02	13.72	14.71	13.60	14.49	2670356	115313024.00
2015/04/03	14.51	15.95	14.35	15.95	4196894	200077040.00
2015/04/07	16.54	17.56	16.29	17.56	839842	43921500.00
2015/04/08	19.33	19.33	17.55	17.62	4414158	246421632.00
2015/04/09	18.08	19.08	16.88	19.04	3222404	178083056.00
2015/04/10	18.10	20.10	17.88	19.35	2687097	156384144.00
2015/04/13	19.41	20.55	18.31	18.48	2059993	117553400.00
2015/04/14	18.35	18.47	17.75	17.89	1472916	80082144.00
2015/04/15	17.98	19.69	17.98	19.69	4378253	258103424.00
2015/04/16	19.55	19.88	18.55	18.78	3187361	185293040.00
2015/04/17	18.58	18.74	17.25	17.31	1998318	107415712.00
