300405 科隆股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/10/30	10.00	12.03	10.00	12.03	30600	721869.00
2014/10/31	13.24	13.24	13.24	13.24	7500	195450.00
2014/11/03	14.58	14.58	14.58	14.58	3900	111813.00
2014/11/04	16.05	16.05	16.05	16.05	10800	340632.00
2014/11/05	17.67	17.67	17.67	17.67	22100	766649.00
2014/11/06	19.45	19.45	19.45	19.45	51399	1961385.88
2014/11/07	21.41	21.41	21.41	21.41	128049	5375497.00
2014/11/10	23.56	23.56	23.56	23.56	94400	4359392.00
2014/11/11	25.93	25.93	25.93	25.93	253742	12890094.00
2014/11/12	28.53	28.53	28.53	28.53	361549	20203358.00
2014/11/13	31.40	31.40	31.40	31.40	173850	10686560.00
2014/11/14	34.56	34.56	34.56	34.56	455854	30824848.00
2014/11/17	37.67	37.69	32.60	34.24	11710478	814836352.00
2014/11/18	32.80	33.01	30.80	31.29	6237416	385999520.00
2014/11/19	30.63	31.92	30.61	31.24	3606965	221674144.00
2014/11/20	31.43	34.19	31.17	33.26	5329014	342897920.00
2014/11/21	32.43	32.95	31.89	31.94	3580101	226792256.00
2014/11/24	32.09	32.21	30.86	31.30	2493908	154003872.00
2014/11/25	31.38	31.60	28.70	29.56	4093590	238521056.00
2014/11/26	29.43	30.30	29.39	29.88	1822919	106203752.00
2014/11/27	30.13	30.80	29.92	30.31	2139047	127019544.00
2014/11/28	30.03	30.26	29.43	29.72	1777558	103473184.00
2014/12/01	29.71	30.38	29.23	30.03	1691186	98671256.00
2014/12/02	29.81	33.00	29.81	31.85	3470007	214749872.00
2014/12/03	31.99	32.02	30.34	30.80	2413128	145833664.00
2014/12/04	30.83	30.85	30.25	30.34	1957643	116684904.00
2014/12/05	30.37	30.37	28.66	28.79	2169425	123367528.00
2014/12/08	28.59	28.59	27.79	27.84	1572313	86419200.00
2014/12/09	27.72	28.11	25.04	25.06	2136300	112220800.00
2014/12/10	25.01	26.16	24.72	25.83	1234035	61725944.00
2014/12/11	25.83	26.90	25.42	26.44	1092650	56085244.00
2014/12/12	26.11	26.47	25.71	26.04	818204	41680876.00
2014/12/15	25.94	26.67	25.55	26.51	786666	40577340.00
2014/12/16	26.51	26.90	25.83	25.90	871814	44664460.00
2014/12/17	25.85	25.85	24.50	24.63	1171765	57482524.00
2014/12/18	24.56	25.00	24.19	24.19	810232	38924224.00
2014/12/19	24.22	24.49	22.42	22.67	1530078	68884040.00
2014/12/22	22.45	22.49	20.71	20.98	1174328	49018112.00
2014/12/23	21.10	22.56	21.01	21.67	1043499	44650252.00
2014/12/24	21.86	22.96	21.86	22.88	1253535	55141848.00
2014/12/25	22.94	22.95	22.06	22.57	1310527	57859872.00
2014/12/26	22.45	22.69	22.19	22.57	703659	30996886.00
2014/12/29	22.54	22.54	21.42	21.75	697544	29866660.00
2014/12/30	21.72	22.67	21.67	21.99	640701	27734934.00
2014/12/31	22.00	22.85	21.70	22.67	1102576	48398312.00
2015/01/05	22.49	22.54	21.57	22.06	734122	31692358.00
2015/01/06	21.88	22.83	21.75	22.67	1100085	48444076.00
2015/01/07	22.44	22.65	21.82	21.94	891958	38606720.00
2015/01/08	21.96	22.27	21.90	21.93	640148	27762200.00
2015/01/09	21.81	22.06	21.43	21.43	785134	33446216.00
2015/01/12	21.44	21.44	20.44	20.64	708594	28994546.00
2015/01/13	20.69	22.71	20.65	22.71	2240007	97710224.00
2015/01/14	22.44	22.49	21.68	21.75	1299436	56089264.00
2015/01/15	21.83	22.23	21.62	21.77	874602	37534376.00
2015/01/16	21.81	22.97	21.67	22.52	1083804	47648460.00
2015/01/19	22.19	24.79	22.04	23.70	3522021	165979504.00
2015/01/20	23.60	25.51	23.47	24.89	3121583	149054832.00
2015/01/21	24.70	24.83	23.98	24.35	1926560	91942992.00
2015/01/22	24.35	25.01	24.19	24.55	1437514	69366584.00
2015/01/23	24.60	25.41	24.48	24.49	1529548	74301408.00
2015/01/26	24.24	24.58	24.08	24.38	867714	41303576.00
2015/01/27	24.44	24.46	23.72	24.09	833469	39347956.00
2015/01/28	24.10	24.44	23.93	23.96	683625	32470514.00
2015/01/29	23.85	23.91	23.37	23.57	675999	31367870.00
2015/01/30	22.96	23.10	22.13	22.13	1704946	75341112.00
2015/02/02	21.77	22.39	21.65	22.06	525897	22734924.00
2015/02/03	22.06	22.71	22.06	22.52	594223	26223856.00
2015/02/04	22.50	22.60	22.04	22.11	584586	25590484.00
2015/02/05	22.29	22.43	21.67	21.72	667052	28845934.00
2015/02/06	21.79	21.79	21.06	21.11	676853	28272996.00
2015/02/09	21.13	21.41	21.06	21.12	435744	18162146.00
2015/02/10	21.14	21.57	21.06	21.57	486572	20252810.00
2015/02/11	21.56	21.67	21.41	21.54	426498	17986754.00
2015/02/12	21.56	21.98	21.56	21.68	422616	18017604.00
2015/02/13	21.72	22.22	21.72	22.16	682153	29516048.00
2015/02/16	22.16	22.32	22.07	22.25	638853	27822220.00
2015/02/17	22.30	22.36	21.94	22.12	443327	19224192.00
2015/02/25	22.12	22.18	21.72	21.75	417385	17886186.00
2015/02/26	21.76	21.97	21.74	21.94	347790	14920324.00
2015/02/27	21.94	22.27	21.84	22.21	489165	21233684.00
2015/03/02	22.38	22.67	22.12	22.67	812576	35864224.00
2015/03/03	22.66	22.67	22.19	22.19	613100	26889034.00
2015/03/04	22.18	22.59	22.09	22.43	420852	18451962.00
2015/03/05	22.56	22.67	22.13	22.64	941896	41402532.00
2015/03/06	22.64	22.66	22.19	22.27	718407	31447368.00
2015/03/09	22.13	22.28	21.94	22.17	459198	19920322.00
2015/03/10	22.16	22.60	22.06	22.44	669845	29419242.00
2015/03/11	22.45	22.53	22.03	22.07	584447	25402412.00
2015/03/12	22.07	22.23	21.67	21.86	714973	30805672.00
2015/03/13	22.01	22.38	21.92	22.36	506284	22046574.00
2015/03/16	22.43	23.66	22.40	23.60	2028815	92009736.00
2015/03/17	23.69	23.83	23.24	23.64	1649047	76030824.00
2015/03/18	23.49	24.85	23.37	24.63	1878970	89408696.00
2015/03/19	24.51	26.29	24.27	25.19	1852348	90343016.00
2015/03/20	25.05	25.36	24.65	24.83	1305323	63728780.00
2015/03/23	24.83	25.00	24.09	24.99	2319891	111162280.00
2015/03/24	24.85	24.85	23.91	24.44	1659276	79310624.00
2015/03/25	24.34	25.72	24.20	25.57	2531818	124431072.00
2015/03/26	25.40	25.40	24.39	24.79	1575589	76796040.00
2015/03/27	24.60	25.36	24.59	25.06	1176731	57700588.00
2015/03/30	25.06	25.25	24.50	24.57	999819	48441824.00
2015/03/31	24.59	24.85	24.39	24.65	700604	33814088.00
2015/04/01	24.64	25.65	24.51	25.63	1554899	76535984.00
2015/04/02	25.69	25.86	25.31	25.74	1762457	88536328.00
2015/04/03	25.74	26.64	25.57	26.55	2316422	118893576.00
2015/04/07	26.62	27.67	26.34	27.21	1812736	96233744.00
2015/04/08	27.31	27.44	25.81	26.29	1709461	88739376.00
2015/04/09	26.24	26.27	24.83	26.18	1623971	81529664.00
2015/04/10	25.22	26.47	25.21	26.17	1896762	96292344.00
2015/04/13	26.54	27.70	26.05	27.70	2265745	119950896.00
2015/04/14	27.98	29.24	27.21	28.43	2961591	164717456.00
2015/04/15	26.54	26.98	25.58	25.58	3587438	182111696.00
2015/04/16	24.76	25.82	24.76	25.24	1618888	80238552.00
2015/04/17	25.31	25.66	25.01	25.31	1575500	78242512.00
2015/04/20	25.31	25.39	23.92	23.97	1855525	89409304.00
2015/04/21	23.98	24.85	23.96	24.85	1166969	56015072.00
2015/04/22	24.97	25.57	24.97	25.48	1552158	76810232.00
2015/04/23	25.47	25.93	25.10	25.54	1738472	86813072.00
2015/04/24	25.49	25.49	24.57	25.05	1266953	62274836.00
2015/04/27	25.13	25.73	25.13	25.45	1350908	67339616.00
2015/04/28	25.51	25.72	24.25	24.50	1272680	62105880.00
2015/04/29	24.50	25.09	24.25	24.87	708396	34513168.00
2015/04/30	24.88	25.24	24.81	24.81	916945	45015372.00
2015/05/04	24.84	24.85	24.14	24.59	654546	31437750.00
2015/05/05	24.59	24.77	23.94	23.98	908607	43228668.00
2015/05/06	24.18	24.49	23.98	24.08	1118965	53373728.00
2015/05/07	24.08	24.31	22.50	22.56	1163184	52905672.00
2015/05/08	22.77	23.45	22.77	23.43	955158	43392340.00
2015/05/11	23.69	25.69	23.50	25.36	2103304	101765488.00
2015/05/12	25.52	26.07	25.01	25.85	2411042	121180744.00
2015/05/13	25.52	27.67	25.01	27.64	3830844	198910528.00
2015/05/14	27.06	30.08	27.06	29.85	4197375	239407392.00
2015/05/15	30.03	30.63	27.62	29.88	3024561	174372544.00
2015/05/18	29.52	32.75	29.14	32.49	2901052	179168704.00
2015/05/19	32.42	33.92	30.13	31.32	2208531	136442224.00
2015/05/20	31.16	32.19	30.11	30.14	2567157	156628736.00
2015/05/21	29.93	31.26	29.14	31.16	2812702	165801296.00
2015/05/22	31.29	31.62	29.84	30.81	2128205	127895680.00
2015/05/25	30.08	32.23	29.73	31.78	2354411	143381840.00
2015/05/26	31.77	34.96	31.77	34.96	3546876	234645776.00
2015/05/27	36.33	38.45	35.46	38.45	4256674	309449472.00
2015/05/28	40.39	42.30	36.90	36.90	5349792	435156320.00
2015/05/29	34.97	38.70	33.24	35.87	3834844	271003360.00
2015/06/01	35.88	36.65	33.96	36.44	2996051	207456240.00
2015/06/02	36.21	36.21	34.33	35.51	2547819	175659568.00
2015/06/03	35.51	36.86	34.85	36.62	2410744	169654112.00
2015/06/04	36.53	36.53	32.96	33.20	2426040	160762416.00
2015/06/05	34.34	34.60	32.32	33.31	2131258	139231696.00
2015/06/08	33.33	33.37	30.86	31.31	2237737	138845744.00
